,Concept_ID,lbe,te
0,Auge::N,я,కన్ను
1,Ohr::N,вичӏи,చెవి
2,Nase::N,май,ముక్కు
3,Mund::N,кьацӏ,నోరు
4,Zahn::N,ккарччи,పల్లు
5,Zunge::N,маз,నాలుక
6,Lippe::N,мурччи,పెదవి
7,Wange::N,чӏав,చెంప
8,Gesicht::N,лажин,ముఖము
9,Stirn::N,ненттабакӏ,నుదురు
10,Haar::N,чӏара,వెండ్రుక
11,Schnurrbart::N,ссирссилтту,మీసము
12,Bart::N,чӏири,గడ్డము
13,Kinn::N,лунттубакӏ,గడ్డము
14,Kiefer[Anatomie]::N,ххинчулул,దౌడ
15,Kehle::N,кьакьари,గొంతు
16,Hals::N,ссурссу,మెడ
17,Genick::N,махъабакӏ,మూపు
18,Kopf::N,бакӏ,తల
19,Rücken::N,ттиликӏ,వెన్ను
20,Bauch::N,лякьа,కడుపు
21,Nabel::N,цӏумуккутӏ,బొడ్డు
22,Busen::N,ккукку,స్తనము
23,Brust::N,хъазам,ఱొమ్ము
24,Schulter::N,хъачӏ,భుజము
25,Arm::N,ка,చేయి
26,Ellenbogen::N,ссюрхъ,మోచేయి
27,Hand::N,бартка,చేయి
28,Handfläche::N,хъат,అరచేయు
29,Handfläche::N,битӏянхъ,అరచేయు
30,Finger::N,кӏисса,చేతిప్రేలు
31,Fingernagel::N,михь,గోరు
32,Nagel[Anatomie]::N,михь,గోరు
33,Zeh::N,кӏисса,కాలిప్రేలు
34,Fuß::N,чӏанччан,అడుగు
35,Ferse::N,никъа,మడమ
36,Knie::N,ник,మోకాలు
37,Oberschenkel::N,жира,తొడ
38,Bein::N,ччан,కాలు
39,Körper::N,чурх,కాయము
40,Haut::N,бурчу,చర్మము
41,Blut::N,оь,రక్తము
42,Ader::N,тунну,సిర
43,Sehne::N,хьхьа,స్నాయువు
44,Knochen::N,ттаркӏ,ఎముక
45,Gehirn::N,ня,మెదడు
46,Herz::N,дакӏ,హృదయము
47,Herz::N,къюкӏ,హృదయము
48,Magen::N,лякьа,కడుపు
49,Atem::N,ссихӏ ласаву,ఉపిరి
50,Atem::N,ссихӏ бигьаву,ఉపిరి
51,Hunger::N,ккаши,ఆకలి
52,Träne::N,макь,కన్నీటిచుక్క
53,Geschmack::N,тӏин,రుచి
54,Geschmack::N,тӏааьн,రుచి
55,Geruch::N,кьанкь,వాసన
56,Schlaf::N,шану,నిద్ర
57,Traum::N,макӏру,కల
58,Himmel::N,ссав,ఆకాశము
59,Sonne::N,баргъ,సూర్యుడు
60,Mond::N,барз,చంద్రుడు
61,Stern::N,цӏуку,నక్షత్రము
62,Luft::N,гьава,గాలి
63,Wind::N,марч,వీచుచున్నగాలి
64,Welle::N,щатӏи,అల
65,Wasser::N,щин,నీరు
66,Stein::N,чару,ఱాయి
67,Boden::N,аьрщи,నేల
68,Erde::N,аьрщи,మన్ను
69,Staub::N,ххит,దుమ్ము
70,Rauch::N,пуркӏу,పొగ
71,Funke::N,пиягь,అగ్నికణము
72,Feuer::N,цӏу,అగ్ని
73,Licht::N,чани,కాంతి
74,Schatten::N,ххют,నీడ
75,Wetter::N,гьава,వాతావరణ స్థితి
76,Nebel::N,шархь ттурлу,పొగమంచు
77,Wolke::N,ттурлу,మేఘము
78,Regen::N,гъарал,వాన
79,Schnee::N,марххала,హిమము
80,Eis::N,микӏ,మంచుగడ్డ
81,Frost::N,дяркъу,పేరిన మంచు
82,Frost::N,замгьар,పేరిన మంచు
83,Kälte::N,дяркъу,చలి
84,Hitze::N,кӏиришиву,వేడిమి
85,Raureif::N,сил,మంచు
86,Raureif::N,бурса,మంచు
87,Regenbogen::N,ссурул ккуртта,ఇంద్రధనుస్సు
88,Donner::N,къув,ఉరుము
89,Strömung::N,экьинанаву,ప్రవాహము
90,Tropfen::N,кӏунтӏ,చుక్క
91,Schaum::N,хьама,నురుగు
92,Schmutz::N,кьяркьи,మైల
93,See::N,бяр,సరస్సు
94,Sumpf::N,кунцӏа,చిత్తడినేల
95,Wiese::N,кьан,పచ్చిక బయలు
96,Wald::N,вацӏа,అడవి
97,Hügel::N,бакӏу,చివ్నకొండ
98,Berg::N,зунтту,పర్వతము
99,Gipfel::N,мицӏ,శిఖరము
100,Höhle::N,нух,గుహ
101,Abhang::N,сун,ఏటవాలు
102,Quelle::N,дайдихьу,మూలము
103,Quelle::N,бакӏ,మూలము
104,Bach::N,чӏрир нех,కాలువ
105,Fluss::N,нех,నది
106,Ufer::N,зума,తీరము
107,Küste::N,зумаинхалу,తీరము
108,Küste::N,зуманицӏалу,తీరము
109,Festland::N,кьири,భూమి
110,Meer::N,хьхьири,సముద్రము
111,Insel::N,жазира,దీవి
112,Blume::N,тӏутӏи,పుష్పము
113,Gras::N,уртту,పచ్చగడ్డి
114,Wurzel::N,мархха,వేరు
115,Baum::N,мурхь,చెట్టు
116,Stamm::N,ттарцӏ,చెట్టుబోదె
117,Rinde::N,ккамара,చెట్టుపట్ట
118,Ast::N,матӏи,కొమ్మ
119,Zweig::N,къяртта,చివుకు
120,Blatt::N,чӏапӏи,ఆకు
121,Birke::N,кӏялахӏи,తరహా చెట్టు
122,Birke::N,кӏялахӏилул мурхь,తరహా చెట్టు
123,Kiefer[Baum]::N,ттар,దేవదారు చెట్టు
124,Kiefer[Baum]::N,ттарлил мурхь,దేవదారు చెట్టు
125,Weide[Baum]::N,щавщи,జాతిచెట్టు
126,Tanne::N,ттарлил мурхь,దేవదారుచెట్టు
127,Horn::N,хъи,కొమ్ము
128,Feder::N,лелуххул тӏиму,ఈక
129,Fell::N,бурчу,తోలు
130,Flügel::N,хъа,ఱెక్క
131,Flügel::N,ххурупӏайрал тӏиму,ఱెక్క
132,Klaue::N,михь,వంకరగోరు
133,Kralle::N,ххяппа,వంకరగోరు
134,Schwanz::N,магъ,తోక
135,Ei::N,ккунук,గ్రుడ్డు
136,Nest::N,кюру,పక్షిగూడు
137,Bau::N,цукъуккутӏ,గుహ
138,Tier::N,хӏайван,జంతువు
139,Herde::N,газу,మంద
140,Kuh::N,оьл,ఆవు
141,Bulle::N,ниц,గిత్త
142,Pferd::N,чу,గుఱ్ఱము
143,Schaf::N,тта,గొఱ్ఱె
144,Schwein::N,дунгъуз,పంది
145,Hund::N,ккаччи,కుక్క
146,Katze::N,ччиту,పిల్లి
147,Bär::N,цуша,ఎలుగుబంటి
148,Eichhörnchen::N,бюрхттукку,ఉడుత
149,Elch::N,ниц-бюрин,కణంజు
150,Fuchs::N,цулчӏа,గుంటనక్క
151,Fuchs::N,куча цулчӏа,గుంటనక్క
152,Hase::N,бюрх,కుందేలు
153,Maus::N,кӏулу,చిట్టెలుక
154,Wolf::N,барцӏ,తోడేలు
155,Vogel::N,лелуххи,పక్షి
156,Schwarm::N,гьухъала,గుంపు
157,Huhn::N,аьнакӏи,కోడిపిల్ల
158,Hahn::N,ажари,కోడివుంజు
159,Gans::N,къаз,ఆడుబాతు
160,Adler::N,барзу,గ్రద్ద
161,Ente::N,урдак,పాట్టిబాతు
162,Eule::N,ису,గ్రుడ్లగూబ
163,Eule::N,ччиккумяв,గ్రుడ్లగూబ
164,Kranich::N,кьурукь,కొంగ
165,Krähe::N,хъатӏу,కాకి
166,Kuckuck::N,ччикку,కోయల
167,Schwan::N,урттил къаз,హంస
168,Fisch::N,чавахъ,చేప
169,Schlange[Tier]::N,шатта,పాము
170,Wurm::N,кьюнукьай шатта,పురుగు
171,Spinne::N,ххялцу,సాలె పురుగు
172,Ameise::N,митӏикьукьу,చీమ
173,Mücke::N,мичӏак,చీకటీగ
174,Fliege::N,зимиз,ఈగ
175,Schmetterling::N,чӏимучӏали,సీతాకోకచిలుక
176,Beere::N,хӏаллил ахъулсса,కాయ
177,Apfel::N,гьивч,ఆపిల్ పండు
178,Pilz::N,ттуккул иис,కుక్కగొడుగు
179,Zwiebel::N,лаччул чсмусул бакӏ,నీరుల్లి
180,Saat::N,гьанна,విత్తనము
181,Korn::N,къама,గింజ
182,Heu::N,ххулув,ఎండుగడ్డి
183,Schale::N,ккиртту,పొట్టు
184,Grube::N,кӏаланг,గొయ్యి
185,Falle::N,къатӏа,బోను
186,Schlinge::N,хӏатӏ,ఉరి
187,Spur::N,ша,జాడ
188,Asche::N,лах,బూడిద
189,Dreck::N,кьяркьи,ముఱికి
