,Concept_ID,fi,mhr
0,Auge::N,silmä,шинча́
1,Ohr::N,korva,пы́лыш
2,Nase::N,nenä,нер
3,Mund::N,suu,умша́
4,Zahn::N,hammas,пӱй
5,Zunge::N,kieli,йы́лме
6,Lippe::N,huuli,тӱ́рвӧ
7,Wange::N,poski,шӱ́ргӧ
8,Gesicht::N,naama,чури́й
9,Gesicht::N,kasvot,чури́й
10,Stirn::N,otsa,саҥга́
11,Haar::N,hius,ӱп
12,Haar::N,tukka,ӱп
13,Schnurrbart::N,viikset,ӧ́рыш
14,Bart::N,parta,понда́ш
15,Kinn::N,leuka,оҥыла́ш
16,Kiefer[Anatomie]::N,leukaluu,пӱйдӱ́ҥ
17,Kiefer[Anatomie]::N,leukaluu,пӱйората́
18,Kehle::N,kurkku,лога́р
19,Hals::N,kaula,шӱй
20,Genick::N,niska,шӱйло́дыш
21,Kopf::N,pää,вуй
22,Rücken::N,selkä,туп
23,Bauch::N,maha,мӱ́шкыр
24,Bauch::N,vatsa,мӱ́шкыр
25,Nabel::N,napa,кы́лымде
26,Busen::N,rinta,чы́зе
27,Brust::N,rinta,оҥ
28,Schulter::N,olka,ва́че
29,Schulter::N,hartia,ва́че
30,Schulter::N,olkapää,ва́че
31,Arm::N,käsivarsi,кид
32,Ellenbogen::N,kyynärpää,кынерву́й
33,Hand::N,käsi,кид
34,Hand::N,käsi,копа́
35,Handfläche::N,kämmen,со́во
36,Finger::N,sormi,парня́
37,Fingernagel::N,kynsi,кидкӱ́ч
38,Fingernagel::N,kynsi,парнягӱ́ч
39,Nagel[Anatomie]::N,kynsi,кӱч
40,Zeh::N,varvas,йолварня́
41,Fuß::N,jalka,йол
42,Fuß::N,jalka,йолкопа́
43,Ferse::N,kantapää,тага́н
44,Knie::N,polvi,пулву́й
45,Oberschenkel::N,reisi,э́рде
46,Bein::N,jalka,йол
47,Körper::N,keho,кап
48,Körper::N,ruumis,кап
49,Haut::N,iho,кова́ште
50,Blut::N,veri,вӱр
51,Ader::N,suoni,шӧн
52,Sehne::N,jänne,шӧн
53,Sehne::N,jänne,кӱсе́н
54,Knochen::N,luu,лу
55,Gehirn::N,aivot,вем
56,Gehirn::N,aivot,вуйве́м
57,Herz::N,sydän,шӱм
58,Magen::N,maha,пага́р
59,Magen::N,vatsa,пага́р
60,Leber::N,maksa,мокш
61,Atem::N,henki,шӱ́лыш
62,Atem::N,hengitys,шӱ́лыш
63,Hunger::N,nälkä,шужыма́ш
64,Träne::N,kyynel,шинчавӱ́д
65,Geschmack::N,maku,там
66,Geruch::N,haju,пуш
67,Schlaf::N,uni,о́мо
68,Traum::N,uni,йӱдо́мо
69,Himmel::N,taivas,кава́
70,Sonne::N,aurinko,ке́че
71,Mond::N,kuu,ты́лзе
72,Stern::N,tähti,шӱ́дыр
73,Luft::N,ilma,юж
74,Wind::N,tuuli,марде́ж
75,Welle::N,aalto,то́лкын
76,Wasser::N,vesi,вӱд
77,Stein::N,kivi,кӱ
78,Boden::N,maa,рок
79,Boden::N,maaperä,рок
80,Erde::N,maa,мла́нде
81,Staub::N,pöly,пура́к
82,Rauch::N,savu,шикш
83,Funke::N,kipinä,сеске́м
84,Funke::N,kipinä,тулйы́п
85,Feuer::N,tuli,тул
86,Licht::N,valo,со́то
87,Schatten::N,varjo,ӱ́мыл
88,Wetter::N,sää,иге́че
89,Nebel::N,sumu,тӱтыра́
90,Wolke::N,pilvi,пыл
91,Regen::N,sade,йӱр
92,Schnee::N,lumi,лум
93,Eis::N,jää,ий
94,Frost::N,halla,чатлама́
95,Frost::N,pakkanen,чатлама́
96,Kälte::N,vilu,йӱ́штӧ
97,Kälte::N,kylmyys,йӱ́штӧ
98,Hitze::N,helle,шо́кшо
99,Hitze::N,kuumuus,шо́кшо
100,Raureif::N,huurre,пӧрш
101,Raureif::N,huurre,по́кшым
102,Regenbogen::N,sateenkaari,шонанпы́л
103,Donner::N,jyrinä,кӱ́дырчӧ
104,Strömung::N,virtaus,йо́гын
105,Tropfen::N,tippa,чӱча́лтыш
106,Tropfen::N,pisara,чӱча́лтыш
107,Schaum::N,vaahto,шоҥ
108,Schmutz::N,loka,лавыра́
109,See::N,järvi,ер
110,Sumpf::N,suo,лӱ́кӧ
111,Moor::N,räme,куп
112,Wiese::N,niitty,о́лык
113,Wald::N,metsä,чодыра́
114,Hügel::N,mäki,арка́
115,Hügel::N,kumpu,арка́
116,Hügel::N,kukkula,арка́
117,Anhöhe::N,mäki,тӧва́
118,Anhöhe::N,mäki,кӱкшака́
119,Anhöhe::N,kumpare,тӧва́
120,Anhöhe::N,kumpare,кӱкшака́
121,Berg::N,mäki,ку́рык
122,Berg::N,vuori,ку́рык
