,Concept_ID,ce,la
0,Auge::N,бӏаьрг,oculus
1,Ohr::N,лерг,auris
2,Nase::N,мара,nasus
3,Mund::N,бага,os
4,Zahn::N,церг,dens
5,Zunge::N,мотт,lingua
6,Lippe::N,балда,labrum
7,Wange::N,бесни,gena
8,Gesicht::N,юьхь,vultus
9,Stirn::N,хьаж,frons
10,Haar::N,мас,capillus
11,Schnurrbart::N,мекх,barba labri superioris
12,Bart::N,маж,barba
13,Kinn::N,чӏениг,mentum
14,Kiefer[Anatomie]::N,мочхал,mala
15,Kehle::N,къамкъарг,iugulums
16,Hals::N,ворта,collum
17,Genick::N,кӏесаркӏаг,cervices
18,Kopf::N,корта,caput
19,Rücken::N,букъ,tergum
20,Bauch::N,кийра,venter
21,Nabel::N,цӏонга,umbilicus
22,Busen::N,зударийн накха,sinus
23,Brust::N,накха,pectus
24,Schulter::N,белш,umerus
25,Arm::N,пхьарс,bracchium
26,Ellenbogen::N,пхьаьрсан гола,cubitum
27,Hand::N,куьг,manus
28,Handfläche::N,кераюкъ,palma
29,Finger::N,пӏелг,digitus
30,Fingernagel::N,мӏара,unguiculus
31,Nagel[Anatomie]::N,мӏара,unguis
32,Zeh::N,кога пӏелг,digitus
33,Fuß::N,ког,pes
34,Ferse::N,кӏажа,calx
35,Knie::N,гола,genu
36,Oberschenkel::N,варе,femur
37,Bein::N,ког,crus
38,Körper::N,хӏума,corpus
39,Haut::N,чкъор,cutis
40,Haut::N,чкъор,pellis
41,Blut::N,цӏий,sanguis
42,Ader::N,пха,vena
43,Sehne::N,хьорзам,nervus
44,Knochen::N,даьӏахк,os
45,Gehirn::N,хье,cerebrum
46,Herz::N,дог,cor
47,Herz::N,дог,animus
48,Magen::N,зорх,stomachus
49,Leber::N,доӏах,iecur
50,Atem::N,садеӏар,spiritus
51,Hunger::N,мацалла,fames
52,Träne::N,бӏаьрхи,lacrima
53,Geschmack::N,чам,sapor
54,Geschmack::N,чам,gustus
55,Geruch::N,хьожа,odor
56,Schlaf::N,наб,somnus
57,Traum::N,гӏан,somnium
58,Himmel::N,стигал,caelum
59,Sonne::N,малх,sol
60,Mond::N,бутт,luna
61,Stern::N,седа,sidus
62,Stern::N,седа,stella
63,Luft::N,xӏаваъ,aer
64,Wind::N,мох,ventus
65,Welle::N,тулгӏе,unda
66,Wasser::N,хи,aqua
67,Stein::N,тӏулг,lapis
68,Boden::N,цӏенкъа,solum
69,Erde::N,латта,terra
70,Staub::N,чан,pulvis
71,Rauch::N,кӏур,fumus
72,Funke::N,суй,scintilla
73,Feuer::N,цӏе,ignis
74,Licht::N,серло,lux
75,Licht::N,серло,lumen
76,Schatten::N,ӏиндагӏ,umbra
77,Wetter::N,хенан хӏоттам,caelum
78,Wetter::N,хенан хӏоттам,tempestas
79,Nebel::N,дохк,nebula
80,Wolke::N,марха,nubes
81,Regen::N,догӏа,imber
82,Regen::N,догӏа,pluvia
83,Schnee::N,ло,nix
84,Eis::N,ша,glacies
85,Frost::N,шело,gelu
86,Kälte::N,шело,frigus
87,Hitze::N,йовхо,calor
88,Hitze::N,йовхо,aestus
89,Raureif::N,йис,pruina
90,Regenbogen::N,стелаӏад,arcus
91,Donner::N,ткъес,tonitrus
