,Concept_ID,hu,kk
0,Auge::N,szem,көз
1,Ohr::N,fül,құлақ
2,Nase::N,orr,мұрын
3,Mund::N,száj,ауыз
4,Zahn::N,fog,тіс
5,Zunge::N,nyelv,тіл
6,Lippe::N,ajak,ерін
7,Wange::N,orca,ұрт
8,Gesicht::N,arc,бет-аузы
9,Stirn::N,homlok,маңдай
10,Haar::N,haj,қыл
11,Schnurrbart::N,bajusz,мұрт
12,Bart::N,szakáll,сақал
13,Kinn::N,áll,иек
14,Kiefer[Anatomie]::N,állkapocs,жақ
15,Kehle::N,gége,алқым
16,Kehle::N,torok,алқым
17,Hals::N,nyak,мойын
18,Genick::N,tarkó,желке
19,Kopf::N,fő,кәллә
20,Kopf::N,fej,кәллә
21,Rücken::N,hát,арқа
22,Bauch::N,has,қарын
23,Nabel::N,köldök,кіндік
24,Busen::N,mell,омырау
25,Busen::N,kebel,омырау
26,Brust::N,mell,кеуде
27,Schulter::N,váll,иық
28,Arm::N,kar,қол
29,Ellenbogen::N,könyök,шынтақ
30,Hand::N,kéz,қол
31,Handfläche::N,tenyér,алақан
32,Finger::N,ujj,саусақ
33,Fingernagel::N,köröm,тырнақ
34,Nagel[Anatomie]::N,köröm,тырнақ
35,Zeh::N,lábujj,тырнақ
36,Zeh::N,lábujj,тұяқ
37,Fuß::N,láb,аяқ-басы
38,Ferse::N,sarok,өкше
39,Ferse::N,sarok,өкшелік
40,Knie::N,térd,тізе
41,Oberschenkel::N,comb,жамбас
42,Bein::N,láb,аяқ
43,Bein::N,lábszár,аяқ
44,Körper::N,test,дене
45,Haut::N,bőr,тері
46,Blut::N,vér,қан
47,Ader::N,ér,көктамыр
48,Ader::N,ér,күретамыр
49,Sehne::N,ín,сіңір
50,Knochen::N,csont,жілік
51,Gehirn::N,agy,ми
52,Gehirn::N,agyvelő,ми
53,Herz::N,szív,жүрек
54,Magen::N,gyomor,асқазан
55,Leber::N,máj,бауыр
56,Atem::N,lehelet,леп
57,Atem::N,lélegzet,леп
58,Hunger::N,éhség,ашаршылық
59,Träne::N,könny,жас
60,Geschmack::N,íz,дәм
61,Geschmack::N,íz,татым
62,Geschmack::N,íz,талғам
63,Geruch::N,szag,иіс
64,Schlaf::N,álom,ұйқы
65,Schlaf::N,álom,ұйықтау
66,Schlaf::N,alvás,ұйқы
67,Schlaf::N,alvás,ұйықтау
68,Traum::N,álom,түс
69,Himmel::N,ég,аспан
70,Himmel::N,ég,көқ
71,Himmel::N,ég,таңдай
72,Himmel::N,menny,аспан
73,Himmel::N,menny,көқ
74,Himmel::N,menny,таңдай
75,Sonne::N,nap,күн
76,Mond::N,hold,ай
77,Stern::N,csillag,жұлдыз
78,Luft::N,levegő,әуе
79,Wind::N,szél,жел
80,Welle::N,hullám,толқын
81,Wasser::N,víz,су
82,Stein::N,kő,тас
83,Boden::N,föld,қыртыс
84,Boden::N,talaj,қыртыс
85,Erde::N,föld,топырақ
86,Staub::N,por,шаң
87,Rauch::N,füst,түтін
88,Funke::N,szikra,ұшқын
89,Feuer::N,tűz,алау
90,Licht::N,fény,шұғыла
91,Schatten::N,árnyék,көлеңке
92,Wetter::N,idő,ауа райы
93,Wetter::N,időjárás,ауа райы
94,Nebel::N,köd,тұман
95,Wolke::N,felhő,бұлт
96,Regen::N,eső,жаңбыр
97,Schnee::N,hó,қар
98,Eis::N,jég,мұз
99,Frost::N,fagy,суық
100,Kälte::N,hideg,ызғар
101,Kälte::N,hideg,суықтық
102,Hitze::N,hő,аптап
103,Hitze::N,hőség,аптап
104,Raureif::N,zúzmara,қырау
105,Regenbogen::N,szivárvány,кемпірқосақ
106,Donner::N,dörgés,күн күркіреу
107,Donner::N,mennydörgés,күн күркіреу
108,Strömung::N,áramlat,ағын
109,Tropfen::N,csepp,тамшы
110,Schaum::N,hab,көбік
111,Schaum::N,tajték,көбік
112,Schmutz::N,piszok,кір
113,See::N,tó,көл
114,Sumpf::N,mocsár,саз
115,Moor::N,láp,саз
116,Wiese::N,rét,шалғын
117,Wiese::N,mező,шалғын
118,Wald::N,erdő,орман
119,Hügel::N,domb,төбе
120,Hügel::N,domb,белес
121,Hügel::N,domb,белес-белес
122,Anhöhe::N,magaslat,дөң
123,Anhöhe::N,magaslat,адыр
124,Anhöhe::N,magaslat,қырат
125,Berg::N,hegy,тау
126,Gipfel::N,csúcs,төбе
127,Höhle::N,barlang,үңгір
128,Abhang::N,lejtő,бауыр
129,Quelle::N,forrás,қайнар
130,Bach::N,patak,жылға
131,Fluss::N,folyó,өзен
132,Ufer::N,part,жиек
133,Küste::N,tengerpart,жиегі
134,Küste::N,tengerpart,жағалау
135,Festland::N,szárazföld,құрылық
136,Meer::N,tenger,теңіз
137,Bucht::N,öböl,шығанақ
138,Insel::N,sziget,арал
139,Blume::N,virág,гүл
140,Gras::N,fű,от
141,Wurzel::N,gyökér,түбір
142,Baum::N,fa,ағаш
143,Baum::N,fa,дарақ
144,Stamm::N,tő,сояу
145,Stamm::N,tő,оқпан
146,Stamm::N,törzs,сояу
147,Stamm::N,törzs,оқпан
148,Rinde::N,kéreg,қабық
149,Ast::N,ág,бұтақ
150,Zweig::N,gally,шыбық
