,Concept_ID,en,ga
0,Auge::N,eye,súil
1,Ohr::N,ear,cluas
2,Nase::N,nose,soc
3,Mund::N,mouth,béal
4,Zahn::N,tooth,fiacail
5,Zunge::N,tongue,teanga
6,Lippe::N,lip,liopa
7,Wange::N,cheek,grua
8,Wange::N,cheek,leiceann
9,Gesicht::N,face,éadan
10,Gesicht::N,face,aghaidh
11,Stirn::N,forehead,baithis
12,Stirn::N,forehead,clár éadain
13,Haar::N,hair,gruaig
14,Schnurrbart::N,moustache,croiméal
15,Bart::N,beard,féasóg
16,Kinn::N,chin,smig
17,Kiefer[Anatomie]::N,jaw,giall
18,Kehle::N,throat,scornach
19,Hals::N,neck,muinéal
20,Genick::N,nape,baic
21,Kopf::N,head,ceann
22,Rücken::N,back,droim
23,Rücken::N,spine,droim
24,Bauch::N,belly,bolg
25,Nabel::N,navel,imleacán
26,Busen::N,bosom,cíoch
27,Brust::N,chest,brollach
28,Brust::N,breast,brollach
29,Schulter::N,shoulder,gualainn
30,Arm::N,arm,lámh
31,Ellenbogen::N,elbow,uillinn
32,Hand::N,hand,lámh
33,Handfläche::N,palm,bos
34,Finger::N,finger,méar
35,Fingernagel::N,fingernail,ionga
36,Nagel[Anatomie]::N,nail,ionga
37,Zeh::N,toe,ladhar
38,Fuß::N,foot,cos
39,Fuß::N,foot,troigh
40,Ferse::N,heel,sáil
41,Knie::N,knee,glúin
42,Oberschenkel::N,thigh,ceathrú
43,Bein::N,leg,cos
44,Körper::N,body,corp
45,Körper::N,body,colainn
46,Haut::N,skin,cneas
47,Haut::N,skin,craiceann
48,Blut::N,blood,fuil
49,Ader::N,vein,
50,Sehne::N,sinew,teannán
51,Sehne::N,sinew,féitheog
52,Knochen::N,bone,cnámh
53,Gehirn::N,brain,inchinn
54,Herz::N,heart,croí
55,Magen::N,stomach,bolg
56,Magen::N,stomach,goile
57,Leber::N,liver,ae
58,Atem::N,breath,anáil
59,Hunger::N,hunger,ocras
60,Träne::N,tear,deoir
61,Geschmack::N,flavour,blas
62,Geschmack::N,flavor,blas
63,Geruch::N,odour,boladh
64,Geruch::N,odor,boladh
65,Schlaf::N,sleep,suan
66,Schlaf::N,sleep,codladh
67,Traum::N,dream,taibhreamh
68,Himmel::N,sky,spéir
69,Sonne::N,sun,grian
70,Mond::N,moon,ré
71,Mond::N,moon,gealach
72,Stern::N,star,rinn
73,Stern::N,star,réalta
74,Luft::N,air,aer
75,Wind::N,wind,gaoth
76,Welle::N,wave,tonn
77,Wasser::N,water,uisce
78,Stein::N,stone,cloch
79,Boden::N,soil,talamh
80,Boden::N,ground,talamh
81,Erde::N,earth,cré
82,Erde::N,earth,ithir
83,Staub::N,dust,dusta
84,Staub::N,dust,deannach
85,Rauch::N,smoke,toit
86,Rauch::N,smoke,deatach
87,Funke::N,spark,drithle
88,Feuer::N,fire,tine
89,Licht::N,light,solas
90,Schatten::N,shadow,scáth
91,Wetter::N,weather,aimsir
92,Nebel::N,fog,ceo
93,Wolke::N,cloud,néal
94,Wolke::N,cloud,scamall
95,Regen::N,rain,báisteach
96,Regen::N,rain,fearthainn
97,Schnee::N,snow,sneachta
98,Eis::N,ice,oighear
99,Frost::N,frost,sioc
100,Kälte::N,chill,fuacht
101,Hitze::N,heat,teas
102,Hitze::N,heat,teocht
103,Raureif::N,hoarfrost,sioc bán
104,Regenbogen::N,rainbow,stua ceatha
105,Regenbogen::N,rainbow,bogha báistí
106,Donner::N,thunder,toirneach
107,Strömung::N,current,sruth
108,Tropfen::N,drop,deoir
109,Schaum::N,foam,cúr
110,Schmutz::N,dirt,salachar
111,See::N,lake,loch
112,Sumpf::N,swamp,portach
113,Moor::N,moor,caorán
114,Moor::N,moor,móinteán
115,Wiese::N,meadow,cluain
116,Wiese::N,meadow,móinéar
117,Wald::N,forest,coill
118,Wald::N,forest,foraois
119,Hügel::N,hill,ard
120,Anhöhe::N,elevation,ard
121,Anhöhe::N,elevation,ardán
122,Berg::N,mountain,sliabh
123,Gipfel::N,summit,barr
124,Gipfel::N,summit,mullach
125,Höhle::N,cave,uaimh
126,Höhle::N,cave,pluais
127,Abhang::N,slope,fána
128,Quelle::N,source,foinse
129,Bach::N,brook,sruthán
130,Fluss::N,river,abhainn
131,Ufer::N,shore,bruach
132,Küste::N,coast,cósta
133,Küste::N,coast,cladach
134,Festland::N,land,míntír
135,Meer::N,sea,muir
136,Meer::N,sea,farraige
137,Bucht::N,cove,bá
138,Bucht::N,cove,cuan
139,Insel::N,island,inis
140,Insel::N,island,oileán
141,Blume::N,flower,bláth
142,Gras::N,grass,féar
143,Wurzel::N,root,rúta
144,Wurzel::N,root,fréamh
145,Baum::N,tree,crann
146,Stamm::N,trunk,stoc
147,Stamm::N,trunk,tamhan
148,Rinde::N,bark,coirt
149,Rinde::N,bark,craiceann
150,Ast::N,limb,géag
151,Zweig::N,branch,géag
152,Zweig::N,branch,craobh
153,Blatt::N,leaf,duille
154,Blatt::N,leaf,duilleog
155,Birke::N,birch,beith
156,Birke::N,birch,crann beithe
157,Kiefer[Baum]::N,pine,péine
158,Weide[Baum]::N,willow,saileach
159,Tanne::N,fir,giúis
160,Horn::N,horn,adharc
161,Feder::N,feather,cleite
162,Fell::N,fur,clúmh
163,Flügel::N,wing,eite
164,Flügel::N,wing,sciathán
165,Klaue::N,claw,crúb
166,Klaue::N,claw,crobh
167,Kralle::N,claw,crobh
168,Schwanz::N,tail,eireaball
169,Ei::N,egg,ubh
170,Nest::N,nest,nead
171,Bau::N,lair,brocais
172,Tier::N,animal,ainmhí
173,Tier::N,animal,beithíoch
174,Herde::N,flock,tréad
175,Kuh::N,cow,bó
176,Bulle::N,bull,tarbh
177,Pferd::N,horse,each
178,Pferd::N,horse,capall
179,Schaf::N,sheep,caora
180,Schwein::N,pig,muc
181,Hund::N,dog,madra
182,Katze::N,cat,cat
183,Bär::N,bear,béar
184,Eichhörnchen::N,squirrel,iora
185,Elch::N,elk,eilc
186,Fuchs::N,fox,sionnach
187,Fuchs::N,fox,madra rua
188,Hase::N,hare,giorria
189,Maus::N,mouse,luch
190,Wolf::N,wolf,mac tíre
191,Vogel::N,bird,éan
192,Schwarm::N,swarm,saithe
193,Huhn::N,chicken,cearc
194,Hahn::N,cock,coileach
195,Gans::N,goose,gé
196,Adler::N,eagle,iolar
197,Ente::N,duck,lacha
198,Eule::N,owl,ulchabhán
199,Kranich::N,crane,grús
200,Krähe::N,crow,caróg
201,Krähe::N,crow,préachán
202,Kuckuck::N,cuckoo,cuach
203,Schwan::N,swan,eala
204,Fisch::N,fish,iasc
205,Barsch::N,perch,péirse
206,Hecht::N,pike,liús
207,Schlange[Tier]::N,snake,nathair
208,Wurm::N,worm,péist
209,Spinne::N,spider,damhán alla
210,Ameise::N,ant,seangán
211,Laus::N,louse,míol
212,Mücke::N,midge,muiscít
213,Mücke::N,midge,corrmhíol
214,Fliege::N,fly,cuil
215,Fliege::N,fly,cuileog
216,Schmetterling::N,butterfly,féileacán
217,Beere::N,berry,caor
218,Apfel::N,apple,úll
219,Pilz::N,mushroom,beacán
220,Pilz::N,mushroom,muisiriún
221,Zwiebel::N,onion,oinniún
222,Saat::N,seed,síol
223,Korn::N,grain,gráinne
224,Heu::N,hay,féar
225,Schale::N,husk,scaimh
226,Grube::N,pit,poll
227,Falle::N,trap,gaiste
228,Schlinge::N,noose,sealán
229,Spur::N,track,rian
230,Asche::N,ashes,luaith
231,Dreck::N,filth,salachar
232,Eisen::N,iron,iarann
233,Gold::N,gold,ór
234,Silber::N,silver,airgead
235,Kohle::N,coal,gual
236,Glas::N,glass,gloine
237,Lehm::N,clay,cré
238,Sand::N,sand,gaineamh
239,Mensch::N,human,duine
240,Mann::N,man,fear
241,Frau::N,woman,bean
242,Kind::N,child,gasúr
243,Kind::N,child,páiste
244,Junge::N,boy,buachaill
