,Concept_ID,ro,hu
0,Auge::N,ochi,szem
1,Ohr::N,ureche,fül
2,Nase::N,nas,orr
3,Mund::N,gură,száj
4,Zahn::N,dinte,fog
5,Zunge::N,limbă,nyelv
6,Lippe::N,buză,ajak
7,Wange::N,bucă,orca
8,Wange::N,obraz,orca
9,Gesicht::N,față,arc
10,Gesicht::N,figură,arc
11,Stirn::N,frunte,homlok
12,Haar::N,păr,haj
13,Schnurrbart::N,mustață,bajusz
14,Bart::N,barbă,szakáll
15,Kinn::N,bărbie,áll
16,Kiefer[Anatomie]::N,falcă,állkapocs
17,Kehle::N,beregată,gége
18,Kehle::N,beregată,torok
19,Hals::N,gât,nyak
20,Genick::N,ceafă,tarkó
21,Kopf::N,cap,fő
22,Kopf::N,cap,fej
23,Rücken::N,dos,hát
24,Rücken::N,spate,hát
25,Rücken::N,spinare,hát
26,Bauch::N,burtă,has
27,Bauch::N,pântece,has
28,Nabel::N,buric,köldök
29,Busen::N,sân,mell
30,Busen::N,sân,kebel
31,Brust::N,piept,mell
32,Schulter::N,umăr,váll
33,Schulter::N,spate,váll
34,Arm::N,braț,kar
35,Ellenbogen::N,cot,könyök
36,Hand::N,mână,kéz
37,Handfläche::N,palmă,tenyér
38,Finger::N,deget,ujj
39,Fingernagel::N,unghie,köröm
40,Nagel[Anatomie]::N,unghie,köröm
41,Zeh::N,deget de la picior,lábujj
42,Fuß::N,picior,láb
43,Ferse::N,călcâi,sarok
44,Knie::N,genunchi,térd
45,Oberschenkel::N,coapsă,comb
46,Bein::N,picior,láb
47,Bein::N,picior,lábszár
48,Körper::N,corp,test
49,Haut::N,piele,bőr
50,Blut::N,sânge,vér
51,Ader::N,vână,ér
52,Ader::N,arteră,ér
53,Sehne::N,tendon,ín
54,Knochen::N,os,csont
55,Gehirn::N,creier,agy
56,Gehirn::N,creier,agyvelő
57,Herz::N,inimă,szív
58,Magen::N,stomac,gyomor
59,Leber::N,ficat,máj
60,Atem::N,răsuflare,lehelet
61,Atem::N,răsuflare,lélegzet
62,Atem::N,respirație,lehelet
63,Atem::N,respirație,lélegzet
64,Hunger::N,foame,éhség
65,Träne::N,lacrimă,könny
66,Geschmack::N,gust,íz
67,Geruch::N,miros,szag
68,Schlaf::N,somn,álom
69,Schlaf::N,somn,alvás
70,Traum::N,vis,álom
71,Himmel::N,cer,ég
72,Himmel::N,cer,menny
73,Sonne::N,soare,nap
74,Mond::N,lună,hold
75,Stern::N,stea,csillag
76,Luft::N,aer,levegő
77,Wind::N,vânt,szél
78,Welle::N,val,hullám
79,Welle::N,undă,hullám
80,Wasser::N,apă,víz
81,Stein::N,piatră,kő
82,Boden::N,sol,föld
83,Boden::N,sol,talaj
84,Boden::N,pământ,föld
85,Boden::N,pământ,talaj
86,Erde::N,pământ,föld
87,Staub::N,praf,por
88,Rauch::N,fum,füst
89,Funke::N,scânteie,szikra
90,Feuer::N,foc,tűz
91,Licht::N,lumină,fény
92,Schatten::N,umbră,árnyék
93,Wetter::N,timp,idő
94,Wetter::N,timp,időjárás
95,Wetter::N,vreme,idő
96,Wetter::N,vreme,időjárás
97,Nebel::N,ceață,köd
98,Nebel::N,negură,köd
99,Wolke::N,nor,felhő
100,Regen::N,ploaie,eső
101,Schnee::N,zăpadă,hó
102,Eis::N,gheață,jég
103,Frost::N,ger,fagy
104,Kälte::N,frig,hideg
105,Hitze::N,arșiță,hő
106,Hitze::N,arșiță,hőség
107,Hitze::N,căldură,hő
108,Hitze::N,căldură,hőség
109,Raureif::N,chiciură,zúzmara
110,Regenbogen::N,curcubeu,szivárvány
111,Donner::N,tunet,dörgés
112,Donner::N,tunet,mennydörgés
113,Strömung::N,curent,áramlat
114,Tropfen::N,picătură,csepp
115,Schaum::N,spumă,hab
116,Schaum::N,spumă,tajték
117,Schmutz::N,murdărie,piszok
118,See::N,lac,tó
119,Sumpf::N,mlaștină,mocsár
120,Moor::N,bărăgan,láp
121,Wiese::N,fânaț,rét
122,Wiese::N,fânaț,mező
123,Wiese::N,livadă,rét
124,Wiese::N,livadă,mező
125,Wald::N,codru,erdő
126,Wald::N,pădure,erdő
127,Hügel::N,deal,domb
128,Hügel::N,movilă,domb
129,Anhöhe::N,deal,magaslat
130,Anhöhe::N,ridicătură,magaslat
131,Berg::N,munte,hegy
132,Gipfel::N,pisc,csúcs
133,Höhle::N,peșteră,barlang
134,Abhang::N,pantă,lejtő
135,Abhang::N,versant,lejtő
136,Quelle::N,izvor,forrás
137,Bach::N,gârlă,patak
138,Fluss::N,râu,folyó
139,Fluss::N,fluviu,folyó
140,Ufer::N,mal,part
141,Ufer::N,țărm,part
142,Küste::N,coastă,tengerpart
143,Festland::N,uscat,szárazföld
144,Meer::N,mare,tenger
145,Bucht::N,golf,öböl
146,Insel::N,insulă,sziget
147,Blume::N,floare,virág
148,Gras::N,iarbă,fű
149,Wurzel::N,rădăcină,gyökér
150,Baum::N,copac,fa
151,Baum::N,arbore,fa
152,Stamm::N,tulpină,tő
153,Stamm::N,tulpină,törzs
154,Rinde::N,scoarță,kéreg
155,Ast::N,cracă,ág
156,Ast::N,creangă,ág
157,Zweig::N,ramură,gally
158,Zweig::N,creangă,gally
159,Blatt::N,frunză,levél
160,Birke::N,mesteacăn,nyír
161,Kiefer[Baum]::N,pin,fenyő
162,Weide[Baum]::N,salcie,fűz
163,Weide[Baum]::N,răchită,fűz
164,Tanne::N,brad,fenyő
165,Horn::N,corn,szarv
166,Feder::N,pană,toll
167,Fell::N,piele,szőr
168,Fell::N,piele,bunda
169,Flügel::N,aripă,szárny
170,Klaue::N,gheară,köröm
171,Kralle::N,labă,karom
172,Kralle::N,gheară,karom
173,Schwanz::N,coadă,farok
174,Ei::N,ou,tojás
175,Nest::N,cuib,fészek
176,Bau::N,bârlog,odú
177,Bau::N,vizuină,odú
178,Tier::N,animal,állat
179,Herde::N,turmă,nyáj
180,Herde::N,turmă,csorda
181,Herde::N,cireadă,nyáj
182,Herde::N,cireadă,csorda
183,Kuh::N,vacă,tehén
184,Bulle::N,taur,bika
185,Pferd::N,cal,ló
186,Schaf::N,oaie,juh
187,Schaf::N,oaie,birka
188,Schwein::N,porc,sertés
189,Hund::N,câine,eb
190,Hund::N,câine,kutya
191,Katze::N,pisică,macska
192,Bär::N,urs,medve
193,Eichhörnchen::N,veveriță,mókus
194,Elch::N,elan,jávorszarvas
195,Fuchs::N,vulpe,róka
196,Hase::N,iepure,nyúl
197,Maus::N,șoarece,egér
198,Wolf::N,lup,farkas
199,Vogel::N,pasăre,madár
200,Schwarm::N,cârd,raj
201,Huhn::N,găină,tyúk
202,Hahn::N,cocoș,kakas
203,Gans::N,gâscă,lúd
204,Gans::N,gâscă,liba
205,Adler::N,vultur,sas
206,Ente::N,rață,kacsa
207,Eule::N,bufniță,bagoly
208,Kranich::N,cocor,daru
209,Krähe::N,cioară,varjú
210,Kuckuck::N,cuc,kakukk
211,Schwan::N,lebădă,hattyú
212,Fisch::N,pește,hal
213,Barsch::N,biban,sügér
214,Hecht::N,știucă,csuka
215,Schlange[Tier]::N,șarpe,kígyó
216,Wurm::N,vierme,kukac
217,Spinne::N,păianjen,pók
218,Ameise::N,furnică,hangya
219,Laus::N,păduche,tetű
220,Mücke::N,țânțar,szúnyog
221,Fliege::N,muscă,légy
222,Schmetterling::N,fluture,lepke
223,Schmetterling::N,fluture,pillangó
224,Beere::N,boabă,bogyó
225,Apfel::N,măr,alma
226,Pilz::N,burete,gomba
227,Pilz::N,ciupercă,gomba
228,Zwiebel::N,ceapă,hagyma
229,Saat::N,semănătură,vetőmag
230,Korn::N,grâu,mag
231,Korn::N,grâu,szem
232,Heu::N,fân,széna
233,Schale::N,coajă,héj
234,Grube::N,groapă,verem
235,Falle::N,cursă,csapda
236,Falle::N,capcană,csapda
237,Schlinge::N,laț,tőr
238,Spur::N,dâră,nyom
239,Asche::N,cenușă,hamu
240,Dreck::N,noroi,sár
241,Dreck::N,noroi,piszok
242,Dreck::N,murdărie,sár
243,Dreck::N,murdărie,piszok
244,Eisen::N,fier,vas
245,Gold::N,aur,arany
246,Silber::N,argint,ezüst
247,Kohle::N,cărbune,szén
248,Glas::N,sticlă,üveg
249,Lehm::N,lut,agyag
250,Lehm::N,lut,vályog
251,Lehm::N,humă,agyag
252,Lehm::N,humă,vályog
253,Sand::N,nisip,homok
254,Mensch::N,om,ember
255,Mensch::N,persoană,ember
256,Mann::N,om,úr
257,Mann::N,om,férfi
258,Mann::N,bărbat,úr
259,Mann::N,bărbat,férfi
260,Frau::N,femeie,nő
261,Frau::N,femeie,asszony
262,Kind::N,copil,gyerek
263,Kind::N,copil,gyermek
264,Junge::N,băiat,fiú
