,Concept_ID,ba,ar
0,Auge::N,күҙ,عين
1,Ohr::N,ҡолаҡ,أذن
2,Nase::N,танау,أنف
3,Mund::N,ауыҙ,فم
4,Zahn::N,теш,سن
5,Zunge::N,тел,لسان
6,Lippe::N,ирен,شفة
7,Wange::N,яцаҡтар,خد
8,Wange::N,яцаҡтар,وجنة
9,Gesicht::N,бит,وجه
10,Stirn::N,маңлай,جبين
11,Haar::N,сәс,شعر
12,Schnurrbart::N,мылтыҡ,شارب
13,Bart::N,һаҡал,لحية
14,Kinn::N,эйэк,ذقن
15,Kiefer[Anatomie]::N,яңаҡ һөйәге,فك
16,Kehle::N,тамаҡ,حلق
17,Hals::N,муйын,عنق
18,Hals::N,муйын,رقبة
19,Genick::N,соңҡа,قفا
20,Kopf::N,баш,رأس
21,Rücken::N,арҡа,ظهر
22,Bauch::N,ҡорһаҡ,بطن
23,Nabel::N,кендек,سرة
24,Busen::N,күкрәк,ثدي
25,Brust::N,түш,صدر
26,Schulter::N,яурын,كتف
27,Arm::N,ҡул,ذراع
28,Ellenbogen::N,терһәк,كوع
29,Hand::N,ҡул,يد
30,Hand::N,ҡул суғы,يد
31,Handfläche::N,ус төбө,كف
32,Finger::N,бармаҡ,إصبع
33,Fingernagel::N,тырнаҡ,ظفر
34,Nagel[Anatomie]::N,тырнаҡ,ظفر
35,Zeh::N,бармаҡ,إصبع القدم
36,Fuß::N,табан,قدم
37,Ferse::N,үксә,كعب
38,Knie::N,тубыҡ,ركبة
39,Oberschenkel::N,сандыр,فخذ
40,Bein::N,аяҡ,ساق
41,Körper::N,тән,جسم
42,Haut::N,тире,بشرة
43,Blut::N,ҡан,دم
44,Ader::N,тамыр,عرق
45,Sehne::N,һеңер,طنب
46,Sehne::N,тарамыш,طنب
47,Knochen::N,һойәк,عظم
48,Gehirn::N,мейе,دماغ
49,Herz::N,йорәк,قلب
50,Magen::N,ашҡаҙан,معدة
51,Leber::N,бауыр,كبد
52,Atem::N,һулыш,نفس
53,Hunger::N,аслыҡ,جوع
54,Träne::N,күҙ иәше,دمعة
55,Geschmack::N,тәм,طعم
56,Geschmack::N,тәм,مذاق
57,Geruch::N,еҫ,رائحة
58,Schlaf::N,йоҡлау,نوم
59,Schlaf::N,йоҡлау,منام
60,Traum::N,төш,حلم
61,Himmel::N,күк,سماء
62,Sonne::N,ҡояш,شمس
63,Mond::N,ай,قمر
64,Stern::N,йондоҙ,نجم
65,Stern::N,йондоҙ,كوكب
66,Luft::N,һауа,هواء
67,Wind::N,ел,ريح
68,Welle::N,тулҡын,موجة
69,Wasser::N,һыу,ماء
70,Stein::N,таш,حجر
71,Boden::N,тупраҡ,تراب
72,Erde::N,балсҡ,أرض
73,Staub::N,туҙан,غبار
74,Rauch::N,төтөн,دخان
75,Funke::N,осҡон,شرارة
76,Feuer::N,ут,نار
77,Licht::N,яҡтылыҡ,نور
78,Licht::N,яҡтылыҡ,ضوء
79,Schatten::N,күләгә,ظل
80,Schatten::N,күләгә,فيء
81,Wetter::N,һауа торошо,جو
82,Wetter::N,һауа торошо,طقس
83,Nebel::N,төман,ضباب
84,Wolke::N,болот,غيمة
85,Wolke::N,болот,سحابة
86,Regen::N,ямғыр,مطر
87,Schnee::N,ҡар,ثلج
88,Eis::N,боҙ,جليد
89,Frost::N,һалҡын,صقيع
90,Kälte::N,һыуыҡ,برد
91,Hitze::N,томра,حر
92,Hitze::N,томра,حرارة
93,Hitze::N,эҫелек,حر
94,Hitze::N,эҫелек,حرارة
95,Raureif::N,ҡырау,صقيع
96,Regenbogen::N,йәйғор,قوس قزح
97,Donner::N,күк күкрәү,رعد
98,Strömung::N,ағым,تيار
99,Tropfen::N,тамсы,قطرة
100,Schaum::N,күбек,زبد
101,Schaum::N,күбек,رغوة
102,Schmutz::N,батҡаҡ,وسخ
103,See::N,күл,بحيرة
104,Sumpf::N,һаҙлык,مستنقع
105,Moor::N,һаҙ,مستنقع
106,Wiese::N,болон,مرج
107,Wald::N,урман,غابة
108,Hügel::N,түбә,تل
109,Anhöhe::N,түбә,تل
110,Anhöhe::N,ҡалҡыулыҡ,تل
111,Berg::N,тау,جبل
112,Gipfel::N,түбә,قمة
113,Höhle::N,мәмерйә,كهف
114,Abhang::N,ипкен,منحدر
115,Quelle::N,шишмә,منبع
116,Bach::N,шишмә,مجرى
117,Fluss::N,йылға,نهر
118,Ufer::N,яр,ضفة
119,Küste::N,яр буйы,ساحل
120,Festland::N,ҡоро ер,بر
121,Meer::N,диңгез,بحر
122,Bucht::N,бухта,خليج
123,Insel::N,үтрау,جزيرة
124,Blume::N,сәскә,زهرة
125,Gras::N,үлән,حشيش
126,Wurzel::N,тамыр,أصل
127,Baum::N,ағас,شجرة
128,Stamm::N,олон,جذع
129,Stamm::N,көбәк,جذع
130,Rinde::N,ҡабыҡ,قشرة
131,Ast::N,ботаҡ,فرع
132,Zweig::N,ботаҡ,غصن
133,Zweig::N,тармаҡ,غصن
134,Blatt::N,япраҡ,ورقة
135,Birke::N,ҡайын,قضبان
136,Kiefer[Baum]::N,ҡарғай,صنوبرة
137,Weide[Baum]::N,тал,صفصاف
138,Tanne::N,шыршы,شوح
139,Tanne::N,шыршы,تبوب
140,Horn::N,мөғөҙ,قرن
141,Feder::N,ҡауырһын,ريشة
142,Fell::N,тире,فرو
143,Flügel::N,ҡанат,جناح
144,Klaue::N,тырнаҡ,مخلب
145,Kralle::N,аяҡ,مخلب
146,Schwanz::N,ҡойроҡ,ذيل
147,Ei::N,йомортҡа,بيض
148,Nest::N,оя,عش
149,Bau::N,оң,جحر
150,Tier::N,жайуан,حيوان
151,Tier::N,йыртҡыс,حيوان
152,Herde::N,көтөү,قطيع
153,Kuh::N,һыйыр,بقرة
154,Bulle::N,үгеҙ,ثور
155,Pferd::N,ат,خيل
156,Schaf::N,һарыҡ,شاة
157,Schwein::N,сусҡа,خنزير
158,Hund::N,эт,كلب
159,Katze::N,бесәй,قطة
160,Bär::N,айыу,دب
161,Eichhörnchen::N,тейен,سنجاب
162,Elch::N,мышы,موظ
163,Fuchs::N,төлкө,ثعلب
164,Hase::N,ҡуян,أرنب
165,Maus::N,сысҡан,فأرة
166,Wolf::N,бүре,ذئب
167,Vogel::N,ҡош,طير
168,Schwarm::N,көтөү,سرب
169,Huhn::N,тауыҡ,دجاجة
170,Hahn::N,әтәс,ديك
171,Gans::N,ҡаҙ,وزة
172,Adler::N,бөркөт,نسر
173,Ente::N,өйрәк,بطة
174,Eule::N,өкө,بوم
175,Eule::N,ябалаҡ,بوم
176,Kranich::N,торна,كركي
177,Krähe::N,ҡарға,غراب
178,Kuckuck::N,кәкүк,وقواق
179,Schwan::N,аҡҡош,إوز عراقي
180,Fisch::N,балыҡ,سمك
181,Barsch::N,алабуға,فرخ أوربي
182,Hecht::N,суртан,سمك الكراكي
183,Schlange[Tier]::N,йылан,حية
184,Schlange[Tier]::N,йылан,ثعبان
185,Wurm::N,селяүсен,دودة
186,Spinne::N,үрмәксе,عنكبوت
187,Ameise::N,ҡырмыҫҡа,نملة
188,Laus::N,бет,قملة
189,Mücke::N,серәкәй,ناموسة
190,Fliege::N,себен,ذبابة
191,Schmetterling::N,күбәләк,فراشة
192,Beere::N,еләк,حبة
193,Apfel::N,алма,تفاح
194,Pilz::N,бәшмәк,فطر
195,Zwiebel::N,һуган,بصل
196,Saat::N,орлоҡ,زرع
197,Korn::N,иген,حبة
198,Heu::N,бесән,دريس
199,Schale::N,ҡабыҡ,قشرة
200,Grube::N,соҡор,نقرة
201,Falle::N,тоҙак,فخ
202,Falle::N,тоҙак,مصيدة
203,Falle::N,ҡапҡан,فخ
204,Falle::N,ҡапҡан,مصيدة
205,Schlinge::N,тоҙак,عروة
206,Spur::N,әҫер,أثر
207,Asche::N,көл,رماد
208,Dreck::N,батҡаҡ,قذر
209,Eisen::N,тимер,حديد
210,Gold::N,алтын,ذهب
211,Silber::N,көмөш,فضة
212,Kohle::N,күмер,فحم
213,Glas::N,быяла,زجاج
214,Lehm::N,балсыҡ,طين
215,Sand::N,ҡом,رمل
216,Mensch::N,кеше,إنسان
217,Mann::N,ир,رجل
218,Frau::N,ҡатын,امرأة
219,Kind::N,бала,طفل
220,Junge::N,малай,ولد
221,Mädchen::N,ҡыҙ,بنت
222,Mädchen::N,ҡыҙыҡай,بنت
223,Familie::N,ғаилә,عائلة
224,Großvater::N,олатай,جد
225,Großmutter::N,әбәй,جدة
226,Eltern::N,ата-әсә,أبوان
227,Eltern::N,ата-әсә,والدان
228,Vater::N,атай,أب
229,Mutter::N,әсә,أم
230,Sohn::N,ул,إبن
231,Tochter::N,ҡыҙ,بنت
232,Tochter::N,ҡыҙ,إبنة
233,Bruder::N,агай,أخ
234,Bruder::N,агай,شقيق
235,Schwester::N,алай,أخت
236,Schwester::N,һеңле,أخت
237,Onkel::N,ағай,عم
238,Tante::N,апай,عمة
239,Ehemann::N,ир,زوج
240,Ehefrau::N,ҡатын,زوجة
241,Freude::N,шатлыҡ,فرح
242,Freude::N,шатлыҡ,سرور
243,Freude::N,ҡыуаныс,فرح
244,Freude::N,ҡыуаныс,سرور
245,Gelächter::N,көлөү,قهقهة
246,Glück::N,бәхет,سعادة
247,Kummer::N,ҡайғы,غم
248,Wunsch::N,теләк,منية
249,Lust::N,әүәҫлек,شهوة
250,Geist::N,аң,روح
251,Geist::N,рух,روح
252,Gedanke::N,уй,فكرة
253,Gedanke::N,фекер,فكرة
254,Gedächtnis::N,хәтер,ذاكرة
255,Verstand::N,аҡыл,عقل
256,Sinn::N,мәғәня,معنى
257,Grund::N,сәбәп,سبب
258,Wahrheit::N,дөрөҫлөк,حقيقة
259,Gespräch::N,әңгәмә,محادثة
260,Märchen::N,әкиәт,خرافة
261,Erzählung::N,хикәйә,قصة
262,Erzählung::N,хикәйә,حكاية
263,Nachricht::N,хәбәр,خبر
264,Neuigkeit::N,яңылыҡ,خبر جديد
265,Name::N,исем,اسم
266,Rätsel::N,йомаҡ,لغز
267,Rede::N,телмәр,خطبة
268,Sprache::N,тел,لغة
269,Sprache::N,телмәр,لغة
270,Stimme::N,тауыш,صوت
271,Wort::N,һүҙ,كلمة
272,Zeichen::N,билдә,رمز
273,Zeichen::N,билдә,إشارة
274,Ruf::N,саҡырыу,نداء
275,Lärm::N,шаулау,صخب
276,Lärm::N,шаулау,ضجة
277,Laut::N,тауыш,صوت
278,Ton::N,яңғырау,نغمة
279,Lied::N,йыр,أغنية
280,Ruhe::N,ял,هدوء
281,Ruhe::N,тыныслыҡ,هدوء
282,Leute::N,кешеләр,ناس
283,Volk::N,халҡ,شعب
284,Arbeit::N,эш,عمل
285,Gast::N,ҡунаҡ,ضيف
286,Geschenk::N,бүләк,هدية
287,Spiel::N,уйын,لعب
288,Gesellschaft::N,йәмғиәт,صحبة
289,Hilfe::N,ярҙам,عون
290,Hilfe::N,ярҙам,مساعدة
291,Freund::N,дуҫ,صديق
292,Kamerad::N,иптәш,زميل
293,Angelegenheit::N,әш,أمر
294,Angelegenheit::N,әш,شأن
295,Anzahl::N,һан,عدد
296,Art::N,төр,نوع
297,Stück::N,киҫәк,قطعة
298,Teil::N,өлөш,قسم
299,Hälfte::N,ярты,نصف
300,Kreis::N,түңәрәк,دائرة
301,Kreuz::N,тәре,صليب
302,Linie::N,һыҙыҡ,خط
303,Strich::N,һыҙат,شرطة
304,Abstand::N,ара,مسافة
305,Entfernung::N,алыҫлыҡ,بعد
306,Gegend::N,урын,ناحية
307,Platz::N,арауыҡ,فراغ
308,Ort::N,ерҙәр,مكان
309,Ort::N,урындар,مكان
310,Ort::N,эш урыны,مكان
311,Seite::N,яҡ,جانب
312,Mitte::N,урталыҡ,وسط
313,Gegenstand::N,нәмә,موضوع
314,Sache::N,нәмә,شيء
315,Sache::N,әйбер,شيء
316,Rand::N,сит,حافة
317,Kante::N,ҡабырға,حافة
318,Kante::N,ян,حافة
319,Ecke::N,мөйөш,ركن
320,Spitze::N,ос,سن
321,Ende::N,аҙаҡ,طرف
322,Loch::N,тишек,ثقب
323,Winkel::N,мөйөш,زاوية
324,Muster::N,биҙәк,عينة
325,Größe::N,ҙурлыҡ,حجم
326,Länge::N,оҙонлоҡ,طول
327,Höhe::N,бейеклек,علو
328,Höhe::N,бейеклек,ارتفاع
329,Gewicht::N,үлсәү,وزن
330,Menge::N,һан,كمية
331,Haufen::N,өйөм,كوم
332,Reihe::N,рәт,صف
333,Boot::N,кәмә,قارب
334,Boot::N,кәмә,زورق
335,Ruder::N,ишкәк,مجذاف
336,Schlitten::N,сана,مزلقة
337,Ski::N,саңгы,زلاجة
338,Lagerfeuer::N,костер,نار المخيم
339,Last::N,ауырлыҡ,حمل
340,Gang::N,барыу,مشية
341,Schritt::N,аҙым,خطوة
342,Norden::N,төньяҡ,شمال
343,Süden::N,көньяҡ,جنوب
344,Westen::N,көнбайыш,غرب
345,Osten::N,көнсығыш,شرق
346,Holz::N,үағас,خشب
347,Brett::N,таҡта,لوح
348,Platte::N,плита,صفيحة
349,Stütze::N,терәк,سند
350,Stütze::N,терәк,دعامة
351,Stange::N,кәртә,عود
352,Stock::N,таяҡ,عصا
353,Stab::N,ҡолға,قضيب
354,Rohr::N,торба,أنبوبة
355,Haus::N,өй,دار
356,Haus::N,өй,بيت
357,Haus::N,йорт,دار
358,Haus::N,йорт,بيت
359,Heim::N,өй,بيت
360,Heim::N,өй,مسكن
361,Ofen::N,мейес,مدفأة
362,Fußboden::N,енес,أرضية
363,Tisch::N,өҫтәл,مائدة
364,Stuhl::N,ултырғыс,كرسي
365,Wiege::N,бишек,مهد
366,Bett::N,карауат,سرير
367,Regal::N,кәштә,رف
368,Kiste::N,йәшинк,صندوق
369,Fenster::N,тәҙрә,شباك
370,Fenster::N,тәҙрә,نافذة
371,Tür::N,ишек,باب
372,Tor::N,ҡапҡа,بوابة
373,Zaun::N,ҡойма,سياج
374,Dach::N,түбә,سطح
375,Dach::N,ҡыйыҡ,سطح
376,Leiter::N,баҫҡыс,سلم
377,Besen::N,һепертке,مكنسة
378,Spaten::N,көрәк,مسحاة
379,Schaufel::N,көрәк,مجرفة
380,Gabel::N,сәнске,شوكة
381,Löffel::N,ҡалаҡ,ملعقة
382,Messer::N,бысаҡ,سكين
383,Nagel::N,сөй,مسمار
384,Netz::N,ау,شبكة
385,Haken::N,ыргаҡ,خطاف
386,Haken::N,ыргаҡ,صنارة
387,Griff::N,тотҡа,قبضة
388,Schloss::N,йоҙаҡ,قفل
389,Bild::N,картина,صورة
390,Figur::N,һын,تمثال
391,Puppe::N,ҡурсаҡ,دمية
392,Beutel::N,тоҡ,كيس
393,Bündel::N,төргәк,ربطة
394,Tasche::N,сумка,شنطة
395,Tasche::N,сумка,محفظة
396,Eimer::N,биҙрә,سطل
397,Eimer::N,биҙрә,جردل
398,Deckel::N,ҡапҡас,سداد
399,Geschirr::N,һауыт-һаба,أوان
400,Sack::N,тоҡ,زكيبة
401,Tasse::N,сынаяҡ,فنجان
402,Topf::N,кәстрүл,قدر
403,Topf::N,кәстрүл,طنجرة
404,Kessel::N,ҡаҙан,قدر
405,Kessel::N,ҡаҙан,غلاية
406,Essen::N,ашау,طعام
407,Nahrung::N,аҙыҡ,غذاء
408,Speise::N,аш,أكل
409,Fleisch::N,ит,لحم
410,Getreide::N,иген,حبوب
411,Getreide::N,ашлыҡ,حبوب
412,Brei::N,бутҡа,عصيدة
413,Brot::N,икмәк,خبز
414,Scheibe::N,телем,شريحة
415,Fett::N,май,سمن
416,Butter::N,май,زبدة
417,Öl::N,май буяуы,زيت
418,Salz::N,тоҙ,ملح
419,Suppe::N,һурпа,حساء
420,Suppe::N,һурпа,شربة
421,Honig::N,бал,عسل
422,Milch::N,һөт,حليب
423,Tee::N,сәй,شاي
424,Leder::N,күн,جلد
425,Wolle::N,йөн,صوف
426,Stoff::N,туҡыма,قماش
427,Nadel::N,энә,إبرة
428,Faden::N,еп,خيط
429,Knopf::N,төймә,زر
430,Knoten::N,төйөн,عقدة
431,Farbe::N,буяу,صبغة
432,Kleidung::N,кейем,ملابس
433,Hemd::N,күлдәк,قميص
434,Kragen::N,яға,ياقة
435,Ärmel::N,ең,كم
436,Hose::N,салбар,سروال
437,Hose::N,салбар,بنطلون
438,Gürtel::N,ҡайыш,حزام
439,Mütze::N,бүрк,طاقية
440,Schuh::N,туфли,حذاء
441,Stiefel::N,итек,جزمة
442,Stiefel::N,итек,حذاء طويل
443,Ring::N,йөҙөк,حلقة
444,Ring::N,балдаҡ,حلقة
445,Band::N,таҫма,شريط
446,Kamm::N,тараҡ,مشط
447,Spiegel::N,көзгө,مرآة
448,Riemen::N,ҡайыш,سير
449,Schnur::N,бау,حبل
450,Schnur::N,бау,دوبارة
451,Leine::N,бау,قيد
452,Decke::N,одеяд,بطانية
453,Kissen::N,мендәр,وسادة
454,Tuch::N,яулыҡ,منديل
455,Handtuch::N,таҫтамал,فوطة
456,Handtuch::N,таҫтамал,منشفة
457,Kraft::N,көс,قدرة
458,Stärke::N,көс,قوة
459,Gesundheit::N,һаулыҡ,صحة
460,Krankheit::N,сир,مرض
461,Krankheit::N,ауырыу,مرض
462,Schmerz::N,һыҙлау,ألم
463,Schmerz::N,һыҙлау,وجع
464,Schmerz::N,әрнеү,ألم
