,Concept_ID,te,fr
0,Auge::N,కన్ను,œil
1,Ohr::N,చెవి,oreille
2,Nase::N,ముక్కు,nez
3,Mund::N,నోరు,bouche
4,Zahn::N,పల్లు,dent
5,Zunge::N,నాలుక,langue
6,Lippe::N,పెదవి,lèvre
7,Wange::N,చెంప,joue
8,Gesicht::N,ముఖము,face
9,Gesicht::N,ముఖము,visage
10,Stirn::N,నుదురు,front
11,Haar::N,వెండ్రుక,cheveu
12,Schnurrbart::N,మీసము,moustache
13,Bart::N,గడ్డము,barbe
14,Kinn::N,గడ్డము,menton
15,Kiefer[Anatomie]::N,దౌడ,mâchoire
16,Kehle::N,గొంతు,gorge
17,Hals::N,మెడ,cou
18,Genick::N,మూపు,nuque
19,Kopf::N,తల,tête
20,Rücken::N,వెన్ను,dos
21,Bauch::N,కడుపు,ventre
22,Nabel::N,బొడ్డు,nombril
23,Busen::N,స్తనము,sein
24,Brust::N,ఱొమ్ము,poitrine
25,Schulter::N,భుజము,épaule
26,Arm::N,చేయి,bras
27,Ellenbogen::N,మోచేయి,coude
28,Hand::N,చేయి,main
29,Handfläche::N,అరచేయు,paume
30,Finger::N,చేతిప్రేలు,doigt
31,Fingernagel::N,గోరు,ongle
32,Nagel[Anatomie]::N,గోరు,ongle
33,Zeh::N,కాలిప్రేలు,orteil
34,Zeh::N,కాలిప్రేలు,doigt de pied
35,Fuß::N,అడుగు,pied
36,Ferse::N,మడమ,talon
37,Knie::N,మోకాలు,genou
38,Oberschenkel::N,తొడ,cuisse
39,Bein::N,కాలు,jambe
40,Körper::N,కాయము,corps
41,Haut::N,చర్మము,peau
42,Blut::N,రక్తము,sang
43,Ader::N,సిర,veine
44,Sehne::N,స్నాయువు,tendon
45,Knochen::N,ఎముక,os
46,Gehirn::N,మెదడు,cerveau
47,Herz::N,హృదయము,cœur
48,Magen::N,కడుపు,estomac
49,Leber::N,కాలేయము,foie
50,Atem::N,ఉపిరి,haleine
51,Hunger::N,ఆకలి,faim
52,Träne::N,కన్నీటిచుక్క,larme
53,Geschmack::N,రుచి,goût
54,Geschmack::N,రుచి,saveur
55,Geruch::N,వాసన,odeur
56,Schlaf::N,నిద్ర,sommeil
57,Traum::N,కల,songe
58,Himmel::N,ఆకాశము,ciel
59,Sonne::N,సూర్యుడు,soleil
60,Mond::N,చంద్రుడు,lune
61,Stern::N,నక్షత్రము,étoile
62,Luft::N,గాలి,air
63,Wind::N,వీచుచున్నగాలి,vent
64,Welle::N,అల,vague
65,Wasser::N,నీరు,eau
66,Stein::N,ఱాయి,pierre
67,Boden::N,నేల,sol
68,Boden::N,నేల,terrain
69,Erde::N,మన్ను,terre
70,Staub::N,దుమ్ము,poussière
71,Rauch::N,పొగ,fumée
72,Funke::N,అగ్నికణము,étincelle
73,Feuer::N,అగ్ని,feu
74,Licht::N,కాంతి,lumière
75,Schatten::N,నీడ,ombre
76,Wetter::N,వాతావరణ స్థితి,temps
77,Nebel::N,పొగమంచు,brume
78,Nebel::N,పొగమంచు,brouillard
79,Wolke::N,మేఘము,nuage
80,Regen::N,వాన,pluie
81,Schnee::N,హిమము,neige
82,Eis::N,మంచుగడ్డ,glace
83,Frost::N,పేరిన మంచు,gel
84,Frost::N,పేరిన మంచు,gelée
85,Kälte::N,చలి,froid
86,Hitze::N,వేడిమి,chaleur
87,Raureif::N,మంచు,givre
88,Regenbogen::N,ఇంద్రధనుస్సు,arc-en-ciel
89,Donner::N,ఉరుము,tonnerre
90,Strömung::N,ప్రవాహము,courant
91,Tropfen::N,చుక్క,goutte
92,Schaum::N,నురుగు,écume
93,Schaum::N,నురుగు,mousse
94,Schmutz::N,మైల,boue
95,Schmutz::N,మైల,saleté
96,See::N,సరస్సు,lac
97,Sumpf::N,చిత్తడినేల,marais
98,Sumpf::N,చిత్తడినేల,marécage
99,Moor::N,చిత్తడినేల,tourbière
100,Wiese::N,పచ్చిక బయలు,pré
101,Wald::N,అడవి,bois
102,Wald::N,అడవి,forêt
103,Hügel::N,చివ్నకొండ,coteau
104,Hügel::N,చివ్నకొండ,colline
105,Anhöhe::N,కొండ,éminence
106,Anhöhe::N,కొండ,élévation
107,Berg::N,పర్వతము,mont
108,Berg::N,పర్వతము,montagne
109,Gipfel::N,శిఖరము,cime
110,Gipfel::N,శిఖరము,sommet
111,Höhle::N,గుహ,caverne
112,Abhang::N,ఏటవాలు,pente
113,Abhang::N,ఏటవాలు,versant
114,Quelle::N,మూలము,source
115,Quelle::N,మూలము,fontaine
116,Bach::N,కాలువ,ruisseau
117,Fluss::N,నది,fleuve
118,Fluss::N,నది,rivière
119,Ufer::N,తీరము,bord
120,Ufer::N,తీరము,rivage
121,Küste::N,తీరము,côte
122,Festland::N,భూమి,terre ferme
123,Meer::N,సముద్రము,mer
124,Bucht::N,మరుగు,baie
125,Insel::N,దీవి,île
126,Blume::N,పుష్పము,fleur
127,Gras::N,పచ్చగడ్డి,herbe
128,Wurzel::N,వేరు,racine
129,Baum::N,చెట్టు,arbre
130,Stamm::N,చెట్టుబోదె,tronc
131,Rinde::N,చెట్టుపట్ట,écorce
132,Ast::N,కొమ్మ,branche
133,Zweig::N,చివుకు,rameau
134,Blatt::N,ఆకు,feuille
135,Birke::N,తరహా చెట్టు,bouleau
136,Kiefer[Baum]::N,దేవదారు చెట్టు,pin
137,Weide[Baum]::N,జాతిచెట్టు,saule
138,Tanne::N,దేవదారుచెట్టు,sapin
139,Horn::N,కొమ్ము,corne
140,Feder::N,ఈక,plume
141,Fell::N,తోలు,peau
142,Flügel::N,ఱెక్క,aile
143,Klaue::N,వంకరగోరు,serre
144,Kralle::N,వంకరగోరు,ongle
145,Kralle::N,వంకరగోరు,griffe
146,Schwanz::N,తోక,queue
147,Ei::N,గ్రుడ్డు,œuf
148,Nest::N,పక్షిగూడు,nid
149,Bau::N,గుహ,terrier
