,Concept_ID,lt,sq
0,Auge::N,akis,sy
1,Ohr::N,ausis,vesh
2,Nase::N,nosis,hundë
3,Mund::N,burna,gojë
4,Zahn::N,dantis,dhëmb
5,Zunge::N,liežuvis,gjuhë
6,Lippe::N,lūpa,buzë
7,Wange::N,žandas,faqe
8,Wange::N,žandas,mollëz
9,Wange::N,skruostas,faqe
10,Wange::N,skruostas,mollëz
11,Gesicht::N,veidas,fytyrë
12,Stirn::N,kakta,ballë
13,Haar::N,plaukai,flokë
14,Schnurrbart::N,ūsai,mustaqe
15,Bart::N,barzda,mjekër
16,Kinn::N,smakras,mjekër
17,Kiefer[Anatomie]::N,žandikaulis,nofull
18,Kehle::N,gerklė,fyt
19,Kehle::N,gerklė,grykë
20,Hals::N,kaklas,qafë
21,Genick::N,sprandas,arrëz
22,Kopf::N,galva,kokë
23,Rücken::N,nugara,kurriz
24,Bauch::N,pilvas,bark
25,Nabel::N,bamba,kërthizë
26,Busen::N,krūtinė,gji
27,Brust::N,krūtis,gjoks
28,Brust::N,krūtis,kraharor
29,Schulter::N,petys,sup
30,Schulter::N,petys,krah
31,Arm::N,ranka,krah
32,Ellenbogen::N,alkūnė,bërryl
33,Hand::N,ranka,dorë
34,Hand::N,plaštaka,dorë
35,Handfläche::N,delnas,pëllëmbë
36,Handfläche::N,plaštaka,pëllëmbë
37,Finger::N,pirštas,gisht
38,Fingernagel::N,nagas,thua
39,Nagel[Anatomie]::N,nagas,thua
40,Zeh::N,pirštas,gisht i këmbës
41,Fuß::N,pėda,këmbë
42,Ferse::N,kulnas,thembër
43,Knie::N,kelis,gju
44,Oberschenkel::N,kulšis,kofshë
45,Oberschenkel::N,šlaunis,kofshë
46,Bein::N,koja,këmbë
47,Körper::N,kūnas,trup
48,Haut::N,oda,lëkurë
49,Blut::N,kraujas,gjak
50,Ader::N,kraujagyslė,venë
51,Sehne::N,sausgyslė,dell
52,Knochen::N,kaulas,asht
53,Knochen::N,kaulas,kockë
54,Gehirn::N,smegenys,tru
55,Herz::N,širdis,zemër
56,Magen::N,skrandis,stomak
57,Leber::N,kepenys,mëlçi
58,Atem::N,kvapas,frymë
59,Hunger::N,badas,uri
60,Hunger::N,alkis,uri
61,Träne::N,ašara,lot
62,Geschmack::N,skonis,shije
63,Geruch::N,kvapas,erë
64,Schlaf::N,miegas,gjumë
65,Traum::N,sapnas,ëndërr
66,Himmel::N,dangus,qiell
67,Sonne::N,saulė,diell
68,Mond::N,mėnulis,hënë
69,Stern::N,žvaigždė,yll
70,Luft::N,oras,ajër
71,Wind::N,vėjas,erë
72,Welle::N,banga,valë
73,Welle::N,banga,dallgë
74,Welle::N,vilnis,valë
75,Welle::N,vilnis,dallgë
76,Wasser::N,vanduo,ujë
77,Stein::N,akmuo,gur
78,Boden::N,žemė,tokë
79,Boden::N,žemė,truall
80,Boden::N,dugnas,tokë
81,Boden::N,dugnas,truall
82,Erde::N,žemė,dhe
83,Erde::N,žemė,baltë
84,Staub::N,dulkės,pluhur
85,Rauch::N,dūmai,tym
86,Funke::N,kibirkštis,xixë
87,Funke::N,kibirkštis,shkëndijë
88,Feuer::N,ugnis,zjarr
89,Licht::N,šviesa,dritë
90,Schatten::N,paūksmė,hije
91,Wetter::N,oras,mot
92,Nebel::N,migla,mjegull
93,Nebel::N,rūkas,mjegull
94,Wolke::N,debesis,re
95,Regen::N,lietus,shi
96,Schnee::N,sniegas,borë
97,Eis::N,ledas,akull
98,Frost::N,šalna,ngricë
99,Kälte::N,šaltis,të ftohtë
100,Hitze::N,karštis,vapë
101,Hitze::N,karštis,nxehtësi
102,Raureif::N,šerkšnas,cikmë
103,Regenbogen::N,vaivorykštė,ylber
104,Donner::N,perkūnas,gjëmim
105,Donner::N,perkūnas,bubullimë
106,Donner::N,griaustinis,gjëmim
107,Donner::N,griaustinis,bubullimë
108,Strömung::N,tėkmė,rrymë
109,Tropfen::N,lašas,pikë
110,Schaum::N,putos,shkumë
111,Schmutz::N,purvas,baltë
112,See::N,ežeras,liqen
113,Sumpf::N,klampynė,batak
114,Sumpf::N,liūnas,batak
115,Moor::N,pelkė,kënetë
116,Wiese::N,pieva,livadh
117,Wald::N,miškas,pyll
118,Hügel::N,kalva,kodër
119,Anhöhe::N,kauburys,bregore
120,Berg::N,kalnas,mal
121,Gipfel::N,viršūnė,kulm
122,Höhle::N,ola,shpellë
123,Höhle::N,ola,zgafelle
124,Abhang::N,šlaitas,shpat
125,Abhang::N,šlaitas,tatëpjetë
126,Abhang::N,nuokalnė,shpat
127,Abhang::N,nuokalnė,tatëpjetë
128,Quelle::N,versmė,krua
129,Quelle::N,versmė,burim
130,Quelle::N,šaltinis,krua
131,Quelle::N,šaltinis,burim
132,Bach::N,upelis,virua
133,Fluss::N,upė,lumë
134,Ufer::N,krantas,breg
135,Küste::N,pajūris,anëdet
136,Küste::N,pajūris,bregdet
