,Concept_ID,kv,ko
0,Auge::N,син,눈
1,Ohr::N,пель,귀
2,Nase::N,ныр,코
3,Mund::N,ӧм,입
4,Zahn::N,пинь,이
5,Zunge::N,кыв,혀
6,Lippe::N,тырп,입술
7,Wange::N,рожабан,뺨
8,Gesicht::N,бан,얼굴
9,Stirn::N,кымӧс,이마
10,Haar::N,юрси,털
11,Schnurrbart::N,уссэз,윗수몀
12,Schnurrbart::N,уссэз,코밑수염
13,Bart::N,тош,수엄
14,Kinn::N,тшӧка,아래턱
15,Kiefer[Anatomie]::N,ан,턱
16,Kehle::N,юан,인후
17,Hals::N,юан,목
18,Genick::N,юр бӧр,먹덜이
19,Kopf::N,юр,머리
20,Rücken::N,мышк,든
21,Bauch::N,кынӧм,배
22,Nabel::N,гӧг,배꼽
23,Busen::N,морос,가슴속
24,Brust::N,морос,가슴
25,Schulter::N,пельпон,어깨
26,Arm::N,ки,팔
27,Ellenbogen::N,гырдзза,팔쿰치
28,Hand::N,кикар,손
29,Handfläche::N,ки пыдӧс,손바닥
30,Finger::N,чунь,속가락
31,Fingernagel::N,гыж,손톱
32,Nagel[Anatomie]::N,гыж,손톱
33,Zeh::N,чунь,발가락
34,Fuß::N,кокпыдӧс,발
35,Ferse::N,кокдзир,발꿈치
36,Knie::N,пидзӧс,무릎
37,Oberschenkel::N,лядьбей,허벅다리
38,Bein::N,кок,다리
39,Körper::N,вывтыр,구간
40,Haut::N,кучик,살갗
41,Blut::N,вир,피
42,Ader::N,сӧн,정맥
43,Sehne::N,жила,현
44,Knochen::N,коска,뼈
45,Gehirn::N,вем,뇌
46,Gehirn::N,вем,뇌수
47,Herz::N,сьӧлӧм,염통
48,Magen::N,жӧвдӧк,위
49,Leber::N,мус,간
50,Atem::N,лолалӧм,기식
51,Hunger::N,тшыг,공복
52,Träne::N,синва,눈물
53,Geschmack::N,кӧр,기호
54,Geruch::N,дук,냄새
55,Schlaf::N,он,수면
56,Traum::N,вӧт,쿰
57,Himmel::N,небо,하늘
58,Sonne::N,шондi,해
59,Mond::N,тӧлiсь,달
60,Stern::N,кӧдзыв,별
61,Luft::N,ру,동준
62,Luft::N,ру,가스채
63,Wind::N,тӧв,바람
64,Welle::N,гы,물결
65,Wasser::N,ва,물
66,Stein::N,из,돌
67,Boden::N,му,바닥
68,Erde::N,му,흙
69,Staub::N,бус,먼지
70,Rauch::N,тшын,연기
71,Funke::N,бичир,불티
72,Feuer::N,би,불
73,Licht::N,би,불
74,Schatten::N,вуджӧр,어스레함
75,Wetter::N,погоддя,기상
76,Nebel::N,туман,안개
77,Wolke::N,кымӧр,구름
78,Regen::N,зэр,비
79,Schnee::N,лым,눈
80,Eis::N,йы,얼음
81,Frost::N,мороз,혹한
82,Kälte::N,кӧдзыт,추위
83,Kälte::N,кӧдзыт,차가움
84,Hitze::N,ӧд,고온
85,Hitze::N,ӧд,더위
86,Raureif::N,кижа,
87,Regenbogen::N,енӧшка,무지개
88,Donner::N,гым,뇌명
89,Strömung::N,визывтӧм,유동
90,Tropfen::N,тёп,물방울
91,Schaum::N,быг,포말
92,Schmutz::N,нять,때
93,See::N,ты,호수
94,Sumpf::N,арай,습지
95,Moor::N,нюр,저습지
96,Wiese::N,видз,목초지
97,Wald::N,вӧр,숲
98,Hügel::N,мыльк,언덕
99,Anhöhe::N,вывтас,언덕
100,Anhöhe::N,вылынін,언덕
101,Berg::N,керӧс,산
102,Gipfel::N,йыв,졀졍
103,Höhle::N,нора,공동
104,Abhang::N,покат,몰매
105,Quelle::N,больган,근원
106,Bach::N,шор,내
107,Fluss::N,ю,강
108,Ufer::N,берег,강변
109,Ufer::N,берег,바닷가
110,Küste::N,берег,해변
111,Küste::N,берег,해변가
112,Festland::N,му,본토
113,Meer::N,море,바다
114,Bucht::N,курья,협만
115,Blume::N,цветок,꽃
116,Gras::N,турун,풀
117,Wurzel::N,вуж,뿌리
118,Baum::N,пу,나무
119,Stamm::N,мыр,대
120,Stamm::N,кер,대
121,Rinde::N,кач,나무껍질
122,Ast::N,ув,가지
123,Zweig::N,ув,가지
124,Blatt::N,лист,잎
125,Birke::N,кыдз,자작나무
126,Kiefer[Baum]::N,пожум,소나무
127,Weide[Baum]::N,бадь,쉬양버들
128,Tanne::N,кӧз,전나무
129,Horn::N,сюр,뿔
130,Feder::N,гӧн,깃털
131,Fell::N,кучик,피혁모피
132,Flügel::N,борд,날개
133,Klaue::N,гыж,갈고리 발톺
134,Kralle::N,кабыр,발툭
135,Schwanz::N,бӧж,꼬리
136,Ei::N,кольть,알
137,Nest::N,поз,보금자리
138,Bau::N,осьта,굴
139,Bau::N,нора,굴
140,Tier::N,зверь,짐승
141,Herde::N,гурт,가축의떼
142,Kuh::N,мӧс,암소
143,Bulle::N,ӧшка,황소
144,Pferd::N,вӧв,말
145,Schaf::N,баля,양
146,Schwein::N,порсь,돼지
147,Hund::N,пон,개
148,Katze::N,кань,고양이
149,Bär::N,ош,콤
150,Eichhörnchen::N,ур,다람쥐
151,Elch::N,вӧр мӧс,고라니
152,Fuchs::N,руч,여우
153,Hase::N,кӧч,토끼
154,Maus::N,шыр,쥐
155,Wolf::N,кӧин,늑대
156,Vogel::N,кай,새
157,Schwarm::N,стая,뗴
158,Schwarm::N,чукӧр,뗴
159,Huhn::N,курӧг,암탉
160,Hahn::N,петух,수탉
161,Hahn::N,ай курӧг,수탉
162,Gans::N,дзодзог,거위
