,Concept_ID,mn,sq
0,Auge::N,нүд,sy
1,Ohr::N,чих,vesh
2,Nase::N,хамар,hundë
3,Mund::N,ам,gojë
4,Zahn::N,шүд,dhëmb
5,Zunge::N,хэл,gjuhë
6,Lippe::N,уруул,buzë
7,Wange::N,хацар,faqe
8,Wange::N,хацар,mollëz
9,Gesicht::N,царай,fytyrë
10,Gesicht::N,нүүр,fytyrë
11,Stirn::N,дух,ballë
12,Haar::N,үс,flokë
13,Schnurrbart::N,дээд сахал,mustaqe
14,Schnurrbart::N,живэр сахал,mustaqe
15,Bart::N,сахал,mjekër
16,Kinn::N,эрүү,mjekër
17,Kiefer[Anatomie]::N,эрүү,nofull
18,Kehle::N,хоолой,fyt
19,Kehle::N,хоолой,grykë
20,Hals::N,хүзүү,qafë
21,Genick::N,шил,arrëz
22,Genick::N,хүзүү,arrëz
23,Kopf::N,толгой,kokë
24,Rücken::N,ар,kurriz
25,Rücken::N,нуруу,kurriz
26,Bauch::N,хэвлий,bark
27,Bauch::N,гэдэс,bark
28,Nabel::N,хүйс,kërthizë
29,Busen::N,хөх,gji
30,Brust::N,цээж,gjoks
31,Brust::N,цээж,kraharor
32,Schulter::N,мөр,sup
33,Schulter::N,мөр,krah
34,Schulter::N,бугалга,sup
35,Schulter::N,бугалга,krah
36,Arm::N,гар,krah
37,Ellenbogen::N,тохой,bërryl
38,Hand::N,гар,dorë
39,Hand::N,алга,dorë
40,Handfläche::N,алга,pëllëmbë
41,Finger::N,хуруу,gisht
42,Fingernagel::N,хурууны хумс,thua
43,Nagel[Anatomie]::N,хумс,thua
44,Zeh::N,хуруу,gisht i këmbës
45,Fuß::N,хөл,këmbë
46,Ferse::N,өсгий,thembër
47,Knie::N,өвдөг,gju
48,Oberschenkel::N,гуя,kofshë
49,Bein::N,хөл,këmbë
50,Körper::N,бие,trup
51,Haut::N,арьс,lëkurë
52,Blut::N,цус,gjak
53,Ader::N,судас,venë
54,Sehne::N,бүлх,dell
55,Sehne::N,шандас,dell
56,Knochen::N,яс,asht
57,Knochen::N,яс,kockë
58,Gehirn::N,тархи,tru
59,Herz::N,зүрх,zemër
60,Magen::N,ходоод,stomak
61,Leber::N,элэг,mëlçi
62,Atem::N,амьсгаа,frymë
63,Hunger::N,өлсгөлөн,uri
64,Träne::N,нулимс,lot
65,Geschmack::N,амт,shije
66,Geruch::N,үнэр,erë
67,Schlaf::N,нойр,gjumë
68,Traum::N,зүүд,ëndërr
69,Himmel::N,тэнгэр,qiell
70,Himmel::N,огторгуй,qiell
71,Sonne::N,нар,diell
72,Mond::N,сар,hënë
73,Stern::N,од,yll
74,Luft::N,агаар,ajër
75,Wind::N,салхи,erë
76,Welle::N,долгио,valë
77,Welle::N,долгио,dallgë
78,Welle::N,давалгаа,valë
79,Welle::N,давалгаа,dallgë
80,Wasser::N,ус,ujë
81,Stein::N,чулуу,gur
82,Boden::N,хөрс,tokë
83,Boden::N,хөрс,truall
84,Erde::N,газар,dhe
85,Erde::N,газар,baltë
86,Erde::N,шороо,dhe
87,Erde::N,шороо,baltë
88,Staub::N,тоос,pluhur
89,Rauch::N,утаа,tym
90,Funke::N,оч,xixë
91,Funke::N,оч,shkëndijë
92,Feuer::N,гал,zjarr
93,Licht::N,гэрэл,dritë
94,Licht::N,гэгээ,dritë
95,Schatten::N,сүүдэр,hije
96,Wetter::N,тэнгэр,mot
97,Wetter::N,цаг уур,mot
98,Nebel::N,будан,mjegull
99,Wolke::N,үүл,re
100,Regen::N,бороо,shi
101,Schnee::N,цас,borë
102,Eis::N,мөс,akull
103,Frost::N,хүйт,ngricë
104,Kälte::N,хүйт,të ftohtë
105,Hitze::N,халуун,vapë
106,Hitze::N,халуун,nxehtësi
107,Raureif::N,цан,cikmë
108,Raureif::N,хяруу,cikmë
109,Regenbogen::N,солонго,ylber
110,Donner::N,тэнгэрийн дуу,gjëmim
111,Donner::N,тэнгэрийн дуу,bubullimë
112,Strömung::N,урсгал,rrymë
113,Tropfen::N,дусал,pikë
114,Schaum::N,хөөс,shkumë
115,Schmutz::N,хир,baltë
116,Schmutz::N,шавхай,baltë
117,See::N,нуур,liqen
118,Sumpf::N,намаг,batak
119,Sumpf::N,балчиг,batak
120,Moor::N,хүлрийн намаг,kënetë
121,Wiese::N,нуга,livadh
122,Wald::N,ой,pyll
123,Hügel::N,болдог,kodër
124,Anhöhe::N,гүвээ,bregore
125,Berg::N,уул,mal
126,Gipfel::N,орой,kulm
127,Gipfel::N,оргил,kulm
128,Höhle::N,агуй,shpellë
129,Höhle::N,агуй,zgafelle
130,Abhang::N,хүр,shpat
131,Abhang::N,хүр,tatëpjetë
132,Quelle::N,булаг,krua
133,Quelle::N,булаг,burim
134,Bach::N,горхи,virua
135,Fluss::N,гол,lumë
136,Fluss::N,мөрөн,lumë
137,Ufer::N,эрэг,breg
138,Küste::N,эрэг,anëdet
139,Küste::N,эрэг,bregdet
140,Festland::N,хуурай газар,kontinent
141,Meer::N,далай,det
142,Meer::N,тэнгис,det
143,Bucht::N,булан,gji deti
144,Bucht::N,далайн тохой,gji deti
145,Insel::N,арал,ishull
146,Insel::N,арал,ujdhesë
147,Blume::N,цэцэг,lule
148,Gras::N,өвс,bar
149,Gras::N,ногоо,bar
150,Wurzel::N,үндэс,rrënjë
151,Baum::N,мод,pemë
152,Stamm::N,иш,trung
153,Stamm::N,гуалин,trung
