,Concept_ID,sl,ja
0,Auge::N,okó,目
1,Ohr::N,uhó,耳
2,Nase::N,nós,鼻
3,Mund::N,ústa,口
4,Zahn::N,zób,歯
5,Zunge::N,jêzik,舌
6,Lippe::N,ústnica,唇
7,Wange::N,líce,頬
8,Gesicht::N,oblíčje,顔
9,Stirn::N,čêlo,額
10,Haar::N,lás,髪
11,Schnurrbart::N,bŕki,口髭
12,Bart::N,bráda,髭
13,Kinn::N,bráda,顎
14,Kiefer[Anatomie]::N,čeljúst,顎
15,Kehle::N,gŕlo,喉
16,Hals::N,vrát,首
17,Genick::N,zatílnik,首
18,Kopf::N,gláva,頭
19,Rücken::N,hrbèt,背中
20,Bauch::N,trébuh,腹
21,Bauch::N,trébuh,お腹
22,Nabel::N,pópek,へそ
23,Busen::N,nédrja,乳房
24,Brust::N,pŕsi,胸
25,Schulter::N,ráma,肩
26,Schulter::N,plêče,肩
27,Arm::N,rôka,腕
28,Ellenbogen::N,komólec,肘
29,Hand::N,rôka,手
30,Handfläche::N,dlán,手のひら
31,Finger::N,pŕst,指
32,Fingernagel::N,nóht na rôki,爪
33,Nagel[Anatomie]::N,nóht,爪
34,Zeh::N,pŕst na nôgi,足の指
35,Fuß::N,nôga,足
36,Ferse::N,pêta,かかと
37,Knie::N,koléno,膝
38,Oberschenkel::N,stêgno,上腿
39,Bein::N,nôga,足
40,Körper::N,teló,体
41,Haut::N,kóža,皮膚
42,Blut::N,krí,血
43,Ader::N,žíla,血管
44,Sehne::N,kíta,腱
45,Knochen::N,kóst,骨
46,Gehirn::N,možgáni,脳
47,Herz::N,srcé,心
48,Herz::N,srcé,心臓
49,Magen::N,želódec,胃
50,Leber::N,jétra,肝臓
51,Atem::N,díh,息
52,Atem::N,díh,呼吸
53,Hunger::N,glád,空腹
54,Träne::N,sólza,涙
55,Geschmack::N,okús,味
56,Geruch::N,vónj,匂い
57,Schlaf::N,sèn,睡眠
58,Schlaf::N,spánec,睡眠
59,Traum::N,sánje,夢
60,Himmel::N,nebó,空
61,Sonne::N,sónce,太陽
62,Mond::N,lúna,月
63,Mond::N,mésec,月
64,Stern::N,zvézda,星
65,Luft::N,zràk,空気
66,Wind::N,véter,風
67,Welle::N,vál,波
68,Wasser::N,vôda,水
69,Stein::N,kámen,石
70,Boden::N,tlà,土地
71,Erde::N,pŕst,土
72,Erde::N,zêmlja,土
73,Staub::N,práh,埃
74,Rauch::N,dìm,煙
75,Funke::N,ískra,火花
76,Feuer::N,ôgenj,火
77,Licht::N,lúč,光
78,Schatten::N,sénca,陰
79,Wetter::N,vrême,天気
80,Nebel::N,meglà,霧
81,Wolke::N,oblák,雲
82,Regen::N,dèž,雨
83,Schnee::N,snég,雪
84,Eis::N,léd,氷
85,Frost::N,zmrzál,霜
86,Kälte::N,mràz,寒さ
87,Hitze::N,pripéka,暑さ
88,Raureif::N,ívje,霧氷
89,Raureif::N,slána,霧氷
90,Regenbogen::N,mávrica,虹
91,Donner::N,gròm,雷
92,Strömung::N,strúja,流れ
93,Tropfen::N,káplja,滴
94,Schaum::N,péna,泡
95,Schmutz::N,nesnága,汚れ
96,See::N,jézero,湖
97,Sumpf::N,močvírje,沼
98,Moor::N,bárje,湿原
99,Wiese::N,trávnik,草原
100,Wald::N,lés,森
101,Wald::N,gòzd,森
102,Hügel::N,brég,丘
103,Hügel::N,goríca,丘
104,Anhöhe::N,gríč,高み
105,Anhöhe::N,višína,高み
106,Berg::N,gôra,山
107,Berg::N,planína,山
108,Gipfel::N,vŕh,頂上
109,Höhle::N,jáma,洞窟
110,Höhle::N,votlína,洞窟
111,Abhang::N,pobóčje,斜面
112,Quelle::N,izvír,泉
113,Bach::N,pôtok,小川
114,Fluss::N,réka,川
115,Ufer::N,brég,岸
116,Küste::N,obála,海岸
117,Küste::N,obréžje,海岸
118,Festland::N,celína,陸
119,Festland::N,kopnína,陸
120,Meer::N,mórje,海
121,Bucht::N,zalív,湾
122,Insel::N,ôtok,島
123,Blume::N,cvetlíca,花
124,Gras::N,tráva,草
125,Wurzel::N,korenína,根
126,Baum::N,drevó,木
127,Stamm::N,dêblo,幹
128,Rinde::N,lúbje,皮層
129,Rinde::N,skórja,皮層
130,Ast::N,véja,枝
131,Zweig::N,véja,小枝
132,Blatt::N,líst,葉
133,Birke::N,bréza,樺
134,Kiefer[Baum]::N,bòr,松
135,Weide[Baum]::N,vŕba,柳
136,Tanne::N,hója,樅
137,Horn::N,róg,角
138,Feder::N,peró,羽根
139,Fell::N,kŕzno,毛皮
140,Flügel::N,krílo,羽
141,Klaue::N,párkelj,鉤爪
142,Kralle::N,krémpelj,爪
143,Schwanz::N,rèp,尻尾
144,Ei::N,jájce,卵
145,Nest::N,gnézdo,巣
146,Bau::N,brlòg,穴
147,Tier::N,živál,動物
148,Herde::N,čréda,群れ
