,Concept_ID,el,ru
0,Auge::N,μάτι,глаз
1,Auge::N,οφθαλμός,глаз
2,Ohr::N,αυτί,ухо
3,Nase::N,μύτη,нос
4,Mund::N,στόμα,рот
5,Zahn::N,δόντι,зуб
6,Zunge::N,γλώσσα,язык
7,Lippe::N,χείλος,губа
8,Wange::N,παρειά,щека
9,Wange::N,μάγουλο,щека
10,Gesicht::N,πρόσωπο,лицо
11,Stirn::N,μέτωπο,лоб
12,Haar::N,μαλλιά,волос
13,Haar::N,μαλλιά,волосы
14,Schnurrbart::N,μουστάκι,ус
15,Schnurrbart::N,μουστάκι,усы
16,Bart::N,γένια,борода
17,Kinn::N,πιγούνι,подбородок
18,Kiefer[Anatomie]::N,σαγόνι,челюсть
19,Kehle::N,λαρύγγι,горло
20,Hals::N,λαιμός,шея
21,Genick::N,σβέρκος,затылок
22,Kopf::N,κεφάλι,голова
23,Rücken::N,ράχη,спина
24,Bauch::N,κοιλιά,живот
25,Nabel::N,αφαλός,пупок
26,Busen::N,στήθος,женская грудь
27,Brust::N,στήθος,грудь
28,Schulter::N,ώμος,плечо
29,Arm::N,χέρι,рука
30,Arm::N,μπράτςο,рука
31,Ellenbogen::N,αγκώνας,локоть
32,Hand::N,χέρι,кисть
33,Handfläche::N,παλάμη,ладонь
34,Finger::N,δάχτυλο,палец
35,Fingernagel::N,νύχι,ноготь
36,Nagel[Anatomie]::N,νύχι,ноготь
37,Zeh::N,δάχτυλο του ποδιού,палец
38,Fuß::N,πόδι,ступня
39,Ferse::N,φτέρνα,пята
40,Ferse::N,φτέρνα,пятка
41,Knie::N,γόνατο,колено
42,Oberschenkel::N,μηρός,бедро
43,Bein::N,πόδι,нога
44,Körper::N,σώμα,тело
45,Körper::N,κορμί,тело
46,Haut::N,πετσί,кожа
47,Blut::N,αίμα,кровь
48,Ader::N,φλέβα,вена
49,Ader::N,φλέβα,сосуд
50,Sehne::N,νεύρο,жила
51,Sehne::N,νεύρο,тетива
52,Sehne::N,νεύρο,сухожилие
53,Sehne::N,τένοντας,жила
54,Sehne::N,τένοντας,тетива
55,Sehne::N,τένοντας,сухожилие
56,Knochen::N,οστό,кость
57,Knochen::N,κόκκαλο,кость
58,Gehirn::N,μυαλό,мозг
59,Gehirn::N,εγκέφαλος,мозг
60,Herz::N,καρδιά,сердце
61,Magen::N,στομάχι,желудок
62,Leber::N,ήπαρ,печень
63,Leber::N,συκωτί,печень
64,Atem::N,αναπνοή,дух
65,Atem::N,αναπνοή,дыхание
66,Hunger::N,πείνα,голод
67,Träne::N,δάκρυ,слеза
68,Geschmack::N,γεύση,вкус
69,Geruch::N,οσμή,запах
70,Geruch::N,μυρωδία,запах
71,Schlaf::N,ύπνος,сон
72,Traum::N,όνειρο,сновидение
73,Himmel::N,ουρανός,небо
74,Sonne::N,ήλιος,солнце
75,Mond::N,σελήνη,луна
76,Mond::N,φεγγάρι,луна
77,Stern::N,άστρο,звезда
78,Stern::N,αστέρι,звезда
79,Luft::N,αέρας,воздух
80,Wind::N,αέρας,ветер
81,Wind::N,άνεμος,ветер
82,Welle::N,κύμα,волна
83,Wasser::N,νερό,вода
84,Stein::N,πέτρα,камень
85,Boden::N,χώμα,почва
86,Erde::N,γη,земля
87,Staub::N,σκόνη,пыль
88,Rauch::N,καπνός,дым
89,Funke::N,σπίθα,искра
90,Funke::N,σπινθήρας,искра
91,Feuer::N,φωτιά,огонь
92,Licht::N,φως,свет
93,Schatten::N,σκιά,тень
94,Schatten::N,ίσκιος,тень
95,Wetter::N,καιρός,погода
96,Nebel::N,ομίχλη,туман
97,Wolke::N,σύννεφο,облако
98,Regen::N,βροχή,дождь
99,Schnee::N,χιόνι,снег
100,Eis::N,πάγος,лед
101,Frost::N,παγωνία,мороз
102,Kälte::N,κρύο,холод
103,Kälte::N,ψύχος,холод
104,Hitze::N,ζέστη,жара
105,Raureif::N,πάχνη,иней
106,Regenbogen::N,ουράνιο τόξο,радуга
107,Donner::N,βροντή,гром
108,Strömung::N,ρεύμα,течение
109,Tropfen::N,στάλα,капля
110,Schaum::N,αφρός,пена
111,Schmutz::N,βρωμιά,грязь
112,See::N,λίμνη,озеро
113,Sumpf::N,βάλτος,топь
114,Moor::N,έλος,болото
115,Wiese::N,λιβάδι,луг
116,Wald::N,δάσος,лес
117,Hügel::N,λόφος,холм
118,Anhöhe::N,ύψωμα,возвышенность
119,Berg::N,όρος,гора
120,Berg::N,βουνό,гора
121,Gipfel::N,κορυφή,вершина
122,Höhle::N,σπηλιά,пещера
123,Abhang::N,πλαγιά,склон
124,Quelle::N,πηγή,источник
125,Quelle::N,βρύση,источник
126,Bach::N,ρυάκι,ручей
127,Fluss::N,ποτάμι,река
128,Fluss::N,ποταμός,река
129,Ufer::N,όχθη,берег
130,Küste::N,ακτή,побережье
131,Küste::N,ακρογιαλιά,побережье
132,Festland::N,στεριά,суша
133,Meer::N,θάλασσα,море
134,Bucht::N,κόλπος,бухта
135,Insel::N,νησί,остров
136,Insel::N,νήσος,остров
137,Blume::N,άνθος,цветок
138,Blume::N,λουλούδι,цветок
139,Gras::N,χόρτο,трава
140,Gras::N,χορτάρι,трава
141,Wurzel::N,ρίζα,корень
142,Baum::N,δέντρο,дерево
143,Stamm::N,κορμός,ствол
144,Rinde::N,φλούδα,кора
145,Ast::N,κλαδί,сук
146,Zweig::N,κλαδί,ветвь
147,Zweig::N,κλάδος,ветвь
148,Blatt::N,φύλλο,лист
149,Birke::N,σημύδα,береза
150,Kiefer[Baum]::N,πεύκο,сосна
151,Weide[Baum]::N,ιτιά,ива
152,Tanne::N,έλατο,ель
153,Horn::N,κέρας,рог
154,Horn::N,κέρατο,рог
155,Feder::N,φτερό,перо
156,Fell::N,δέρμα,шкура
157,Fell::N,τομάρι,шкура
158,Flügel::N,πτερύγιο,крыло
159,Klaue::N,κουλό,коготь
160,Kralle::N,νύχι,лапа
161,Schwanz::N,ουρά,хвост
162,Ei::N,αβγό,яйцо
163,Nest::N,φωλιά,гнездо
164,Bau::N,φωλιά,нора
165,Tier::N,ζώο,животное
166,Herde::N,κοπάδι,стадо
167,Kuh::N,αγελάδα,корова
168,Bulle::N,ταύρος,бык
169,Pferd::N,άλογο,лошадь
170,Schaf::N,πρόβατο,овца
171,Schwein::N,γουρούνι,свинья
172,Hund::N,σκυλί,собака
173,Hund::N,σκύλος,собака
174,Katze::N,γάτα,кошка
