,Concept_ID,,ar
0,Auge::N,,عين
1,Ohr::N,,أذن
2,Nase::N,,أنف
3,Mund::N,,فم
4,Zahn::N,,سن
5,Zunge::N,,لسان
6,Lippe::N,,شفة
7,Wange::N,,خد
8,Wange::N,,وجنة
9,Gesicht::N,,وجه
10,Stirn::N,,جبين
11,Haar::N,,شعر
12,Schnurrbart::N,,شارب
13,Bart::N,,لحية
14,Kinn::N,,ذقن
15,Kiefer[Anatomie]::N,,فك
16,Kehle::N,,حلق
17,Hals::N,,عنق
18,Hals::N,,رقبة
19,Genick::N,,قفا
20,Kopf::N,,رأس
21,Rücken::N,,ظهر
22,Bauch::N,,بطن
23,Nabel::N,,سرة
24,Busen::N,,ثدي
25,Brust::N,,صدر
26,Schulter::N,,كتف
27,Arm::N,,ذراع
28,Ellenbogen::N,,كوع
29,Hand::N,,يد
30,Handfläche::N,,كف
31,Finger::N,,إصبع
32,Fingernagel::N,,ظفر
33,Nagel[Anatomie]::N,,ظفر
34,Zeh::N,,إصبع القدم
35,Fuß::N,,قدم
36,Ferse::N,,كعب
37,Knie::N,,ركبة
38,Oberschenkel::N,,فخذ
39,Bein::N,,ساق
40,Körper::N,,جسم
41,Haut::N,,بشرة
42,Blut::N,,دم
43,Ader::N,,عرق
44,Sehne::N,,طنب
45,Knochen::N,,عظم
46,Gehirn::N,,دماغ
47,Herz::N,,قلب
48,Magen::N,,معدة
49,Leber::N,,كبد
50,Atem::N,,نفس
51,Hunger::N,,جوع
52,Träne::N,,دمعة
53,Geschmack::N,,طعم
54,Geschmack::N,,مذاق
55,Geruch::N,,رائحة
56,Schlaf::N,,نوم
57,Schlaf::N,,منام
58,Traum::N,,حلم
59,Himmel::N,,سماء
60,Sonne::N,,شمس
61,Mond::N,,قمر
62,Stern::N,,نجم
63,Stern::N,,كوكب
64,Luft::N,,هواء
65,Wind::N,,ريح
66,Welle::N,,موجة
67,Wasser::N,,ماء
68,Stein::N,,حجر
69,Boden::N,,تراب
70,Erde::N,,أرض
71,Staub::N,,غبار
72,Rauch::N,,دخان
73,Funke::N,,شرارة
74,Feuer::N,,نار
75,Licht::N,,نور
76,Licht::N,,ضوء
77,Schatten::N,,ظل
78,Schatten::N,,فيء
79,Wetter::N,,جو
80,Wetter::N,,طقس
81,Nebel::N,,ضباب
82,Wolke::N,,غيمة
83,Wolke::N,,سحابة
84,Regen::N,,مطر
85,Schnee::N,,ثلج
86,Eis::N,,جليد
87,Frost::N,,صقيع
88,Kälte::N,,برد
89,Hitze::N,,حر
90,Hitze::N,,حرارة
91,Raureif::N,,صقيع
92,Regenbogen::N,,قوس قزح
93,Donner::N,,رعد
94,Strömung::N,,تيار
95,Tropfen::N,,قطرة
96,Schaum::N,,زبد
97,Schaum::N,,رغوة
98,Schmutz::N,,وسخ
99,See::N,,بحيرة
100,Sumpf::N,,مستنقع
101,Moor::N,,مستنقع
102,Wiese::N,,مرج
103,Wald::N,,غابة
104,Hügel::N,,تل
105,Anhöhe::N,,تل
106,Berg::N,,جبل
107,Gipfel::N,,قمة
108,Höhle::N,,كهف
109,Abhang::N,,منحدر
110,Quelle::N,,منبع
111,Bach::N,,مجرى
112,Fluss::N,,نهر
113,Ufer::N,,ضفة
114,Küste::N,,ساحل
115,Festland::N,,بر
116,Meer::N,,بحر
117,Bucht::N,,خليج
118,Insel::N,,جزيرة
119,Blume::N,,زهرة
120,Gras::N,,حشيش
121,Wurzel::N,,أصل
122,Baum::N,,شجرة
123,Stamm::N,,جذع
124,Rinde::N,,قشرة
125,Ast::N,,فرع
126,Zweig::N,,غصن
127,Blatt::N,,ورقة
128,Birke::N,,قضبان
129,Kiefer[Baum]::N,,صنوبرة
130,Weide[Baum]::N,,صفصاف
131,Tanne::N,,شوح
132,Tanne::N,,تبوب
133,Horn::N,,قرن
134,Feder::N,,ريشة
135,Fell::N,,فرو
136,Flügel::N,,جناح
137,Klaue::N,,مخلب
138,Kralle::N,,مخلب
139,Schwanz::N,,ذيل
140,Ei::N,,بيض
141,Nest::N,,عش
142,Bau::N,,جحر
143,Tier::N,,حيوان
144,Herde::N,,قطيع
145,Kuh::N,,بقرة
146,Bulle::N,,ثور
147,Pferd::N,,خيل
148,Schaf::N,,شاة
