,Concept_ID,ka,pt
0,Auge::N,თვალი,olho
1,Ohr::N,ყური,orelha
2,Nase::N,ცხვირი,nariz
3,Mund::N,პირი,boca
4,Zahn::N,კბილი,dente
5,Zunge::N,ენა,língua
6,Lippe::N,ბაგე,lábio
7,Wange::N,ლოყა,face
8,Gesicht::N,სახე,cara
9,Gesicht::N,სახე,rosto
10,Stirn::N,შუბლი,testa
11,Haar::N,თმა,cabelo
12,Schnurrbart::N,ულვაში,bigode
13,Bart::N,წვერი,barba
14,Kinn::N,ნიკაპი,queixo
15,Kiefer[Anatomie]::N,ყბა,maxila
16,Kiefer[Anatomie]::N,ყბა,mandíbula
17,Kehle::N,ყელი,garganta
18,Hals::N,ყელი,colo
19,Hals::N,ყელი,pescoço
20,Hals::N,კისერი,colo
21,Hals::N,კისერი,pescoço
22,Genick::N,კეფა,nuca
23,Kopf::N,თავი,cabeça
24,Rücken::N,ზურგი,dorso
25,Rücken::N,ზურგი,costas
26,Bauch::N,მუცელი,ventre
27,Bauch::N,მუცელი,barriga
28,Nabel::N,ჭიპი,umbigo
29,Busen::N,ძუძუ,seio
30,Brust::N,მკერდი,peito
31,Schulter::N,მხარი,ombro
32,Schulter::N,მკლავი,ombro
33,Arm::N,ხელი,braço
34,Ellenbogen::N,იდაყვი,cotovelo
35,Hand::N,ხელი,mão
36,Handfläche::N,ნები,palma
37,Handfläche::N,ნები,palma da mão
38,Handfläche::N,ხელისგული,palma
39,Handfläche::N,ხელისგული,palma da mão
40,Finger::N,თითი,dedo
41,Fingernagel::N,ფრჩხილი,unha
42,Nagel[Anatomie]::N,ფრჩხილი,unha
43,Zeh::N,ფეხის თითი,dedo do pé
44,Fuß::N,ტერფი,pé
45,Fuß::N,ფეხისგული,pé
46,Ferse::N,ქუსლი,calcanhar
47,Knie::N,მუხლი,joelho
48,Oberschenkel::N,ბარძაყი,coxa
49,Bein::N,ფეხი,perna
50,Körper::N,ტანი,corpo
51,Körper::N,სხეული,corpo
52,Haut::N,კანი,pele
53,Blut::N,სისხლი,sangue
54,Ader::N,ძარღვი,veia
55,Sehne::N,მყესი,tendão
56,Knochen::N,ძვალი,osso
57,Gehirn::N,ტვინი,cérebro
58,Herz::N,გული,coração
59,Magen::N,კუჭი,estômago
60,Leber::N,ღვიძლი,fígado
61,Atem::N,სუნთქვა,fôlego
62,Hunger::N,შიმშილი,fome
63,Träne::N,ცრემლი,lágrima
64,Geschmack::N,გემო,gosto
65,Geruch::N,სუნი,odor
66,Geruch::N,სუნი,cheiro
67,Schlaf::N,ძილი,sono
68,Traum::N,სიზმარი,sonho
69,Himmel::N,ცა,céu
70,Sonne::N,მზე,sol
71,Mond::N,მთვარე,lua
72,Stern::N,ვარსკვლავი,estrela
73,Luft::N,ჰაერი,ar
74,Wind::N,ქარი,vento
75,Welle::N,ტალღა,onda
76,Wasser::N,წყალი,água
77,Stein::N,ქვა,pedra
78,Boden::N,მიწა,solo
79,Erde::N,ნიადაგი,terra
80,Staub::N,მტვერი,pó
81,Rauch::N,ბოლი,fumo
82,Rauch::N,კვამლი,fumo
83,Funke::N,ნაკვესი,faísca
84,Funke::N,ნაკვესი,centelha
85,Feuer::N,ცეცხლი,fogo
86,Licht::N,შუქი,luz
87,Licht::N,სინათლე,luz
88,Schatten::N,ლანდი,sombra
89,Schatten::N,ჩრდილი,sombra
90,Wetter::N,ამინდი,tempo
91,Nebel::N,ნისლი,nevoeiro
92,Wolke::N,ღრუბელი,nuvem
93,Regen::N,წვიმა,chuva
94,Schnee::N,თოვლი,neve
95,Eis::N,თოში,gelo
96,Eis::N,ყინული,gelo
97,Frost::N,ყინვა,gelo
98,Frost::N,ყინვა,geada
99,Kälte::N,სიცივე,frio
100,Hitze::N,სიცხე,ardor
101,Raureif::N,ჭირხლი,geada
102,Raureif::N,თრთვილი,geada
103,Regenbogen::N,ცისარტყელა,arco-iris
104,Donner::N,ქუხილი,trovão
105,Strömung::N,დინება,corrente
106,Tropfen::N,წვეთი,gota
107,Schaum::N,ქაფი,espuma
108,Schaum::N,დორბლი,espuma
109,Schmutz::N,ჭუჭყი,sujidade
110,Schmutz::N,ჭუჭყი,imundície
111,Schmutz::N,ტალახი,sujidade
112,Schmutz::N,ტალახი,imundície
113,See::N,ტბა,lago
114,Sumpf::N,ჭაობი,charco
115,Sumpf::N,ჭაობი,pântano
116,Moor::N,ტორფნარი,pântano
117,Wiese::N,ველი,prado
118,Wiese::N,მდელო,prado
119,Wald::N,ტყე,bosque
120,Wald::N,ტყე,floresta
121,Hügel::N,ბორცვი,colina
122,Anhöhe::N,მაღლობი,alto
123,Anhöhe::N,მაღლობი,outeiro
124,Berg::N,მთა,monte
125,Berg::N,მთა,montanha
126,Gipfel::N,მწვერვალი,pico
127,Höhle::N,მღვიმე,caverna
128,Höhle::N,გამოქვებული,caverna
129,Abhang::N,ფერდობი,encosta
130,Quelle::N,წყარო,fonte
131,Quelle::N,სათავე,fonte
132,Bach::N,რუ,regato
133,Bach::N,რუ,ribeiro
134,Bach::N,ნაკადული,regato
135,Bach::N,ნაკადული,ribeiro
136,Fluss::N,მდინარე,rio
137,Ufer::N,კიდე,beira
138,Ufer::N,ნაპირი,beira
139,Küste::N,ნაპირი,costa
140,Festland::N,ხმელეთი,terra firme
141,Meer::N,ზღვა,mar
142,Bucht::N,ყურე,baía
143,Insel::N,კუნძული,ilha
144,Blume::N,ყვავილი,flor
145,Gras::N,ბალახი,erva
146,Wurzel::N,ძირი,raiz
147,Wurzel::N,ფესვი,raiz
148,Baum::N,ხე,árvore
149,Stamm::N,ტანი,tronco
150,Rinde::N,ქერქი,casca
151,Ast::N,ტოტი,ramo
152,Zweig::N,შტო,galho
153,Blatt::N,ფოთოლი,folha
154,Birke::N,არყი,bétula
155,Kiefer[Baum]::N,ფიჭვი,pinheiro
156,Weide[Baum]::N,ტირიფი,salgueiro
157,Tanne::N,ნაძვი,abeto
158,Horn::N,რქა,corno
159,Horn::N,რქა,chifre
160,Feder::N,ფრთა,pena
161,Fell::N,ტყავი,pele
162,Flügel::N,ფრთა,asa
163,Klaue::N,კლანჭი,pata
164,Kralle::N,ტორი,unha
165,Kralle::N,ტორი,garra
166,Schwanz::N,კუდი,rabo
167,Schwanz::N,კუდი,cauda
168,Ei::N,კვერცხი,ovo
169,Nest::N,ბუდე,ninho
170,Bau::N,სორო,toca
171,Bau::N,სორო,covil
172,Tier::N,ნადირი,animal
173,Tier::N,ცხოველი,animal
174,Herde::N,ფარა,rebanho
175,Kuh::N,ფური,vaca
176,Kuh::N,ძროხა,vaca
177,Bulle::N,ხარი,touro
178,Pferd::N,რაში,cavalo
179,Pferd::N,ცხენი,cavalo
180,Schaf::N,ცხვარი,ovelha
181,Schwein::N,ღორი,porco
182,Hund::N,ძაღლი,cão
183,Katze::N,კატა,gata
184,Bär::N,დათვი,urso
185,Eichhörnchen::N,ციყვი,esquilo
186,Elch::N,ცხენ-ირემი,alce
187,Fuchs::N,მელა,raposa
188,Hase::N,კურდღელი,lebre
189,Maus::N,თაგვი,rato
190,Wolf::N,მგელი,lobo
191,Vogel::N,ჩიტი,ave
192,Vogel::N,ჩიტი,pássaro
193,Vogel::N,ფრინველი,ave
194,Vogel::N,ფრინველი,pássaro
195,Schwarm::N,გუნდი,bando
196,Schwarm::N,გუნდი,enxame
197,Huhn::N,დედალი,galinha
198,Hahn::N,მამალი,galo
199,Gans::N,ბატი,ganso
200,Adler::N,არწივი,águia
201,Ente::N,იხვი,pata
202,Eule::N,ბუ,mocho
203,Eule::N,ბუ,coruja
204,Kranich::N,წერო,grou
205,Krähe::N,ყვავი,gralha
206,Kuckuck::N,გუგული,cuco
207,Schwan::N,გედი,cisne
208,Fisch::N,თევზი,peixe
209,Barsch::N,ქორჭილა,perca
210,Hecht::N,ქარიყლაპია,lúcio
211,Schlange[Tier]::N,გველი,serpente
212,Wurm::N,ჭია,verme
213,Spinne::N,ობობა,aranha
214,Ameise::N,ჭიანჭველა,formiga
215,Laus::N,ტილი,piolho
216,Laus::N,მკბენარი,piolho
217,Mücke::N,კოღო,mosquito
218,Fliege::N,ბუზი,mosca
219,Schmetterling::N,პეპელა,borboleta
220,Beere::N,კენკრა,bago
221,Apfel::N,ვაშლი,maçã
222,Pilz::N,სოკო,fungo
223,Pilz::N,სოკო,cogumelo
224,Zwiebel::N,ხახვი,cebola
225,Saat::N,თესლი,sementeira
226,Korn::N,მარცვალი,grão
227,Heu::N,თივა,feno
228,Schale::N,ჩენჩო,casca
229,Grube::N,ორმო,cova
230,Grube::N,ორმო,fossa
231,Falle::N,ხაფანგი,armadilha
232,Schlinge::N,მახე,laço
233,Spur::N,კვალი,pista
234,Spur::N,კვალი,vestígio
235,Asche::N,ფერფლი,cinza
236,Dreck::N,ტალახი,sujidade
237,Dreck::N,სიბინძურე,sujidade
238,Eisen::N,რკინა,ferro
239,Gold::N,ოქრო,ouro
240,Silber::N,ვერცხლი,prata
241,Kohle::N,ნახშირი,carvão
242,Glas::N,მინა,vidro
243,Lehm::N,თიხა,barro
244,Lehm::N,თიხა,argila
245,Sand::N,ქვიშა,areia
