,Concept_ID,no,el
0,Auge::N,øye,μάτι
1,Auge::N,øye,οφθαλμός
2,Ohr::N,øre,αυτί
3,Nase::N,nese,μύτη
4,Mund::N,munn,στόμα
5,Zahn::N,tann,δόντι
6,Zunge::N,tunge,γλώσσα
7,Lippe::N,leppe,χείλος
8,Wange::N,kinn,παρειά
9,Wange::N,kinn,μάγουλο
10,Gesicht::N,fjes,πρόσωπο
11,Gesicht::N,ansikt,πρόσωπο
12,Stirn::N,panne,μέτωπο
13,Haar::N,hår,μαλλιά
14,Schnurrbart::N,bart,μουστάκι
15,Bart::N,skjegg,γένια
16,Kinn::N,hake,πιγούνι
17,Kiefer[Anatomie]::N,kjeve,σαγόνι
18,Kehle::N,strupe,λαρύγγι
19,Hals::N,hals,λαιμός
20,Genick::N,nakke,σβέρκος
21,Kopf::N,hode,κεφάλι
22,Rücken::N,rygg,ράχη
23,Bauch::N,buk,κοιλιά
24,Bauch::N,mage,κοιλιά
25,Nabel::N,navle,αφαλός
26,Busen::N,barm,στήθος
27,Brust::N,bryst,στήθος
28,Schulter::N,skulder,ώμος
29,Arm::N,arm,χέρι
30,Arm::N,arm,μπράτςο
31,Ellenbogen::N,albue,αγκώνας
32,Hand::N,hånd,χέρι
33,Handfläche::N,håndflate,παλάμη
34,Finger::N,finger,δάχτυλο
35,Fingernagel::N,fingernegl,νύχι
36,Nagel[Anatomie]::N,negl,νύχι
37,Zeh::N,tå,δάχτυλο του ποδιού
38,Fuß::N,fot,πόδι
39,Ferse::N,hæl,φτέρνα
40,Knie::N,kne,γόνατο
41,Oberschenkel::N,lår,μηρός
42,Bein::N,bein,πόδι
43,Körper::N,kropp,σώμα
44,Körper::N,kropp,κορμί
45,Körper::N,legeme,σώμα
46,Körper::N,legeme,κορμί
47,Haut::N,hud,πετσί
48,Haut::N,skinn,πετσί
49,Blut::N,blod,αίμα
50,Ader::N,åre,φλέβα
51,Sehne::N,sene,νεύρο
52,Sehne::N,sene,τένοντας
53,Knochen::N,bein,οστό
54,Knochen::N,bein,κόκκαλο
55,Knochen::N,knokkel,οστό
56,Knochen::N,knokkel,κόκκαλο
57,Gehirn::N,hjerne,μυαλό
58,Gehirn::N,hjerne,εγκέφαλος
59,Herz::N,hjerte,καρδιά
60,Magen::N,mage,στομάχι
61,Leber::N,lever,ήπαρ
62,Leber::N,lever,συκωτί
63,Atem::N,pust,αναπνοή
64,Hunger::N,sult,πείνα
65,Träne::N,tåre,δάκρυ
66,Geschmack::N,smak,γεύση
67,Geruch::N,lukt,οσμή
68,Geruch::N,lukt,μυρωδία
69,Schlaf::N,søvn,ύπνος
70,Traum::N,drøm,όνειρο
71,Himmel::N,himmel,ουρανός
72,Sonne::N,sol,ήλιος
73,Mond::N,måne,σελήνη
74,Mond::N,måne,φεγγάρι
75,Stern::N,stjerne,άστρο
76,Stern::N,stjerne,αστέρι
77,Luft::N,luft,αέρας
78,Wind::N,vind,αέρας
79,Wind::N,vind,άνεμος
80,Welle::N,bølge,κύμα
81,Wasser::N,vann,νερό
82,Stein::N,stein,πέτρα
83,Boden::N,bakke,χώμα
84,Erde::N,jord,γη
85,Staub::N,støv,σκόνη
86,Rauch::N,røyk,καπνός
87,Funke::N,gnist,σπίθα
88,Funke::N,gnist,σπινθήρας
89,Feuer::N,ild,φωτιά
90,Licht::N,lys,φως
91,Schatten::N,skygge,σκιά
92,Schatten::N,skygge,ίσκιος
93,Wetter::N,vær,καιρός
94,Nebel::N,tåke,ομίχλη
95,Wolke::N,sky,σύννεφο
96,Regen::N,regn,βροχή
97,Schnee::N,snø,χιόνι
98,Eis::N,is,πάγος
99,Frost::N,frost,παγωνία
100,Kälte::N,kulde,κρύο
101,Kälte::N,kulde,ψύχος
102,Hitze::N,hete,ζέστη
103,Raureif::N,rimfrost,πάχνη
104,Regenbogen::N,regnbue,ουράνιο τόξο
105,Donner::N,torden,βροντή
106,Strömung::N,strømning,ρεύμα
107,Tropfen::N,dråpe,στάλα
108,Schaum::N,skum,αφρός
109,Schmutz::N,søl,βρωμιά
110,Schmutz::N,skitt,βρωμιά
111,See::N,sjø,λίμνη
112,Sumpf::N,sump,βάλτος
113,Sumpf::N,myrlende,βάλτος
114,Moor::N,myr,έλος
115,Moor::N,myrhei,έλος
116,Wiese::N,eng,λιβάδι
117,Wald::N,skog,δάσος
118,Hügel::N,haug,λόφος
119,Hügel::N,bakke,λόφος
120,Anhöhe::N,haug,ύψωμα
121,Anhöhe::N,bakke,ύψωμα
122,Berg::N,berg,όρος
123,Berg::N,berg,βουνό
124,Berg::N,fjell,όρος
125,Berg::N,fjell,βουνό
126,Gipfel::N,topp,κορυφή
127,Höhle::N,hule,σπηλιά
128,Abhang::N,li,πλαγιά
129,Abhang::N,skråning,πλαγιά
130,Quelle::N,kilde,πηγή
131,Quelle::N,kilde,βρύση
132,Bach::N,bekk,ρυάκι
133,Fluss::N,elv,ποτάμι
134,Fluss::N,elv,ποταμός
135,Ufer::N,bredd,όχθη
136,Küste::N,kyst,ακτή
137,Küste::N,kyst,ακρογιαλιά
138,Festland::N,fastland,στεριά
139,Meer::N,hav,θάλασσα
140,Bucht::N,bukt,κόλπος
141,Insel::N,øy,νησί
142,Insel::N,øy,νήσος
143,Blume::N,blomst,άνθος
144,Blume::N,blomst,λουλούδι
145,Gras::N,gress,χόρτο
146,Gras::N,gress,χορτάρι
147,Wurzel::N,rot,ρίζα
148,Baum::N,tre,δέντρο
149,Stamm::N,stamme,κορμός
150,Rinde::N,bark,φλούδα
151,Ast::N,gren,κλαδί
152,Zweig::N,kvist,κλαδί
153,Zweig::N,kvist,κλάδος
154,Blatt::N,blad,φύλλο
155,Birke::N,bjørk,σημύδα
156,Kiefer[Baum]::N,furu,πεύκο
157,Weide[Baum]::N,selje,ιτιά
158,Weide[Baum]::N,piletre,ιτιά
159,Tanne::N,gran,έλατο
160,Horn::N,horn,κέρας
161,Horn::N,horn,κέρατο
162,Feder::N,fjær,φτερό
163,Fell::N,skinn,δέρμα
164,Fell::N,skinn,τομάρι
165,Flügel::N,vinge,πτερύγιο
166,Klaue::N,klauv,κουλό
167,Kralle::N,klo,νύχι
168,Schwanz::N,hale,ουρά
169,Ei::N,egg,αβγό
170,Nest::N,rede,φωλιά
171,Bau::N,hi,φωλιά
172,Tier::N,dyr,ζώο
173,Herde::N,flokk,κοπάδι
174,Kuh::N,ku,αγελάδα
175,Bulle::N,tyr,ταύρος
