,Concept_ID,no,pt
558,Grab::N,grav,túmulo
559,Grab::N,grav,sepultura
560,Kirche::N,kirke,igreja
561,Sünde::N,synd,pecado
562,Gott::N,gud,deus
563,Arbeiter::N,arbeider,operário
564,Arbeiter::N,arbeider,trabalhador
565,Chef::N,sjef,chefe
566,Chef::N,sjef,patrão
567,Meister::N,mester,mestre
568,Arzt::N,lege,médico
569,Lehrer::N,lærer,professor
570,Geld::N,penger,dinheiro
571,Geschäft::N,forretning,negócio
572,Laden::N,butikk,loja
573,Preis::N,pris,preço
574,Ware::N,vare,mercadoria
575,Nutzen::N,nytte,proveito
576,Reichtum::N,rikdom,riqueza
577,Welt::N,verden,mundo
578,Land::N,land,país
579,Staat::N,stat,Estado
580,König::N,konge,rei
581,Macht::N,makt,poder
582,Macht::N,makt,potência
583,Grenze::N,grense,fronteira
584,Krieg::N,krig,guerra
585,Feind::N,fiende,inimigo
586,Gewalt::N,vold,violência
587,Kampf::N,kamp,luta
588,Kampf::N,kamp,combate
589,Bogen[Waffe]::N,bue,arco
590,Pfeil::N,pil,seta
591,Pfeil::N,pil,flecha
592,Gewehr::N,gevær,espingarda
593,Fehler::N,feil,erro
594,Fehler::N,feil,falha
595,Lüge::N,løgn,mentira
596,Schaden::N,skade,dano
597,Schaden::N,skade,estrago
598,Unglück::N,uhell,desgraça
599,Schuld::N,skyld,culpa
600,Alter::N,alder,idade
601,Schluss::N,slutt,fim
602,Zeit::N,tid,tempo
603,Tag::N,dag,dia
604,Morgen::N,morgen,manhã
605,Mittag::N,middag,meio-dia
606,Abend::N,aften,noite
607,Abend::N,aften,tardinha
608,Nacht::N,natt,noite
609,Woche::N,uke,semana
610,Monat::N,måned,mês
611,Jahr::N,år,ano
612,Frühling::N,vår,primavera
613,Sommer::N,sommer,verão
614,Herbst::N,høst,outono
615,Winter::N,vinter,inverno
616,Januar::N,januar,Janeiro
617,Februar::N,februar,Fevereiro
618,März::N,mars,Março
619,April::N,april,Abril
620,Mai::N,mai,Maio
621,Juni::N,juni,Junho
622,Juli::N,juli,Julho
623,August::N,august,Agosto
624,September::N,september,Setembro
625,Oktober::N,oktober,Outubro
626,November::N,november,Novembro
627,Dezember::N,desember,Dezembro
628,Montag::N,mandag,segunda-feira
629,Dienstag::N,tirsdag,terça-feira
630,Mittwoch::N,onsdag,quarta-feira
631,Donnerstag::N,torsdag,quinta-feira
632,Freitag::N,fredag,sexta-feira
633,Samstag::N,lørdag,sábado
634,Sonntag::N,søndag,domingo
635,groß::A,stor,grande
636,klein::A,liten,pequeno
637,lang::A,lang,comprido
638,kurz::A,kort,curto
639,breit::A,bred,largo
640,schmal::A,smal,estreito
641,dicht::A,tett,denso
642,dick[Gegenstand]::A,tykk,grosso
643,dünn::A,tynn,delgado
644,fein::A,fin,fino
645,fein::A,fin,subtil
646,fest::A,fast,firme
647,fest::A,fast,sólido
648,flach::A,flat,plano
649,glatt::A,glatt,liso
650,hart::A,hard,duro
651,weich::A,myk,mole
652,weich::A,bløt,mole
653,rund::A,rund,redondo
654,spitz::A,spiss,agudo
655,scharf::A,kvass,afiado
656,stumpf::A,stubb,rombo
657,schwer::A,tung,pesado
658,schön::A,pen,belo
659,schön::A,pen,bonito
660,schön::A,vakker,belo
661,schön::A,vakker,bonito
662,heiß::A,het,quente
663,warm::A,varm,quente
664,kalt::A,kald,frio
665,kühl::A,kjølig,fresco
666,frisch::A,fersk,fresco
667,feucht::A,fuktig,húmido
668,nass::A,våt,molhado
669,trocken::A,tørr,seco
670,voll::A,full,cheio
671,leer::A,tom,vazio
672,offen::A,åpen,aberto
673,geschlossen::A,lukket,fechado
674,sauber::A,ren,limpo
675,schmutzig::A,skitten,sujo
676,roh::A,rå,cru
677,reif::A,moden,maduro
678,lecker::A,lekker,delicioso
679,süß::A,søt,doce
680,bitter::A,besk,amargo
681,bitter::A,bitter,amargo
682,sauer::A,sur,azedo
683,hell::A,lys,claro
684,dunkel::A,mørk,escuro
685,dunkel::A,mørk,sombrio
686,schwarz::A,svart,preto
687,weiß::A,hvit,branco
688,rot::A,rød,vermelho
689,gelb::A,gul,amarelo
690,blau::A,blå,azul
691,grün::A,grønn,verde
692,grau::A,grå,cinzento
693,bunt::A,broket,colorido
694,billig::A,billig,barato
695,teuer::A,dyr,caro
696,wertvoll::A,verdifull,valioso
697,wertvoll::A,verdifull,precioso
698,blind::A,blind,cego
699,taub::A,døv,surdo
700,kräftig::A,kraftig,forte
701,kräftig::A,kraftig,poderoso
702,stark::A,sterk,forte
703,stark::A,sterk,robusto
704,schwach::A,svak,débil
705,fett::A,fet,gordo
706,schlank::A,slank,esbelto
707,hübsch::A,pen,giro
708,hübsch::A,pen,bonito
709,böse::A,slem,mau
710,dumm::A,dum,parvo
711,dumm::A,dum,estúpido
712,faul::A,lat,preguiçoso
713,faul::A,doven,preguiçoso
714,fleißig::A,flittig,aplicado
715,fleißig::A,flittig,diligente
716,geizig::A,gjerrig,avarento
717,klug::A,klok,prudente
718,klug::A,klok,inteligente
719,geschickt::A,hendig,hábil
720,geschickt::A,skikket,hábil
721,lieb::A,kjær,caro
722,lieb::A,kjær,querido
723,lieb::A,snill,caro
724,lieb::A,snill,querido
725,lustig::A,morsom,alegre
726,sanft::A,blid,suave
727,sanft::A,blid,brando
728,hungrig::A,sulten,faminto
729,krank::A,syk,doente
730,krank::A,syk,enfermo
731,nackt::A,naken,nu
732,nackt::A,naken,despido
733,traurig::A,sørgmodig,triste
734,lebendig::A,levende,vivo
735,gut::A,god,bom
736,schlecht::A,dårlig,mau
737,schlecht::A,dårlig,ruim
738,richtig::A,riktig,justo
739,richtig::A,riktig,correcto
740,schlimm::A,slem,mau
741,schlimm::A,slem,grave
742,wahr::A,sann,verdadeiro
743,alt::A,gammel,velho
744,alt::A,gammel,antigo
745,neu::A,ny,novo
746,ehemalig::A,forhenværende,antigo
747,alt[Lebewesen]::A,gammel,velho
748,jung::A,ung,jovem
749,arm::A,fattig,pobre
750,reich::A,rik,rico
751,bekannt::A,kjent,conhecido
752,berühmt::A,berømt,famoso
753,berühmt::A,berømt,célebre
754,fremd::A,fremmed,alheio
755,fremd::A,fremmed,estranho
756,verschieden::A,forskjellig,diverso
757,verschieden::A,forskjellig,diferente
758,nah::A,nær,próximo
759,fern::A,fjern,remoto
760,fern::A,fjern,distante
761,linker::A,venstre,esquerdo
762,rechter::A,høyre,direito
763,anderer::A,annen,outro
764,erster::A,første,primeiro
765,zweiter::A,annen,segundo
766,dritter::A,tredje,terceiro
767,letzter::A,sist,final
768,letzter::A,sist,último
769,allein::ADV,alene,só
770,auf einmal::ADV,med ett,de vez
771,zusammen::ADV,sammen,juntos
772,lange::ADV,lenge,muito tempo
773,plötzlich::ADV,plutselig,de repente
774,sofort::ADV,straks,imediatamente
775,später::ADV,senere,mais tarde
776,jetzt::ADV,nå,agora
777,heute::ADV,i dag,hoje
778,morgen::ADV,i morgen,amanhã
779,bald::ADV,snart,logo
780,bald::ADV,snart,breve
781,dann::ADV,så,então
782,dann::ADV,så,depois
783,gestern::ADV,i går,ontem
784,einst::ADV,engang,antigamente
785,damals::ADV,den gang,então
786,danach::ADV,deretter,logo
787,danach::ADV,deretter,depois
788,vorher::ADV,før,antes
789,vorher::ADV,i forveien,antes
790,zuerst::ADV,først,primeiro
791,einmal::ADV,en gang,uma vez
792,manchmal::ADV,somme tider,às vezes
793,oft::ADV,ofte,muitas vezes
794,immer::ADV,alltid,sempre
795,niemals::ADV,aldri,nunca
796,hier::ADV,her,cá
797,hier::ADV,her,aqui
798,hierhin::ADV,hit,para cá
799,von hier::ADV,herfra,daqui
800,dort::ADV,der,lá
801,dort::ADV,der,ali
802,dorthin::ADV,dit,lá
803,dorthin::ADV,dit,para lá
804,geradeaus::ADV,rett fram,em frente
805,vorwärts::ADV,fram,avante
806,vorwärts::ADV,framover,avante
807,rückwärts::ADV,baklengs,para trás
808,zurück::ADV,tilbake,atrás
809,unten::ADV,nede,debaixo
810,unten::ADV,nede,em baixo
811,hinab::ADV,ned,para baixo
812,hinab::ADV,nedover,para baixo
813,oben::ADV,oppe,em cima
814,oben::ADV,ovenpå,em cima
815,hinauf::ADV,opp,para cima
816,hinauf::ADV,oppover,para cima
817,überall::ADV,overalt,em toda parte
818,nicht::ADV,ikke,não
819,ein wenig::ADV,litt,um pouco
820,ein wenig::ADV,litt,um bocado
821,kaum::ADV,neppe,apenas
822,sehr::ADV,svært,muito
823,so::ADV,så,tão
824,so::ADV,så,assim
825,noch::ADV,enda,ainda
826,nur::ADV,bare,só
827,nur::ADV,bare,apenas
828,nur::ADV,bare,somente
829,schon::ADV,alt,já
830,schon::ADV,allerede,já
831,wieder::ADV,igjen,outra vez
832,vergebens::ADV,forgjeves,em vão
833,vor::PRP,foran,diante de
834,vor::PRP,utenfor,diante de
835,hinter::PRP,bak,atrás de
836,hinter::PRP,bakom,atrás de
837,unter::PRP,under,sob
838,unter::PRP,under,debaixo de
839,durch::PRP,gjennom,por
840,durch::PRP,gjennom,através de
841,durch::PRP,igjennom,por
842,durch::PRP,igjennom,através de
843,neben::PRP,ved siden av,junto de
844,neben::PRP,ved siden av,ao lado de
845,zwischen::PRP,mellom,entre
846,wegen::PRP,på grunn av,por
847,wegen::PRP,på grunn av,por causa de
848,dies::PRN,dette,isto
849,das::PRN,det,isso
850,das::PRN,det,aquilo
851,alles::PRN,alt,todo
852,ich::PRN,jeg,eu
853,du::PRN,du,tu
854,er::PRN,han,ele
855,wir::PRN,vi,nós
856,ihr::PRN,dere,vós
857,ihr::PRN,dere,vocês
858,sie::PRN,de,eles
859,was::FPRN,hva,quê
860,wer::FPRN,hvem,quem
861,wo::FADV,hvor,onde
862,wohin::FADV,hvor ... hen,aonde
863,wohin::FADV,hvor ... hen,para onde
864,wie::FADV,hvordan,como
865,warum::FADV,hvorfor,porquê
866,warum::FADV,hvorfor,por que
867,wieviel::FNUM,hvor mye,quanto
868,eins::NUM,en,um
869,eins::NUM,ett,um
870,zwei::NUM,to,dois
871,drei::NUM,tre,três
872,vier::NUM,fire,quatro
873,fünf::NUM,fem,cinco
874,sechs::NUM,seks,seis
875,sieben::NUM,sju,sete
876,acht::NUM,åtte,oito
877,neun::NUM,ni,nove
878,zehn::NUM,ti,dez
879,elf::NUM,elleve,onze
880,zwölf::NUM,tolv,doze
881,zwanzig::NUM,tjue,vinte
882,dreißig::NUM,tretti,trinta
883,vierzig::NUM,førti,quarenta
884,fünfzig::NUM,femti,cinquenta
885,sechzig::NUM,seksti,sessenta
886,siebzig::NUM,sytti,setenta
887,achtzig::NUM,åtti,oitenta
888,neunzig::NUM,nitti,noventa
889,hundert::NUM,hundre,cem
890,hundert::NUM,hundre,cento
891,tausend::NUM,tusen,mil
892,und::CNJ,og,e
893,oder::CNJ,eller,ou
894,stehen::V,stå,estar em pé
895,sitzen::V,sitte,estar sentado
896,liegen::V,ligge,jazer
897,liegen::V,ligge,estar deitado
898,hängen::V,henge,pender
899,hängen::V,henge,estar pendurado
900,werden::V,bli,tornar-se
901,passieren::V,skje,acontecer
902,passieren::V,hende,acontecer
903,beginnen::V,begynne,começar
904,enden::V,ende,acabar
905,enden::V,ende,terminar
906,enden::V,slutte,acabar
907,enden::V,slutte,terminar
908,wechseln::V,veksle,variar
909,wechseln::V,veksle,alternar
910,aufgehen[Sonne]::V,stå opp,nascer
911,untergehen[Sonne]::V,gå ned,pôr-se
912,scheinen[Sonne]::V,skinne,brilhar
913,donnern::V,tordne,trovejar
914,wehen::V,blåse,soprar
915,strömen::V,strømme,correr
916,fließen::V,flyte,fluir
917,sich drehen::V,dreie seg,girar
918,schwanken::V,svaie,oscilar
919,schwingen::V,svinge,vibrar
920,fallen::V,falle,cair
921,brennen::V,brenne,arder
922,rauchen::V,ryke,fumegar
923,regnen::V,regne,chover
924,gefrieren::V,fryse,gelar
925,gefrieren::V,fryse,congelar
926,tauen::V,tine,derreter
927,tauen::V,tine,descongelar
928,schmelzen::V,smelte,fundir-se
929,trocknen::V,tørre,secar
930,sieden::V,koke,ferver
931,faulen::V,råtne,estragar-se
932,verfaulen::V,råtne,apodrecer
933,reißen::V,briste,romper-se
934,versinken::V,synke,afundar-se
935,versinken::V,synke ned,afundar-se
936,vergehen::V,forløpe,passar
937,erscheinen::V,synes,aparecer
938,verschwinden::V,forsvinne,desaparecer
939,sinken::V,synke,descer
940,abnehmen::V,avta,diminuir
941,abnehmen::V,avta,decrescer
942,abnehmen::V,minske,diminuir
943,abnehmen::V,minske,decrescer
944,zunehmen::V,tilta,crescer
945,zunehmen::V,tilta,aumentar
946,steigen::V,stige,subir
947,wachsen::V,gro,crescer
948,wachsen::V,vokse,crescer
949,glänzen::V,skinne,brilhar
950,funkeln::V,tindre,cintilar
951,lärmen::V,bråke,fazer barulho
952,läuten::V,ringe,chocalhar
953,klingeln::V,ringe,tocar
954,klirren::V,klirre,tinir
955,brausen::V,bruse,bramar
956,rauschen::V,suse,murmurar
957,rauschen::V,suse,rumorejar
958,klingen::V,lyde,soar
959,klingen::V,klinge,soar
960,bellen::V,gjø,ladrar
961,bellen::V,bjeffe,ladrar
962,heulen::V,ule,uivar
963,blasen::V,blåse,soprar
964,pfeifen::V,plystre,assobiar
965,schreien::V,skrike,gritar
966,stöhnen::V,stønne,gemer
967,zittern::V,dirre,tremer
968,zittern::V,skjelve,tremer
969,leben::V,leve,viver
970,geboren werden::V,fødes,nascer
971,atmen::V,ånde,respirar
972,atmen::V,puste,respirar
973,trinken::V,drikke,beber
974,essen::V,spise,comer
975,schlucken::V,svelge,engolir
976,müde werden::V,bli trett,cansar-se
977,einschlafen::V,sovne,adormecer
978,schlafen::V,sove,dormir
979,aufwachen::V,våkne,acordar
980,aufstehen::V,stå opp,levantar-se
981,sich erholen::V,bli bra,descansar
982,sich erholen::V,komme seg,descansar
983,krank werden::V,bli syk,adoecer
984,krank werden::V,bli syk,ficar doente
985,krank sein::V,være syk,estar doente
986,schmerzen::V,gjøre vondt,doer
987,husten::V,hoste,tossir
988,genesen::V,komme seg,convalescer
989,sterben::V,dø,morrer
990,umkommen::V,omkomme,perecer
991,sich bewegen::V,bevege seg,mover-se
992,sich rühren::V,røre på seg,mexer-se
993,sich erheben::V,reise seg,levantar-se
994,sich setzen::V,sette sig,sentar-se
995,hinfallen::V,falle over ende,cair
996,laufen::V,løpe,andar
