,Concept_ID,ps,lt
0,Auge::N,سترګه,akis
1,Ohr::N,غوږ,ausis
2,Nase::N,پوزه,nosis
3,Mund::N,خوله,burna
4,Zahn::N,غاښ,dantis
5,Zunge::N,جبه,liežuvis
6,Lippe::N,شونډه,lūpa
7,Wange::N,باړخو,žandas
8,Wange::N,باړخو,skruostas
9,Gesicht::N,مخ,veidas
10,Stirn::N,تندی,kakta
11,Stirn::N,وچولی,kakta
12,Haar::N,وېښته,plaukai
13,Schnurrbart::N,برېت,ūsai
14,Bart::N,ږیره,barzda
15,Kinn::N,زنه,smakras
16,Kiefer[Anatomie]::N,جامه,žandikaulis
17,Kehle::N,غاړه,gerklė
18,Hals::N,غاړه,kaklas
19,Genick::N,ورمېږ,sprandas
20,Kopf::N,سر,galva
21,Rücken::N,شا,nugara
22,Bauch::N,نس,pilvas
23,Bauch::N,ګېډه,pilvas
24,Nabel::N,نوم,bamba
25,Busen::N,تی,krūtinė
26,Brust::N,سینه,krūtis
27,Schulter::N,اوږه,petys
28,Arm::N,لاس,ranka
29,Ellenbogen::N,څنګل,alkūnė
30,Hand::N,لاس,ranka
31,Hand::N,لاس,plaštaka
32,Handfläche::N,ورغوی,delnas
33,Handfläche::N,ورغوی,plaštaka
34,Finger::N,ګوته,pirštas
35,Fingernagel::N,نوک,nagas
36,Nagel[Anatomie]::N,نوک,nagas
37,Zeh::N,ګوته,pirštas
38,Fuß::N,پښه,pėda
39,Ferse::N,پونده,kulnas
40,Knie::N,زنګون,kelis
41,Oberschenkel::N,پتون,kulšis
42,Oberschenkel::N,پتون,šlaunis
43,Bein::N,پښه,koja
44,Körper::N,ځان,kūnas
45,Haut::N,پوټکی,oda
46,Blut::N,وینه,kraujas
47,Ader::N,رګ,kraujagyslė
48,Sehne::N,پله,sausgyslė
49,Knochen::N,هډوکی,kaulas
50,Gehirn::N,ماغزه,smegenys
51,Herz::N,زړه,širdis
52,Magen::N,معده,skrandis
53,Leber::N,ينه,kepenys
54,Leber::N,ځیګر,kepenys
55,Atem::N,نفس,kvapas
56,Hunger::N,ولږه,badas
57,Hunger::N,ولږه,alkis
58,Träne::N,اوښکه,ašara
59,Geschmack::N,مزه,skonis
60,Geschmack::N,خوند,skonis
61,Geruch::N,بوی,kvapas
62,Schlaf::N,خوب,miegas
63,Traum::N,خوب,sapnas
64,Himmel::N,اسمان,dangus
65,Sonne::N,لمر,saulė
66,Mond::N,سپوږمۍ,mėnulis
67,Stern::N,ستوری,žvaigždė
68,Luft::N,هوا,oras
69,Wind::N,ورښ,vėjas
70,Welle::N,موج,banga
71,Welle::N,موج,vilnis
72,Wasser::N,اوبه,vanduo
73,Stein::N,ډبره,akmuo
74,Boden::N,مځکه,žemė
75,Boden::N,مځکه,dugnas
76,Erde::N,خاوره,žemė
77,Staub::N,ګرد,dulkės
78,Staub::N,خاوره,dulkės
79,Rauch::N,دود,dūmai
80,Rauch::N,لوګی,dūmai
81,Funke::N,سپرغۍ,kibirkštis
82,Feuer::N,اور,ugnis
83,Licht::N,رڼا,šviesa
84,Schatten::N,سیوری,paūksmė
85,Wetter::N,هوا,oras
86,Nebel::N,لړه,migla
87,Nebel::N,لړه,rūkas
88,Wolke::N,ورېځ,debesis
89,Regen::N,وریا,lietus
90,Regen::N,باران,lietus
91,Schnee::N,واوره,sniegas
92,Eis::N,یخ,ledas
93,Eis::N,کنګل,ledas
94,Frost::N,یخ,šalna
95,Kälte::N,ساړه,šaltis
96,Hitze::N,تودوخي,karštis
97,Raureif::N,سپینه پرخه,šerkšnas
98,Regenbogen::N,بوډۍ ټال,vaivorykštė
99,Regenbogen::N,سره زرغونه,vaivorykštė
100,Donner::N,تالنده,perkūnas
101,Donner::N,تالنده,griaustinis
102,Strömung::N,بهېدنه,tėkmė
103,Tropfen::N,قطره,lašas
104,Tropfen::N,څاڅکی,lašas
105,Schaum::N,ځګ,putos
106,Schmutz::N,ناپاکي,purvas
107,See::N,جهیل,ežeras
108,Sumpf::N,جبه,klampynė
109,Sumpf::N,جبه,liūnas
110,Moor::N,جبه,pelkė
111,Wiese::N,چمن,pieva
112,Wiese::N,شنېلی,pieva
113,Wald::N,ځنګل,miškas
114,Hügel::N,تپه,kalva
115,Anhöhe::N,غونډۍ,kauburys
116,Berg::N,غ‍‍‍‍‍ر,kalnas
117,Gipfel::N,څوکه,viršūnė
118,Höhle::N,کاز,ola
119,Abhang::N,لمن,šlaitas
120,Abhang::N,لمن,nuokalnė
121,Quelle::N,چینه,versmė
122,Quelle::N,چینه,šaltinis
123,Bach::N,واله,upelis
124,Fluss::N,سیند,upė
125,Ufer::N,غاړه,krantas
126,Küste::N,ساحل,pajūris
127,Festland::N,وچه,sausuma
128,Meer::N,بحر,jūra
129,Meer::N,سمندر,jūra
130,Bucht::N,کارۍ,įlanka
131,Bucht::N,کارۍ,užutekis
132,Insel::N,ټاپو,sala
133,Insel::N,جزيره,sala
134,Blume::N,ګل,gėlė
135,Gras::N,واښه,žolė
136,Wurzel::N,ریښه,šaknis
137,Baum::N,ونه,medis
138,Stamm::N,ډډ,kamienas
139,Rinde::N,پوستکی,žievė
140,Ast::N,ښاخ,šaka
141,Zweig::N,څانګه,šakelė
142,Blatt::N,پاڼه,lapas
143,Birke::N,توس,beržas
144,Kiefer[Baum]::N,نښتر,pušis
145,Weide[Baum]::N,وله,karklas
146,Tanne::N,ناجو,eglė
147,Tanne::N,ناجو,kėnis
148,Horn::N,ښکر,ragas
149,Feder::N,بڼکه,plunksna
150,Fell::N,پوستکی,kailis
151,Flügel::N,وزر,sparnas
152,Klaue::N,پنجه,kanopa
153,Klaue::N,منګول,kanopa
154,Kralle::N,پنجه,nagas
155,Kralle::N,منګول,nagas
156,Schwanz::N,لکۍ,uodega
157,Ei::N,وۍ,kiaušinis
158,Ei::N,هګۍ,kiaušinis
159,Nest::N,جاله,gūžta
160,Nest::N,جاله,lizdas
161,Bau::N,کاز,ola
162,Tier::N,ژوی,gyvūnas
163,Tier::N,حیوان,gyvūnas
164,Herde::N,رمه,banda
165,Herde::N,رمه,kaimenė
166,Herde::N,غېله,banda
167,Herde::N,غېله,kaimenė
168,Kuh::N,غوا,karvė
169,Bulle::N,غوئی,bulius
170,Pferd::N,آس,arklys
171,Schaf::N,پسه,avis
172,Schwein::N,سرکوزی,kiaulė
173,Hund::N,سپی,šuo
174,Katze::N,پشه,katė
175,Bär::N,خرس,lokys
176,Eichhörnchen::N,خړ لمی,voveraitė
177,Elch::N,ګوزن,briedis
178,Fuchs::N,سپلم,lapė
179,Hase::N,سوی,kiškas
180,Maus::N,مږک,pelė
181,Wolf::N,لېوه,vilkas
182,Vogel::N,مرغه,paukštis
183,Schwarm::N,سېل,spiečius
