,Concept_ID,cs,ady
0,Auge::N,oko,нэ
1,Ohr::N,ucho,тхьакӏу́м
2,Nase::N,nos,пэ
3,Mund::N,pusa,жэ
4,Zahn::N,zub,цэ
5,Zunge::N,jazyk,бзэгу
6,Lippe::N,ret,ӏупшӏэ́
7,Wange::N,tvář,нэкӏу́шъу
8,Gesicht::N,obličej,нэ́гу
9,Stirn::N,čelo,натӏэ́
10,Haar::N,vlas,шъхьацы́
11,Haar::N,vlasy,шъхьацы́
12,Schnurrbart::N,kníry,
13,Bart::N,vousy,жакӏэ́
14,Kinn::N,brada,жэкӏэпэпкъ
15,Kiefer[Anatomie]::N,čelist,жэпкъы́
16,Kehle::N,hrdlo,чый
17,Hals::N,krk,пшъэ
18,Genick::N,týl,шъхьэпхэтыку
19,Kopf::N,hlava,шъхьэ́
20,Rücken::N,záda,кӏыбы́
21,Rücken::N,hřbet,кӏыбы́
22,Bauch::N,břicho,ныбэ́
23,Nabel::N,pupek,
24,Busen::N,ňadra,бгъэ́
25,Brust::N,prsa,бгъэ́
26,Schulter::N,plece,блыпкъ
27,Schulter::N,rameno,блыпкъ
28,Arm::N,ruka,ӏэ
29,Ellenbogen::N,loket,ӏэнтэ́гъу
30,Hand::N,ruka,ӏэтхьэцу
31,Handfläche::N,dlaň,ӏэ́гу
32,Finger::N,prst,ӏэхъуа́мб
33,Fingernagel::N,nehet,ӏэбжъа́н
34,Nagel[Anatomie]::N,nehet,ӏэбжъа́н
35,Zeh::N,prst u nohy,ӏэхъуа́мб
36,Fuß::N,noha,лъэгу
37,Ferse::N,pata,лъэдакъэ
38,Knie::N,koleno,лъагуа́ндж
39,Oberschenkel::N,stehno,ко
40,Bein::N,noha,лъакъо́
41,Körper::N,tělo,пкъышъол
42,Haut::N,kůže,кӏы́шъу
43,Blut::N,krev,лъы
44,Ader::N,céva,льытф
45,Sehne::N,šlacha,фэ
46,Knochen::N,kost,къупшъхьэ́
47,Gehirn::N,mozek,куцӏы
48,Herz::N,srdce,гу
49,Magen::N,žaludek,мышкӏу
50,Leber::N,játra,шӏу
51,Atem::N,dech,къэщэныр
52,Hunger::N,hlad,гъаблэ́
53,Träne::N,slza,нэпсы
54,Geschmack::N,vkus,ӏэшӏугъа́кӏ
55,Geruch::N,vůně,мэ
56,Geruch::N,zápach,мэ
57,Schlaf::N,spánek,пчыхьы́пӏ
58,Traum::N,sen,пчыхьы́пӏ
59,Himmel::N,nebe,уашъо́
60,Sonne::N,slunce,тыгъэ
61,Mond::N,měsíc,мазэ
62,Stern::N,hvězda,жъуагъо́
63,Luft::N,vzduch,жьы
64,Wind::N,vítr,жьыбгъэ́
65,Welle::N,vlna,ор
66,Welle::N,vlna,оры
67,Wasser::N,voda,псы
68,Stein::N,kámen,мыжъо́
69,Boden::N,půda,чӏ́ыгу
70,Erde::N,země,чӏ́ыгу
71,Staub::N,prach,сап
72,Rauch::N,dým,ӏугъо́
73,Rauch::N,kouř,ӏугъо́
74,Funke::N,jiskra,мэшӏуа́ч
75,Feuer::N,oheň,машӏо́
76,Licht::N,světlo,нэфы
77,Licht::N,světlo,нэфын
78,Schatten::N,stín,жьау́
79,Schatten::N,stín,ныбжьыкъу
80,Wetter::N,počasí,
81,Nebel::N,mlha,пща́гъу
82,Wolke::N,mrak,ошъуапщэ
83,Wolke::N,oblak,ошъуапщэ
84,Regen::N,déšť,ощхы
85,Schnee::N,sníh,осы́
86,Eis::N,led,мылы
87,Frost::N,mráz,
88,Kälte::N,chlad,чъыӏэ́
89,Hitze::N,horko,фэба́е
90,Raureif::N,jinovatka,
91,Regenbogen::N,duha, лэгъупэкъо́пс
92,Donner::N,hrom,шыблэ́
93,Strömung::N,proudění,ток
94,Tropfen::N,kapka,ткӏопс
95,Tropfen::N,kapka,гъуаткӏу
96,Schaum::N,pěna,тхъурбэ
97,Schmutz::N,špína,псынжъы
98,See::N,jezero,хыку́м
99,See::N,jezero,псыхъура́й
100,Sumpf::N,močál,орыжъ
101,Sumpf::N,bažina,орыжъ
102,Moor::N,bažina,орыжъ
103,Moor::N,slatina,орыжъ
104,Wiese::N,louka,хъупӏэ́
105,Wiese::N,louka,мэкъупӏ
106,Wald::N,les,мэзы́
107,Hügel::N,kopec,ӏуашъхь
108,Anhöhe::N,pahorek,чӏыӏэтыгъ
109,Berg::N,hora,къушъхьэ́
110,Gipfel::N,vrchol,шыгу
111,Höhle::N,jeskyně,гъочӏэгъ
112,Abhang::N,svah,чапэ
113,Abhang::N,stráň,чапэ
114,Quelle::N,pramen,псынэчэ́чъ
115,Bach::N,potok,псышкуашку
116,Fluss::N,řeka,псыхъо́
117,Ufer::N,břeh,нэпкъы
118,Küste::N,pobřeží,ӏушъо
119,Festland::N,souš,чӏл́ыгу
120,Festland::N,pevnina,чӏл́ыгу
121,Meer::N,moře,хы
122,Bucht::N,záliv,хыблыгу
123,Bucht::N,zátoka,хыблыгу
124,Insel::N,ostrov,хыгъэхъу́н
125,Blume::N,květina,къэгъа́гь
126,Gras::N,tráva,уцы́
127,Wurzel::N,kořen,лъапсэ́
128,Baum::N,strom,чъыгы́
129,Stamm::N,kmen,пкъы
130,Rinde::N,kůra,пхъашъо́
131,Ast::N,větev,куамэ
132,Zweig::N,větev,къутамэ́
133,Blatt::N,lupen,тхьап
134,Birke::N,bříza,пчэн
135,Kiefer[Baum]::N,sosna,сэснэй
136,Kiefer[Baum]::N,borovice,сэснэй
137,Weide[Baum]::N,vrba,пце́л
138,Tanne::N,jedle,ель
139,Horn::N,roh,бжъэ
140,Feder::N,pero,къамӏы́й
141,Fell::N,srst,шъо
142,Flügel::N,křídlo,тамэ́
143,Klaue::N,dráp,лъэбжъа́н
144,Klaue::N,pazneht,лъэбжъа́н
145,Kralle::N,dráp,лъакъо
146,Schwanz::N,ocas,кӏэ
147,Ei::N,vejce,кӏэнкӏэ́
148,Nest::N,hnízdo,набгъо́
149,Bau::N,nora,гъу
150,Bau::N,nora,бы
151,Tier::N,zvíře,псэу́шъхь
152,Herde::N,stádo,ӏэхъогъу
153,Kuh::N,kráva,чэмы́
154,Bulle::N,býk,цу
155,Pferd::N,kůň,шы
156,Schaf::N,ovce,мэлы́
157,Schwein::N,vepř,къо
158,Schwein::N,prase,къо
159,Hund::N,pes,бьэ
160,Katze::N,kočka,чэты́у
161,Bär::N,medvěd,мышъэ́
162,Eichhörnchen::N,veverka,цызэ́
163,Elch::N,los,лось
164,Fuchs::N,liška,баджэ́
165,Hase::N,zajíc,тхьакӏумкӏы́хь
166,Maus::N,myš,цыгъо́
167,Wolf::N,vlk,тыгъу́жъ
168,Vogel::N,pták,бзы́у
169,Schwarm::N,roj,отэр
170,Schwarm::N,hejno,отэр
171,Huhn::N,kuře,чэты́
172,Huhn::N,slepice,чэты́
173,Hahn::N,kohout,атакъэ́
174,Gans::N,husa,къа́з
175,Adler::N,orel,
176,Ente::N,kachna,псычэ́т
177,Eule::N,sova,тыгъурыгъу
178,Kranich::N,jeřáb,къэрэ́у
179,Krähe::N,vrána,къолэ́жъ
180,Kuckuck::N,kukačka,куку́у
181,Schwan::N,labuť,
182,Fisch::N,ryba,пцэжъы́й
183,Barsch::N,okoun,тхыкъэц
184,Hecht::N,štika,лэнд
185,Schlange[Tier]::N,had,блэ́
186,Wurm::N,červ,хьамлыу
187,Spinne::N,pavouk,бэдж
188,Ameise::N,mravenec,къамзэ́гу
189,Laus::N,veš,цӏэ
190,Mücke::N,komár,аргъо́й
191,Fliege::N,moucha,бадзэ́
192,Schmetterling::N,motýl,хьампӏыра́шъу
193,Beere::N,bobule,маткӏо
194,Apfel::N,jablko,мыӏэры́с
195,Pilz::N,houba,хьаӏу
196,Zwiebel::N,cibule,бжьыны́
197,Saat::N,osivo,чылапхъ
198,Korn::N,zrno,цэ
199,Heu::N,seno,мэкъу
200,Schale::N,slupka,кӏы́шъу
201,Schale::N,skořápka,кӏы́шъу
202,Grube::N,jáma,машэ́
203,Falle::N,past,зэраубытырэ́ ӏэмэпсы́м
204,Falle::N,léčka,зэраубытырэ́ ӏэмэпсы́м
205,Schlinge::N,smyčka,бзыуубыт
206,Spur::N,stopa,ужы
207,Spur::N,stopa,лъэуж
208,Asche::N,popel,яжьэ́
209,Dreck::N,špína,псынжъы
210,Eisen::N,železo,гыучӏы́
211,Eisen::N,železo,къэнджа́л
212,Gold::N,zlato,дышъэ́
213,Silber::N,stříbro,тыжьы́н
214,Kohle::N,uhlí,шӏомыкӏ
215,Glas::N,sklo,апч
216,Lehm::N,jíl,етӏагъо́
217,Lehm::N,hlína,етӏагъо́
218,Sand::N,písek,пшахъо
219,Mensch::N,člověk,цӏыфы́
220,Mann::N,muž,хъулъфы́гъ
221,Frau::N,žena,бӏылъфыгъэ́
222,Kind::N,dítě,кӏэлэцӏы́кӏу
223,Junge::N,hoch,кӏэлэцӏы́кӏу
224,Junge::N,chlapec,кӏэлэцӏы́кӏу
225,Mädchen::N,děvče,пшъэшъэжъый
226,Familie::N,rodina,быны́
227,Familie::N,rodina,уна́гъу
228,Großvater::N,děd,тэтэ́жъ
229,Großvater::N,dědeček,тэтэ́жъ
230,Großmutter::N,babička,нэнэ́жъ
231,Eltern::N,rodiče,ны-тыхэ́р
232,Vater::N,otec,ты
233,Mutter::N,matka,ны
234,Sohn::N,syn,къо
235,Tochter::N,dcera,пхъу
236,Bruder::N,bratr,шы
237,Schwester::N,sestra,шы́пхъу
238,Onkel::N,strýc,янэ́ш
239,Tante::N,teta,атэшыпхъу
240,Ehemann::N,choť,лӏы
241,Ehemann::N,manžel,лӏы
242,Ehefrau::N,choť,шъу́з
243,Ehefrau::N,manželka,шъу́з
244,Freude::N,radost,гушӏуа́гъу
245,Gelächter::N,smích,щхыныр
246,Glück::N,štěstí,насы́п
247,Kummer::N,žal,тхьамыкӏагъу
248,Kummer::N,trápení,тхьамыкӏагъу
249,Wunsch::N,přání,шӏонгъоны́гъ
250,Lust::N,chuť,шӏонгъоны́гъ
251,Geist::N,duch,гу
252,Gedanke::N,myšlenka,гупшыс
253,Gedächtnis::N,paměť,память
254,Verstand::N,rozum,акъы́л
255,Sinn::N,smysl,мэхьанэ
256,Grund::N,důvod,ушъхьагъу
257,Wahrheit::N,pravda,шъыпкъэ́
258,Gespräch::N,rozhovor,гущыӏ
259,Märchen::N,pohádka,пшысэ
260,Erzählung::N,povídka,къэба́р
261,Nachricht::N,zpráva,къэба́р
262,Neuigkeit::N,novina,къэбарыкӏ
263,Neuigkeit::N,novinka,къэбарыкӏ
264,Name::N,jméno,цӏэ
265,Rätsel::N,hádanka,коджэхь-къоджэшх
266,Rede::N,řeč,гущыӏ
267,Rede::N,proslov,гущыӏ
268,Sprache::N,řeč,бзэ
269,Sprache::N,jazyk,бзэ
270,Stimme::N,hlas,макъэ́
271,Wort::N,slovo,гущыӏ
272,Zeichen::N,znamení,тамы́гъ
273,Ruf::N,zavolání,джэ макъ
274,Lärm::N,hluk,макъэ
275,Laut::N,zvuk,макъэ
276,Ton::N,tón,
277,Lied::N,píseň,орэ́д
278,Ruhe::N,klid,самбырыныгъ
279,Ruhe::N,pokoj,самбырыныгъ
280,Leute::N,lidé,цӏыфхэ́р
281,Volk::N,národ,цӏыф лъэпкъ
282,Arbeit::N,práce,ӏофшӏакӏэ́н
283,Gast::N,host,хьакӏэ́
284,Geschenk::N,dar,шӏухьафтын
285,Spiel::N,hra,еоны́р
286,Spiel::N,hra,джэгуны́р
287,Spiel::N,hra,къегъэӏоны́р
288,Gesellschaft::N,společnost,обществ
289,Hilfe::N,pomoc,ӏэпыӏэгъу
290,Freund::N,přítel,ныбджэгъу
291,Kamerad::N,kamarád,ныбджэгъу
292,Angelegenheit::N,záležitost,ӏофы́
293,Anzahl::N,počet,пчъагъэ́
294,Art::N,druh,изэрэщы́т
295,Art::N,druh,лъэпкъ
296,Stück::N,kus,такъы́р
297,Stück::N,kousek,такъы́р
298,Teil::N,díl,щыщ
299,Teil::N,díl,ӏахь
300,Teil::N,část,щыщ
301,Teil::N,část,ӏахь
302,Hälfte::N,půl,ныкъо́
303,Kreis::N,kruh,хъура́й
304,Kreuz::N,kříž,къащ
305,Linie::N,linka,хъахъ
306,Linie::N,linka,итхъа́гъ
307,Strich::N,čára,хъахъ
308,Strich::N,čára,итхъагъ
309,Strich::N,čárka,хъахъ
310,Strich::N,čárka,итхъагъ
311,Abstand::N,vzdálenost,азыфагу
312,Entfernung::N,vzdálenost,чӏыгууанэ
313,Gegend::N,krajina,чӏыпӏэ́
314,Platz::N,prostor,азыфагу
315,Ort::N,místo,чӏыпӏэ́
316,Seite::N,strana,лъэны́къу
317,Mitte::N,střed,гузэ́гу
318,Mitte::N,prostředek,гузэ́гу
319,Gegenstand::N,předmět,пкъыгъо
320,Sache::N,věc,
321,Rand::N,kraj,цакӏэ́
322,Rand::N,okraj,цакӏэ́
323,Kante::N,hrana,цэгэналъ
324,Ecke::N,roh,къогъу
325,Spitze::N,hrot,пакӏэ
326,Spitze::N,špička,пакӏэ
327,Ende::N,konec,кӏэ
328,Loch::N,díra,гъуа́н
329,Winkel::N,kout,къогъу
330,Muster::N,vzor,тхыпхъэ
331,Größe::N,velikost,иина́гъ
332,Länge::N,délka,икӏыхьа́гъ
333,Höhe::N,výška,лъэгагъ
334,Gewicht::N,váha,онтэгъугъэ́
335,Menge::N,množství,пчъагъэ́
336,Haufen::N,kupa,ӏат
337,Haufen::N,hromada,ӏат
338,Reihe::N,řada,саты́р
339,Reihe::N,řádek,саты́р
340,Boot::N,člun,къуашъо́
341,Ruder::N,veslo,къошъобэ́щ
342,Schlitten::N,sáně,
343,Ski::N,lyže,лыжэхэр
344,Lagerfeuer::N,táborák,пхъэмашӏу
345,Last::N,náklad,
346,Last::N,břemeno,
347,Gang::N,chůze,кӏоныр
348,Gang::N,chodba,кӏоныр
349,Schritt::N,krok,лъэубэ́къу
350,Norden::N,sever,темы́р
351,Süden::N,jih,къыблэ́
352,Westen::N,západ,тыгъэкъохьа́пӏ
353,Osten::N,východ,тыгьэкъокӏы́пӏ
354,Holz::N,dřevo,чъыгы́
355,Brett::N,prkno,пхъэ́мбгъу
356,Platte::N,deska,упсыхьагъ
357,Stütze::N,opěra,кӏэгъэкъон
358,Stange::N,tyč,къорэ́гъ
359,Stange::N,tyčka,къорэ́гъ
360,Stock::N,hůlka,бэщ
361,Stab::N,hůl,бэщ кӏы́хь
362,Rohr::N,trubka,онджэкъ
363,Haus::N,dům,унэ́
364,Heim::N,domov,унэ́
365,Ofen::N,kamna,гъэжъэн
366,Fußboden::N,podlaha,джэхашъу
367,Tisch::N,stůl,стол
368,Stuhl::N,židle,пхъэнтӏэ́кӏу
369,Wiege::N,kolébka,кушъэ́
370,Bett::N,postel,пӏэкӏо́р
371,Regal::N,regál,мэкӏай
372,Regal::N,police,мэкӏай
373,Kiste::N,bedna,ящык
374,Fenster::N,okno,шъхьаныгъу́пчъ
375,Tür::N,dveře,пчъэ
376,Tor::N,vrata,къэла́пчъ
377,Zaun::N,plot,шӏыхьагъэ́
378,Dach::N,střecha,шъхьэ́
379,Leiter::N,žebřík,лъэо́й
380,Leiter::N,žebřík,дэкӏояпӏэ́
381,Besen::N,koště,пхъэнкӏы́пхъ
382,Besen::N,smeták,пхъэнкӏы́пхъ
383,Spaten::N,rýč,къазгъы́р
384,Schaufel::N,lopata,хэӏалъ
385,Gabel::N,vidlička,цацэ
386,Löffel::N,lžíce,джэмы́шх
387,Messer::N,nůž,шъэжъы́й
388,Nagel::N,hřebík,гъучӏыӏу́н
389,Netz::N,síť,хъытыу
390,Haken::N,hák,хьажтӏаркъу
391,Griff::N,držadlo,къопс
392,Schloss::N,zámek,ӏункӏы́бз
