,Concept_ID,fi,is
1290,betrügen::V,petkuttaa,svíkja
1291,betrügen::V,petkuttaa,blekkja
1292,töten::V,tappaa,drepa
1293,wohnen::V,asua,búa
1294,arbeiten::V,tehdä työtä,vinna
1295,arbeiten::V,työskennellä,vinna
1296,sammeln::V,koota,safna
1297,sammeln::V,kerätä,safna
1298,pflücken::V,poimia,tína
1299,pflücken::V,poimia,reyta
1300,jagen::V,metsästää,veiða
1301,fischen::V,kalastaa,fiska
1302,fassen::V,pyydystää,veiða
1303,fassen::V,saalistaa,veiða
1304,hüten::V,paimentaa,gæta
1305,hüten::V,paimentaa,vakta
1306,treiben::V,ajaa,reka
1307,anbinden::V,kytkeä,binda við
1308,anbinden::V,kytkeä,binda fast
1309,füttern::V,ruokkia,fóðra
1310,melken::V,lypsää,mjólka
1311,hacken::V,hakata,höggva
1312,gießen::V,kastella,hella
1313,reifen::V,kypsyä,þroskast
1314,zubereiten::V,valmistaa,elda
1315,zubereiten::V,valmistaa,tilbúa
1316,kochen::V,keittää,sjóða
1317,backen::V,leipoa,baka
1318,braten::V,paistaa,steikja
1319,umrühren::V,hämmentää,hræra í
1320,stricken::V,kutoa,prjóna
1321,stricken::V,neuloa,prjóna
1322,nähen::V,ommella,sauma
1323,färben::V,värjätä,lita
1324,färben::V,värittää,lita
1325,reinigen::V,puhdistaa,hreinsa
1326,waschen::V,pestä,þvo
1327,abwischen::V,pyyhkiä,þerra
1328,spülen::V,huuhtoa,skola
1329,spülen::V,huuhtoa,þvo upp
1330,fegen::V,pyyhkäistä,sópa
1331,fegen::V,pyyhkäistä,hreinsa
1332,kehren::V,lakaista,sópa
1333,baden::V,kylpeä,baða sig
1334,sich waschen::V,peseytyä,þvo sér
1335,ausziehen::V,riisua,fara úr
1336,anziehen::V,pukea ylleen,fara í
1337,sich anziehen::V,pukeutua,klæðast
1338,kämmen::V,kammata,greiða
1339,schmücken::V,koristaa,prýða
1340,schmücken::V,koristaa,skreyta
1341,schmücken::V,kaunistaa,prýða
1342,schmücken::V,kaunistaa,skreyta
1343,sagen::V,sanoa,segja
1344,sprechen::V,puhua,tala
1345,reden::V,keskustella,ræða
1346,sich unterhalten::V,jutella,spjalla
1347,sich unterhalten::V,jutella,ræðast við
1348,fragen::V,kysyä,spyrja
1349,bitten::V,pyytää,biðja
1350,erzählen::V,kertoa,segja frá
1351,mitteilen::V,ilmoittaa,tilkynna
1352,nennen::V,kutsua,nefna
1353,nennen::V,nimittää,nefna
1354,rufen::V,kutsua,kalla
1355,prahlen::V,kerskailla,gorta
1356,übersetzen::V,kääntää,þýða
1357,denken::V,miettiä,hugsa
1358,denken::V,ajatella,hugsa
1359,glauben::V,uskoa,trúa
1360,bemerken::V,huomata,taka eftir
1361,erkennen::V,tunnistaa,þekkja
1362,begreifen::V,ymmärtää,skilja
1363,verstehen::V,ymmärtää,skilja
1364,lernen::V,oppia,læra
1365,wissen::V,tietää,vita
1366,sich erinnern an::V,muistaa,minnast
1367,vergessen::V,unohtaa,gleyma
1368,messen::V,mitata,mæla
1369,zählen::V,laskea,telja
1370,rechnen::V,laskea,reikna
1371,lesen::V,lukea,lesa
1372,malen::V,maalata,mála
1373,zeichnen::V,piirtää,teikna
1374,zeichnen::V,piirustaa,teikna
1375,schreiben::V,kirjoittaa,skrifa
1376,besitzen::V,omistaa,hafa
1377,kaufen::V,ostaa,kaupa
1378,verkaufen::V,myydä,selja
1379,bezahlen::V,maksaa,borga
1380,zahlen::V,maksaa,borga
1381,beherrschen::V,hallita,hafa á valdi sínu
1382,ertragen::V,kestää,þola
