,Concept_ID,ga,ce
0,Auge::N,súil,бӏаьрг
1,Ohr::N,cluas,лерг
2,Nase::N,soc,мара
3,Mund::N,béal,бага
4,Zahn::N,fiacail,церг
5,Zunge::N,teanga,мотт
6,Lippe::N,liopa,балда
7,Wange::N,grua,бесни
8,Wange::N,leiceann,бесни
9,Gesicht::N,éadan,юьхь
10,Gesicht::N,aghaidh,юьхь
11,Stirn::N,baithis,хьаж
12,Stirn::N,clár éadain,хьаж
13,Haar::N,gruaig,мас
14,Schnurrbart::N,croiméal,мекх
15,Bart::N,féasóg,маж
16,Kinn::N,smig,чӏениг
17,Kiefer[Anatomie]::N,giall,мочхал
18,Kehle::N,scornach,къамкъарг
19,Hals::N,muinéal,ворта
20,Genick::N,baic,кӏесаркӏаг
21,Kopf::N,ceann,корта
22,Rücken::N,droim,букъ
23,Bauch::N,bolg,кийра
24,Nabel::N,imleacán,цӏонга
25,Busen::N,cíoch,зударийн накха
26,Brust::N,brollach,накха
27,Schulter::N,gualainn,белш
28,Arm::N,lámh,пхьарс
29,Ellenbogen::N,uillinn,пхьаьрсан гола
30,Hand::N,lámh,куьг
31,Handfläche::N,bos,кераюкъ
32,Finger::N,méar,пӏелг
33,Fingernagel::N,ionga,мӏара
34,Nagel[Anatomie]::N,ionga,мӏара
35,Zeh::N,ladhar,кога пӏелг
36,Fuß::N,cos,ког
37,Fuß::N,troigh,ког
38,Ferse::N,sáil,кӏажа
39,Knie::N,glúin,гола
40,Oberschenkel::N,ceathrú,варе
41,Bein::N,cos,ког
42,Körper::N,corp,хӏума
43,Körper::N,colainn,хӏума
44,Haut::N,cneas,чкъор
45,Haut::N,craiceann,чкъор
46,Blut::N,fuil,цӏий
47,Sehne::N,teannán,хьорзам
48,Sehne::N,féitheog,хьорзам
49,Knochen::N,cnámh,даьӏахк
50,Gehirn::N,inchinn,хье
51,Herz::N,croí,дог
52,Magen::N,bolg,зорх
53,Magen::N,goile,зорх
54,Leber::N,ae,доӏах
55,Atem::N,anáil,садеӏар
56,Hunger::N,ocras,мацалла
57,Träne::N,deoir,бӏаьрхи
58,Geschmack::N,blas,чам
59,Geruch::N,boladh,хьожа
60,Schlaf::N,suan,наб
61,Schlaf::N,codladh,наб
62,Traum::N,taibhreamh,гӏан
63,Himmel::N,spéir,стигал
64,Sonne::N,grian,малх
65,Mond::N,ré,бутт
66,Mond::N,gealach,бутт
67,Stern::N,rinn,седа
68,Stern::N,réalta,седа
69,Luft::N,aer,xӏаваъ
70,Wind::N,gaoth,мох
71,Welle::N,tonn,тулгӏе
72,Wasser::N,uisce,хи
73,Stein::N,cloch,тӏулг
74,Boden::N,talamh,цӏенкъа
75,Erde::N,cré,латта
76,Erde::N,ithir,латта
77,Staub::N,dusta,чан
78,Staub::N,deannach,чан
79,Rauch::N,toit,кӏур
80,Rauch::N,deatach,кӏур
81,Funke::N,drithle,суй
82,Feuer::N,tine,цӏе
83,Licht::N,solas,серло
84,Schatten::N,scáth,ӏиндагӏ
85,Wetter::N,aimsir,хенан хӏоттам
86,Nebel::N,ceo,дохк
87,Wolke::N,néal,марха
88,Wolke::N,scamall,марха
89,Regen::N,báisteach,догӏа
90,Regen::N,fearthainn,догӏа
91,Schnee::N,sneachta,ло
92,Eis::N,oighear,ша
93,Frost::N,sioc,шело
94,Kälte::N,fuacht,шело
95,Hitze::N,teas,йовхо
96,Hitze::N,teocht,йовхо
97,Raureif::N,sioc bán,йис
98,Regenbogen::N,stua ceatha,стелаӏад
99,Regenbogen::N,bogha báistí,стелаӏад
100,Donner::N,toirneach,ткъес
101,Strömung::N,sruth,дӏаэхар
102,Strömung::N,sruth,дӏасалелар
103,Tropfen::N,deoir,тӏадам
104,Schaum::N,cúr,чопа
105,Schmutz::N,salachar,хатт
106,See::N,loch,ӏам
107,Sumpf::N,portach,уьшал
108,Moor::N,caorán,уьшал
109,Moor::N,móinteán,уьшал
110,Wiese::N,cluain,бай
111,Wiese::N,móinéar,бай
112,Wald::N,coill,хьун
113,Wald::N,foraois,хьун
114,Hügel::N,ard,гу
115,Hügel::N,ard,шу
116,Hügel::N,ard,барз
117,Anhöhe::N,ard,акъари
118,Anhöhe::N,ardán,акъари
119,Berg::N,sliabh,лам
120,Gipfel::N,barr,бохь
121,Gipfel::N,mullach,бохь
122,Höhle::N,uaimh,хьех
123,Höhle::N,pluais,хьех
124,Abhang::N,fána,басе
125,Quelle::N,foinse,шовда
126,Bach::N,sruthán,татол
127,Fluss::N,abhainn,хи
128,Ufer::N,bruach,хийист
129,Küste::N,cósta,йист
130,Küste::N,cladach,йист
131,Festland::N,míntír,латта
132,Meer::N,muir,xӏорд
133,Meer::N,farraige,xӏорд
134,Bucht::N,bá,чож
135,Bucht::N,cuan,чож
136,Insel::N,inis,гӏайре
137,Insel::N,oileán,гӏайре
138,Blume::N,bláth,зезаг
139,Gras::N,féar,буц
140,Wurzel::N,rúta,орам
141,Wurzel::N,fréamh,орам
142,Baum::N,crann,дитт
143,Stamm::N,stoc,гӏад
144,Stamm::N,stoc,тайпа
145,Stamm::N,tamhan,гӏад
146,Stamm::N,tamhan,тайпа
147,Rinde::N,coirt,кевстиг
148,Rinde::N,craiceann,кевстиг
149,Ast::N,géag,га
150,Zweig::N,géag,га
151,Zweig::N,craobh,га
152,Blatt::N,duille,гӏа
153,Blatt::N,duilleog,гӏа
154,Birke::N,beith,дакх
155,Birke::N,crann beithe,дакх
156,Kiefer[Baum]::N,péine,бага
157,Weide[Baum]::N,saileach,дак
158,Tanne::N,giúis,база
159,Horn::N,adharc,маӏа
160,Feder::N,cleite,пелаг
161,Fell::N,clúmh,цӏока
162,Flügel::N,eite,тӏам
163,Flügel::N,sciathán,тӏам
164,Klaue::N,crúb,мӏара
165,Klaue::N,crobh,мӏара
166,Kralle::N,crobh,тlод
167,Schwanz::N,eireaball,цӏога
168,Ei::N,ubh,xӏoa
169,Nest::N,nead,бен
170,Bau::N,brocais,lуьрг
171,Tier::N,ainmhí,дийнат
172,Tier::N,beithíoch,дийнат
173,Herde::N,tréad,жа
174,Kuh::N,bó,етт
175,Bulle::N,tarbh,сту
176,Pferd::N,each,говр
177,Pferd::N,capall,говр
178,Schaf::N,caora,жий
179,Schaf::N,caora,уьстагӏ
180,Schwein::N,muc,хьакха
181,Hund::N,madra,жӏаьла
182,Katze::N,cat,цициг
183,Bär::N,béar,ча
184,Eichhörnchen::N,iora,тарсал
185,Elch::N,eilc,сай
186,Fuchs::N,sionnach,цхьогал
187,Fuchs::N,madra rua,цхьогал
188,Hase::N,giorria,пхьагал
189,Maus::N,luch,дахка
190,Wolf::N,mac tíre,борз
191,Vogel::N,éan,олхазар
192,Schwarm::N,saithe,
193,Huhn::N,cearc,котам
194,Hahn::N,coileach,нӏаьна
195,Hahn::N,coileach,боргӏал
196,Gans::N,gé,гӏаз
197,Adler::N,iolar,aьрзу
198,Ente::N,lacha,бад
199,Eule::N,ulchabhán,бухӏа
200,Kranich::N,grús,гӏаргӏули
201,Krähe::N,caróg,къиг
202,Krähe::N,préachán,къиг
203,Kuckuck::N,cuach,aттйокх
204,Schwan::N,eala,гӏургӏаз
205,Fisch::N,iasc,чӏара
206,Barsch::N,péirse,окунь
207,Hecht::N,liús,гӏазкхийн чӏара
208,Schlange[Tier]::N,nathair,лаьхьа
209,Wurm::N,péist,нӏаьна
210,Spinne::N,damhán alla,гезг
211,Ameise::N,seangán,зингат
212,Laus::N,míol,меза
213,Laus::N,míol,гӏениг
214,Mücke::N,muiscít,чуьрк
215,Mücke::N,corrmhíol,чуьрк
216,Fliege::N,cuil,моза
217,Fliege::N,cuileog,моза
218,Schmetterling::N,féileacán,полла
219,Beere::N,caor,цӏазам
220,Apfel::N,úll,ӏаж
221,Pilz::N,beacán,жӏаьлин нускал
222,Pilz::N,muisiriún,жӏаьлин нускал
223,Zwiebel::N,oinniún,xох
224,Saat::N,síol,чlу
225,Korn::N,gráinne,буьртиг
226,Heu::N,féar,йол
227,Schale::N,scaimh,пардо
228,Grube::N,poll,ор
229,Falle::N,gaiste,кӏело
230,Schlinge::N,sealán,
231,Spur::N,rian,лар
232,Asche::N,luaith,чим
233,Dreck::N,salachar,мода
234,Eisen::N,iarann,эчиг
235,Gold::N,ór,деши
236,Silber::N,airgead,дети
237,Kohle::N,gual,кӏора
238,Glas::N,gloine,aнгали
239,Lehm::N,cré,поппар
240,Sand::N,gaineamh,гӏум
241,Mensch::N,duine,адам
242,Mann::N,fear,майра
243,Frau::N,bean,зуда
244,Kind::N,gasúr,бер
245,Kind::N,páiste,бер
246,Junge::N,buachaill,жимха
247,Mädchen::N,cailín,жима йоӏ
248,Familie::N,teaghlach,доьзал
249,Familie::N,comhluadar,доьзал
250,Großvater::N,seanathair,ненада
251,Großmutter::N,seanmháthair,денана
252,Eltern::N,tuismitheoirí,да-нана
253,Vater::N,athair,да
254,Mutter::N,máthair,нана
255,Sohn::N,mac,кӏант
256,Tochter::N,iníon,йоӏ
257,Bruder::N,deartháir,ваша
258,Schwester::N,deirfiúr,йиша
259,Onkel::N,uncail,деваша
260,Tante::N,aintín,дейиша
261,Ehemann::N,fear céile,майра
262,Ehefrau::N,bean chéile,зуда
263,Freude::N,áthas,самукъа
264,Freude::N,áthas,хазахетар
265,Gelächter::N,gáire,белам
266,Glück::N,séan,ирс
267,Glück::N,sonas,ирс
268,Kummer::N,brón,бала
