,Concept_ID,lt,fa
0,Auge::N,akis,چشم
1,Ohr::N,ausis,گوش
2,Nase::N,nosis,بینی
3,Mund::N,burna,دهان
4,Zahn::N,dantis,دندان
5,Zunge::N,liežuvis,زبان
6,Lippe::N,lūpa,لب
7,Wange::N,žandas,لپ
8,Wange::N,skruostas,لپ
9,Gesicht::N,veidas,رو
10,Gesicht::N,veidas,چهره
11,Stirn::N,kakta,پیشانی
12,Haar::N,plaukai,مو
13,Schnurrbart::N,ūsai,سبیل
14,Bart::N,barzda,ریش
15,Kinn::N,smakras,چانه
16,Kiefer[Anatomie]::N,žandikaulis,فک
17,Kiefer[Anatomie]::N,žandikaulis,آرواره
18,Kehle::N,gerklė,حلق
19,Hals::N,kaklas,گردن
20,Genick::N,sprandas,پشت گردن
21,Kopf::N,galva,سر
22,Kopf::N,galva,کله
23,Rücken::N,nugara,پشت
24,Bauch::N,pilvas,شکم
25,Nabel::N,bamba,ناف
26,Busen::N,krūtinė,پستان
27,Brust::N,krūtis,سینه
28,Schulter::N,petys,دوش
29,Schulter::N,petys,شانه
30,Arm::N,ranka,بازو
31,Ellenbogen::N,alkūnė,آرنج
32,Hand::N,ranka,دست
33,Hand::N,plaštaka,دست
34,Handfläche::N,delnas,کف دست
35,Handfläche::N,plaštaka,کف دست
36,Finger::N,pirštas,انگشت
37,Fingernagel::N,nagas,ناخن دست
38,Nagel[Anatomie]::N,nagas,ناخن
39,Zeh::N,pirštas,انگشت پا
40,Fuß::N,pėda,پا
41,Ferse::N,kulnas,پاشنه
42,Knie::N,kelis,زانو
43,Oberschenkel::N,kulšis,ران
44,Oberschenkel::N,šlaunis,ران
45,Bein::N,koja,پا
46,Bein::N,koja,لنگ
47,Körper::N,kūnas,تن
48,Körper::N,kūnas,بدن
49,Haut::N,oda,پوست
50,Blut::N,kraujas,خون
51,Ader::N,kraujagyslė,رگ
52,Sehne::N,sausgyslė,زردپی
53,Knochen::N,kaulas,استخوان
54,Gehirn::N,smegenys,مخ
55,Gehirn::N,smegenys,مغز
56,Herz::N,širdis,دل
57,Herz::N,širdis,قلب
58,Magen::N,skrandis,معده
59,Leber::N,kepenys,کبد
60,Atem::N,kvapas,نفس
61,Hunger::N,badas,گرسنگی
62,Hunger::N,alkis,گرسنگی
63,Träne::N,ašara,اشک
64,Geschmack::N,skonis,مزه
65,Geruch::N,kvapas,بو
66,Schlaf::N,miegas,خواب
67,Traum::N,sapnas,رؤیا
68,Himmel::N,dangus,فلک
69,Himmel::N,dangus,آسمان
70,Sonne::N,saulė,آفتاب
