,Concept_ID,vep,uk
0,Auge::N,sil'm,око
1,Ohr::N,korv,вухо
2,Nase::N,nena,ніс
3,Mund::N,su,рот
4,Zahn::N,pi,зуб
5,Zahn::N,hambaz,зуб
6,Zunge::N,kel',язик
7,Lippe::N,hul',губа
8,Wange::N,modpolišk,щока
9,Gesicht::N,mod,обличчя
10,Stirn::N,oc,лоб
11,Haar::N,tuk,волосся
12,Haar::N,hibuz,волосся
13,Schnurrbart::N,habinod,вуса
14,Bart::N,bard,борода
15,Kinn::N,löug,підборіддя
16,Kiefer[Anatomie]::N,hambazlu,щелепа
17,Kehle::N,kurk,горло
18,Hals::N,kagl,шия
19,Genick::N,tagarai,потилиця
20,Kopf::N,pä,голова
21,Rücken::N,sel'g,спина
22,Bauch::N,vac,живіт
23,Bauch::N,koht,живіт
24,Nabel::N,naba,пупок
25,Busen::N,niža,груди
26,Brust::N,rind,груди
27,Schulter::N,oug,плече
28,Arm::N,käzi,рука
29,Ellenbogen::N,künambruz,лікоть
30,Hand::N,käzi,рука
31,Hand::N,käzitera,рука
32,Handfläche::N,kämen,долоня
33,Finger::N,sor'm,палець
34,Fingernagel::N,künz',ніготь
35,Nagel[Anatomie]::N,künz',ніготь
36,Zeh::N,barbaz,палець на нозі
37,Fuß::N,jaug,нога
38,Ferse::N,kand,п’ятка
39,Knie::N,komb,коліно
40,Knie::N,pol'v,коліно
41,Oberschenkel::N,riiže,стегно
42,Bein::N,jaug,нога
43,Körper::N,hibj,тіло
44,Haut::N,nahk,шкіра
45,Blut::N,čak,кров
46,Blut::N,veri,кров
47,Ader::N,son',вена
48,Sehne::N,jände,сухожилля
49,Knochen::N,lu,кістка
50,Gehirn::N,aivod,мозок
51,Herz::N,südäin,серце
52,Magen::N,südäikoht,шлунок
53,Leber::N,maks,печінка
54,Atem::N,hengaiduz,дихання
55,Hunger::N,näl'g,голод
56,Träne::N,kündal',сльоза
57,Geschmack::N,magu,смак
58,Geruch::N,haju,запах
59,Schlaf::N,uni,сон
60,Schlaf::N,uni,сплячка
61,Traum::N,unikuva,сон
62,Himmel::N,taivaz,небо
63,Sonne::N,päiväine,сонце
64,Mond::N,kudmaine,місяць
65,Stern::N,tähtaz,зірка
66,Luft::N,il'm,повітря
67,Wind::N,döl,вітер
68,Wind::N,tullei,вітер
69,Welle::N,ald,хвиля
70,Welle::N,laineh,хвиля
71,Wasser::N,vezi,вода
72,Stein::N,kivi,камінь
73,Boden::N,ma,ґрунт
74,Boden::N,pohj,ґрунт
75,Erde::N,ma,земля
76,Staub::N,pölü,пил
77,Rauch::N,savu,дим
78,Funke::N,kibin,іскра
79,Feuer::N,lämoi,вогонь
80,Licht::N,vauktuz,світло
81,Schatten::N,pil'vez,тінь
82,Schatten::N,kuvahaine,тінь
83,Wetter::N,sä,погода
