,Concept_ID,se,sq
0,Auge::N,tjelmie,sy
1,Auge::N,tjalmme,sy
2,Auge::N,čalbmi,sy
3,Auge::N,čalme,sy
4,Auge::N,čâ´lmm,sy
5,Auge::N,ча̄лльм,sy
6,Ohr::N,bieljie,vesh
7,Ohr::N,biellje,vesh
8,Ohr::N,beallji,vesh
9,Ohr::N,pelji,vesh
10,Ohr::N,pe´llj,vesh
11,Ohr::N,пе̄лльй,vesh
12,Nase::N,njuenie,hundë
13,Nase::N,njunnje,hundë
14,Nase::N,njunni,hundë
15,Nase::N,njuṇe,hundë
16,Nase::N,njuu´nn,hundë
17,Nase::N,нюннҍ,hundë
18,Mund::N,njaelmie,gojë
19,Mund::N,njálmme,gojë
20,Mund::N,njálbmi,gojë
21,Mund::N,njälmi,gojë
22,Mund::N,njä´lmm,gojë
23,Mund::N,ня̄лльм,gojë
24,Zahn::N,baenie,dhëmb
25,Zahn::N,bádne,dhëmb
26,Zahn::N,bátni,dhëmb
27,Zahn::N,pääṇi,dhëmb
28,Zahn::N,pää´nn,dhëmb
29,Zahn::N,па̄ннҍ,dhëmb
30,Zunge::N,njoektjeme,gjuhë
31,Zunge::N,njuovtjav,gjuhë
32,Zunge::N,njuovčča,gjuhë
33,Zunge::N,njuovčâ,gjuhë
34,Zunge::N,njuhččâm,gjuhë
35,Zunge::N,нюхчем,gjuhë
36,Lippe::N,bangseme,buzë
37,Lippe::N,njálmmerabdda,buzë
38,Lippe::N,bavssa,buzë
39,Lippe::N,poovsâ,buzë
40,Lippe::N,põõus,buzë
41,Lippe::N,пэ̄кс,buzë
42,Wange::N,skiehrie,faqe
43,Wange::N,skiehrie,mollëz
44,Wange::N,nierra,faqe
45,Wange::N,nierra,mollëz
46,Wange::N,muohtu,faqe
47,Wange::N,muohtu,mollëz
48,Wange::N,nieṛâ,faqe
49,Wange::N,nieṛâ,mollëz
50,Wange::N,njiõrr,faqe
51,Wange::N,njiõrr,mollëz
52,Wange::N,нӣрр,faqe
53,Wange::N,нӣрр,mollëz
54,Gesicht::N,ååredæjja,fytyrë
55,Gesicht::N,muohto,fytyrë
56,Gesicht::N,muođut,fytyrë
57,Gesicht::N,ámadadju,fytyrë
58,Gesicht::N,muáđuh,fytyrë
59,Gesicht::N,muâđ,fytyrë
60,Gesicht::N,ка̄ссв,fytyrë
61,Stirn::N,gaalloe,ballë
62,Stirn::N,gállo,ballë
63,Stirn::N,gállu,ballë
64,Stirn::N,kállu,ballë
65,Stirn::N,käll,ballë
66,Stirn::N,вуэххьц,ballë
67,Haar::N,voepte,flokë
68,Haar::N,vuoppta,flokë
69,Haar::N,vuokta,flokë
70,Haar::N,vuop'tâ,flokë
71,Haar::N,vuõpt,flokë
72,Haar::N,вӯппт,flokë
73,Schnurrbart::N,bijjie-skaavtjoe,mustaqe
74,Schnurrbart::N,njunjevuolskávttjá,mustaqe
75,Schnurrbart::N,seamu,mustaqe
76,Schnurrbart::N,siämu,mustaqe
77,Schnurrbart::N,ää´bben,mustaqe
78,Schnurrbart::N,о̄а̄бпан,mustaqe
79,Bart::N,skaavtja,mjekër
80,Bart::N,skaavtjoe,mjekër
81,Bart::N,skávttjá,mjekër
82,Bart::N,seamu,mjekër
83,Bart::N,siämu,mjekër
84,Bart::N,seäm,mjekër
85,Bart::N,ся̄м,mjekër
86,Kinn::N,gaejpie,mjekër
87,Kinn::N,gájbbe,mjekër
88,Kinn::N,gáibi,mjekër
89,Kinn::N,käibi,mjekër
90,Kinn::N,käi´bb,mjekër
91,Kinn::N,ка̄ййп,mjekër
92,Kiefer[Anatomie]::N,gaejpie,nofull
93,Kiefer[Anatomie]::N,oalol,nofull
94,Kiefer[Anatomie]::N,oaloldákte,nofull
95,Kiefer[Anatomie]::N,gáibi,nofull
96,Kiefer[Anatomie]::N,uá'lultähti,nofull
97,Kiefer[Anatomie]::N,vuâl'lõš,nofull
98,Kiefer[Anatomie]::N,вуаллнешш,nofull
99,Kehle::N,gealoe,fyt
100,Kehle::N,gealoe,grykë
101,Kehle::N,tjåttå,fyt
102,Kehle::N,tjåttå,grykë
103,Kehle::N,njiello,fyt
104,Kehle::N,njiello,grykë
105,Kehle::N,čotta,fyt
106,Kehle::N,čotta,grykë
107,Kehle::N,čuudâ,fyt
108,Kehle::N,čuudâ,grykë
109,Kehle::N,čoodd,fyt
110,Kehle::N,čoodd,grykë
111,Kehle::N,чонт,fyt
112,Kehle::N,чонт,grykë
113,Kehle::N,кэ̄ҏс,fyt
114,Kehle::N,кэ̄ҏс,grykë
115,Hals::N,tjeapohke,qafë
116,Hals::N,tjiebet,qafë
117,Hals::N,čeabet,qafë
118,Hals::N,čiäppát,qafë
119,Hals::N,čeäppat,qafë
120,Hals::N,ча̄пэх,qafë
121,Genick::N,tjovrese,arrëz
122,Genick::N,nisske,arrëz
123,Genick::N,niehkki,arrëz
124,Genick::N,niski,arrëz
125,Genick::N,niek'ki,arrëz
126,Genick::N,nji´šǩǩmaadd,arrëz
127,Genick::N,нышшькмоант,arrëz
128,Kopf::N,åejjie,kokë
129,Kopf::N,oajvve,kokë
130,Kopf::N,oaivi,kokë
131,Kopf::N,uái'vi,kokë
132,Kopf::N,vuei´vv,kokë
133,Kopf::N,вуэййв,kokë
134,Rücken::N,rudtje,kurriz
135,Rücken::N,hárddo,kurriz
136,Rücken::N,tjavelk,kurriz
137,Rücken::N,sealgi,kurriz
138,Rücken::N,selgi,kurriz
139,Rücken::N,čielgi,kurriz
140,Rücken::N,seä´lǧǧ,kurriz
141,Rücken::N,се̄лльк,kurriz
142,Bauch::N,tjåejjie,bark
143,Bauch::N,tjoajvve,bark
144,Bauch::N,čoavji,bark
145,Bauch::N,čuáv'ji,bark
146,Bauch::N,čåu´jj,bark
147,Bauch::N,чо̄ввьй,bark
148,Nabel::N,naepie,kërthizë
149,Nabel::N,náhpe,kërthizë
150,Nabel::N,náhpi,kërthizë
151,Nabel::N,nääpi,kërthizë
152,Nabel::N,nää´pp,kërthizë
153,Nabel::N,на̄бпь,kërthizë
154,Busen::N,boenge,gji
155,Busen::N,bållå,gji
156,Busen::N,čižži,gji
157,Busen::N,njamma,gji
158,Busen::N,njižže,gji
159,Busen::N,nje´ǯǯ,gji
160,Busen::N,раннҍт,gji
161,Brust::N,mïelke,gjoks
162,Brust::N,mïelke,kraharor
163,Brust::N,radde,gjoks
164,Brust::N,radde,kraharor
165,Brust::N,mielgga,gjoks
166,Brust::N,mielgga,kraharor
167,Brust::N,raddi,gjoks
168,Brust::N,raddi,kraharor
169,Brust::N,radde,gjoks
170,Brust::N,radde,kraharor
171,Brust::N,râ´dd,gjoks
172,Brust::N,râ´dd,kraharor
173,Brust::N,раннҍт,gjoks
