,Concept_ID,hu,is
0,Auge::N,szem,auga
1,Ohr::N,fül,eyra
2,Nase::N,orr,nef
3,Mund::N,száj,munnur
4,Zahn::N,fog,tönn
5,Zunge::N,nyelv,tunga
6,Lippe::N,ajak,vör
7,Wange::N,orca,kinn
8,Wange::N,orca,vangi
9,Gesicht::N,arc,andlit
10,Stirn::N,homlok,enni
11,Haar::N,haj,hár
12,Schnurrbart::N,bajusz,yfirskegg
13,Bart::N,szakáll,skegg
14,Kinn::N,áll,haka
15,Kiefer[Anatomie]::N,állkapocs,kjálki
16,Kiefer[Anatomie]::N,állkapocs,skoltur
17,Kehle::N,gége,kverk
18,Kehle::N,torok,kverk
19,Hals::N,nyak,háls
20,Genick::N,tarkó,hnakki
21,Kopf::N,fő,höfuð
22,Kopf::N,fej,höfuð
23,Rücken::N,hát,hryggur
24,Bauch::N,has,kviður
25,Nabel::N,köldök,nafli
26,Busen::N,mell,barmur
27,Busen::N,kebel,barmur
28,Brust::N,mell,brjóst
29,Schulter::N,váll,öxl
30,Arm::N,kar,armur
31,Ellenbogen::N,könyök,olnbogi
32,Hand::N,kéz,hönd
33,Handfläche::N,tenyér,lófi
34,Finger::N,ujj,fingur
35,Fingernagel::N,köröm,fingurnögl
36,Nagel[Anatomie]::N,köröm,nögl
37,Zeh::N,lábujj,tá
38,Fuß::N,láb,fótur
39,Ferse::N,sarok,hæll
40,Knie::N,térd,kné
41,Oberschenkel::N,comb,læri
42,Bein::N,láb,fótleggur
43,Bein::N,lábszár,fótleggur
44,Körper::N,test,búkur
45,Körper::N,test,líkami
46,Haut::N,bőr,húð
47,Haut::N,bőr,skinn
48,Blut::N,vér,blóð
49,Ader::N,ér,æð
50,Sehne::N,ín,sin
51,Knochen::N,csont,bein
52,Gehirn::N,agy,heili
53,Gehirn::N,agyvelő,heili
54,Herz::N,szív,hjarta
55,Magen::N,gyomor,magi
56,Leber::N,máj,lifur
57,Atem::N,lehelet,andi
58,Atem::N,lehelet,andardráttur
59,Atem::N,lélegzet,andi
60,Atem::N,lélegzet,andardráttur
61,Hunger::N,éhség,hungur
62,Träne::N,könny,tár
63,Geschmack::N,íz,smekkur
64,Geruch::N,szag,lykt
65,Schlaf::N,álom,svefn
66,Schlaf::N,alvás,svefn
67,Traum::N,álom,draumur
68,Himmel::N,ég,himinn
69,Himmel::N,menny,himinn
70,Sonne::N,nap,sól
71,Mond::N,hold,tungl
72,Stern::N,csillag,stjarna
73,Luft::N,levegő,loft
74,Wind::N,szél,vindur
75,Welle::N,hullám,alda
76,Welle::N,hullám,bylgja
77,Wasser::N,víz,vatn
78,Stein::N,kő,steinn
79,Boden::N,föld,botn
80,Boden::N,talaj,botn
81,Erde::N,föld,jörð
82,Staub::N,por,ryk
83,Staub::N,por,duft
84,Rauch::N,füst,reykur
85,Funke::N,szikra,neisti
86,Feuer::N,tűz,eldur
87,Licht::N,fény,ljós
88,Schatten::N,árnyék,skuggi
89,Wetter::N,idő,veður
90,Wetter::N,időjárás,veður
91,Nebel::N,köd,þoka
92,Wolke::N,felhő,ský
93,Regen::N,eső,regn
94,Schnee::N,hó,snjór
95,Eis::N,jég,ís
96,Frost::N,fagy,frost
97,Kälte::N,hideg,kuldi
98,Hitze::N,hő,hiti
99,Hitze::N,hőség,hiti
100,Raureif::N,zúzmara,hrím
101,Regenbogen::N,szivárvány,regnbogi
102,Donner::N,dörgés,þruma
103,Donner::N,mennydörgés,þruma
104,Strömung::N,áramlat,straumur
105,Tropfen::N,csepp,dropi
106,Schaum::N,hab,froða
107,Schaum::N,tajték,froða
108,Schmutz::N,piszok,óhreinindi
109,See::N,tó,stöðuvatn
110,Sumpf::N,mocsár,fen
111,Moor::N,láp,mýri
112,Wiese::N,rét,engi
113,Wiese::N,mező,engi
114,Wald::N,erdő,skógur
115,Hügel::N,domb,hæð
116,Hügel::N,domb,hóll
117,Anhöhe::N,magaslat,hæð
118,Anhöhe::N,magaslat,hóll
119,Berg::N,hegy,fell
120,Berg::N,hegy,fjall
121,Gipfel::N,csúcs,tindur
122,Höhle::N,barlang,hellir
123,Abhang::N,lejtő,hlíð
124,Abhang::N,lejtő,brekka
125,Quelle::N,forrás,lind
126,Quelle::N,forrás,uppspretta
127,Bach::N,patak,lækur
128,Fluss::N,folyó,á
129,Fluss::N,folyó,fljót
130,Ufer::N,part,árbakki
131,Ufer::N,part,sjávarbakki
132,Küste::N,tengerpart,strönd
133,Festland::N,szárazföld,meginland
134,Meer::N,tenger,haf
135,Meer::N,tenger,sjór
136,Bucht::N,öböl,vík
137,Insel::N,sziget,eyja
138,Blume::N,virág,blóm
139,Gras::N,fű,gras
140,Wurzel::N,gyökér,rót
141,Baum::N,fa,tré
142,Stamm::N,tő,stofn
143,Stamm::N,törzs,stofn
144,Rinde::N,kéreg,börkur
