,Concept_ID,nl,es
0,Auge::N,oog,ojo
1,Ohr::N,oor,oreja
2,Nase::N,neus,nariz
3,Mund::N,mond,boca
4,Zahn::N,tand,diente
5,Zunge::N,tong,lengua
6,Lippe::N,lip,labio
7,Wange::N,wang,mejilla
8,Gesicht::N,gelaat,cara
9,Gesicht::N,gezicht,cara
10,Stirn::N,voorhoofd,frente
11,Haar::N,haar,cabello
12,Schnurrbart::N,snor,bigote
13,Bart::N,baard,barba
14,Kinn::N,kin,barbilla
15,Kiefer[Anatomie]::N,kaak,mandíbula
16,Kehle::N,keel,garganta
17,Kehle::N,strot,garganta
18,Hals::N,hals,cuello
19,Genick::N,nek,nuca
20,Genick::N,nek,cerviz
21,Kopf::N,hoofd,cabeza
22,Rücken::N,rug,espalda
23,Bauch::N,buik,vientre
24,Nabel::N,navel,ombligo
25,Busen::N,boezem,pecho
26,Brust::N,borst,pecho
27,Schulter::N,schouder,hombro
28,Arm::N,arm,brazo
29,Ellenbogen::N,elleboog,codo
30,Hand::N,hand,mano
31,Handfläche::N,handpalm,palma
32,Finger::N,vinger,dedo
33,Fingernagel::N,nagel,uña
34,Nagel[Anatomie]::N,nagel,uña
35,Zeh::N,teen,dedo del pie
36,Fuß::N,voet,pie
37,Ferse::N,hak,talón
38,Ferse::N,hiel,talón
39,Knie::N,knie,rodilla
40,Oberschenkel::N,dij,muslo
41,Bein::N,been,pierna
42,Körper::N,lichaam,cuerpo
43,Haut::N,huid,piel
44,Blut::N,bloed,sangre
45,Ader::N,ader,vena
46,Sehne::N,pees,tendón
47,Knochen::N,bot,hueso
48,Knochen::N,been,hueso
49,Knochen::N,knook,hueso
50,Gehirn::N,hersenen,cerebro
51,Gehirn::N,hersenen,encéfalo
52,Herz::N,hart,corazón
53,Magen::N,maag,estómago
54,Leber::N,lever,hígado
55,Atem::N,adem,aliento
56,Hunger::N,honger,hambre
57,Träne::N,traan,lágrima
58,Geschmack::N,smaak,gusto
59,Geruch::N,geur,olor
60,Schlaf::N,slaap,sueño
