,Concept_ID,mrj,sq
0,Auge::N,сӹнзӓ,sy
1,Ohr::N,пӹлӹш,vesh
2,Nase::N,нер,hundë
3,Mund::N,ышма,gojë
4,Zahn::N,пӱ,dhëmb
5,Zunge::N,йӹлмӹ,gjuhë
6,Lippe::N,тӹрвӹ,buzë
7,Wange::N,шӹргӹ,faqe
8,Wange::N,шӹргӹ,mollëz
9,Gesicht::N,лицӓ,fytyrë
10,Stirn::N,лепкӓ,ballë
11,Haar::N,ӱп,flokë
12,Schnurrbart::N,öрш,mustaqe
13,Bart::N,пандаш,mjekër
14,Kinn::N,онгылаш,mjekër
15,Kiefer[Anatomie]::N,пӱ арата,nofull
16,Kehle::N,логер,fyt
17,Kehle::N,логер,grykë
18,Hals::N,шӱ,qafë
19,Genick::N,ланга,arrëz
20,Kopf::N,вуй,kokë
21,Rücken::N,туп,kurriz
22,Bauch::N,мӹшкӹр,bark
23,Nabel::N,кӹлӹмдӹ,kërthizë
24,Busen::N,цӹзӹ,gji
25,Brust::N,мел,gjoks
26,Brust::N,мел,kraharor
27,Schulter::N,ӹнгӹжӓ,sup
28,Schulter::N,ӹнгӹжӓ,krah
29,Arm::N,кид,krah
30,Ellenbogen::N,кӹнервуй,bërryl
31,Hand::N,лапа,dorë
32,Handfläche::N,кид лапа,pëllëmbë
33,Finger::N,парня,gisht
34,Fingernagel::N,кӹч,thua
35,Nagel[Anatomie]::N,кӹч,thua
36,Zeh::N,парня,gisht i këmbës
37,Fuß::N,ял лапа,këmbë
38,Ferse::N,ялгавал,thembër
39,Ferse::N,ял кавал,thembër
40,Knie::N,пылвуй,gju
41,Oberschenkel::N,ӓрдӹ,kofshë
42,Bein::N,ял,këmbë
43,Körper::N,монгыр,trup
44,Haut::N,кавашты,lëkurë
45,Blut::N,вӹр,gjak
46,Ader::N,вӹршӓр,venë
47,Sehne::N,кукшышӱн,dell
48,Knochen::N,лу,asht
49,Knochen::N,лу,kockë
50,Gehirn::N,вим,tru
51,Herz::N,шӱм,zemër
52,Magen::N,шӱм,stomak
53,Leber::N,мокш,mëlçi
54,Atem::N,шӱлӹш,frymë
55,Hunger::N,шужымаш,uri
56,Träne::N,сӹнзӓвӹд,lot
57,Geschmack::N,тот,shije
58,Geruch::N,пыш,erë
59,Schlaf::N,ом,gjumë
60,Traum::N,ом,ëndërr
61,Himmel::N,пӹлгом,qiell
62,Sonne::N,кечӹ,diell
63,Mond::N,тӹлзӹ,hënë
64,Stern::N,шӹдӹр,yll
65,Luft::N,юж,ajër
66,Luft::N,воздух,ajër
67,Wind::N,мардеж,erë
68,Welle::N,ко,valë
69,Welle::N,ко,dallgë
70,Welle::N,коэ,valë
71,Welle::N,коэ,dallgë
72,Wasser::N,вӹд,ujë
73,Stein::N,кӱ,gur
74,Boden::N,рок,tokë
75,Boden::N,рок,truall
76,Erde::N,свет,dhe
77,Erde::N,свет,baltë
78,Staub::N,пырак,pluhur
79,Rauch::N,шӹкш,tym
80,Funke::N,ип,xixë
81,Funke::N,ип,shkëndijë
82,Funke::N,тылип,xixë
83,Funke::N,тылип,shkëndijë
84,Feuer::N,тыл,zjarr
85,Licht::N,соты,dritë
86,Licht::N,валгыды,dritë
87,Schatten::N,ӹмӹл,hije
88,Wetter::N,игечӹ,mot
89,Nebel::N,тӹтӹрӓ,mjegull
90,Wolke::N,пӹл,re
91,Regen::N,юр,shi
92,Schnee::N,лым,borë
93,Eis::N,и,akull
94,Frost::N,ӱштӹ,ngricë
95,Kälte::N,ӱштӹ,të ftohtë
96,Hitze::N,шокшы,vapë
97,Hitze::N,шокшы,nxehtësi
98,Raureif::N,пöрш,cikmë
99,Regenbogen::N,шанавӹл,ylber
100,Donner::N,хӹдӹртӹш,gjëmim
101,Donner::N,хӹдӹртӹш,bubullimë
102,Strömung::N,йогы,rrymë
103,Tropfen::N,капльы,pikë
104,Tropfen::N,капльык,pikë
105,Schaum::N,шонг,shkumë
106,Schmutz::N,лявӹрӓ,baltë
107,See::N,йӓр,liqen
108,Sumpf::N,лӱкӹ,batak
109,Moor::N,куп,kënetë
110,Wiese::N,алык,livadh
111,Wald::N,шӹргӹ,pyll
112,Hügel::N,пӱгӹрикӓ,kodër
113,Anhöhe::N,кӱкшикӓ,bregore
114,Berg::N,кырык,mal
115,Gipfel::N,неркӓ,kulm
116,Höhle::N,ы́раж,shpellë
117,Höhle::N,ы́раж,zgafelle
118,Abhang::N,полом,shpat
119,Abhang::N,полом,tatëpjetë
120,Quelle::N,вӹдсӹнзӓ,krua
121,Quelle::N,вӹдсӹнзӓ,burim
122,Bach::N,ӓнгӹр,virua
123,Fluss::N,вӹд,lumë
124,Ufer::N,сир,breg
125,Küste::N,сир,anëdet
126,Küste::N,сир,bregdet
127,Festland::N,мӱлӓндӹ,kontinent
128,Meer::N,тангыж,det
129,Bucht::N,вӹдъял,gji deti
130,Insel::N,острок,ishull
131,Insel::N,острок,ujdhesë
132,Blume::N,пеледӹш,lule
133,Gras::N,шуды,bar
134,Wurzel::N,важ,rrënjë
