,Concept_ID,sl,sl
0,Auge::N,okó,okó
1,Ohr::N,uhó,uhó
2,Nase::N,nós,nós
3,Mund::N,ústa,ústa
4,Zahn::N,zób,zób
5,Zunge::N,jêzik,jêzik
6,Lippe::N,ústnica,ústnica
7,Wange::N,líce,líce
8,Gesicht::N,oblíčje,oblíčje
9,Stirn::N,čêlo,čêlo
10,Haar::N,lás,lás
11,Schnurrbart::N,bŕki,bŕki
12,Bart::N,bráda,bráda
13,Kinn::N,bráda,bráda
14,Kiefer[Anatomie]::N,čeljúst,čeljúst
15,Kehle::N,gŕlo,gŕlo
16,Hals::N,vrát,vrát
17,Genick::N,zatílnik,zatílnik
18,Kopf::N,gláva,gláva
19,Rücken::N,hrbèt,hrbèt
20,Bauch::N,trébuh,trébuh
21,Nabel::N,pópek,pópek
22,Busen::N,nédrja,nédrja
23,Brust::N,pŕsi,pŕsi
24,Schulter::N,ráma,ráma
25,Schulter::N,ráma,plêče
26,Schulter::N,plêče,ráma
27,Schulter::N,plêče,plêče
28,Arm::N,rôka,rôka
29,Ellenbogen::N,komólec,komólec
30,Hand::N,rôka,rôka
31,Handfläche::N,dlán,dlán
32,Finger::N,pŕst,pŕst
33,Fingernagel::N,nóht na rôki,nóht na rôki
34,Nagel[Anatomie]::N,nóht,nóht
35,Zeh::N,pŕst na nôgi,pŕst na nôgi
36,Fuß::N,nôga,nôga
37,Ferse::N,pêta,pêta
38,Knie::N,koléno,koléno
39,Oberschenkel::N,stêgno,stêgno
40,Bein::N,nôga,nôga
41,Körper::N,teló,teló
42,Haut::N,kóža,kóža
43,Blut::N,krí,krí
44,Ader::N,žíla,žíla
45,Sehne::N,kíta,kíta
46,Knochen::N,kóst,kóst
47,Gehirn::N,možgáni,možgáni
48,Herz::N,srcé,srcé
49,Magen::N,želódec,želódec
50,Leber::N,jétra,jétra
51,Atem::N,díh,díh
52,Hunger::N,glád,glád
53,Träne::N,sólza,sólza
54,Geschmack::N,okús,okús
55,Geruch::N,vónj,vónj
56,Schlaf::N,sèn,sèn
57,Schlaf::N,sèn,spánec
58,Schlaf::N,spánec,sèn
59,Schlaf::N,spánec,spánec
60,Traum::N,sánje,sánje
61,Himmel::N,nebó,nebó
62,Sonne::N,sónce,sónce
63,Mond::N,lúna,lúna
64,Mond::N,lúna,mésec
65,Mond::N,mésec,lúna
66,Mond::N,mésec,mésec
67,Stern::N,zvézda,zvézda
68,Luft::N,zràk,zràk
69,Wind::N,véter,véter
70,Welle::N,vál,vál
71,Wasser::N,vôda,vôda
72,Stein::N,kámen,kámen
73,Boden::N,tlà,tlà
74,Erde::N,pŕst,pŕst
75,Erde::N,pŕst,zêmlja
76,Erde::N,zêmlja,pŕst
77,Erde::N,zêmlja,zêmlja
78,Staub::N,práh,práh
79,Rauch::N,dìm,dìm
80,Funke::N,ískra,ískra
81,Feuer::N,ôgenj,ôgenj
82,Licht::N,lúč,lúč
83,Schatten::N,sénca,sénca
84,Wetter::N,vrême,vrême
85,Nebel::N,meglà,meglà
86,Wolke::N,oblák,oblák
87,Regen::N,dèž,dèž
88,Schnee::N,snég,snég
89,Eis::N,léd,léd
90,Frost::N,zmrzál,zmrzál
91,Kälte::N,mràz,mràz
92,Hitze::N,pripéka,pripéka
93,Raureif::N,ívje,ívje
94,Raureif::N,ívje,slána
95,Raureif::N,slána,ívje
96,Raureif::N,slána,slána
