,Concept_ID,ja,kv
0,Auge::N,目,син
1,Ohr::N,耳,пель
2,Nase::N,鼻,ныр
3,Mund::N,口,ӧм
4,Zahn::N,歯,пинь
5,Zunge::N,舌,кыв
6,Lippe::N,唇,тырп
7,Wange::N,頬,рожабан
8,Gesicht::N,顔,бан
9,Stirn::N,額,кымӧс
10,Haar::N,髪,юрси
11,Schnurrbart::N,口髭,уссэз
12,Bart::N,髭,тош
13,Kinn::N,顎,тшӧка
14,Kiefer[Anatomie]::N,顎,ан
15,Kehle::N,喉,юан
16,Hals::N,首,юан
17,Genick::N,首,юр бӧр
18,Kopf::N,頭,юр
19,Rücken::N,背中,мышк
20,Bauch::N,腹,кынӧм
21,Bauch::N,お腹,кынӧм
22,Nabel::N,へそ,гӧг
23,Busen::N,乳房,морос
24,Brust::N,胸,морос
25,Schulter::N,肩,пельпон
26,Arm::N,腕,ки
27,Ellenbogen::N,肘,гырдзза
28,Hand::N,手,кикар
29,Handfläche::N,手のひら,ки пыдӧс
30,Finger::N,指,чунь
31,Fingernagel::N,爪,гыж
32,Nagel[Anatomie]::N,爪,гыж
33,Zeh::N,足の指,чунь
34,Fuß::N,足,кокпыдӧс
35,Ferse::N,かかと,кокдзир
36,Knie::N,膝,пидзӧс
37,Oberschenkel::N,上腿,лядьбей
38,Bein::N,足,кок
39,Körper::N,体,вывтыр
40,Haut::N,皮膚,кучик
41,Blut::N,血,вир
42,Ader::N,血管,сӧн
43,Sehne::N,腱,жила
44,Knochen::N,骨,коска
45,Gehirn::N,脳,вем
46,Herz::N,心,сьӧлӧм
47,Herz::N,心臓,сьӧлӧм
48,Magen::N,胃,жӧвдӧк
49,Leber::N,肝臓,мус
50,Atem::N,息,лолалӧм
51,Atem::N,呼吸,лолалӧм
52,Hunger::N,空腹,тшыг
53,Träne::N,涙,синва
54,Geschmack::N,味,кӧр
55,Geruch::N,匂い,дук
56,Schlaf::N,睡眠,он
57,Traum::N,夢,вӧт
58,Himmel::N,空,небо
59,Sonne::N,太陽,шондi
60,Mond::N,月,тӧлiсь
61,Stern::N,星,кӧдзыв
62,Luft::N,空気,ру
63,Wind::N,風,тӧв
64,Welle::N,波,гы
65,Wasser::N,水,ва
66,Stein::N,石,из
67,Boden::N,土地,му
68,Erde::N,土,му
69,Staub::N,埃,бус
70,Rauch::N,煙,тшын
71,Funke::N,火花,бичир
72,Feuer::N,火,би
73,Licht::N,光,би
74,Schatten::N,陰,вуджӧр
75,Wetter::N,天気,погоддя
76,Nebel::N,霧,туман
77,Wolke::N,雲,кымӧр
78,Regen::N,雨,зэр
79,Schnee::N,雪,лым
80,Eis::N,氷,йы
81,Frost::N,霜,мороз
82,Kälte::N,寒さ,кӧдзыт
83,Hitze::N,暑さ,ӧд
84,Raureif::N,霧氷,кижа
85,Regenbogen::N,虹,енӧшка
86,Donner::N,雷,гым
87,Strömung::N,流れ,визывтӧм
88,Tropfen::N,滴,тёп
