,Concept_ID,mdf,bn
0,Auge::N,сельме,চক্ষু
1,Ohr::N,пиле,কর্ণ
2,Nase::N,шалхка,নাক
3,Mund::N,курга,মুখ
4,Zahn::N,пей,দাঁত
5,Zunge::N,кяль,জিহবা
6,Lippe::N,търва́,অধর
7,Wange::N,щёка,গণ্ড
8,Gesicht::N,шама,মুখমণ্ডল
9,Stirn::N,коня,কপাল
10,Haar::N,шя́ярь,চুল
11,Schnurrbart::N,уса́,গোঁফ
12,Bart::N,сакал,শ্মশ্রু
13,Kinn::N,ула,চিবুক
14,Kiefer[Anatomie]::N,саласка,চোয়াল
15,Kehle::N,кълдома,কণ্ঠ
16,Kehle::N,кърга́парь,কণ্ঠ
17,Hals::N,сялдаз,গল
18,Genick::N,шовонь,ঘাড়
19,Kopf::N,пря,মাথা
20,Rücken::N,копорь,পৃষ্ঠ
21,Bauch::N,пеке,উদর
22,Nabel::N,по́кон,নাভি
23,Busen::N,потя,স্তন
24,Brust::N,мяште,বুক
25,Schulter::N,лафту,স্কন্ধ
26,Arm::N,кядь,বাহু
27,Ellenbogen::N,кенерьба́карь,কনুই
28,Hand::N,кядь,হাত
29,Handfläche::N,кядьлапш,করতল
30,Finger::N,сур,আঙ্গুল
31,Fingernagel::N,кенже,হাতের নখ
32,Nagel[Anatomie]::N,кенже,নখ
33,Zeh::N,пильгосу́р,আঙ্গুল
34,Fuß::N,пильге,পা
35,Fuß::N,пильгелапа,পা
36,Ferse::N,кочкяря,গোড়ালি
37,Knie::N,эль,হাঁটু
38,Knie::N,пълма́нжа,হাঁটু
39,Oberschenkel::N,пильгепукша,ঊরু
40,Bein::N,пильге,পা
41,Körper::N,ро́нга,দেহ
42,Körper::N,по́нда,দেহ
43,Haut::N,киське,ত্বক
44,Blut::N,вер,রক্ত
45,Ader::N,сан,শিরা
46,Ader::N,верза́н,শিরা
47,Sehne::N,коське сан,কণ্ডরা
48,Knochen::N,пакарь,অস্থি
49,Gehirn::N,уй,মস্তিষ্ক
50,Herz::N,седи,হৃৎপিণ্ড
