,Concept_ID,de,az
0,Auge::N,Auge,göz
1,Ohr::N,Ohr,qulaq
2,Nase::N,Nase,burun
3,Mund::N,Mund,ağız
4,Zahn::N,Zahn,diş
5,Zunge::N,Zunge,dil
6,Lippe::N,Lippe,dodaq
7,Wange::N,Wange,yanaq
8,Gesicht::N,Gesicht,üz
9,Stirn::N,Stirn,alın
10,Haar::N,Haar,saç
11,Schnurrbart::N,Schnurrbart,bığ
12,Bart::N,Bart,saqqal
13,Kinn::N,Kinn,çənə
14,Kiefer[Anatomie]::N,Kiefer,çənə
15,Kehle::N,Kehle,boğaz
16,Hals::N,Hals,boyun
17,Genick::N,Genick,ənsə
18,Kopf::N,Kopf,baş
19,Rücken::N,Rücken,bel
20,Bauch::N,Bauch,qarın
21,Nabel::N,Nabel,göbək
22,Busen::N,Busen,məmə
23,Brust::N,Brust,döş
24,Schulter::N,Schulter,çiyin
25,Arm::N,Arm,qol
26,Ellenbogen::N,Ellenbogen,dirsək
27,Hand::N,Hand,əl
28,Handfläche::N,Handfläche,ovuc
29,Finger::N,Finger,barmaq
30,Fingernagel::N,Fingernagel,barmaq dırnağı
31,Nagel[Anatomie]::N,Nagel,dırnak
32,Zeh::N,Zeh,ayaq barmağı
33,Fuß::N,Fuß,ayaq
34,Ferse::N,Ferse,daban
35,Knie::N,Knie,diz
36,Oberschenkel::N,Oberschenkel,bud
37,Bein::N,Bein,qıç
38,Körper::N,Körper,əndam
39,Haut::N,Haut,dəri
40,Blut::N,Blut,qan
41,Ader::N,Ader,damar
42,Sehne::N,Sehne,vətər
43,Knochen::N,Knochen,sümük
44,Gehirn::N,Gehirn,beyin
45,Herz::N,Herz,ürək
46,Magen::N,Magen,mədə
47,Leber::N,Leber,qara ciyər
48,Atem::N,Atem,nəfəs
49,Hunger::N,Hunger,aclıq
50,Träne::N,Träne,göz yaşı
51,Geschmack::N,Geschmack,tam
52,Geschmack::N,Geschmack,ləzzət
53,Geruch::N,Geruch,qoxu
54,Schlaf::N,Schlaf,yuxu
55,Traum::N,Traum,röya
56,Himmel::N,Himmel,göy
57,Himmel::N,Himmel,səma
58,Sonne::N,Sonne,günəş
59,Mond::N,Mond,ay
60,Stern::N,Stern,ulduz
61,Luft::N,Luft,hava
62,Wind::N,Wind,yel
63,Wind::N,Wind,külək
64,Welle::N,Welle,dalğa
65,Wasser::N,Wasser,su
66,Stein::N,Stein,daş
67,Boden::N,Boden,yer
68,Boden::N,Boden,zəmin
69,Erde::N,Erde,yer torpaq
70,Staub::N,Staub,toz
71,Rauch::N,Rauch,tüstü
72,Funke::N,Funke,qığılcım
73,Feuer::N,Feuer,od
74,Licht::N,Licht,işıq
75,Schatten::N,Schatten,kölgə
76,Wetter::N,Wetter,hava
77,Nebel::N,Nebel,duman
78,Wolke::N,Wolke,bulud
79,Regen::N,Regen,yağış
80,Regen::N,Regen,yağmur
81,Schnee::N,Schnee,qar
82,Eis::N,Eis,buz
83,Frost::N,Frost,ayaz
84,Kälte::N,Kälte,soyuq
85,Hitze::N,Hitze,coşğunluq
86,Raureif::N,Raureif,qırov
87,Regenbogen::N,Regenbogen,göy qurşağı
88,Donner::N,Donner,göy gurultusu
89,Strömung::N,Strömung,axın
90,Tropfen::N,Tropfen,damcı
91,Schaum::N,Schaum,köpük
92,Schmutz::N,Schmutz,çamır
93,See::N,See,göl
