,Concept_ID,de,ce
0,Auge::N,Auge,бӏаьрг
1,Ohr::N,Ohr,лерг
2,Nase::N,Nase,мара
3,Mund::N,Mund,бага
4,Zahn::N,Zahn,церг
5,Zunge::N,Zunge,мотт
6,Lippe::N,Lippe,балда
7,Wange::N,Wange,бесни
8,Gesicht::N,Gesicht,юьхь
9,Stirn::N,Stirn,хьаж
10,Haar::N,Haar,мас
11,Schnurrbart::N,Schnurrbart,мекх
12,Bart::N,Bart,маж
13,Kinn::N,Kinn,чӏениг
14,Kiefer[Anatomie]::N,Kiefer,мочхал
15,Kehle::N,Kehle,къамкъарг
16,Hals::N,Hals,ворта
17,Genick::N,Genick,кӏесаркӏаг
18,Kopf::N,Kopf,корта
19,Rücken::N,Rücken,букъ
20,Bauch::N,Bauch,кийра
21,Nabel::N,Nabel,цӏонга
22,Busen::N,Busen,зударийн накха
23,Brust::N,Brust,накха
24,Schulter::N,Schulter,белш
25,Arm::N,Arm,пхьарс
26,Ellenbogen::N,Ellenbogen,пхьаьрсан гола
27,Hand::N,Hand,куьг
28,Handfläche::N,Handfläche,кераюкъ
29,Finger::N,Finger,пӏелг
30,Fingernagel::N,Fingernagel,мӏара
31,Nagel[Anatomie]::N,Nagel,мӏара
32,Zeh::N,Zeh,кога пӏелг
33,Fuß::N,Fuß,ког
34,Ferse::N,Ferse,кӏажа
35,Knie::N,Knie,гола
36,Oberschenkel::N,Oberschenkel,варе
37,Bein::N,Bein,ког
38,Körper::N,Körper,хӏума
39,Haut::N,Haut,чкъор
40,Blut::N,Blut,цӏий
41,Ader::N,Ader,пха
42,Sehne::N,Sehne,хьорзам
43,Knochen::N,Knochen,даьӏахк
44,Gehirn::N,Gehirn,хье
45,Herz::N,Herz,дог
46,Magen::N,Magen,зорх
47,Leber::N,Leber,доӏах
48,Atem::N,Atem,садеӏар
49,Hunger::N,Hunger,мацалла
50,Träne::N,Träne,бӏаьрхи
51,Geschmack::N,Geschmack,чам
52,Geruch::N,Geruch,хьожа
53,Schlaf::N,Schlaf,наб
54,Traum::N,Traum,гӏан
55,Himmel::N,Himmel,стигал
56,Sonne::N,Sonne,малх
57,Mond::N,Mond,бутт
58,Stern::N,Stern,седа
59,Luft::N,Luft,xӏаваъ
60,Wind::N,Wind,мох
61,Welle::N,Welle,тулгӏе
62,Wasser::N,Wasser,хи
63,Stein::N,Stein,тӏулг
64,Boden::N,Boden,цӏенкъа
65,Erde::N,Erde,латта
66,Staub::N,Staub,чан
67,Rauch::N,Rauch,кӏур
68,Funke::N,Funke,суй
69,Feuer::N,Feuer,цӏе
70,Licht::N,Licht,серло
71,Schatten::N,Schatten,ӏиндагӏ
72,Wetter::N,Wetter,хенан хӏоттам
73,Nebel::N,Nebel,дохк
74,Wolke::N,Wolke,марха
75,Regen::N,Regen,догӏа
76,Schnee::N,Schnee,ло
77,Eis::N,Eis,ша
78,Frost::N,Frost,шело
79,Kälte::N,Kälte,шело
80,Hitze::N,Hitze,йовхо
81,Raureif::N,Raureif,йис
82,Regenbogen::N,Regenbogen,стелаӏад
83,Donner::N,Donner,ткъес
84,Strömung::N,Strömung,дӏаэхар
85,Strömung::N,Strömung,дӏасалелар
86,Tropfen::N,Tropfen,тӏадам
87,Schaum::N,Schaum,чопа
88,Schmutz::N,Schmutz,хатт
89,See::N,See,ӏам
90,Sumpf::N,Sumpf,уьшал
91,Moor::N,Moor,уьшал
92,Wiese::N,Wiese,бай
93,Wald::N,Wald,хьун
94,Hügel::N,Hügel,гу
95,Hügel::N,Hügel,шу
96,Hügel::N,Hügel,барз
97,Anhöhe::N,Anhöhe,акъари
98,Berg::N,Berg,лам
99,Gipfel::N,Gipfel,бохь
100,Höhle::N,Höhle,хьех
101,Abhang::N,Abhang,басе
102,Quelle::N,Quelle,шовда
103,Bach::N,Bach,татол
104,Fluss::N,Fluss,хи
105,Ufer::N,Ufer,хийист
106,Küste::N,Küste,йист
107,Festland::N,Festland,латта
108,Meer::N,Meer,xӏорд
109,Bucht::N,Bucht,чож
110,Insel::N,Insel,гӏайре
111,Blume::N,Blume,зезаг
112,Gras::N,Gras,буц
113,Wurzel::N,Wurzel,орам
114,Baum::N,Baum,дитт
115,Stamm::N,Stamm,гӏад
116,Stamm::N,Stamm,тайпа
117,Rinde::N,Rinde,кевстиг
118,Ast::N,Ast,га
119,Zweig::N,Zweig,га
120,Blatt::N,Blatt,гӏа
121,Birke::N,Birke,дакх
122,Kiefer[Baum]::N,Kiefer,бага
123,Weide[Baum]::N,Weide,дак
124,Tanne::N,Tanne,база
125,Horn::N,Horn,маӏа
126,Feder::N,Feder,пелаг
127,Fell::N,Fell,цӏока
128,Flügel::N,Flügel,тӏам
129,Klaue::N,Klaue,мӏара
130,Kralle::N,Kralle,тlод
131,Schwanz::N,Schwanz,цӏога
132,Ei::N,Ei,xӏoa
133,Nest::N,Nest,бен
134,Bau::N,Bau,lуьрг
135,Tier::N,Tier,дийнат
136,Herde::N,Herde,жа
137,Kuh::N,Kuh,етт
138,Bulle::N,Bulle,сту
139,Pferd::N,Pferd,говр
140,Schaf::N,Schaf,жий
141,Schaf::N,Schaf,уьстагӏ
142,Schwein::N,Schwein,хьакха
143,Hund::N,Hund,жӏаьла
144,Katze::N,Katze,цициг
145,Bär::N,Bär,ча
146,Eichhörnchen::N,Eichhörnchen,тарсал
147,Elch::N,Elch,сай
148,Fuchs::N,Fuchs,цхьогал
149,Hase::N,Hase,пхьагал
