,Concept_ID,lv,se
0,Auge::N,син,tjelmie
1,Auge::N,син,tjalmme
2,Auge::N,син,čalbmi
3,Auge::N,син,čalme
4,Auge::N,син,čâ´lmm
5,Auge::N,син,ча̄лльм
6,Auge::N,acs,tjelmie
7,Auge::N,acs,tjalmme
8,Auge::N,acs,čalbmi
9,Auge::N,acs,čalme
10,Auge::N,acs,čâ´lmm
11,Auge::N,acs,ча̄лльм
12,Ohr::N,пель,bieljie
13,Ohr::N,пель,biellje
14,Ohr::N,пель,beallji
15,Ohr::N,пель,pelji
16,Ohr::N,пель,pe´llj
17,Ohr::N,пель,пе̄лльй
18,Ohr::N,auss,bieljie
19,Ohr::N,auss,biellje
20,Ohr::N,auss,beallji
21,Ohr::N,auss,pelji
22,Ohr::N,auss,pe´llj
23,Ohr::N,auss,пе̄лльй
24,Nase::N,ныр,njuenie
25,Nase::N,ныр,njunnje
26,Nase::N,ныр,njunni
27,Nase::N,ныр,njuṇe
28,Nase::N,ныр,njuu´nn
29,Nase::N,ныр,нюннҍ
30,Nase::N,deguns,njuenie
31,Nase::N,deguns,njunnje
32,Nase::N,deguns,njunni
33,Nase::N,deguns,njuṇe
34,Nase::N,deguns,njuu´nn
35,Nase::N,deguns,нюннҍ
36,Mund::N,вом,njaelmie
37,Mund::N,вом,njálmme
38,Mund::N,вом,njálbmi
39,Mund::N,вом,njälmi
40,Mund::N,вом,njä´lmm
41,Mund::N,вом,ня̄лльм
42,Mund::N,mute,njaelmie
43,Mund::N,mute,njálmme
44,Mund::N,mute,njálbmi
45,Mund::N,mute,njälmi
46,Mund::N,mute,njä´lmm
47,Mund::N,mute,ня̄лльм
48,Zahn::N,пинь,baenie
49,Zahn::N,пинь,bádne
50,Zahn::N,пинь,bátni
51,Zahn::N,пинь,pääṇi
52,Zahn::N,пинь,pää´nn
53,Zahn::N,пинь,па̄ннҍ
54,Zahn::N,zobs,baenie
55,Zahn::N,zobs,bádne
56,Zahn::N,zobs,bátni
57,Zahn::N,zobs,pääṇi
58,Zahn::N,zobs,pää´nn
59,Zahn::N,zobs,па̄ннҍ
60,Zunge::N,кыв,njoektjeme
61,Zunge::N,кыв,njuovtjav
62,Zunge::N,кыв,njuovčča
63,Zunge::N,кыв,njuovčâ
64,Zunge::N,кыв,njuhččâm
65,Zunge::N,кыв,нюхчем
66,Zunge::N,mēle,njoektjeme
67,Zunge::N,mēle,njuovtjav
68,Zunge::N,mēle,njuovčča
69,Zunge::N,mēle,njuovčâ
70,Zunge::N,mēle,njuhččâm
71,Zunge::N,mēle,нюхчем
72,Lippe::N,вом дор,bangseme
73,Lippe::N,вом дор,njálmmerabdda
74,Lippe::N,вом дор,bavssa
75,Lippe::N,вом дор,poovsâ
76,Lippe::N,вом дор,põõus
77,Lippe::N,вом дор,пэ̄кс
78,Lippe::N,lūpa,bangseme
79,Lippe::N,lūpa,njálmmerabdda
80,Lippe::N,lūpa,bavssa
81,Lippe::N,lūpa,poovsâ
82,Lippe::N,lūpa,põõus
83,Lippe::N,lūpa,пэ̄кс
84,Wange::N,бан,skiehrie
85,Wange::N,бан,nierra
86,Wange::N,бан,muohtu
87,Wange::N,бан,nieṛâ
88,Wange::N,бан,njiõrr
89,Wange::N,бан,нӣрр
90,Wange::N,vaigs,skiehrie
91,Wange::N,vaigs,nierra
92,Wange::N,vaigs,muohtu
93,Wange::N,vaigs,nieṛâ
94,Wange::N,vaigs,njiõrr
95,Wange::N,vaigs,нӣрр
96,Gesicht::N,чужӧм,ååredæjja
97,Gesicht::N,чужӧм,muohto
98,Gesicht::N,чужӧм,muođut
99,Gesicht::N,чужӧм,ámadadju
100,Gesicht::N,чужӧм,muáđuh
101,Gesicht::N,чужӧм,muâđ
102,Gesicht::N,чужӧм,ка̄ссв
103,Gesicht::N,seja,ååredæjja
104,Gesicht::N,seja,muohto
105,Gesicht::N,seja,muođut
106,Gesicht::N,seja,ámadadju
107,Gesicht::N,seja,muáđuh
108,Gesicht::N,seja,muâđ
109,Gesicht::N,seja,ка̄ссв
110,Gesicht::N,ģīmis,ååredæjja
111,Gesicht::N,ģīmis,muohto
112,Gesicht::N,ģīmis,muođut
113,Gesicht::N,ģīmis,ámadadju
114,Gesicht::N,ģīmis,muáđuh
115,Gesicht::N,ģīmis,muâđ
116,Gesicht::N,ģīmis,ка̄ссв
