,Concept_ID,av,kv
0,Ohr::N,гӏин,пель
1,Nase::N,мегӏер,ныр
2,Mund::N,кӏал,ӧм
3,Zahn::N,гӏус,пинь
4,Zunge::N,мацӏ,кыв
5,Lippe::N,кӏветӏ,тырп
6,Wange::N,гӏоно,рожабан
7,Gesicht::N,гьумер,бан
8,Stirn::N,нодо,кымӧс
9,Haar::N,рас,юрси
10,Schnurrbart::N,михъ,уссэз
11,Bart::N,мегеж,тош
12,Kinn::N,нилъу,тшӧка
13,Kiefer[Anatomie]::N,чанагъ,ан
14,Kehle::N,щекъер,юан
15,Hals::N,габур,юан
16,Genick::N,гъванща,юр бӧр
17,Kopf::N,бетӏер,юр
18,Rücken::N,мугъ,мышк
19,Bauch::N,чехь,кынӧм
20,Nabel::N,цӏину,гӧг
21,Busen::N,керен,морос
22,Brust::N,керен,морос
23,Schulter::N,гъажазубетӏер,пельпон
24,Arm::N,гъеж,ки
25,Ellenbogen::N,гӏункӏрукь,гырдзза
26,Hand::N,квер,кикар
27,Handfläche::N,огъохъат,ки пыдӧс
28,Handfläche::N,жанисахъат,ки пыдӧс
29,Finger::N,килищ,чунь
30,Fingernagel::N,малъ,гыж
31,Nagel[Anatomie]::N,малъ,гыж
32,Zeh::N,килищ,чунь
33,Fuß::N,хӏетӏ,кокпыдӧс
34,Fuß::N,хӏетӏе,кокпыдӧс
35,Ferse::N,эгъе,кокдзир
36,Knie::N,наку,пидзӧс
37,Oberschenkel::N,мачӏ,лядьбей
38,Bein::N,бох,кок
39,Körper::N,къаркъала,вывтыр
40,Haut::N,тӏом,кучик
41,Blut::N,би,вир
42,Ader::N,бидурихь,сӧн
43,Knochen::N,ракьа,коска
44,Gehirn::N,гӏадалнах,вем
45,Herz::N,ракӏ,сьӧлӧм
46,Magen::N,кванирукъ,жӧвдӧк
47,Leber::N,тӏул,мус
48,Atem::N,хӏухь,лолалӧм
49,Hunger::N,ракъи,тшыг
50,Träne::N,магӏу,синва
51,Geschmack::N,тату,кӧр
52,Geruch::N,махӏ,дук
53,Schlaf::N,макьу,он
54,Traum::N,макьу,вӧт
55,Himmel::N,зоб,небо
56,Sonne::N,бакъ,шондi
57,Mond::N,моцӏ,тӧлiсь
58,Stern::N,цӏва,кӧдзыв
59,Luft::N,гьава,ру
60,Wind::N,гьури,тӧв
61,Welle::N,карачел,гы
62,Wasser::N,лъим,ва
63,Stein::N,гьецӏо,из
64,Boden::N,ракь,му
65,Erde::N,ракь,му
66,Erde::N,дуниял,му
67,Staub::N,хӏур,бус
68,Rauch::N,кӏкӏуй,тшын
69,Feuer::N,цӏа,би
70,Licht::N,канлъи,би
71,Schatten::N,рагӏад,вуджӧр
72,Wetter::N,гьава-бакъ,погоддя
73,Nebel::N,гӏодобнакӏкӏ,туман
74,Wolke::N,накӏкӏ,кымӧр
75,Regen::N,цӏад,зэр
76,Schnee::N,гӏазу,лым
77,Eis::N,цӏер,йы
78,Frost::N,замгьари,мороз
79,Kälte::N,квач,кӧдзыт
80,Hitze::N,багӏари,ӧд
81,Raureif::N,мартӏ,кижа
82,Regenbogen::N,нур,енӧшка
83,Regenbogen::N,чамбара,енӧшка
84,Donner::N,гъугъай,гым
85,Donner::N,гъугъади,гым
86,Strömung::N,чвахи,визывтӧм
87,Tropfen::N,резел,тёп
88,Tropfen::N,тӏинкӏ,тёп
89,Tropfen::N,къатӏра,тёп
90,Tropfen::N,тӏенкӏел,тёп
91,Schaum::N,полоп,быг
92,Schmutz::N,чороклъи,нять
93,See::N,хӏор,ты
94,Sumpf::N,хьуцӏ,арай
95,Wiese::N,мегъ,видз
96,Wiese::N,гӏурдаллъи,видз
97,Wald::N,рохь,вӧр
98,Hügel::N,гохӏ,мыльк
99,Anhöhe::N,сийитма,вывтас
100,Anhöhe::N,сийитма,вылынін
101,Berg::N,мегӏер,керӧс
102,Gipfel::N,тӏогь,йыв
103,Höhle::N,нохъо,нора
104,Abhang::N,лабаллъи,покат
105,Quelle::N,ицц,больган
106,Bach::N,лъар,шор
107,Fluss::N,гӏор,ю
108,Ufer::N,рагӏал,берег
109,Küste::N,рагӏал,берег
110,Festland::N,ракь,му
111,Festland::N,ракъдаллъи,му
112,Meer::N,ралъад,море
113,Bucht::N,кӏветӏ,курья
114,Insel::N,чӏинкӏиллъи,
115,Blume::N,тӏегь,цветок
116,Gras::N,хер,турун
117,Wurzel::N,кьибил,вуж
118,Baum::N,гъветӏ,пу
119,Stamm::N,рохти,мыр
120,Stamm::N,рохти,кер
121,Rinde::N,макъар,кач
122,Ast::N,ноцӏ,ув
123,Zweig::N,гӏаркьел,ув
124,Blatt::N,тӏамах,лист
125,Birke::N,мах,кыдз
126,Birke::N,махигъветӏ,кыдз
127,Kiefer[Baum]::N,накӏкӏигъветӏ,пожум
128,Weide[Baum]::N,рицӏцӏ,бадь
129,Weide[Baum]::N,рицӏцӏигъветӏ,бадь
130,Tanne::N,ёлка,кӧз
131,Horn::N,лълъар,сюр
132,Feder::N,хӏули,гӧн
133,Fell::N,тӏом,кучик
134,Fell::N,цӏоко,кучик
135,Flügel::N,кваркьи,борд
136,Klaue::N,галъ,гыж
137,Kralle::N,квачӏ,кабыр
138,Kralle::N,катиквачӏ,кабыр
139,Schwanz::N,рачӏ,бӧж
140,Ei::N,хоно,кольть
141,Nest::N,бусен,поз
142,Bau::N,каратӏ,осьта
143,Bau::N,каратӏ,нора
144,Tier::N,хӏайван,зверь
145,Herde::N,рехъен,гурт
146,Herde::N,рехъед,гурт
147,Kuh::N,гӏака,мӧс
148,Bulle::N,оц,ӧшка
149,Pferd::N,чу,вӧв
150,Schaf::N,чахъу,баля
151,Schwein::N,болъон,порсь
152,Hund::N,гьой,пон
153,Katze::N,кету,кань
154,Bär::N,ци,ош
155,Eichhörnchen::N,гвангва,ур
156,Fuchs::N,цер,руч
157,Hase::N,гӏанкӏ,кӧч
158,Maus::N,гӏункӏкӏ,шыр
159,Wolf::N,бацӏ,кӧин
160,Vogel::N,хӏинчӏ,кай
161,Schwarm::N,тӏел,стая
162,Schwarm::N,тӏел,чукӧр
163,Huhn::N,гӏанкӏу,курӧг
164,Hahn::N,хӏелеко,петух
165,Hahn::N,хӏелеко,ай курӧг
166,Gans::N,хъаз,дзодзог
167,Adler::N,цӏум,куч
168,Adler::N,цӏум,кутш
169,Ente::N,ордек,утка
170,Eule::N,беццаруз,тупка
171,Kranich::N,къункъра,тури
172,Krähe::N,гъеду,рака
173,Kuckuck::N,гагу,кӧк
174,Schwan::N,хӏанкъва,юсь
175,Fisch::N,ччугӏа,чери
176,Barsch::N,окунь,ёкыш
177,Hecht::N,щука,сирпинь
178,Schlange[Tier]::N,борохь,змей
179,Wurm::N,хӏапара,номыр
180,Spinne::N,хъанхъра,черань
181,Ameise::N,цӏунцӏра,кӧдзывкар
182,Laus::N,нацӏ,ляпа той
183,Mücke::N,кӏкӏара,ном
184,Fliege::N,тӏутӏ,гут
185,Schmetterling::N,кӏалкӏучӏ,бабыв
186,Apfel::N,гӏеч,яблоко
187,Pilz::N,гӏурдахӏан,тшак
188,Zwiebel::N,кӏочӏопер,грез
189,Saat::N,хьон,кӧдзыс
190,Korn::N,мугь,сю
191,Heu::N,хер,турун
192,Schale::N,хъал,кыш
193,Schale::N,хъал,киль
194,Grube::N,гвенд,яма
195,Falle::N,къор,нальк
196,Falle::N,къор,кляпча
197,Falle::N,къотен,нальк
198,Falle::N,къотен,кляпча
199,Schlinge::N,кӏичӏ,лӧч
200,Spur::N,лъалкӏ,туй
201,Asche::N,рахъу,пӧим
202,Dreck::N,гъиз,нять
203,Dreck::N,хӏарщ,нять
204,Eisen::N,махх,кӧрт
205,Gold::N,месед,зарни
206,Silber::N,гӏарац,язісь
207,Kohle::N,тӏурччи,шом
208,Kohle::N,тӏурччи,уголь
209,Glas::N,цӏер,стекло
210,Lehm::N,хӏатӏ,сёй
211,Sand::N,сали,лыа
212,Mensch::N,чи,морт
213,Mann::N,бихьинчи,мужик
214,Frau::N,гӏадан,инька
215,Kind::N,лъимер,кага
216,Junge::N,вас,зонка
217,Mädchen::N,яс,нывкаок
218,Familie::N,хъизан,семья
219,Großvater::N,кӏудада,дед
220,Großmutter::N,кӏодо,баб
221,Eltern::N,эбел-эмен,ай-мам
222,Vater::N,эмен,ай
223,Mutter::N,эбел,мам
224,Sohn::N,вас,зон
225,Tochter::N,яс,ныв
226,Bruder::N,вац,вон
227,Schwester::N,яц,сой
228,Onkel::N,даци,дядь
229,Tante::N,ада,айӧлӧн сой
230,Tante::N,ада,ичинь
231,Ehemann::N,рос,жӧник
232,Ehefrau::N,чӏужу,инь
233,Freude::N,ракӏбохи,гаж
234,Freude::N,ракӏбохи,радъялӧм
235,Gelächter::N,релъи,сералӧм
236,Glück::N,талихӏ,мичлун
237,Glück::N,талихӏ-рохел,мичлун
238,Kummer::N,хӏалкъай,шог
239,Wunsch::N,къасд,мӧдӧм
240,Wunsch::N,къасд,охотитӧм
241,Lust::N,гъира,охота
242,Geist::N,чӏанкӏ,лов
243,Geist::N,рухӏ-жан,лов
244,Gedanke::N,пикру,дума
245,Verstand::N,лумалъи,вежӧр
246,Verstand::N,цӏодорлъи,вежӧр
247,Sinn::N,магӏна,ылӧс
248,Grund::N,багьана,мог
249,Wahrheit::N,ритӏухълъи,правда
250,Gespräch::N,накъит,сёрни
251,Märchen::N,маргьа,сказка
252,Erzählung::N,къиса,висьт
253,Nachricht::N,хабар,юӧр
254,Nachricht::N,хабар,висьталӧм
255,Neuigkeit::N,хабар-гӏазаб,новость
256,Name::N,цӏар,ним
257,Rätsel::N,бицанкӏо,загадка
258,Rede::N,речь,сёрни
259,Rede::N,калам,сёрни
260,Sprache::N,мацӏ,кыв
261,Stimme::N,гьаракь,голос
262,Wort::N,рагӏи,кыв
263,Zeichen::N,ишара,пас
264,Zeichen::N,гӏаламат,пас
265,Ruf::N,ахӏи,чуксӧм
266,Ruf::N,ахӏи,чукӧстӧм
267,Lärm::N,хъуй,шум
268,Lärm::N,хъуди,шум
269,Laut::N,гьаракь,шы
270,Laut::N,сас,шы
271,Lied::N,кечӏ,сьыланкыв
272,Ruhe::N,рахӏат,спокой
273,Leute::N,гӏадамал,йӧз
274,Volk::N,халкъ,йӧз
275,Volk::N,халкъ,народ
276,Arbeit::N,хӏалтӏи,удж
277,Gast::N,гьобол,гӧсь
278,Geschenk::N,сайигъат,гӧснеч
279,Geschenk::N,сайигъат,подарок
280,Spiel::N,хӏай,орсӧм
281,Spiel::N,расанди,орсӧм
282,Gesellschaft::N,жамагӏат,компания
283,Hilfe::N,кумек,отсӧт
284,Freund::N,гьудул,модз
285,Freund::N,гьудул,дружок
286,Kamerad::N,гьалмагъ,тӧдса
287,Angelegenheit::N,къваригӏел,дело
288,Anzahl::N,рикӏкӏен,лыд
289,Art::N,жинс,пӧлӧс
290,Stück::N,кесек,тор
291,Teil::N,пай,юкӧм
292,Hälfte::N,бащдаб,джын
293,Kreis::N,гор,круг
294,Kreuz::N,хъанч,перна
295,Linie::N,мухъ,визь
296,Strich::N,хӏучч,кырӧв
297,Abstand::N,манзил,колас
298,Entfernung::N,манзил,ылына
299,Gegend::N,рахъ,места
300,Platz::N,бакӏ,места
301,Ort::N,бакӏ,места
302,Seite::N,рахъ,ладор
303,Mitte::N,бакьулъбакӏ,шӧр
304,Gegenstand::N,жо,тор
305,Sache::N,жо,тор
306,Rand::N,мицӏир,дор
307,Kante::N,рагӏал,ордлы
308,Kante::N,рагӏа-ракьан,ордлы
309,Ecke::N,цили,пельӧс
310,Spitze::N,тӏогь,йыв
311,Ende::N,кӏал,йыв
312,Loch::N,каратӏ,осьта
313,Muster::N,накъиш,сер
314,Größe::N,кӏодо́лъи,ыжда
315,Länge::N,халалъи,кузя
316,Höhe::N,борхалъи,сувда
317,Höhe::N,борхалъи,вылына
318,Gewicht::N,бакӏлъи,сьӧкта
319,Haufen::N,гъуни,куча
320,Reihe::N,ирга́,лёдз
321,Boot::N,раса,пыж
322,Ruder::N,раххан,пелыс
323,Schlitten::N,чанагъ,додь
324,Ski::N,лыжаби,лямпа
325,Lagerfeuer::N,цӏа,бипур
326,Last::N,бакӏлъи,тягота
327,Gang::N,хьвади,мунӧм
328,Gang::N,хьвада-чӏвади,мунӧм
329,Schritt::N,гали,вожмӧв
330,Norden::N,шимал,ой
331,Süden::N,юг,лун
332,Süden::N,къибла,лун
333,Westen::N,гъарб,рытвыв
334,Westen::N,магъриб,рытвыв
335,Osten::N,шаркъ,асыв
336,Osten::N,машрикъ,асыв
337,Holz::N,цӏул,пу
338,Brett::N,хъарщи,пӧв
339,Platte::N,къоно,плита
340,Stange::N,гӏер,зор
341,Stange::N,гӏер,потш
342,Stock::N,тӏил,бедь
343,Stab::N,гӏер,шест
344,Rohr::N,турба,труба
345,Haus::N,ригь,керку
346,Haus::N,рукъзал,керку
347,Heim::N,рукъ,керку
348,Ofen::N,печь,пӧжавны
349,Fußboden::N,чӏабар,джодж
350,Tisch::N,стол,пызан
351,Stuhl::N,бакӏу,стул
352,Wiege::N,кини,зыбка
353,Bett::N,кровать,кровать
354,Regal::N,хъарщи,джадж
355,Kiste::N,ящик,ящик
356,Kiste::N,тӏалагъуд,ящик
357,Fenster::N,гордо,ӧшын
358,Tür::N,нуцӏа,ыбӧс
359,Tor::N,каву,ворота
360,Zaun::N,раци,забор
361,Dach::N,тӏох,крыша
362,Leiter::N,мали,лиснич
363,Besen::N,жул,рос
364,Spaten::N,бел,зыр
365,Schaufel::N,раххан,зыр
366,Gabel::N,гӏучӏ,вила
367,Löffel::N,гъуд,пань
368,Messer::N,нус,пурт
369,Nagel::N,магӏ,кӧрттув
370,Netz::N,гьин,кыйӧт
371,Haken::N,гъанцӏа,ем
372,Griff::N,гӏоркь,пу
373,Schloss::N,кӏулал,замок
374,Bild::N,сурат,картина
375,Puppe::N,нани,акань
376,Beutel::N,таргьа,мешӧк
377,Bündel::N,къай,нин
378,Tasche::N,сумка,сумка
379,Tasche::N,къвачӏа,сумка
380,Eimer::N,ведро,ведра
381,Deckel::N,тӏалъел,вевт
382,Deckel::N,дадитӏалъел,вевт
