,Concept_ID,vep,eu
0,Auge::N,sil'm,begi
1,Ohr::N,korv,belarri
2,Nase::N,nena,sudur
3,Mund::N,su,aho
4,Zahn::N,pi,hortz
5,Zahn::N,hambaz,hortz
6,Zunge::N,kel',mihi
7,Lippe::N,hul',ezpain
8,Wange::N,modpolišk,masail
9,Gesicht::N,mod,aurpegi
10,Stirn::N,oc,bekoki
11,Haar::N,tuk,ile
12,Haar::N,tuk,bilo
13,Haar::N,hibuz,ile
14,Haar::N,hibuz,bilo
15,Schnurrbart::N,habinod,bibote
16,Schnurrbart::N,habinod,sudurpeko
17,Bart::N,bard,bizar
18,Kinn::N,löug,kokots
19,Kiefer[Anatomie]::N,hambazlu,masailezur
20,Kehle::N,kurk,eztarri
21,Hals::N,kagl,sama
22,Genick::N,tagarai,garondo
23,Kopf::N,pä,buru
24,Rücken::N,sel'g,bizkar
25,Bauch::N,vac,sabel
26,Bauch::N,koht,sabel
27,Nabel::N,naba,zilbor
28,Busen::N,niža,titi
29,Busen::N,niža,ugatz
30,Brust::N,rind,bular
31,Schulter::N,oug,besaburu
32,Arm::N,käzi,beso
33,Ellenbogen::N,künambruz,ukondo
34,Hand::N,käzi,esku
35,Hand::N,käzitera,esku
36,Handfläche::N,kämen,ahur
37,Finger::N,sor'm,hatz
38,Fingernagel::N,künz',azazkal
39,Nagel[Anatomie]::N,künz',azazkal
40,Zeh::N,barbaz,behatz
41,Fuß::N,jaug,oin
42,Ferse::N,kand,orpo
43,Ferse::N,kand,oinburu
44,Knie::N,komb,belaun
45,Knie::N,pol'v,belaun
46,Oberschenkel::N,riiže,izter
47,Bein::N,jaug,zango
48,Körper::N,hibj,soin
49,Haut::N,nahk,azal
50,Blut::N,čak,odol
51,Blut::N,veri,odol
52,Ader::N,son',zain
53,Sehne::N,jände,gihar-zain
54,Knochen::N,lu,hezur
55,Gehirn::N,aivod,garun
56,Gehirn::N,aivod,burmuin
57,Herz::N,südäin,bihotz
58,Magen::N,südäikoht,urdail
59,Leber::N,maks,gibel
60,Atem::N,hengaiduz,hats
61,Atem::N,hengaiduz,arnasa
62,Hunger::N,näl'g,gose
63,Träne::N,kündal',malko
64,Geschmack::N,magu,dasta
65,Geruch::N,haju,usain
66,Schlaf::N,uni,lo
67,Traum::N,unikuva,amets
68,Himmel::N,taivaz,zeru
69,Sonne::N,päiväine,eguzki
70,Mond::N,kudmaine,ilargi
71,Stern::N,tähtaz,izar
72,Luft::N,il'm,aire
73,Wind::N,döl,haize
74,Wind::N,tullei,haize
75,Welle::N,ald,uhin
76,Welle::N,ald,olatu
77,Welle::N,laineh,uhin
78,Welle::N,laineh,olatu
79,Wasser::N,vezi,ur
80,Stein::N,kivi,harri
