,Concept_ID,lv,is
0,Auge::N,син,auga
1,Auge::N,acs,auga
2,Ohr::N,пель,eyra
3,Ohr::N,auss,eyra
4,Nase::N,ныр,nef
5,Nase::N,deguns,nef
6,Mund::N,вом,munnur
7,Mund::N,mute,munnur
8,Zahn::N,пинь,tönn
9,Zahn::N,zobs,tönn
10,Zunge::N,кыв,tunga
11,Zunge::N,mēle,tunga
12,Lippe::N,вом дор,vör
13,Lippe::N,lūpa,vör
14,Wange::N,бан,kinn
15,Wange::N,бан,vangi
16,Wange::N,vaigs,kinn
17,Wange::N,vaigs,vangi
18,Gesicht::N,чужӧм,andlit
19,Gesicht::N,seja,andlit
20,Gesicht::N,ģīmis,andlit
21,Stirn::N,плеш,enni
22,Stirn::N,кымӧс,enni
23,Stirn::N,piere,enni
24,Haar::N,си,hár
25,Haar::N,юрси,hár
26,Haar::N,mats,hár
27,Schnurrbart::N,ус,yfirskegg
28,Schnurrbart::N,пыртсим,yfirskegg
29,Schnurrbart::N,ūsas,yfirskegg
30,Bart::N,тош,skegg
31,Bart::N,bārda,skegg
32,Kinn::N,тшӧка,haka
33,Kinn::N,zods,haka
34,Kinn::N,smakrs,haka
35,Kiefer[Anatomie]::N,черлы,kjálki
36,Kiefer[Anatomie]::N,черлы,skoltur
37,Kiefer[Anatomie]::N,алака лы,kjálki
38,Kiefer[Anatomie]::N,алака лы,skoltur
39,Kiefer[Anatomie]::N,вомкӧтш лы,kjálki
40,Kiefer[Anatomie]::N,вомкӧтш лы,skoltur
41,Kiefer[Anatomie]::N,žoklis,kjálki
42,Kiefer[Anatomie]::N,žoklis,skoltur
43,Kehle::N,голя,kverk
44,Kehle::N,rīkle,kverk
45,Hals::N,сьылі,háls
46,Hals::N,kakls,háls
47,Genick::N,юрбӧр,hnakki
48,Genick::N,балябӧж,hnakki
49,Genick::N,sprands,hnakki
50,Kopf::N,юр,höfuð
51,Kopf::N,galva,höfuð
52,Rücken::N,мыш,hryggur
53,Rücken::N,mugura,hryggur
54,Bauch::N,рушку,kviður
55,Bauch::N,vēders,kviður
56,Nabel::N,гӧг,nafli
57,Nabel::N,naba,nafli
58,Busen::N,морӧс,barmur
59,Busen::N,krūts,barmur
60,Brust::N,морӧс,brjóst
61,Brust::N,krūts,brjóst
62,Schulter::N,пельпом,öxl
63,Schulter::N,plecs,öxl
64,Arm::N,ки,armur
65,Arm::N,roka,armur
66,Arm::N,delms,armur
67,Ellenbogen::N,гырддза,olnbogi
68,Ellenbogen::N,elkonis,olnbogi
69,Hand::N,ки,hönd
70,Hand::N,roka,hönd
71,Hand::N,plauksta,hönd
72,Handfläche::N,ки пыдӧс,lófi
73,Handfläche::N,delna,lófi
74,Handfläche::N,plauksta,lófi
75,Finger::N,чунь,fingur
76,Finger::N,pirksts,fingur
77,Fingernagel::N,гыж,fingurnögl
78,Fingernagel::N,nags,fingurnögl
79,Nagel[Anatomie]::N,гыж,nögl
80,Nagel[Anatomie]::N,nags,nögl
81,Zeh::N,кок чунь,tá
82,Zeh::N,pirksts,tá
83,Fuß::N,кок,fótur
84,Fuß::N,kāja,fótur
85,Ferse::N,кокбӧр,hæll
86,Ferse::N,papēdis,hæll
87,Knie::N,пидзӧс,kné
88,Knie::N,celis,kné
89,Oberschenkel::N,лядьвей,læri
90,Oberschenkel::N,бек,læri
91,Oberschenkel::N,ciska,læri
92,Oberschenkel::N,augšstilbs,læri
93,Bein::N,кок,fótleggur
94,Bein::N,kāja,fótleggur
95,Körper::N,туша,búkur
96,Körper::N,туша,líkami
97,Körper::N,вывтыр,búkur
98,Körper::N,вывтыр,líkami
