,Concept_ID,ro,pl
0,Auge::N,ochi,oko
1,Ohr::N,ureche,ucho
2,Nase::N,nas,nos
3,Mund::N,gură,usta
4,Zahn::N,dinte,ząb
5,Zunge::N,limbă,język
6,Lippe::N,buză,warga
7,Wange::N,bucă,policzek
8,Wange::N,obraz,policzek
9,Gesicht::N,față,twarz
10,Gesicht::N,figură,twarz
11,Stirn::N,frunte,czoło
12,Haar::N,păr,włos
13,Haar::N,păr,włosy
14,Schnurrbart::N,mustață,wąsy
15,Bart::N,barbă,broda
16,Kinn::N,bărbie,podbródek
17,Kiefer[Anatomie]::N,falcă,czeluść
18,Kehle::N,beregată,gardło
19,Hals::N,gât,szyja
20,Genick::N,ceafă,kark
21,Kopf::N,cap,głowa
22,Rücken::N,dos,plecy
23,Rücken::N,dos,grzbiet
24,Rücken::N,spate,plecy
25,Rücken::N,spate,grzbiet
26,Rücken::N,spinare,plecy
27,Rücken::N,spinare,grzbiet
28,Bauch::N,burtă,brzuch
29,Bauch::N,pântece,brzuch
30,Nabel::N,buric,pępek
31,Busen::N,sân,biust
32,Brust::N,piept,pierś
33,Schulter::N,umăr,bark
34,Schulter::N,umăr,ramię
35,Schulter::N,spate,bark
36,Schulter::N,spate,ramię
37,Arm::N,braț,ręka
38,Arm::N,braț,ramię
39,Ellenbogen::N,cot,łokieć
40,Hand::N,mână,dłoń
41,Handfläche::N,palmă,dłoń
42,Finger::N,deget,palec
43,Fingernagel::N,unghie,paznokieć
44,Nagel[Anatomie]::N,unghie,paznokieć
45,Zeh::N,deget de la picior,palec
46,Fuß::N,picior,stopa
47,Ferse::N,călcâi,pięta
48,Knie::N,genunchi,kolano
49,Oberschenkel::N,coapsă,udo
50,Bein::N,picior,noga
51,Körper::N,corp,ciało
52,Haut::N,piele,skóra
53,Blut::N,sânge,krew
54,Ader::N,vână,żyła
55,Ader::N,arteră,żyła
56,Sehne::N,tendon,ścięgno
57,Knochen::N,os,kość
58,Gehirn::N,creier,mózg
59,Herz::N,inimă,serce
60,Magen::N,stomac,żołądek
61,Leber::N,ficat,wątroba
62,Atem::N,răsuflare,dech
63,Atem::N,răsuflare,oddech
64,Atem::N,respirație,dech
65,Atem::N,respirație,oddech
66,Hunger::N,foame,głód
67,Träne::N,lacrimă,łza
68,Geschmack::N,gust,smak
69,Geruch::N,miros,woń
70,Geruch::N,miros,zapach
71,Schlaf::N,somn,sen
72,Traum::N,vis,sen
73,Himmel::N,cer,niebo
74,Sonne::N,soare,słońce
75,Mond::N,lună,księżyc
76,Stern::N,stea,gwiazda
77,Luft::N,aer,powietrze
78,Wind::N,vânt,wiatr
79,Welle::N,val,fala
80,Welle::N,undă,fala
81,Wasser::N,apă,woda
82,Stein::N,piatră,kamień
83,Boden::N,sol,grunt
84,Boden::N,pământ,grunt
85,Erde::N,pământ,ziemia
86,Staub::N,praf,pył
87,Staub::N,praf,kurz
88,Rauch::N,fum,dym
89,Funke::N,scânteie,iskra
90,Feuer::N,foc,ogień
91,Licht::N,lumină,światło
92,Schatten::N,umbră,cień
93,Wetter::N,timp,pogoda
94,Wetter::N,vreme,pogoda
95,Nebel::N,ceață,mgła
96,Nebel::N,negură,mgła
97,Wolke::N,nor,obłok
98,Wolke::N,nor,chmura
99,Regen::N,ploaie,deszcz
100,Schnee::N,zăpadă,śnieg
101,Eis::N,gheață,lód
102,Frost::N,ger,mróz
103,Kälte::N,frig,chłód
104,Hitze::N,arșiță,gorąco
105,Hitze::N,căldură,gorąco
106,Raureif::N,chiciură,szron
107,Regenbogen::N,curcubeu,tęcza
108,Donner::N,tunet,grzmot
109,Strömung::N,curent,nurt
110,Tropfen::N,picătură,kropla
111,Schaum::N,spumă,piana
112,Schmutz::N,murdărie,brud
113,See::N,lac,jezioro
114,Sumpf::N,mlaștină,bagno
115,Moor::N,bărăgan,bagno
116,Wiese::N,fânaț,łąka
117,Wiese::N,livadă,łąka
118,Wald::N,codru,las
119,Wald::N,pădure,las
120,Hügel::N,deal,pagórek
121,Hügel::N,movilă,pagórek
122,Anhöhe::N,deal,wzgórze
123,Anhöhe::N,ridicătură,wzgórze
124,Berg::N,munte,góra
125,Gipfel::N,pisc,szczyt
126,Gipfel::N,pisc,wierzchołek
127,Höhle::N,peșteră,pieczara
128,Abhang::N,pantă,stok
129,Abhang::N,pantă,zbocze
130,Abhang::N,versant,stok
131,Abhang::N,versant,zbocze
132,Quelle::N,izvor,zdrój
133,Quelle::N,izvor,źródło
134,Bach::N,gârlă,potok
135,Bach::N,gârlă,strumień
136,Fluss::N,râu,rzeka
137,Fluss::N,fluviu,rzeka
138,Ufer::N,mal,brzeg
139,Ufer::N,țărm,brzeg
140,Küste::N,coastă,wybrzeże
141,Festland::N,uscat,ląd
142,Meer::N,mare,morze
143,Bucht::N,golf,zatoka
144,Insel::N,insulă,wyspa
145,Blume::N,floare,kwiat
146,Gras::N,iarbă,trawa
147,Wurzel::N,rădăcină,korzeń
148,Baum::N,copac,drzewo
149,Baum::N,arbore,drzewo
150,Stamm::N,tulpină,pień
151,Rinde::N,scoarță,kora
152,Ast::N,cracă,gałąź
153,Ast::N,creangă,gałąź
154,Zweig::N,ramură,gałąź
155,Zweig::N,creangă,gałąź
156,Blatt::N,frunză,liść
157,Birke::N,mesteacăn,brzoza
158,Kiefer[Baum]::N,pin,sosna
159,Weide[Baum]::N,salcie,wierzba
160,Weide[Baum]::N,răchită,wierzba
161,Tanne::N,brad,jodła
162,Horn::N,corn,róg
163,Feder::N,pană,pióro
164,Fell::N,piele,futro
165,Flügel::N,aripă,skrzydło
166,Klaue::N,gheară,szpon
167,Kralle::N,labă,pazur
168,Kralle::N,gheară,pazur
169,Schwanz::N,coadă,ogon
170,Ei::N,ou,jajko
171,Nest::N,cuib,gniazdo
172,Bau::N,bârlog,nora
173,Bau::N,vizuină,nora
174,Tier::N,animal,zwierzę
175,Herde::N,turmă,stado
176,Herde::N,turmă,trzoda
177,Herde::N,cireadă,stado
178,Herde::N,cireadă,trzoda
179,Kuh::N,vacă,krowa
180,Bulle::N,taur,byk
181,Pferd::N,cal,koń
182,Schaf::N,oaie,owca
183,Schwein::N,porc,świnia
184,Hund::N,câine,pies
185,Katze::N,pisică,kot
186,Katze::N,pisică,kotka
187,Bär::N,urs,niedźwiedż
188,Eichhörnchen::N,veveriță,wiewiórka
189,Elch::N,elan,łóś
190,Fuchs::N,vulpe,lis
191,Hase::N,iepure,zając
192,Maus::N,șoarece,mysz
193,Wolf::N,lup,wilk
194,Vogel::N,pasăre,ptak
195,Schwarm::N,cârd,stado
196,Huhn::N,găină,kura
197,Hahn::N,cocoș,kogut
198,Gans::N,gâscă,gęś
199,Adler::N,vultur,orzeł
200,Ente::N,rață,kaczka
201,Eule::N,bufniță,sowa
202,Kranich::N,cocor,żuraw
203,Krähe::N,cioară,wrona
204,Kuckuck::N,cuc,kukułka
205,Schwan::N,lebădă,łabędż
206,Fisch::N,pește,ryba
207,Barsch::N,biban,okoń
208,Hecht::N,știucă,szczupak
209,Schlange[Tier]::N,șarpe,wąż
210,Schlange[Tier]::N,șarpe,żmija
211,Wurm::N,vierme,robak
212,Spinne::N,păianjen,pająk
213,Ameise::N,furnică,mrówka
214,Laus::N,păduche,wesz
215,Mücke::N,țânțar,komar
216,Fliege::N,muscă,mucha
217,Schmetterling::N,fluture,motyl
218,Beere::N,boabă,jagoda
219,Apfel::N,măr,jabłko
220,Pilz::N,burete,grzyb
221,Pilz::N,ciupercă,grzyb
222,Zwiebel::N,ceapă,cebula
223,Saat::N,semănătură,siew
224,Korn::N,grâu,ziarno
225,Heu::N,fân,siano
226,Schale::N,coajă,łupina
227,Grube::N,groapă,dół
228,Grube::N,groapă,jama
229,Falle::N,cursă,pułapka
230,Falle::N,capcană,pułapka
231,Schlinge::N,laț,sidła
232,Spur::N,dâră,ślad
233,Asche::N,cenușă,popiół
234,Dreck::N,noroi,brud
235,Dreck::N,murdărie,brud
236,Eisen::N,fier,żelazo
237,Gold::N,aur,złoto
238,Silber::N,argint,srebro
239,Kohle::N,cărbune,węgiel
240,Glas::N,sticlă,szkło
241,Lehm::N,lut,glina
242,Lehm::N,humă,glina
243,Sand::N,nisip,piasek
244,Mensch::N,om,człowiek
245,Mensch::N,persoană,człowiek
246,Mann::N,om,mężczyzna
247,Mann::N,bărbat,mężczyzna
248,Frau::N,femeie,kobieta
249,Kind::N,copil,dziecko
250,Junge::N,băiat,chłopak
251,Junge::N,băiat,chłopiec
252,Junge::N,flăcău,chłopak
253,Junge::N,flăcău,chłopiec
254,Mädchen::N,fată,dziewczynka
255,Familie::N,familie,rodzina
256,Großvater::N,bunic,dziadek
257,Großvater::N,tată mare,dziadek
258,Großmutter::N,bunică,babka
259,Großmutter::N,mamă mare,babka
260,Eltern::N,părinți,rodzice
261,Vater::N,tată,ojciec
262,Vater::N,părinte,ojciec
263,Mutter::N,mamă,matka
264,Sohn::N,fiu,syn
265,Sohn::N,fecior,syn
266,Tochter::N,fiică,córka
267,Bruder::N,frate,brat
268,Schwester::N,soră,siostra
269,Onkel::N,unchi,wuj
270,Onkel::N,unchi,stryj
271,Tante::N,mătușă,ciotka
272,Ehemann::N,soț,mąż
273,Ehemann::N,bărbat,mąż
274,Ehefrau::N,soție,żona
275,Freude::N,bucurie,radość
276,Gelächter::N,râset,śmiech
277,Glück::N,fericire,szczęście
278,Kummer::N,mâhnire,zmartwienie
279,Wunsch::N,dorință,życzenie
280,Wunsch::N,deziderat,życzenie
281,Lust::N,poftă,chęć
282,Lust::N,poftă,ochota
283,Lust::N,înclinare,chęć
284,Lust::N,înclinare,ochota
285,Geist::N,duh,duch
286,Geist::N,minte,duch
287,Geist::N,suflet,duch
288,Gedanke::N,gând,myśl
289,Gedanke::N,cuget,myśl
290,Gedächtnis::N,memorie,pamięć
291,Verstand::N,minte,rozum
292,Verstand::N,intelect,rozum
293,Sinn::N,sens,zmysł
294,Sinn::N,înțeles,zmysł
295,Grund::N,cauză,powód
296,Grund::N,pricină,powód
297,Wahrheit::N,adevăr,prawda
298,Gespräch::N,convorbire,rozmowa
299,Gespräch::N,conversație,rozmowa
300,Märchen::N,basm,bajka
301,Märchen::N,poveste,bajka
302,Erzählung::N,poveste,opowiadanie
303,Nachricht::N,veste,wiadomość
304,Neuigkeit::N,noutate,nowina
305,Neuigkeit::N,actualitate,nowina
306,Name::N,nume,imię
307,Rätsel::N,ghicitoare,zagadka
308,Rede::N,discurs,mowa
309,Sprache::N,limbă,język
310,Sprache::N,limbaj,język
311,Stimme::N,glas,głos
312,Wort::N,cuvânt,słowo
313,Zeichen::N,semn,znak
314,Zeichen::N,semnal,znak
315,Ruf::N,chemare,wołanie
316,Lärm::N,zgomot,hałas
317,Lärm::N,zgomot,zgiełk
318,Lärm::N,tărăboi,hałas
319,Lärm::N,tărăboi,zgiełk
320,Laut::N,sunet,dźwięk
321,Ton::N,ton,ton
322,Ton::N,ton,dźwięk
323,Lied::N,cântec,pieśń
324,Lied::N,cântec,piosenka
325,Ruhe::N,odihnă,spokój
326,Ruhe::N,liniște,spokój
327,Leute::N,lume,ludzie
328,Leute::N,oameni,ludzie
329,Volk::N,popor,naród
330,Volk::N,națiune,naród
331,Arbeit::N,lucru,praca
332,Arbeit::N,lucru,robota
333,Gast::N,musafir,gość
334,Geschenk::N,dar,prezent
335,Geschenk::N,dar,podarunek
336,Geschenk::N,cadou,prezent
337,Geschenk::N,cadou,podarunek
338,Spiel::N,joc,gra
339,Spiel::N,joc,zabawa
340,Gesellschaft::N,societate,towarzystwo
341,Hilfe::N,ajutor,pomoc
342,Freund::N,amic,przyjaciel
343,Freund::N,prieten,przyjaciel
344,Kamerad::N,tovarăș,kolega
345,Angelegenheit::N,afacere,sprawa
346,Anzahl::N,număr,ilość
347,Anzahl::N,cantitate,ilość
348,Art::N,fel,rodzaj
349,Art::N,specie,rodzaj
350,Stück::N,bucată,kawałek
351,Teil::N,parte,część
352,Teil::N,porție,część
353,Hälfte::N,jumătate,połowa
354,Kreis::N,cerc,krąg
355,Kreuz::N,cruce,krzyż
356,Linie::N,linie,linia
357,Strich::N,linie,kreska
358,Strich::N,trăsătură,kreska
359,Abstand::N,distanță,odstęp
360,Abstand::N,depărtare,odstęp
361,Entfernung::N,distanță,odległość
362,Entfernung::N,depărtare,odległość
363,Gegend::N,regiune,okolica
364,Platz::N,loc,miejsce
365,Ort::N,loc,miejsce
366,Seite::N,latură,bok
367,Seite::N,latură,strona
