,Concept_ID,la,mhr
0,Auge::N,oculus,шинча́
1,Ohr::N,auris,пы́лыш
2,Nase::N,nasus,нер
3,Mund::N,os,умша́
4,Zahn::N,dens,пӱй
5,Zunge::N,lingua,йы́лме
6,Lippe::N,labrum,тӱ́рвӧ
7,Wange::N,gena,шӱ́ргӧ
8,Gesicht::N,vultus,чури́й
9,Stirn::N,frons,саҥга́
10,Haar::N,capillus,ӱп
11,Schnurrbart::N,barba labri superioris,ӧ́рыш
12,Bart::N,barba,понда́ш
13,Kinn::N,mentum,оҥыла́ш
14,Kiefer[Anatomie]::N,mala,пӱйдӱ́ҥ
15,Kiefer[Anatomie]::N,mala,пӱйората́
16,Kehle::N,iugulums,лога́р
17,Hals::N,collum,шӱй
18,Genick::N,cervices,шӱйло́дыш
19,Kopf::N,caput,вуй
20,Rücken::N,tergum,туп
21,Bauch::N,venter,мӱ́шкыр
22,Nabel::N,umbilicus,кы́лымде
23,Busen::N,sinus,чы́зе
24,Brust::N,pectus,оҥ
25,Schulter::N,umerus,ва́че
26,Arm::N,bracchium,кид
27,Ellenbogen::N,cubitum,кынерву́й
28,Hand::N,manus,кид
29,Hand::N,manus,копа́
30,Handfläche::N,palma,со́во
31,Finger::N,digitus,парня́
32,Fingernagel::N,unguiculus,кидкӱ́ч
33,Fingernagel::N,unguiculus,парнягӱ́ч
34,Nagel[Anatomie]::N,unguis,кӱч
35,Zeh::N,digitus,йолварня́
36,Fuß::N,pes,йол
37,Fuß::N,pes,йолкопа́
38,Ferse::N,calx,тага́н
39,Knie::N,genu,пулву́й
40,Oberschenkel::N,femur,э́рде
41,Bein::N,crus,йол
42,Körper::N,corpus,кап
43,Haut::N,cutis,кова́ште
44,Haut::N,pellis,кова́ште
45,Blut::N,sanguis,вӱр
46,Ader::N,vena,шӧн
47,Sehne::N,nervus,шӧн
48,Sehne::N,nervus,кӱсе́н
49,Knochen::N,os,лу
50,Gehirn::N,cerebrum,вем
51,Gehirn::N,cerebrum,вуйве́м
52,Herz::N,cor,шӱм
53,Herz::N,animus,шӱм
54,Magen::N,stomachus,пага́р
55,Leber::N,iecur,мокш
56,Atem::N,spiritus,шӱ́лыш
57,Hunger::N,fames,шужыма́ш
58,Träne::N,lacrima,шинчавӱ́д
59,Geschmack::N,sapor,там
60,Geschmack::N,gustus,там
61,Geruch::N,odor,пуш
62,Schlaf::N,somnus,о́мо
63,Traum::N,somnium,йӱдо́мо
64,Himmel::N,caelum,кава́
65,Sonne::N,sol,ке́че
66,Mond::N,luna,ты́лзе
67,Stern::N,sidus,шӱ́дыр
68,Stern::N,stella,шӱ́дыр
69,Luft::N,aer,юж
70,Wind::N,ventus,марде́ж
71,Welle::N,unda,то́лкын
72,Wasser::N,aqua,вӱд
73,Stein::N,lapis,кӱ
74,Boden::N,solum,рок
75,Erde::N,terra,мла́нде
76,Staub::N,pulvis,пура́к
77,Rauch::N,fumus,шикш
78,Funke::N,scintilla,сеске́м
79,Funke::N,scintilla,тулйы́п
80,Feuer::N,ignis,тул
81,Licht::N,lux,со́то
82,Licht::N,lumen,со́то
83,Schatten::N,umbra,ӱ́мыл
84,Wetter::N,caelum,иге́че
85,Wetter::N,tempestas,иге́че
86,Nebel::N,nebula,тӱтыра́
87,Wolke::N,nubes,пыл
88,Regen::N,imber,йӱр
89,Regen::N,pluvia,йӱр
90,Schnee::N,nix,лум
91,Eis::N,glacies,ий
92,Frost::N,gelu,чатлама́
93,Kälte::N,frigus,йӱ́штӧ
94,Hitze::N,calor,шо́кшо
95,Hitze::N,aestus,шо́кшо
96,Raureif::N,pruina,пӧрш
97,Raureif::N,pruina,по́кшым
98,Regenbogen::N,arcus,шонанпы́л
99,Donner::N,tonitrus,кӱ́дырчӧ
100,Strömung::N,fluctus,йо́гын
101,Tropfen::N,gutta,чӱча́лтыш
102,Schaum::N,spuma,шоҥ
103,Schmutz::N,sordes,лавыра́
104,Schmutz::N,squalor,лавыра́
105,See::N,lacus,ер
106,Sumpf::N,palus,лӱ́кӧ
107,Moor::N,palus,куп
108,Wiese::N,pratum,о́лык
109,Wald::N,silva,чодыра́
110,Hügel::N,collis,арка́
