,Concept_ID,hu,zh
0,Auge::N,szem,眼睛
1,Ohr::N,fül,耳朵
2,Nase::N,orr,鼻子
3,Mund::N,száj,嘴
4,Zahn::N,fog,牙齿
5,Zunge::N,nyelv,舌头
6,Lippe::N,ajak,嘴唇
7,Wange::N,orca,面颊
8,Gesicht::N,arc,脸
9,Stirn::N,homlok,额
10,Haar::N,haj,头发
11,Schnurrbart::N,bajusz,髭须
12,Bart::N,szakáll,胡子
13,Kinn::N,áll,下巴
14,Kiefer[Anatomie]::N,állkapocs,颌
15,Kehle::N,gége,嗓子
16,Kehle::N,torok,嗓子
17,Hals::N,nyak,颈
18,Genick::N,tarkó,后颈
19,Kopf::N,fő,头
20,Kopf::N,fej,头
21,Rücken::N,hát,背
22,Bauch::N,has,肚子
23,Nabel::N,köldök,肚脐
24,Busen::N,mell,胸脯
25,Busen::N,kebel,胸脯
26,Brust::N,mell,胸
27,Schulter::N,váll,肩膀
28,Arm::N,kar,臂膀
29,Ellenbogen::N,könyök,肘
30,Hand::N,kéz,手
31,Handfläche::N,tenyér,手掌
32,Finger::N,ujj,手指
33,Fingernagel::N,köröm,指甲
34,Nagel[Anatomie]::N,köröm,指甲
35,Zeh::N,lábujj,脚趾
36,Fuß::N,láb,脚
37,Ferse::N,sarok,后跟
38,Knie::N,térd,膝
39,Oberschenkel::N,comb,大腿
40,Bein::N,láb,腿
41,Bein::N,lábszár,腿
42,Körper::N,test,身体
43,Haut::N,bőr,皮肤
44,Blut::N,vér,血
45,Ader::N,ér,血管
46,Sehne::N,ín,腱
47,Knochen::N,csont,骨
48,Gehirn::N,agy,脑
49,Gehirn::N,agyvelő,脑
50,Herz::N,szív,心
51,Magen::N,gyomor,胃
52,Leber::N,máj,肝
53,Atem::N,lehelet,呼吸
54,Atem::N,lélegzet,呼吸
55,Hunger::N,éhség,饿
56,Träne::N,könny,眼泪
57,Geschmack::N,íz,味道
58,Geruch::N,szag,气味
59,Schlaf::N,álom,睡眠
60,Schlaf::N,alvás,睡眠
61,Traum::N,álom,梦
62,Himmel::N,ég,天空
63,Himmel::N,menny,天空
64,Sonne::N,nap,太阳
65,Mond::N,hold,月亮
66,Stern::N,csillag,星
67,Luft::N,levegő,空气
68,Wind::N,szél,风
69,Welle::N,hullám,波
70,Wasser::N,víz,水
71,Stein::N,kő,石头
72,Boden::N,föld,地面
73,Boden::N,talaj,地面
74,Erde::N,föld,地
75,Staub::N,por,灰尘
76,Rauch::N,füst,烟
77,Funke::N,szikra,火花
78,Feuer::N,tűz,火
79,Licht::N,fény,光
80,Schatten::N,árnyék,影子
81,Wetter::N,idő,天气
82,Wetter::N,időjárás,天气
83,Nebel::N,köd,雾
84,Wolke::N,felhő,云
85,Regen::N,eső,雨
86,Schnee::N,hó,雪
87,Eis::N,jég,冰
88,Frost::N,fagy,霜冻
89,Kälte::N,hideg,寒冷
90,Hitze::N,hő,炎热
91,Hitze::N,hőség,炎热
92,Raureif::N,zúzmara,霜
93,Regenbogen::N,szivárvány,虹
94,Donner::N,dörgés,雷
95,Donner::N,mennydörgés,雷
96,Strömung::N,áramlat,水流
97,Tropfen::N,csepp,滴
98,Schaum::N,hab,泡沫
99,Schaum::N,tajték,泡沫
100,Schmutz::N,piszok,赃物
101,See::N,tó,湖
102,Sumpf::N,mocsár,沼泽
103,Moor::N,láp,沼泽
104,Wiese::N,rét,草地
105,Wiese::N,mező,草地
106,Wald::N,erdő,森林
107,Hügel::N,domb,丘陵
108,Anhöhe::N,magaslat,山丘
109,Berg::N,hegy,山
110,Gipfel::N,csúcs,峰
111,Höhle::N,barlang,洞穴
112,Abhang::N,lejtő,斜坡
113,Quelle::N,forrás,泉
114,Bach::N,patak,溪
115,Fluss::N,folyó,河流
116,Ufer::N,part,岸
117,Küste::N,tengerpart,海岸
118,Festland::N,szárazföld,大陆
119,Meer::N,tenger,海
120,Bucht::N,öböl,海湾
121,Insel::N,sziget,岛
122,Blume::N,virág,花
123,Gras::N,fű,草
124,Wurzel::N,gyökér,根
125,Baum::N,fa,树
126,Stamm::N,tő,树干
127,Stamm::N,törzs,树干
128,Rinde::N,kéreg,树皮
129,Ast::N,ág,树枝
130,Zweig::N,gally,树枝
131,Blatt::N,levél,叶子
132,Birke::N,nyír,桦木
133,Kiefer[Baum]::N,fenyő,松树
134,Weide[Baum]::N,fűz,柳树
135,Tanne::N,fenyő,冷杉
136,Horn::N,szarv,角
137,Feder::N,toll,羽毛
138,Fell::N,szőr,皮毛
139,Fell::N,bunda,皮毛
140,Flügel::N,szárny,翅膀
141,Klaue::N,köröm,爪子
142,Kralle::N,karom,爪子
143,Schwanz::N,farok,尾巴
144,Ei::N,tojás,蛋
145,Nest::N,fészek,巢
146,Bau::N,odú,穴
147,Tier::N,állat,动物
148,Herde::N,nyáj,群
149,Herde::N,csorda,群
150,Kuh::N,tehén,母牛
151,Bulle::N,bika,公牛
152,Pferd::N,ló,马
153,Schaf::N,juh,羊
154,Schaf::N,birka,羊
155,Schwein::N,sertés,猪
156,Hund::N,eb,狗
157,Hund::N,kutya,狗
158,Katze::N,macska,猫
159,Bär::N,medve,熊
160,Eichhörnchen::N,mókus,松鼠
161,Elch::N,jávorszarvas,麋鹿
162,Fuchs::N,róka,狐狸
163,Hase::N,nyúl,兔子
