,Concept_ID,nl,ja
0,Auge::N,oog,目
1,Ohr::N,oor,耳
2,Nase::N,neus,鼻
3,Mund::N,mond,口
4,Zahn::N,tand,歯
5,Zunge::N,tong,舌
6,Lippe::N,lip,唇
7,Wange::N,wang,頬
8,Gesicht::N,gelaat,顔
9,Gesicht::N,gezicht,顔
10,Stirn::N,voorhoofd,額
11,Haar::N,haar,髪
12,Schnurrbart::N,snor,口髭
13,Bart::N,baard,髭
14,Kinn::N,kin,顎
15,Kiefer[Anatomie]::N,kaak,顎
16,Kehle::N,keel,喉
17,Kehle::N,strot,喉
18,Hals::N,hals,首
19,Genick::N,nek,首
20,Kopf::N,hoofd,頭
21,Rücken::N,rug,背中
22,Bauch::N,buik,腹
23,Bauch::N,buik,お腹
24,Nabel::N,navel,へそ
25,Busen::N,boezem,乳房
26,Brust::N,borst,胸
27,Schulter::N,schouder,肩
28,Arm::N,arm,腕
29,Ellenbogen::N,elleboog,肘
30,Hand::N,hand,手
31,Handfläche::N,handpalm,手のひら
32,Finger::N,vinger,指
33,Fingernagel::N,nagel,爪
34,Nagel[Anatomie]::N,nagel,爪
35,Zeh::N,teen,足の指
36,Fuß::N,voet,足
37,Ferse::N,hak,かかと
38,Ferse::N,hiel,かかと
39,Knie::N,knie,膝
40,Oberschenkel::N,dij,上腿
41,Bein::N,been,足
42,Körper::N,lichaam,体
43,Haut::N,huid,皮膚
44,Blut::N,bloed,血
45,Ader::N,ader,血管
46,Sehne::N,pees,腱
47,Knochen::N,bot,骨
48,Knochen::N,been,骨
49,Knochen::N,knook,骨
50,Gehirn::N,hersenen,脳
51,Herz::N,hart,心
52,Herz::N,hart,心臓
53,Magen::N,maag,胃
54,Leber::N,lever,肝臓
55,Atem::N,adem,息
56,Atem::N,adem,呼吸
57,Hunger::N,honger,空腹
58,Träne::N,traan,涙
59,Geschmack::N,smaak,味
60,Geruch::N,geur,匂い
61,Schlaf::N,slaap,睡眠
62,Traum::N,droom,夢
63,Himmel::N,hemel,空
64,Sonne::N,zon,太陽
65,Mond::N,maan,月
66,Stern::N,ster,星
67,Luft::N,lucht,空気
68,Wind::N,wind,風
69,Welle::N,golf,波
70,Wasser::N,water,水
71,Stein::N,steen,石
72,Boden::N,grond,土地
73,Erde::N,aarde,土
74,Staub::N,stof,埃
75,Rauch::N,rook,煙
76,Funke::N,vonk,火花
77,Feuer::N,vuur,火
78,Licht::N,licht,光
79,Schatten::N,schaduw,陰
80,Wetter::N,weer,天気
81,Nebel::N,mist,霧
82,Nebel::N,nevel,霧
83,Wolke::N,wolk,雲
84,Regen::N,regen,雨
85,Schnee::N,sneeuw,雪
86,Eis::N,ijs,氷
87,Frost::N,vorst,霜
88,Kälte::N,kou,寒さ
89,Kälte::N,koude,寒さ
90,Hitze::N,hitte,暑さ
91,Raureif::N,rijp,霧氷
92,Regenbogen::N,regenboog,虹
93,Donner::N,donder,雷
94,Strömung::N,stroming,流れ
95,Tropfen::N,druppel,滴
96,Schaum::N,schuim,泡
97,Schmutz::N,vuil,汚れ
98,See::N,meer,湖
99,Sumpf::N,moeras,沼
100,Moor::N,veen,湿原
101,Wiese::N,wei,草原
102,Wiese::N,weide,草原
103,Wald::N,bos,森
104,Hügel::N,heuvel,丘
105,Anhöhe::N,hoogte,高み
106,Berg::N,berg,山
107,Gipfel::N,top,頂上
108,Höhle::N,hol,洞窟
109,Abhang::N,helling,斜面
110,Quelle::N,bron,泉
111,Bach::N,beek,小川
112,Fluss::N,stroom,川
113,Ufer::N,wal,岸
114,Ufer::N,oever,岸
115,Küste::N,kust,海岸
116,Festland::N,vasteland,陸
117,Meer::N,zee,海
118,Bucht::N,baai,湾
119,Bucht::N,inham,湾
120,Insel::N,eiland,島
121,Blume::N,bloem,花
122,Gras::N,gras,草
123,Wurzel::N,wortel,根
124,Baum::N,boom,木
125,Stamm::N,stam,幹
126,Rinde::N,schors,皮層
127,Ast::N,tak,枝
128,Zweig::N,twijg,小枝
129,Blatt::N,blad,葉
130,Birke::N,berk,樺
131,Kiefer[Baum]::N,den,松
132,Weide[Baum]::N,wilg,柳
133,Tanne::N,spar,樅
134,Horn::N,hoorn,角
135,Feder::N,veer,羽根
136,Feder::N,pluim,羽根
137,Fell::N,vel,毛皮
138,Flügel::N,vleugel,羽
139,Klaue::N,klauw,鉤爪
140,Kralle::N,klauw,爪
141,Schwanz::N,staart,尻尾
142,Ei::N,ei,卵
143,Nest::N,nest,巣
144,Bau::N,hol,穴
145,Tier::N,dier,動物
146,Herde::N,kudde,群れ
147,Kuh::N,koe,牛
148,Bulle::N,stier,雄牛
149,Pferd::N,paard,馬
150,Schaf::N,schaap,羊
151,Schwein::N,varken,豚
152,Hund::N,hond,犬
153,Katze::N,kat,猫
154,Bär::N,beer,熊
155,Eichhörnchen::N,eekhoorntje,栗鼠
156,Elch::N,eland,ヘラジカ
157,Fuchs::N,vos,狐
158,Hase::N,haas,兎
159,Maus::N,muis,鼠
160,Wolf::N,wolf,狼
161,Vogel::N,vogel,鳥
162,Schwarm::N,zwerm,群れ
163,Huhn::N,kip,鶏
164,Huhn::N,hoen,鶏
165,Hahn::N,haan,雄鶏
166,Gans::N,gans,ガチョウ
167,Adler::N,arend,鷲
168,Ente::N,eend,鴨
169,Eule::N,uil,フクロウ
170,Kranich::N,kraanvogel,鶴
171,Krähe::N,kraai,烏
172,Kuckuck::N,koekoek,郭公
173,Schwan::N,zwaan,白鳥
174,Fisch::N,vis,魚
175,Barsch::N,baars,鱸
176,Hecht::N,snoek,川魳
177,Schlange[Tier]::N,slang,蛇
178,Wurm::N,worm,虫
179,Spinne::N,spin,蜘蛛
180,Ameise::N,mier,蟻
181,Laus::N,luis,虱
182,Mücke::N,mug,蚊
183,Fliege::N,vlieg,蝿
184,Schmetterling::N,vlinder,蝶
185,Beere::N,bes,漿果
186,Apfel::N,appel,林檎
187,Pilz::N,paddestoel,茸
188,Zwiebel::N,ui,玉葱
189,Saat::N,zaad,種
190,Korn::N,graan,粒
191,Korn::N,korrel,粒
192,Heu::N,hooi,干し草
193,Schale::N,schil,皮
194,Grube::N,kuil,穴
195,Falle::N,val,わな
196,Schlinge::N,strop,輪
197,Spur::N,spoor,跡
198,Asche::N,as,灰
199,Dreck::N,drek,泥
200,Eisen::N,ijzer,鉄
201,Gold::N,goud,金
202,Silber::N,zilver,銀
203,Kohle::N,kool,炭
204,Glas::N,glas,ガラス
205,Lehm::N,klei,ローム
206,Sand::N,zand,砂
207,Mensch::N,mens,人
208,Mann::N,man,男
209,Mann::N,man,男性
210,Frau::N,vrouw,女
211,Frau::N,vrouw,女性
212,Kind::N,kind,子
213,Kind::N,kind,子供
214,Junge::N,jongen,男の子
215,Mädchen::N,meisje,女の子
216,Familie::N,gezin,家族
217,Familie::N,familie,家族
218,Großvater::N,grootvader,祖父
219,Großvater::N,grootvader,おじいさん
220,Großmutter::N,grootmoeder,祖母
221,Großmutter::N,grootmoeder,おばあさん
222,Eltern::N,ouders,親
223,Eltern::N,ouders,両親
224,Vater::N,vader,父
225,Vater::N,vader,お父さん
226,Mutter::N,moeder,母
227,Mutter::N,moeder,お母さん
228,Sohn::N,zoon,息子
229,Sohn::N,zoon,息子さん
230,Tochter::N,dochter,娘
231,Tochter::N,dochter,お嬢さん
232,Bruder::N,broer,弟
233,Bruder::N,broeder,弟
234,Schwester::N,zus,妹
235,Schwester::N,zuster,妹
236,Onkel::N,oom,伯父
237,Onkel::N,oom,伯父さん
238,Tante::N,tante,叔母
239,Tante::N,tante,叔母さん
240,Ehemann::N,echtgenoot,夫
241,Ehemann::N,echtgenoot,主人
242,Ehefrau::N,echtgenote,妻
243,Ehefrau::N,echtgenote,奥さん
244,Freude::N,vreugde,喜び
245,Gelächter::N,gelach,笑い
246,Glück::N,geluk,幸せ
247,Kummer::N,verdriet,悩み
248,Wunsch::N,wens,希望
249,Wunsch::N,verlangen,希望
250,Lust::N,zin,気
251,Lust::N,lust,気
252,Geist::N,geest,精神
253,Gedanke::N,gedachte,考え
254,Gedächtnis::N,geheugen,記憶
255,Verstand::N,verstand,理解力
256,Sinn::N,betekenis,意味
257,Grund::N,reden,理由
258,Wahrheit::N,waarheid,真実
259,Gespräch::N,gesprek,会話
260,Märchen::N,sprookje,童話
261,Erzählung::N,verhaal,物語
262,Nachricht::N,tijding,報告
263,Neuigkeit::N,nieuws,ニュース
264,Neuigkeit::N,nieuwtje,ニュース
265,Name::N,naam,名前
266,Rätsel::N,raadsel,謎
267,Rede::N,rede,演説
268,Sprache::N,taal,言語
269,Stimme::N,stem,声
270,Wort::N,woord,言葉
271,Zeichen::N,teken,記号
272,Ruf::N,roep,呼び声
273,Lärm::N,lawaai,騒音
274,Laut::N,klank,音
275,Laut::N,geluid,音
276,Ton::N,toon,音
277,Ton::N,klank,音
278,Lied::N,lied,歌
279,Ruhe::N,rust,静けさ
280,Ruhe::N,stilte,静けさ
281,Leute::N,lui,人々
282,Leute::N,mensen,人々
283,Volk::N,volk,民族
284,Arbeit::N,werk,仕事
285,Arbeit::N,arbeid,仕事
286,Gast::N,gast,客
287,Geschenk::N,cadeau,贈り物
288,Geschenk::N,geschenk,贈り物
289,Spiel::N,spel,遊び
290,Gesellschaft::N,gezelschap,社会
291,Hilfe::N,hulp,援助
292,Freund::N,vriend,友達
293,Kamerad::N,maat,同志
294,Kamerad::N,metgezel,同志
295,Angelegenheit::N,zaak,件
296,Angelegenheit::N,aangelegenheid,件
