,Concept_ID,sah,ta
0,Auge::N,харах,கண்
1,Ohr::N,кулгаах,காது
2,Nase::N,мурун,மூக்கு
3,Mund::N,айах,வாய்
4,Zahn::N,тиис,பல்
5,Zunge::N,тыл,நாக்கு
6,Lippe::N,уос,உதடு
7,Wange::N,иэдэс,கன்னம்
8,Gesicht::N,сирэй,முகம்
9,Stirn::N,сүүс,முன்னெற்றி
10,Haar::N,баттах,முடி
11,Schnurrbart::N,уос бытыга,மீசை
12,Bart::N,сэҥийэ бытыга,தாடி
13,Kinn::N,сэҥийэ,கீழதாடை
14,Kiefer[Anatomie]::N,сыҥаах,தாடை
15,Kehle::N,тамах,தொண்டை
16,Kehle::N,күөмэй,தொண்டை
17,Hals::N,моой,கழுத்து
18,Genick::N,кэтэх,கழுத்து
19,Kopf::N,бас,தலை
20,Rücken::N,көҕүс,முதுகு
21,Bauch::N,ис,வயிறு
22,Nabel::N,киин,தொப்புள்
23,Busen::N,эмиий,மார்பகம்
24,Brust::N,түөс, மார்பு
25,Schulter::N,сарын,தோள்பட்டை
26,Arm::N,илии,கரம்
27,Ellenbogen::N,тоҕонох,முழங்கை
28,Hand::N,илии,கை
29,Handfläche::N,ытыс,உள்ளங்கை
30,Finger::N,тарбах,விரல்
31,Fingernagel::N,тыҥырах,விரல் நகம்
32,Nagel[Anatomie]::N,тыҥырах,நகம்
33,Zeh::N,тарбах,கால்விரல்
34,Fuß::N,уллуҥах,கால்
35,Ferse::N,тилэх,குதிகால்
36,Knie::N,тобук,முழங்கால்
37,Knie::N,дьилбэк,முழங்கால்
38,Oberschenkel::N,уллук,தொடை
39,Oberschenkel::N,өттүк,தொடை
40,Bein::N,атах,கால்
41,Körper::N,бэйэ,உடல்
42,Haut::N,тирии,சருமம்
43,Blut::N,хаан,இரத்தம்
44,Ader::N,вена,நாளம்
45,Ader::N,күөх_тымыр,நாளம்
46,Sehne::N,иҥиир,தசைநார்
47,Knochen::N,уҥуох,எலுமபு
48,Knochen::N,уҥгуох,எலுமபு
49,Gehirn::N,мэйии,மூனை
50,Herz::N,сүрэх,இதயம
51,Magen::N,куртах,வயிறு
52,Leber::N,быар,கல்லீரல்
53,Atem::N,тыын,மூச்சு
54,Hunger::N,аас,பசி
55,Träne::N,харах уута,கண்ணீர்
56,Geschmack::N,амтан,நறுமணம்
57,Geruch::N,сыт,துர்நாற்றம்
58,Schlaf::N,утуйуу,தூக்கம்
59,Traum::N,түүл,கனவு
60,Himmel::N,халлаан,வானம்
61,Sonne::N,күн,சூரியன்
62,Mond::N,ый,சந்திரன்
63,Stern::N,сулус,நட்சத்திரம்
64,Luft::N,салгын,காறறு
65,Wind::N,тыал,காற்று
66,Welle::N,долгун,அலை
67,Welle::N,балхаан,அலை
68,Wasser::N,уу,நீர்
69,Stein::N,таас,கல்
70,Boden::N,сир,தரை
71,Erde::N,буор,மண்
72,Staub::N,быыл,தூசி
73,Rauch::N,буруо,புகை
74,Funke::N,кыым,தீப்பொறி
75,Feuer::N,уот,தீ
76,Licht::N,уот,வெளிச்சம்
77,Schatten::N,күлүк,நிழல்
78,Wetter::N,күн-дьыл,வானிலை
79,Nebel::N,туман,பனிமூட்டம்
80,Wolke::N,былыт,மேகம்
81,Regen::N,самыыр,மழை
82,Schnee::N,хаар,உறைபனி
83,Eis::N,муус,பனிக்கட்டி
84,Frost::N,тымныы,உறைபனி
85,Kälte::N,тымныы,குளிர்ந்த
86,Hitze::N,куйаас,சூடு
87,Raureif::N,кырыа,உறைபனி வெண்திரை
88,Regenbogen::N,кустук,வானவில்
89,Donner::N,этиҥ,இடி
90,Strömung::N,сүүрүк,நீரோட்டம்
91,Tropfen::N,таммах,துளி
92,Tropfen::N,хааппыла,துளி
93,Schaum::N,күүгэн,நுரை
94,Schmutz::N,кир,அழுக்கு
95,See::N,күөл,ஏரி
96,Sumpf::N,бадараан,சதுப்பு நிலம்
97,Moor::N,дьэбэрэ,முட்புதற்காடு
98,Wiese::N,ходуһа,பசும் புல்தரை
99,Wald::N,ойуур,காடு
100,Hügel::N,булгунньах,குன்று
101,Anhöhe::N,үрдэл,பதுக்கை
102,Berg::N,хайа,மலை
103,Gipfel::N,чыпчаал,உச்சி மாநாடு
104,Höhle::N,хайа_хаспаҕа,குகை
105,Höhle::N,көҥүс,குகை
106,Abhang::N,эниэ,சரிவு
107,Quelle::N,дьүүктэ,மூலம்
108,Bach::N,үрүйэ,ஓடை
109,Fluss::N,өрүс,ஆறு
110,Ufer::N,биэрэк,நீர்க்கரை
111,Küste::N,кытыл,கடற்கரை
112,Festland::N,кураанах сир,நிலம்
113,Meer::N,муора,கடல்
114,Bucht::N,хомо,சிறுகுடா
115,Bucht::N,бухта,சிறுகுடா
116,Insel::N,арыы,தீவு
117,Blume::N,сибэкки,பூ
118,Gras::N,от,புல்தரை
119,Wurzel::N,силис,வேர்
120,Baum::N,мас,மரம்
121,Stamm::N,умнас,அடிமரம்
122,Rinde::N,хатырык,பட்டை
123,Rinde::N,хатырык,மரப்பட்டை
124,Ast::N,мутук,கினை
125,Zweig::N,лабаа,குச்சி
126,Blatt::N,сэбирдэх,இலை
127,Birke::N,хатыҥ,பிர்ச் மரம்
128,Kiefer[Baum]::N,бэс,தேவதாரு மரம்
129,Weide[Baum]::N,үөт,மர வகைகளுள் ஒன்று
130,Weide[Baum]::N,талах,மர வகைகளுள் ஒன்று
131,Tanne::N,харыйа,சாதிக்கய்
132,Horn::N,муос,கொம்பு
133,Feder::N,куорсун,இறகு
134,Fell::N,тирии,மென்முடி
135,Flügel::N,кынат,இறக்கை
136,Klaue::N,тыҥырах,நகம்
137,Kralle::N,баппаҕай,நகம்
138,Schwanz::N,кутурук,வால்
139,Ei::N,сымыыт,முட்டை
140,Nest::N,уйа,கூடு
141,Bau::N,хороон,குகை
142,Tier::N,кыыл,விலங்கு
143,Tier::N,харамай,விலங்கு
144,Herde::N,үөр,கூட்டம்
145,Kuh::N,ынах,பசு
146,Bulle::N,оҕус,காளை
147,Pferd::N,сылгы,குதிரை
148,Schaf::N,овца,செம்மறிஆடு
149,Schwein::N,сибиинньэ,பன்றி
150,Hund::N,ыт,நாய்
151,Katze::N,куоска,பூனை
152,Bär::N,эһэ,கரடி
153,Eichhörnchen::N,тииҥ,அணில்
154,Elch::N,тайах,கடம்பை
155,Fuchs::N,саһыл,நரி
156,Hase::N,куобах,முயல்
157,Maus::N,кутуйах,எலி
158,Wolf::N,бөрө,ஓநாய்
159,Vogel::N,көтөр,பறவை
160,Schwarm::N,бөлөх,தொகுதி
161,Huhn::N,куурусса,கோழிக்குஞசு
162,Hahn::N,бөтүүк,சேவல்
163,Gans::N,хаас,பெண் வாத்து
164,Adler::N,хотой,பருநது
165,Ente::N,кус,வாத்து
166,Eule::N,мэкчиргэ,ஆந்தை
167,Kranich::N,туруйа,நாரை
168,Krähe::N,тураах,காகம்
169,Kuckuck::N,кэҕэ,குயில்
170,Schwan::N,куба,அன்னம்
171,Fisch::N,балык,மீன்
172,Barsch::N,алыһар,பேர்ச்
173,Hecht::N,сордон,கோலாச்சி மீன்
174,Schlange[Tier]::N,моҕой,பாம்பு
175,Schlange[Tier]::N,эриэн үөн,பாம்பு
176,Wurm::N,үөн,புழு
177,Spinne::N,ооҕуй,சிலந்தி
178,Ameise::N,кымырдаҕас,எறும்பு
179,Laus::N,быт,பேன்
180,Mücke::N,кумаар,கொசுவினப்பூச்சி
181,Fliege::N,сахсырҕа,ஈ
182,Schmetterling::N,лыах,வண்ணத்துப்பூச்சி
183,Schmetterling::N,үрүмэччи,வண்ணத்துப்பூச்சி
184,Beere::N,отон,சதைப்பழம்
185,Apfel::N,яблоко,ஆப்பிள பழம்
186,Pilz::N,тэллэй,காளான்
187,Zwiebel::N,луук,வெங்காயம்
188,Saat::N,сиэмэ,விதை
189,Korn::N,сиэмэ,தானியம்
190,Heu::N,от,வைக்கோல்
191,Schale::N,хах,தோல்
192,Grube::N,дьаама,குழி
193,Falle::N,сохсо,பொறி
194,Schlinge::N,уктаа,கண்ணி
195,Spur::N,суол,சுவடு
196,Asche::N,күл,சாம்பல்
197,Dreck::N,бадараан,அழுக்கு
198,Eisen::N,тимир,இரும்பு
199,Gold::N,көмүс,தங்கம்
200,Gold::N,кыһыл көмүс,தங்கம்
201,Silber::N,көмүс,வெள்ளி
202,Silber::N,үрүҥ көмүс,வெள்ளி
203,Kohle::N,чох,நிலக்கரி
204,Glas::N,өстүөкүлэ,கண்ணாடி
205,Lehm::N,туой,களிமண்
206,Sand::N,кумах,மணல்
207,Mensch::N,киһи,மனிதர்கள்
208,Mann::N,эр,மனிதன்
209,Frau::N,дьахтар,பெண்
210,Kind::N,оҕо,குழந்தை
211,Junge::N,уол,பையன்
212,Mädchen::N,кыыс оҕо,சிறுமி
213,Familie::N,кэргэн,குடும்பம்
214,Großvater::N,эһэ,தாத்தா
215,Großmutter::N,эбэ,பாட்டி
216,Eltern::N,аҕа-ийэ,பெற்றோர்
217,Vater::N,аҕа,தந்தை
218,Mutter::N,ийэ,தாய்
219,Sohn::N,уол,மகன்
220,Tochter::N,кыыс,மகள்
221,Bruder::N,убай,சகோதரன்
222,Bruder::N,быраат,சகோதரன்
223,Schwester::N,аҕас,அக்கா
224,Schwester::N,балыс,அக்கா
225,Onkel::N,таай,தாய் மாமன்
226,Onkel::N,абаҕа,தாய் மாமன்
227,Tante::N,эдьиий,அத்தை
228,Ehemann::N,эр,கணவன்
229,Ehefrau::N,ойох,மனைவி
230,Freude::N,үөрүү,கொண்டாட்டம்
231,Gelächter::N,күлүү,சிரிப்பு
232,Glück::N,дьол,மகிழ்ச்சி
233,Glück::N,соргу,மகிழ்ச்சி
234,Kummer::N,кутурҕан,துயரம்
235,Wunsch::N,баҕарыы,விருப்பம்
236,Lust::N,баҕа,விருப்பம்
237,Geist::N,тыын,ஆன்மா
238,Gedanke::N,санаа,எண்ணம்
239,Gedächtnis::N,өй,ஞாபகம்
240,Verstand::N,өй,மனம்
241,Sinn::N,суолта,அர்த்தம்
242,Grund::N,төрүөт,காரணம்
243,Wahrheit::N,кырдьык,உண்நை
244,Gespräch::N,бэсиэдэ,பெசு
245,Gespräch::N,кэпсэтии,பெசு
246,Märchen::N,остуоруйа,நம்பத்தகாத கதை
247,Erzählung::N,кэпсээн,கதை
248,Nachricht::N,биллэриллии,செய்தி
249,Neuigkeit::N,сонун,செய்தி
250,Name::N,аат,பெயர்
251,Rätsel::N,таабырын,புதிர்
252,Rede::N,этии,பேச்சு
253,Sprache::N,тыл,மொழி
254,Stimme::N,куолас,குரல்
255,Wort::N,тыл,வார்த்தை
256,Zeichen::N,бэлиэ,குறி
257,Ruf::N,ыҥырыы,அழைப்பு
258,Lärm::N,айдаан,சத்தம்
259,Laut::N,тыас,ஒலி
260,Ton::N,дорҕоон,குரல்
261,Lied::N,ырыа,பாட்டு
262,Ruhe::N,уу чуумпу,அமைதி
263,Leute::N,дьон,மக்கள்
264,Volk::N,дьон,மக்கள்
265,Volk::N,норуот,மக்கள்
266,Arbeit::N,үлэ,வேலை
267,Gast::N,ыалдьыт,விருந்தாளி
268,Geschenk::N,бэлэх,பரிசுப் பொருள்
269,Spiel::N,оонньуу,விளையாட்டு
270,Gesellschaft::N,общество,சமுதாயம்
271,Hilfe::N,көмө,உதவி
272,Freund::N,доҕор,நண்பன்
273,Kamerad::N,атас,உடனிருப்பவன்
274,Angelegenheit::N,дьыала,செய்தி
275,Anzahl::N,ахсаан,எண்ணிக்கை
276,Art::N,биис,வகை
277,Stück::N,кырбас,துண்டம்
278,Teil::N,ирээт,பகுதி
279,Hälfte::N,аҥар,பாதி
280,Kreis::N,төгүрүк,வட்டம்
281,Kreis::N,төгүрүмтэ,வட்டம்
282,Kreuz::N,кириэс,சிலுவை
283,Linie::N,сурааһын,கோடு
284,Strich::N,сурааһын,வாத நோய்
285,Abstand::N,арыт,இடைவெளி
