,Concept_ID,cy,av
0,Auge::N,llygad,
1,Ohr::N,clust,гӏин
2,Nase::N,trwyn,мегӏер
3,Mund::N,ceg,кӏал
4,Zahn::N,dant,гӏус
5,Zunge::N,tafod,мацӏ
6,Lippe::N,gwefus,кӏветӏ
7,Wange::N,boch,гӏоно
8,Gesicht::N,wyneb,гьумер
9,Stirn::N,talcen,нодо
10,Haar::N,blew,рас
11,Schnurrbart::N,mwstas,михъ
12,Bart::N,barf,мегеж
13,Kinn::N,gên,нилъу
14,Kiefer[Anatomie]::N,gên,чанагъ
15,Kehle::N,gwddf,щекъер
16,Hals::N,gwddf,габур
17,Genick::N,gwar,гъванща
18,Genick::N,gwegil,гъванща
19,Kopf::N,pen,бетӏер
20,Rücken::N,cefn,мугъ
21,Bauch::N,bol,чехь
22,Nabel::N,bogail,цӏину
23,Busen::N,bron,керен
24,Brust::N,brest,керен
25,Schulter::N,ysgwydd,гъажазубетӏер
26,Arm::N,braich,гъеж
27,Ellenbogen::N,penelin,гӏункӏрукь
28,Hand::N,llaw,квер
29,Handfläche::N,palf,огъохъат
30,Handfläche::N,palf,жанисахъат
31,Finger::N,bys,килищ
32,Fingernagel::N,ewin,малъ
33,Nagel[Anatomie]::N,ewin,малъ
34,Zeh::N,bys troed,килищ
35,Fuß::N,troed,хӏетӏ
36,Fuß::N,troed,хӏетӏе
37,Ferse::N,sawdl,эгъе
38,Knie::N,glin,наку
39,Oberschenkel::N,clun,мачӏ
40,Bein::N,coes,бох
41,Körper::N,corff,къаркъала
42,Haut::N,croen,тӏом
43,Blut::N,gwaed,би
44,Ader::N,gwythïen,бидурихь
45,Sehne::N,gewyn,
46,Knochen::N,asgwrn,ракьа
47,Gehirn::N,ymennydd,гӏадалнах
48,Herz::N,calon,ракӏ
49,Magen::N,cylla,кванирукъ
50,Magen::N,stumog,кванирукъ
51,Leber::N,iau,тӏул
52,Atem::N,anadl,хӏухь
53,Hunger::N,newyn,ракъи
54,Träne::N,deigryn,магӏу
55,Geschmack::N,cyflas,тату
56,Geruch::N,aroglau,махӏ
57,Schlaf::N,cwsg,макьу
58,Traum::N,breuddwyd,макьу
59,Himmel::N,awyr,зоб
60,Sonne::N,haul,бакъ
61,Mond::N,lleuad,моцӏ
62,Stern::N,seren,цӏва
63,Luft::N,awyr,гьава
64,Wind::N,gwynt,гьури
65,Welle::N,ton,карачел
66,Wasser::N,dŵr,лъим
67,Stein::N,carreg,гьецӏо
68,Boden::N,llawr,ракь
69,Erde::N,pridd,ракь
70,Erde::N,pridd,дуниял
71,Staub::N,llwch,хӏур
72,Rauch::N,mwg,кӏкӏуй
73,Funke::N,gwreichioni,
74,Feuer::N,tân,цӏа
75,Licht::N,golau,канлъи
76,Schatten::N,cysgod,рагӏад
77,Wetter::N,tywydd,гьава-бакъ
78,Nebel::N,niwl,гӏодобнакӏкӏ
79,Wolke::N,cwmwl,накӏкӏ
80,Regen::N,glaw,цӏад
81,Schnee::N,ôd,гӏазу
82,Schnee::N,eira,гӏазу
83,Eis::N,iâ,цӏер
84,Frost::N,rhew,замгьари
85,Kälte::N,oerni,квач
86,Kälte::N,annwyd,квач
87,Hitze::N,gwres,багӏари
88,Raureif::N,barrug,мартӏ
89,Regenbogen::N,enfys,нур
90,Regenbogen::N,enfys,чамбара
91,Donner::N,tyrfau,гъугъай
92,Donner::N,tyrfau,гъугъади
93,Strömung::N,cerrynt,чвахи
94,Tropfen::N,dafn,резел
95,Tropfen::N,dafn,тӏинкӏ
96,Tropfen::N,dafn,къатӏра
97,Tropfen::N,dafn,тӏенкӏел
98,Tropfen::N,diferyn,резел
99,Tropfen::N,diferyn,тӏинкӏ
100,Tropfen::N,diferyn,къатӏра
101,Tropfen::N,diferyn,тӏенкӏел
102,Schaum::N,ewyn,полоп
103,Schmutz::N,baw,чороклъи
104,Schmutz::N,budreddi,чороклъи
105,See::N,llyn,хӏор
106,Sumpf::N,cors,хьуцӏ
107,Moor::N,rhos,
