,Concept_ID,hr,te
0,Auge::N,oko,కన్ను
1,Ohr::N,uho,చెవి
2,Nase::N,nos,ముక్కు
3,Mund::N,usta,నోరు
4,Zahn::N,zub,పల్లు
5,Zunge::N,jezik,నాలుక
6,Lippe::N,usna,పెదవి
7,Wange::N,obraz,చెంప
8,Gesicht::N,lice,ముఖము
9,Stirn::N,čelo,నుదురు
10,Haar::N,kosa,వెండ్రుక
11,Schnurrbart::N,brkovi,మీసము
12,Bart::N,brada,గడ్డము
13,Kinn::N,brada,గడ్డము
14,Kinn::N,podbradak,గడ్డము
15,Kiefer[Anatomie]::N,čeljust,దౌడ
16,Kehle::N,grlo,గొంతు
17,Hals::N,vrat,మెడ
18,Genick::N,zatiljak,మూపు
19,Kopf::N,glava,తల
20,Rücken::N,leđa,వెన్ను
21,Rücken::N,hrbat,వెన్ను
22,Bauch::N,trbuh,కడుపు
23,Nabel::N,pupak,బొడ్డు
24,Busen::N,sisa,స్తనము
25,Busen::N,njedra,స్తనము
26,Brust::N,prsa,ఱొమ్ము
27,Schulter::N,rame,భుజము
28,Schulter::N,pleći,భుజము
29,Arm::N,ruka,చేయి
30,Ellenbogen::N,lakat,మోచేయి
31,Hand::N,ruka,చేయి
32,Handfläche::N,dlan,అరచేయు
33,Finger::N,prst,చేతిప్రేలు
34,Fingernagel::N,nokat,గోరు
35,Nagel[Anatomie]::N,nokat,గోరు
36,Zeh::N,nozni prst,కాలిప్రేలు
37,Fuß::N,noga,అడుగు
38,Fuß::N,stopalo,అడుగు
39,Ferse::N,peta,మడమ
40,Knie::N,koljeno,మోకాలు
41,Oberschenkel::N,bedro,తొడ
42,Bein::N,noga,కాలు
43,Körper::N,tijelo,కాయము
44,Haut::N,put,చర్మము
45,Haut::N,koža,చర్మము
46,Blut::N,krv,రక్తము
47,Ader::N,žila,సిర
48,Sehne::N,tetiva,స్నాయువు
49,Knochen::N,kost,ఎముక
50,Herz::N,srce,హృదయము
51,Magen::N,stomak,కడుపు
52,Magen::N,želudac,కడుపు
53,Leber::N,jetra,కాలేయము
54,Atem::N,dah,ఉపిరి
55,Hunger::N,glad,ఆకలి
56,Träne::N,suza,కన్నీటిచుక్క
57,Geschmack::N,ukus,రుచి
58,Geruch::N,njuh,వాసన
59,Geruch::N,miris,వాసన
60,Schlaf::N,san,నిద్ర
61,Traum::N,san,కల
62,Himmel::N,nebo,ఆకాశము
63,Sonne::N,sunce,సూర్యుడు
