,Concept_ID,da,ro
0,Auge::N,øje,ochi
1,Ohr::N,øre,ureche
2,Nase::N,næse,nas
3,Mund::N,mund,gură
4,Zahn::N,tand,dinte
5,Zunge::N,tunge,limbă
6,Lippe::N,læbe,buză
7,Wange::N,kind,bucă
8,Wange::N,kind,obraz
9,Gesicht::N,ansigt,față
10,Gesicht::N,ansigt,figură
11,Stirn::N,pande,frunte
12,Haar::N,hår,păr
13,Schnurrbart::N,overskæg,mustață
14,Bart::N,skæg,barbă
15,Kinn::N,hage,bărbie
16,Kiefer[Anatomie]::N,kæbe,falcă
17,Kehle::N,strube,beregată
18,Hals::N,hals,gât
19,Genick::N,nakke,ceafă
20,Kopf::N,hoved,cap
21,Rücken::N,ryg,dos
22,Rücken::N,ryg,spate
23,Rücken::N,ryg,spinare
24,Bauch::N,mave,burtă
25,Bauch::N,mave,pântece
26,Nabel::N,navle,buric
27,Busen::N,barm,sân
28,Brust::N,bryst,piept
29,Schulter::N,skulder,umăr
30,Schulter::N,skulder,spate
31,Arm::N,arm,braț
32,Ellenbogen::N,albue,cot
33,Hand::N,hånd,mână
34,Handfläche::N,håndflade,palmă
35,Finger::N,finger,deget
36,Fingernagel::N,fingernegl,unghie
37,Nagel[Anatomie]::N,negl,unghie
38,Zeh::N,tå,deget de la picior
39,Fuß::N,fod,picior
40,Ferse::N,hæl,călcâi
41,Knie::N,knæ,genunchi
42,Oberschenkel::N,lår,coapsă
43,Bein::N,ben,picior
44,Körper::N,krop,corp
45,Körper::N,legeme,corp
46,Haut::N,hud,piele
47,Blut::N,blod,sânge
48,Ader::N,åre,vână
49,Ader::N,åre,arteră
50,Sehne::N,sene,tendon
51,Knochen::N,ben,os
52,Gehirn::N,hjerne,creier
53,Herz::N,hjerte,inimă
54,Magen::N,mave,stomac
55,Leber::N,lever,ficat
56,Atem::N,ånde,răsuflare
57,Atem::N,ånde,respirație
58,Hunger::N,sult,foame
59,Träne::N,tåre,lacrimă
60,Geschmack::N,smag,gust
61,Geruch::N,lugt,miros
62,Schlaf::N,søvn,somn
63,Traum::N,drøm,vis
64,Himmel::N,himmel,cer
65,Sonne::N,sol,soare
66,Mond::N,måne,lună
67,Stern::N,stjerne,stea
68,Luft::N,luft,aer
69,Wind::N,vind,vânt
70,Welle::N,bølge,val
71,Welle::N,bølge,undă
72,Wasser::N,vand,apă
73,Stein::N,sten,piatră
74,Boden::N,jord,sol
75,Boden::N,jord,pământ
76,Erde::N,jord,pământ
77,Staub::N,støv,praf
78,Rauch::N,røg,fum
79,Funke::N,gnist,scânteie
80,Feuer::N,ild,foc
81,Licht::N,lys,lumină
82,Schatten::N,skygge,umbră
83,Wetter::N,vejr,timp
84,Wetter::N,vejr,vreme
85,Nebel::N,tåge,ceață
86,Nebel::N,tåge,negură
87,Wolke::N,sky,nor
88,Regen::N,regn,ploaie
89,Schnee::N,sne,zăpadă
90,Eis::N,is,gheață
91,Frost::N,frost,ger
92,Kälte::N,kulde,frig
93,Hitze::N,hede,arșiță
94,Hitze::N,hede,căldură
95,Raureif::N,rimfrost,chiciură
96,Regenbogen::N,regnbue,curcubeu
97,Donner::N,torden,tunet
98,Strömung::N,strømning,curent
99,Tropfen::N,dråbe,picătură
100,Schaum::N,skum,spumă
101,Schmutz::N,snavs,murdărie
102,See::N,sø,lac
103,Sumpf::N,sump,mlaștină
104,Moor::N,mose,bărăgan
105,Wiese::N,eng,fânaț
106,Wiese::N,eng,livadă
107,Wald::N,skov,codru
108,Wald::N,skov,pădure
109,Hügel::N,høj,deal
110,Hügel::N,høj,movilă
111,Hügel::N,bakke,deal
112,Hügel::N,bakke,movilă
113,Anhöhe::N,høj,deal
114,Anhöhe::N,høj,ridicătură
115,Anhöhe::N,bakke,deal
116,Anhöhe::N,bakke,ridicătură
117,Berg::N,bjerg,munte
118,Gipfel::N,top,pisc
119,Höhle::N,hule,peșteră
120,Abhang::N,skrænt,pantă
121,Abhang::N,skrænt,versant
122,Abhang::N,skråning,pantă
123,Abhang::N,skråning,versant
124,Quelle::N,kilde,izvor
125,Bach::N,bæk,gârlă
126,Fluss::N,flod,râu
127,Fluss::N,flod,fluviu
128,Ufer::N,bred,mal
129,Ufer::N,bred,țărm
130,Küste::N,kyst,coastă
131,Festland::N,fastland,uscat
132,Meer::N,hav,mare
133,Bucht::N,bugt,golf
134,Insel::N,ø,insulă
135,Blume::N,blomst,floare
136,Gras::N,græs,iarbă
137,Wurzel::N,rod,rădăcină
138,Baum::N,træ,copac
139,Baum::N,træ,arbore
140,Stamm::N,stamme,tulpină
141,Rinde::N,bark,scoarță
142,Ast::N,gren,cracă
143,Ast::N,gren,creangă
144,Zweig::N,kvist,ramură
145,Zweig::N,kvist,creangă
146,Blatt::N,blad,frunză
147,Birke::N,birk,mesteacăn
148,Kiefer[Baum]::N,fyrretræ,pin
149,Weide[Baum]::N,piletræ,salcie
150,Weide[Baum]::N,piletræ,răchită
151,Tanne::N,gran,brad
152,Horn::N,horn,corn
153,Feder::N,fjer,pană
154,Fell::N,skind,piele
155,Flügel::N,vinge,aripă
156,Klaue::N,klov,gheară
157,Kralle::N,klo,labă
158,Kralle::N,klo,gheară
159,Schwanz::N,hale,coadă
160,Ei::N,æg,ou
161,Nest::N,rede,cuib
162,Bau::N,bo,bârlog
163,Bau::N,bo,vizuină
164,Tier::N,dyr,animal
165,Herde::N,flok,turmă
166,Herde::N,flok,cireadă
167,Kuh::N,ko,vacă
168,Bulle::N,tyr,taur
169,Pferd::N,hest,cal
170,Schaf::N,får,oaie
171,Schwein::N,gris,porc
172,Hund::N,hund,câine
173,Katze::N,kat,pisică
174,Bär::N,bjørn,urs
175,Eichhörnchen::N,egern,veveriță
176,Elch::N,elg,elan
177,Fuchs::N,ræv,vulpe
178,Hase::N,hare,iepure
179,Maus::N,mus,șoarece
180,Wolf::N,ulv,lup
181,Vogel::N,fugl,pasăre
182,Schwarm::N,sværm,cârd
183,Huhn::N,høne,găină
184,Hahn::N,hane,cocoș
185,Gans::N,gås,gâscă
186,Adler::N,ørn,vultur
187,Ente::N,and,rață
188,Eule::N,ugle,bufniță
189,Kranich::N,trane,cocor
190,Krähe::N,krage,cioară
191,Kuckuck::N,gøg,cuc
