,Concept_ID,sq,lbe
0,Auge::N,sy,я
1,Ohr::N,vesh,вичӏи
2,Nase::N,hundë,май
3,Mund::N,gojë,кьацӏ
4,Zahn::N,dhëmb,ккарччи
5,Zunge::N,gjuhë,маз
6,Lippe::N,buzë,мурччи
7,Wange::N,faqe,чӏав
8,Wange::N,mollëz,чӏав
9,Gesicht::N,fytyrë,лажин
10,Stirn::N,ballë,ненттабакӏ
11,Haar::N,flokë,чӏара
12,Schnurrbart::N,mustaqe,ссирссилтту
13,Bart::N,mjekër,чӏири
14,Kinn::N,mjekër,лунттубакӏ
15,Kiefer[Anatomie]::N,nofull,ххинчулул
16,Kehle::N,fyt,кьакьари
17,Kehle::N,grykë,кьакьари
18,Hals::N,qafë,ссурссу
19,Genick::N,arrëz,махъабакӏ
20,Kopf::N,kokë,бакӏ
21,Rücken::N,kurriz,ттиликӏ
22,Bauch::N,bark,лякьа
23,Nabel::N,kërthizë,цӏумуккутӏ
24,Busen::N,gji,ккукку
25,Brust::N,gjoks,хъазам
26,Brust::N,kraharor,хъазам
27,Schulter::N,sup,хъачӏ
28,Schulter::N,krah,хъачӏ
29,Arm::N,krah,ка
30,Ellenbogen::N,bërryl,ссюрхъ
31,Hand::N,dorë,бартка
32,Handfläche::N,pëllëmbë,хъат
33,Handfläche::N,pëllëmbë,битӏянхъ
34,Finger::N,gisht,кӏисса
35,Fingernagel::N,thua,михь
36,Nagel[Anatomie]::N,thua,михь
37,Zeh::N,gisht i këmbës,кӏисса
38,Fuß::N,këmbë,чӏанччан
39,Ferse::N,thembër,никъа
40,Knie::N,gju,ник
41,Oberschenkel::N,kofshë,жира
42,Bein::N,këmbë,ччан
43,Körper::N,trup,чурх
44,Haut::N,lëkurë,бурчу
45,Blut::N,gjak,оь
46,Ader::N,venë,тунну
47,Sehne::N,dell,хьхьа
48,Knochen::N,asht,ттаркӏ
49,Knochen::N,kockë,ттаркӏ
50,Gehirn::N,tru,ня
51,Herz::N,zemër,дакӏ
52,Herz::N,zemër,къюкӏ
53,Magen::N,stomak,лякьа
54,Leber::N,mëlçi,
55,Atem::N,frymë,ссихӏ ласаву
56,Atem::N,frymë,ссихӏ бигьаву
57,Hunger::N,uri,ккаши
58,Träne::N,lot,макь
59,Geschmack::N,shije,тӏин
60,Geschmack::N,shije,тӏааьн
61,Geruch::N,erë,кьанкь
62,Schlaf::N,gjumë,шану
63,Traum::N,ëndërr,макӏру
64,Himmel::N,qiell,ссав
65,Sonne::N,diell,баргъ
66,Mond::N,hënë,барз
67,Stern::N,yll,цӏуку
68,Luft::N,ajër,гьава
69,Wind::N,erë,марч
70,Welle::N,valë,щатӏи
71,Welle::N,dallgë,щатӏи
72,Wasser::N,ujë,щин
73,Stein::N,gur,чару
74,Boden::N,tokë,аьрщи
75,Boden::N,truall,аьрщи
76,Erde::N,dhe,аьрщи
77,Erde::N,baltë,аьрщи
78,Staub::N,pluhur,ххит
79,Rauch::N,tym,пуркӏу
80,Funke::N,xixë,пиягь
81,Funke::N,shkëndijë,пиягь
82,Feuer::N,zjarr,цӏу
83,Licht::N,dritë,чани
84,Schatten::N,hije,ххют
85,Wetter::N,mot,гьава
86,Nebel::N,mjegull,шархь ттурлу
87,Wolke::N,re,ттурлу
88,Regen::N,shi,гъарал
89,Schnee::N,borë,марххала
90,Eis::N,akull,микӏ
91,Frost::N,ngricë,дяркъу
92,Frost::N,ngricë,замгьар
93,Kälte::N,të ftohtë,дяркъу
94,Hitze::N,vapë,кӏиришиву
95,Hitze::N,nxehtësi,кӏиришиву
96,Raureif::N,cikmë,сил
97,Raureif::N,cikmë,бурса
98,Regenbogen::N,ylber,ссурул ккуртта
99,Donner::N,gjëmim,къув
100,Donner::N,bubullimë,къув
101,Strömung::N,rrymë,экьинанаву
102,Tropfen::N,pikë,кӏунтӏ
103,Schaum::N,shkumë,хьама
104,Schmutz::N,baltë,кьяркьи
105,See::N,liqen,бяр
106,Sumpf::N,batak,кунцӏа
107,Moor::N,kënetë,
108,Wiese::N,livadh,кьан
109,Wald::N,pyll,вацӏа
110,Hügel::N,kodër,бакӏу
111,Anhöhe::N,bregore,
112,Berg::N,mal,зунтту
113,Gipfel::N,kulm,мицӏ
114,Höhle::N,shpellë,нух
115,Höhle::N,zgafelle,нух
116,Abhang::N,shpat,сун
117,Abhang::N,tatëpjetë,сун
118,Quelle::N,krua,дайдихьу
119,Quelle::N,krua,бакӏ
120,Quelle::N,burim,дайдихьу
121,Quelle::N,burim,бакӏ
122,Bach::N,virua,чӏрир нех
123,Fluss::N,lumë,нех
124,Ufer::N,breg,зума
125,Küste::N,anëdet,зумаинхалу
126,Küste::N,anëdet,зуманицӏалу
127,Küste::N,bregdet,зумаинхалу
128,Küste::N,bregdet,зуманицӏалу
129,Festland::N,kontinent,кьири
130,Meer::N,det,хьхьири
131,Bucht::N,gji deti,
132,Insel::N,ishull,жазира
133,Insel::N,ujdhesë,жазира
134,Blume::N,lule,тӏутӏи
135,Gras::N,bar,уртту
136,Wurzel::N,rrënjë,мархха
137,Baum::N,pemë,мурхь
138,Stamm::N,trung,ттарцӏ
139,Rinde::N,lëvore,ккамара
140,Ast::N,degë,матӏи
141,Zweig::N,bisk,къяртта
142,Blatt::N,fletë,чӏапӏи
143,Blatt::N,gjethe,чӏапӏи
144,Birke::N,mështekën,кӏялахӏи
145,Birke::N,mështekën,кӏялахӏилул мурхь
146,Kiefer[Baum]::N,pishë,ттар
147,Kiefer[Baum]::N,pishë,ттарлил мурхь
148,Weide[Baum]::N,shelg,щавщи
149,Tanne::N,bredh,ттарлил мурхь
150,Horn::N,bri,хъи
151,Feder::N,pupël,лелуххул тӏиму
152,Fell::N,lëkurë,бурчу
153,Flügel::N,krah,хъа
154,Flügel::N,krah,ххурупӏайрал тӏиму
155,Flügel::N,fletë,хъа
156,Flügel::N,fletë,ххурупӏайрал тӏиму
157,Klaue::N,kthetër,михь
158,Kralle::N,thua,ххяппа
159,Kralle::N,kthetër,ххяппа
160,Schwanz::N,bisht,магъ
161,Ei::N,vezë,ккунук
162,Nest::N,fole,кюру
163,Bau::N,strofkë,цукъуккутӏ
164,Tier::N,kafshë,хӏайван
165,Herde::N,kope,газу
166,Herde::N,grigjë,газу
167,Kuh::N,lopë,оьл
