,Concept_ID,tt,ba
0,Auge::N,күз,күҙ
1,Ohr::N,колак,ҡолаҡ
2,Nase::N,борын,танау
3,Mund::N,авыз,ауыҙ
4,Mund::N,тамак,ауыҙ
5,Zahn::N,теш,теш
6,Zunge::N,тел,тел
7,Lippe::N,ирен,ирен
8,Wange::N,яңак,яцаҡтар
9,Gesicht::N,йөз,бит
10,Stirn::N,маңгай,маңлай
11,Haar::N,чәч,сәс
12,Schnurrbart::N,мыек,мылтыҡ
13,Bart::N,сакал,һаҡал
14,Kinn::N,ияк,эйэк
15,Kiefer[Anatomie]::N,казналык,яңаҡ һөйәге
16,Kehle::N,тамак,тамаҡ
17,Hals::N,бугаз,муйын
18,Genick::N,җилкә,соңҡа
19,Kopf::N,баш,баш
20,Rücken::N,сырт,арҡа
21,Bauch::N,корсак,ҡорһаҡ
22,Nabel::N,кендек,кендек
23,Busen::N,түш,күкрәк
24,Brust::N,имчәк,түш
25,Brust::N,күкрәк,түш
26,Schulter::N,иңбаш,яурын
27,Schulter::N,кулбаш,яурын
28,Arm::N,кул,ҡул
29,Ellenbogen::N,терсәк,терһәк
30,Hand::N,кул,ҡул
31,Hand::N,кул,ҡул суғы
32,Handfläche::N,уч,ус төбө
33,Finger::N,бармак,бармаҡ
34,Fingernagel::N,тырнак,тырнаҡ
35,Nagel[Anatomie]::N,тырнак,тырнаҡ
36,Zeh::N,бармак,бармаҡ
37,Fuß::N,табан,табан
38,Ferse::N,үкчә,үксә
39,Knie::N,тез,тубыҡ
40,Oberschenkel::N,бот,сандыр
41,Bein::N,аяк,аяҡ
42,Körper::N,тән,тән
43,Körper::N,җисем,тән
44,Haut::N,тире,тире
45,Blut::N,кан,ҡан
46,Ader::N,тамыр,тамыр
47,Sehne::N,сеңер,һеңер
48,Sehne::N,сеңер,тарамыш
49,Knochen::N,сөяк,һойәк
50,Gehirn::N,ми,мейе
51,Herz::N,йөрәк,йорәк
52,Magen::N,ашказаны,ашҡаҙан
53,Leber::N,бавыр,бауыр
54,Atem::N,сулыш,һулыш
55,Hunger::N,ачлык,аслыҡ
56,Träne::N,яшь,күҙ иәше
57,Geschmack::N,тәм,тәм
58,Geschmack::N,зәвык,тәм
59,Geruch::N,ис,еҫ
60,Schlaf::N,йокы,йоҡлау
61,Traum::N,төш,төш
62,Himmel::N,күк,күк
63,Sonne::N,кояш,ҡояш
64,Mond::N,ай,ай
65,Stern::N,йолдыз,йондоҙ
66,Luft::N,һава,һауа
67,Wind::N,җил,ел
68,Welle::N,дулкын,тулҡын
69,Wasser::N,су,һыу
70,Stein::N,таш,таш
71,Boden::N,туфрак,тупраҡ
72,Erde::N,җир,балсҡ
73,Staub::N,тузан,туҙан
74,Rauch::N,төтен,төтөн
75,Funke::N,очкын,осҡон
76,Feuer::N,ут,ут
77,Licht::N,якты,яҡтылыҡ
78,Schatten::N,күләгә,күләгә
79,Wetter::N,һава,һауа торошо
80,Nebel::N,томан,төман
81,Wolke::N,болыт,болот
82,Regen::N,яңгыр,ямғыр
83,Schnee::N,кар,ҡар
84,Eis::N,боз,боҙ
85,Frost::N,суык,һалҡын
86,Frost::N,салкын,һалҡын
87,Kälte::N,суык,һыуыҡ
88,Kälte::N,салкын,һыуыҡ
89,Hitze::N,эсселек,томра
90,Hitze::N,эсселек,эҫелек
91,Raureif::N,бәс,ҡырау
92,Raureif::N,сыкы,ҡырау
93,Regenbogen::N,салават күпере,йәйғор
94,Donner::N,күкрәү,күк күкрәү
95,Strömung::N,агыш'агым,ағым
96,Tropfen::N,тамчы,тамсы
97,Schaum::N,күбек,күбек
98,Schmutz::N,пычрак,батҡаҡ
99,See::N,күл,күл
100,Sumpf::N,саз,һаҙлык
101,Moor::N,торфлык,һаҙ
102,Wiese::N,болын,болон
103,Wald::N,урман,урман
104,Hügel::N,калку,түбә
105,Anhöhe::N,үр,түбә
106,Anhöhe::N,үр,ҡалҡыулыҡ
107,Berg::N,тау,тау
108,Gipfel::N,оч,түбә
109,Höhle::N,мәгарә,мәмерйә
110,Abhang::N,кабырга,ипкен
111,Quelle::N,чишмә,шишмә
112,Bach::N,елга,шишмә
113,Fluss::N,дәрья,йылға
114,Ufer::N,су кырые,яр
115,Küste::N,яр буе,яр буйы
116,Festland::N,коры җир,ҡоро ер
117,Meer::N,диңгез,диңгез
118,Bucht::N,бухта,бухта
119,Bucht::N,култык,бухта
120,Insel::N,атау,үтрау
121,Insel::N,утрау,үтрау
122,Blume::N,чәчкә,сәскә
123,Gras::N,үлән,үлән
124,Wurzel::N,тамыр,тамыр
125,Baum::N,агач,ағас
126,Stamm::N,кәүсә,олон
127,Stamm::N,кәүсә,көбәк
128,Rinde::N,кабык,ҡабыҡ
129,Ast::N,ботак,ботаҡ
130,Zweig::N,ботак,ботаҡ
131,Zweig::N,ботак,тармаҡ
132,Zweig::N,тармак,ботаҡ
133,Zweig::N,тармак,тармаҡ
134,Blatt::N,яфрак,япраҡ
135,Birke::N,каен,ҡайын
136,Kiefer[Baum]::N,нарат,ҡарғай
137,Weide[Baum]::N,тал,тал
138,Tanne::N,чыршы,шыршы
139,Horn::N,мөгез,мөғөҙ
140,Feder::N,йон,ҡауырһын
141,Fell::N,тире,тире
142,Flügel::N,канат,ҡанат
143,Klaue::N,тырнак,тырнаҡ
144,Kralle::N,тырнак,аяҡ
145,Schwanz::N,койрык,ҡойроҡ
146,Ei::N,күкәй,йомортҡа
147,Ei::N,йомырка,йомортҡа
148,Nest::N,оя,оя
149,Bau::N,өн,оң
150,Tier::N,хайван,жайуан
151,Tier::N,хайван,йыртҡыс
152,Herde::N,көтү,көтөү
153,Kuh::N,сыер,һыйыр
154,Bulle::N,үгез,үгеҙ
155,Pferd::N,ат,ат
156,Schaf::N,сарык,һарыҡ
157,Schwein::N,дуңгыз,сусҡа
158,Hund::N,эт,эт
159,Katze::N,песи,бесәй
160,Bär::N,аю,айыу
161,Eichhörnchen::N,тиен,тейен
162,Elch::N,поши,мышы
163,Fuchs::N,төлке,төлкө
164,Hase::N,куян,ҡуян
165,Maus::N,тычкан,сысҡан
166,Wolf::N,бүре,бүре
167,Vogel::N,кош,ҡош
168,Schwarm::N,көтү,көтөү
169,Huhn::N,тавык,тауыҡ
170,Hahn::N,әтәч,әтәс
171,Gans::N,каз,ҡаҙ
172,Adler::N,каракош,бөркөт
173,Ente::N,үрдәк,өйрәк
174,Eule::N,ябалак,өкө
175,Eule::N,ябалак,ябалаҡ
