,Concept_ID,cs,udm
0,Auge::N,oko,син
1,Ohr::N,ucho,пель
2,Nase::N,nos,ныр
3,Mund::N,pusa,ым
4,Zahn::N,zub,пинь
5,Zunge::N,jazyk,кыл
6,Lippe::N,ret,ымдур
7,Wange::N,tvář,бам
8,Gesicht::N,obličej,ымныр
9,Stirn::N,čelo,кымес
10,Haar::N,vlas,йырси
11,Haar::N,vlasy,йырси
12,Schnurrbart::N,kníry,мыйык
13,Bart::N,vousy,туш
14,Kinn::N,brada,ангес
15,Kiefer[Anatomie]::N,čelist,ан
16,Kiefer[Anatomie]::N,čelist,анлы
17,Kehle::N,hrdlo,гульым
18,Hals::N,krk,чырты
19,Genick::N,týl,йырбер
20,Kopf::N,hlava,йыр
21,Rücken::N,záda,мыш
22,Rücken::N,hřbet,мыш
23,Bauch::N,břicho,кӧт
24,Nabel::N,pupek,гогы
25,Busen::N,ňadra,ноны
26,Brust::N,prsa,мӧля
27,Schulter::N,plece,пельпум
28,Schulter::N,rameno,пельпум
29,Arm::N,ruka,суй
30,Ellenbogen::N,loket,гырпум
31,Hand::N,ruka,ки
32,Handfläche::N,dlaň,ки пыдэс
33,Handfläche::N,dlaň,кырым пыдэс
34,Finger::N,prst,чиньы
35,Fingernagel::N,nehet,гижы
36,Fingernagel::N,nehet,гиждӥнь
37,Nagel[Anatomie]::N,nehet,гижы
38,Zeh::N,prst u nohy,пыдчиньы
39,Fuß::N,noha,пыд
40,Ferse::N,pata,пыдбер
41,Knie::N,koleno,пыдес
42,Oberschenkel::N,stehno,макес
43,Bein::N,noha,пыд
44,Körper::N,tělo,мугор
45,Körper::N,tělo,вылтыр
46,Haut::N,kůže,ку
47,Blut::N,krev,вир
48,Ader::N,céva,вирсэр
49,Sehne::N,šlacha,вуж
50,Knochen::N,kost,лы
51,Gehirn::N,mozek,вим
52,Herz::N,srdce,сюлэм
53,Magen::N,žaludek,ӝуш
54,Leber::N,játra,мус
55,Atem::N,dech,лул
56,Atem::N,dech,шокан
57,Hunger::N,hlad,кӧтсюман
58,Träne::N,slza,синкыли
59,Geschmack::N,vkus,шӧм
60,Geruch::N,vůně,зын
61,Geruch::N,zápach,зын
62,Schlaf::N,spánek,вӧт
63,Traum::N,sen,уйвӧт
64,Himmel::N,nebe,ин
65,Sonne::N,slunce,шунды
66,Mond::N,měsíc,толэзь
67,Stern::N,hvězda,кизили
68,Luft::N,vzduch,омыр
69,Wind::N,vítr,тӧл
70,Welle::N,vlna,тулкым
71,Wasser::N,voda,ву
72,Stein::N,kámen,из
73,Boden::N,půda,музъем
74,Erde::N,země,му
75,Staub::N,prach,пыль
76,Rauch::N,dým,ӵын
77,Rauch::N,kouř,ӵын
78,Funke::N,jiskra,гизьы
79,Feuer::N,oheň,тыл
80,Licht::N,světlo,тыл
81,Schatten::N,stín,вужер
82,Wetter::N,počasí,куазь
83,Nebel::N,mlha,бус
84,Wolke::N,mrak,пилем
85,Wolke::N,oblak,пилем
86,Regen::N,déšť,зор
87,Schnee::N,sníh,лымы
88,Eis::N,led,йӧ
89,Frost::N,mráz,кезьыт
90,Kälte::N,chlad,кезьыт
91,Hitze::N,horko,пӧсь
