,Concept_ID,eu,sl
0,Auge::N,begi,okó
1,Ohr::N,belarri,uhó
2,Nase::N,sudur,nós
3,Mund::N,aho,ústa
4,Zahn::N,hortz,zób
5,Zunge::N,mihi,jêzik
6,Lippe::N,ezpain,ústnica
7,Wange::N,masail,líce
8,Gesicht::N,aurpegi,oblíčje
9,Stirn::N,bekoki,čêlo
10,Haar::N,ile,lás
11,Haar::N,bilo,lás
12,Schnurrbart::N,bibote,bŕki
13,Schnurrbart::N,sudurpeko,bŕki
14,Bart::N,bizar,bráda
15,Kinn::N,kokots,bráda
16,Kiefer[Anatomie]::N,masailezur,čeljúst
17,Kehle::N,eztarri,gŕlo
18,Hals::N,sama,vrát
19,Genick::N,garondo,zatílnik
20,Kopf::N,buru,gláva
21,Rücken::N,bizkar,hrbèt
22,Bauch::N,sabel,trébuh
23,Nabel::N,zilbor,pópek
24,Busen::N,titi,nédrja
25,Busen::N,ugatz,nédrja
26,Brust::N,bular,pŕsi
27,Schulter::N,besaburu,ráma
28,Schulter::N,besaburu,plêče
29,Arm::N,beso,rôka
30,Ellenbogen::N,ukondo,komólec
31,Hand::N,esku,rôka
32,Handfläche::N,ahur,dlán
33,Finger::N,hatz,pŕst
34,Fingernagel::N,azazkal,nóht na rôki
35,Nagel[Anatomie]::N,azazkal,nóht
36,Zeh::N,behatz,pŕst na nôgi
37,Fuß::N,oin,nôga
38,Ferse::N,orpo,pêta
39,Ferse::N,oinburu,pêta
40,Knie::N,belaun,koléno
41,Oberschenkel::N,izter,stêgno
42,Bein::N,zango,nôga
43,Körper::N,soin,teló
44,Haut::N,azal,kóža
45,Blut::N,odol,krí
46,Ader::N,zain,žíla
47,Sehne::N,gihar-zain,kíta
48,Knochen::N,hezur,kóst
49,Gehirn::N,garun,možgáni
50,Gehirn::N,burmuin,možgáni
51,Herz::N,bihotz,srcé
52,Magen::N,urdail,želódec
53,Leber::N,gibel,jétra
54,Atem::N,hats,díh
55,Atem::N,arnasa,díh
56,Hunger::N,gose,glád
57,Träne::N,malko,sólza
58,Geschmack::N,dasta,okús
59,Geruch::N,usain,vónj
60,Schlaf::N,lo,sèn
61,Schlaf::N,lo,spánec
62,Traum::N,amets,sánje
63,Himmel::N,zeru,nebó
64,Sonne::N,eguzki,sónce
65,Mond::N,ilargi,lúna
66,Mond::N,ilargi,mésec
67,Stern::N,izar,zvézda
68,Luft::N,aire,zràk
69,Wind::N,haize,véter
70,Welle::N,uhin,vál
71,Welle::N,olatu,vál
72,Wasser::N,ur,vôda
73,Stein::N,harri,kámen
74,Boden::N,lur,tlà
75,Boden::N,zoru,tlà
76,Erde::N,lur,pŕst
77,Erde::N,lur,zêmlja
78,Staub::N,hauts,práh
79,Rauch::N,ke,dìm
80,Funke::N,zirta,ískra
81,Funke::N,txinparta,ískra
82,Feuer::N,su,ôgenj
83,Licht::N,argi,lúč
84,Schatten::N,itzal,sénca
85,Schatten::N,geriza,sénca
86,Wetter::N,eguraldi,vrême
87,Nebel::N,laino,meglà
88,Wolke::N,hodei,oblák
89,Regen::N,euri,dèž
90,Schnee::N,elur,snég
91,Eis::N,horma,léd
92,Frost::N,izotzaldi,zmrzál
93,Kälte::N,hotz,mràz
94,Hitze::N,bero,pripéka
95,Raureif::N,antzigar,ívje
96,Raureif::N,antzigar,slána
97,Regenbogen::N,ostadar,mávrica
98,Regenbogen::N,ortzadar,mávrica
99,Donner::N,ostots,gròm
100,Donner::N,ihurtzuri,gròm
101,Strömung::N,laster,strúja
