,Concept_ID,sah,mdf
0,Auge::N,харах,сельме
1,Ohr::N,кулгаах,пиле
2,Nase::N,мурун,шалхка
3,Mund::N,айах,курга
4,Zahn::N,тиис,пей
5,Zunge::N,тыл,кяль
6,Lippe::N,уос,търва́
7,Wange::N,иэдэс,щёка
8,Gesicht::N,сирэй,шама
9,Stirn::N,сүүс,коня
10,Haar::N,баттах,шя́ярь
11,Schnurrbart::N,уос бытыга,уса́
12,Bart::N,сэҥийэ бытыга,сакал
13,Kinn::N,сэҥийэ,ула
14,Kiefer[Anatomie]::N,сыҥаах,саласка
15,Kehle::N,тамах,кълдома
16,Kehle::N,тамах,кърга́парь
17,Kehle::N,күөмэй,кълдома
18,Kehle::N,күөмэй,кърга́парь
19,Hals::N,моой,сялдаз
20,Genick::N,кэтэх,шовонь
21,Kopf::N,бас,пря
22,Rücken::N,көҕүс,копорь
23,Bauch::N,ис,пеке
24,Nabel::N,киин,по́кон
25,Busen::N,эмиий,потя
26,Brust::N,түөс,мяште
27,Schulter::N,сарын,лафту
28,Arm::N,илии,кядь
29,Ellenbogen::N,тоҕонох,кенерьба́карь
30,Hand::N,илии,кядь
31,Handfläche::N,ытыс,кядьлапш
32,Finger::N,тарбах,сур
33,Fingernagel::N,тыҥырах,кенже
34,Nagel[Anatomie]::N,тыҥырах,кенже
35,Zeh::N,тарбах,пильгосу́р
36,Fuß::N,уллуҥах,пильге
37,Fuß::N,уллуҥах,пильгелапа
38,Ferse::N,тилэх,кочкяря
39,Knie::N,тобук,эль
40,Knie::N,тобук,пълма́нжа
41,Knie::N,дьилбэк,эль
42,Knie::N,дьилбэк,пълма́нжа
43,Oberschenkel::N,уллук,пильгепукша
44,Oberschenkel::N,өттүк,пильгепукша
45,Bein::N,атах,пильге
46,Körper::N,бэйэ,ро́нга
47,Körper::N,бэйэ,по́нда
48,Haut::N,тирии,киське
49,Blut::N,хаан,вер
50,Ader::N,вена,сан
51,Ader::N,вена,верза́н
52,Ader::N,күөх_тымыр,сан
53,Ader::N,күөх_тымыр,верза́н
54,Sehne::N,иҥиир,коське сан
55,Knochen::N,уҥуох,пакарь
56,Knochen::N,уҥгуох,пакарь
57,Gehirn::N,мэйии,уй
58,Herz::N,сүрэх,седи
59,Magen::N,куртах,коткърдазь
60,Leber::N,быар,макса
61,Atem::N,тыын,лекома
62,Atem::N,тыын,ваймонь тарксема
63,Hunger::N,аас,вачеши
64,Träne::N,харах уута,сельмове́дь
65,Geschmack::N,амтан,таньф
66,Geruch::N,сыт,шине
67,Schlaf::N,утуйуу,удома́
68,Traum::N,түүл,он
69,Himmel::N,халлаан,менель
70,Sonne::N,күн,ши
71,Mond::N,ый,ков
72,Stern::N,сулус,тяште
73,Luft::N,салгын,кожф
74,Wind::N,тыал,варма
75,Welle::N,долгун,тавла
76,Welle::N,балхаан,тавла
77,Wasser::N,уу,ведь
78,Stein::N,таас,кев
79,Boden::N,сир,мода
80,Boden::N,сир,потмакс
81,Erde::N,буор,мода
82,Erde::N,буор,мастор
83,Staub::N,быыл,пуль
84,Rauch::N,буруо,качам
85,Funke::N,кыым,ця́тка
86,Feuer::N,уот,тол
87,Licht::N,уот,ва́лда
88,Schatten::N,күлүк,цильф
89,Wetter::N,күн-дьыл,уша
90,Nebel::N,туман,тума́н
91,Wolke::N,былыт,ковол
92,Regen::N,самыыр,пизем
93,Schnee::N,хаар,лов
94,Eis::N,муус,эй
95,Frost::N,тымныы,ке́льме
96,Kälte::N,тымныы,якшама
97,Hitze::N,куйаас,пси
98,Raureif::N,кырыа,леш
99,Regenbogen::N,кустук,а́тямъёнга
100,Donner::N,этиҥ,атям
101,Strömung::N,сүүрүк,шудема́
102,Tropfen::N,таммах,путькс
103,Tropfen::N,таммах,пътняфкс
104,Tropfen::N,хааппыла,путькс
105,Tropfen::N,хааппыла,пътняфкс
106,Schaum::N,күүгэн,шов
107,Schmutz::N,кир,ърда́з
108,See::N,күөл,эрьхке
109,Sumpf::N,бадараан,шяй
110,Moor::N,дьэбэрэ,шяй
111,Wiese::N,ходуһа,луга
112,Wald::N,ойуур,вирь
113,Hügel::N,булгунньах,губо́р
114,Hügel::N,булгунньах,пандоня
115,Anhöhe::N,үрдэл,губо́р
116,Berg::N,хайа,панда
117,Gipfel::N,чыпчаал,пря
118,Höhle::N,хайа_хаспаҕа,у́нда
119,Höhle::N,көҥүс,у́нда
120,Abhang::N,эниэ,па́нда ша́ма
121,Quelle::N,дьүүктэ,эшиня
122,Bach::N,үрүйэ,шудерькс
123,Fluss::N,өрүс,ляй
124,Ufer::N,биэрэк,търва́
125,Küste::N,кытыл,ляйтърва́
126,Festland::N,кураанах сир,мода
127,Meer::N,муора,моря
128,Bucht::N,хомо,ведьуське
129,Bucht::N,бухта,ведьуське
130,Insel::N,арыы,цёнга
131,Blume::N,сибэкки,панчф
132,Gras::N,от,тише
133,Wurzel::N,силис,юр
134,Wurzel::N,силис,ункс
135,Baum::N,мас,шуфта
136,Stamm::N,умнас,ро́нга
137,Rinde::N,хатырык,кер
138,Ast::N,мутук,морга
139,Zweig::N,лабаа,тарад
140,Blatt::N,сэбирдэх,лопа
141,Birke::N,хатыҥ,ке́лу
142,Kiefer[Baum]::N,бэс,пиче
143,Weide[Baum]::N,үөт,каль
144,Weide[Baum]::N,талах,каль
145,Tanne::N,харыйа,куз
146,Horn::N,муос,сюра
147,Feder::N,куорсун,толга
148,Fell::N,тирии,кедь
149,Flügel::N,кынат,паця
150,Klaue::N,тыҥырах,кенже
151,Kralle::N,баппаҕай,кенже
152,Schwanz::N,кутурук,пула
153,Ei::N,сымыыт,ал
154,Nest::N,уйа,пиза
155,Bau::N,хороон,пиза
156,Tier::N,кыыл,жува́та
157,Tier::N,харамай,жува́та
158,Herde::N,үөр,нал
159,Herde::N,үөр,стада
160,Kuh::N,ынах,скал
161,Kuh::N,ынах,тракс
162,Bulle::N,оҕус,бука
163,Pferd::N,сылгы,лишме
164,Schaf::N,овца,уча́
165,Schwein::N,сибиинньэ,тува
166,Hund::N,ыт,пине
167,Katze::N,куоска,катоня
168,Katze::N,куоска,аваката
169,Bär::N,эһэ,офта
170,Eichhörnchen::N,тииҥ,ур
171,Elch::N,тайах,ся́рда
172,Fuchs::N,саһыл,келазь
173,Hase::N,куобах,ну́мол
174,Maus::N,кутуйах,шеер
175,Wolf::N,бөрө,върьгаз
176,Vogel::N,көтөр,нармонь
