,Concept_ID,fi,eu
0,Auge::N,silmä,begi
1,Ohr::N,korva,belarri
2,Nase::N,nenä,sudur
3,Mund::N,suu,aho
4,Zahn::N,hammas,hortz
5,Zunge::N,kieli,mihi
6,Lippe::N,huuli,ezpain
7,Wange::N,poski,masail
8,Gesicht::N,naama,aurpegi
9,Gesicht::N,kasvot,aurpegi
10,Stirn::N,otsa,bekoki
11,Haar::N,hius,ile
12,Haar::N,hius,bilo
13,Haar::N,tukka,ile
14,Haar::N,tukka,bilo
15,Schnurrbart::N,viikset,bibote
16,Schnurrbart::N,viikset,sudurpeko
17,Bart::N,parta,bizar
18,Kinn::N,leuka,kokots
19,Kiefer[Anatomie]::N,leukaluu,masailezur
20,Kehle::N,kurkku,eztarri
21,Hals::N,kaula,sama
22,Genick::N,niska,garondo
23,Kopf::N,pää,buru
24,Rücken::N,selkä,bizkar
25,Bauch::N,maha,sabel
26,Bauch::N,vatsa,sabel
27,Nabel::N,napa,zilbor
28,Busen::N,rinta,titi
29,Busen::N,rinta,ugatz
30,Brust::N,rinta,bular
31,Schulter::N,olka,besaburu
32,Schulter::N,hartia,besaburu
33,Schulter::N,olkapää,besaburu
34,Arm::N,käsivarsi,beso
35,Ellenbogen::N,kyynärpää,ukondo
36,Hand::N,käsi,esku
37,Handfläche::N,kämmen,ahur
38,Finger::N,sormi,hatz
39,Fingernagel::N,kynsi,azazkal
40,Nagel[Anatomie]::N,kynsi,azazkal
41,Zeh::N,varvas,behatz
42,Fuß::N,jalka,oin
43,Ferse::N,kantapää,orpo
44,Ferse::N,kantapää,oinburu
45,Knie::N,polvi,belaun
46,Oberschenkel::N,reisi,izter
47,Bein::N,jalka,zango
48,Körper::N,keho,soin
49,Körper::N,ruumis,soin
50,Haut::N,iho,azal
51,Blut::N,veri,odol
52,Ader::N,suoni,zain
53,Sehne::N,jänne,gihar-zain
54,Knochen::N,luu,hezur
55,Gehirn::N,aivot,garun
56,Gehirn::N,aivot,burmuin
57,Herz::N,sydän,bihotz
58,Magen::N,maha,urdail
59,Magen::N,vatsa,urdail
60,Leber::N,maksa,gibel
61,Atem::N,henki,hats
62,Atem::N,henki,arnasa
63,Atem::N,hengitys,hats
64,Atem::N,hengitys,arnasa
65,Hunger::N,nälkä,gose
66,Träne::N,kyynel,malko
67,Geschmack::N,maku,dasta
68,Geruch::N,haju,usain
69,Schlaf::N,uni,lo
70,Traum::N,uni,amets
71,Himmel::N,taivas,zeru
72,Sonne::N,aurinko,eguzki
73,Mond::N,kuu,ilargi
74,Stern::N,tähti,izar
75,Luft::N,ilma,aire
76,Wind::N,tuuli,haize
77,Welle::N,aalto,uhin
78,Welle::N,aalto,olatu
79,Wasser::N,vesi,ur
80,Stein::N,kivi,harri
81,Boden::N,maa,lur
82,Boden::N,maa,zoru
83,Boden::N,maaperä,lur
84,Boden::N,maaperä,zoru
85,Erde::N,maa,lur
86,Staub::N,pöly,hauts
87,Rauch::N,savu,ke
88,Funke::N,kipinä,zirta
89,Funke::N,kipinä,txinparta
90,Feuer::N,tuli,su
91,Licht::N,valo,argi
92,Schatten::N,varjo,itzal
93,Schatten::N,varjo,geriza
94,Wetter::N,sää,eguraldi
95,Nebel::N,sumu,laino
96,Wolke::N,pilvi,hodei
97,Regen::N,sade,euri
98,Schnee::N,lumi,elur
99,Eis::N,jää,horma
100,Frost::N,halla,izotzaldi
101,Frost::N,pakkanen,izotzaldi
102,Kälte::N,vilu,hotz
103,Kälte::N,kylmyys,hotz
104,Hitze::N,helle,bero
105,Hitze::N,kuumuus,bero
106,Raureif::N,huurre,antzigar
107,Regenbogen::N,sateenkaari,ostadar
108,Regenbogen::N,sateenkaari,ortzadar
109,Donner::N,jyrinä,ostots
110,Donner::N,jyrinä,ihurtzuri
111,Strömung::N,virtaus,laster
112,Tropfen::N,tippa,xorta
113,Tropfen::N,pisara,xorta
114,Schaum::N,vaahto,bits
115,Schmutz::N,loka,lohi
116,Schmutz::N,loka,zikin
117,See::N,järvi,laku
118,See::N,järvi,aintzira
119,Sumpf::N,suo,zingira
120,Moor::N,räme,zohikaztegi
121,Wiese::N,niitty,larre
122,Wiese::N,niitty,belardi
123,Wald::N,metsä,baso
124,Wald::N,metsä,oihan
125,Hügel::N,mäki,muino
126,Hügel::N,mäki,pentoka
127,Hügel::N,kumpu,muino
128,Hügel::N,kumpu,pentoka
129,Hügel::N,kukkula,muino
130,Hügel::N,kukkula,pentoka
131,Anhöhe::N,mäki,garai
132,Anhöhe::N,mäki,goragune
133,Anhöhe::N,kumpare,garai
134,Anhöhe::N,kumpare,goragune
135,Berg::N,mäki,mendi
136,Berg::N,vuori,mendi
137,Gipfel::N,laki,gain
138,Gipfel::N,laki,tontor
139,Gipfel::N,huippu,gain
140,Gipfel::N,huippu,tontor
141,Höhle::N,luola,kobazulo
142,Abhang::N,rinne,aldapa
143,Quelle::N,lähde,iturri
144,Quelle::N,lähde,iturbegi
145,Bach::N,puro,lats
146,Bach::N,puro,erreka
147,Fluss::N,joki,ibai
148,Fluss::N,joki,uhaitz
149,Ufer::N,ranta,bazter
150,Küste::N,rannikko,itsasalde
151,Festland::N,manner,lehor
152,Meer::N,meri,itsaso
153,Bucht::N,lahti,golko
154,Insel::N,saari,irla
155,Insel::N,saari,uharte
156,Blume::N,kukka,lili
157,Gras::N,ruoho,belar
158,Wurzel::N,juuri,zuztar
159,Wurzel::N,juuri,sustrai
160,Baum::N,puu,zuhaitz
161,Stamm::N,runko,enbor
162,Rinde::N,kuori,azal
163,Rinde::N,parkki,azal
164,Ast::N,oksa,adar
165,Zweig::N,haara,abar
166,Blatt::N,lehti,hosto
167,Birke::N,koivu,urki
168,Kiefer[Baum]::N,mänty,ler
169,Kiefer[Baum]::N,petäjä,ler
170,Weide[Baum]::N,paju,zume
171,Weide[Baum]::N,paju,sahats
172,Tanne::N,kuusi,izei
173,Horn::N,sarvi,adar
174,Feder::N,sulka,luma
175,Feder::N,sulka,hegaki
176,Feder::N,höyhen,luma
177,Feder::N,höyhen,hegaki
178,Fell::N,talja,ile
179,Fell::N,talja,larru
180,Flügel::N,siipi,hego
181,Klaue::N,kynsi,atzapar
182,Kralle::N,kynsi,erpe
183,Kralle::N,kynsi,atzapar
184,Schwanz::N,häntä,isats
185,Schwanz::N,häntä,buztan
186,Schwanz::N,pyrstö,isats
187,Schwanz::N,pyrstö,buztan
188,Ei::N,muna,arrautza
189,Nest::N,pesä,habia
190,Bau::N,pesä,ohantze
191,Tier::N,eläin,abere
192,Tier::N,eläin,piztia
193,Herde::N,lauma,saldo
194,Herde::N,lauma,abere talde
195,Kuh::N,lehmä,behi
196,Bulle::N,sonni,zezen
197,Pferd::N,hevonen,zaldi
198,Schaf::N,lammas,ardi
199,Schwein::N,sika,urde
200,Schwein::N,sika,txerri
201,Hund::N,koira,txakur
202,Katze::N,kissa,katu
203,Bär::N,karhu,hartz
204,Eichhörnchen::N,orava,urtxintxa
205,Elch::N,hirvi,altze
206,Fuchs::N,kettu,azeri
207,Hase::N,jänis,erbi
208,Maus::N,hiiri,sagu
209,Wolf::N,susi,otso
210,Vogel::N,lintu,txori
211,Vogel::N,lintu,hegazti
212,Schwarm::N,parvi,aldra
213,Huhn::N,kana,oilo
214,Hahn::N,kukko,oilar
215,Gans::N,hanhi,antzara
216,Adler::N,kotka,arrano
217,Ente::N,ankka,ahate
218,Eule::N,pöllö,hontza
219,Kranich::N,kurki,kurrilo
220,Krähe::N,varis,bele
221,Kuckuck::N,käki,kuku
222,Schwan::N,joutsen,beltxarga
223,Fisch::N,kala,arrain
224,Barsch::N,ahven,perka
225,Hecht::N,hauki,lutxo
226,Schlange[Tier]::N,käärme,suge
227,Wurm::N,mato,har
228,Spinne::N,hämähäkki,armiarma
229,Ameise::N,muurahainen,inurri
230,Laus::N,täi,zorri
231,Mücke::N,sääski,eltxo
232,Mücke::N,hyttynen,eltxo
233,Fliege::N,kärpänen,euli
234,Schmetterling::N,perhonen,pinpirin
235,Schmetterling::N,perhonen,tximeleta
236,Beere::N,marja,baia
237,Apfel::N,omena,sagar
238,Pilz::N,sieni,onddo
239,Pilz::N,sieni,perretxiko
240,Zwiebel::N,sipuli,tipula
241,Saat::N,siemenet,haziak
242,Korn::N,jyvä,ale
243,Korn::N,jyvä,pikor
244,Korn::N,vilja,ale
245,Korn::N,vilja,pikor
246,Heu::N,heinä,belar ondu
247,Schale::N,kuori,azal
248,Grube::N,kuoppa,hobi
249,Falle::N,loukku,harrapagailu
250,Schlinge::N,ansa,bilur
251,Schlinge::N,ansa,xedera
252,Spur::N,jälki,lorratz
253,Asche::N,tuhka,errauts
254,Dreck::N,lika,satsukeria
255,Eisen::N,rauta,burdina
256,Gold::N,kulta,urre
257,Gold::N,kulta,urregorri
258,Silber::N,hopea,zilar
259,Silber::N,hopea,urrezuri
260,Kohle::N,hiili,ikatz
261,Glas::N,lasi,beira
262,Lehm::N,savi,buztin
263,Sand::N,hiekka,harea
264,Sand::N,hiekka,hondar
265,Mensch::N,ihminen,gizaki
266,Mann::N,mies,gizon
267,Frau::N,nainen,andere
268,Frau::N,nainen,emakume
269,Kind::N,lapsi,haur
270,Junge::N,poika,mutil
271,Mädchen::N,tyttö,neska
272,Familie::N,perhe,sendi
273,Familie::N,perhe,familia
274,Großvater::N,isoisä,aitona
275,Großvater::N,isoisä,aitatxi
276,Großmutter::N,isoäiti,amona
277,Großmutter::N,isoäiti,amatxi
278,Eltern::N,vanhemmat,gurasoak
279,Vater::N,isä,aita
280,Mutter::N,äiti,ama
281,Sohn::N,poika,seme
282,Tochter::N,tytär,alaba
283,Bruder::N,veli,neba
284,Bruder::N,veli,anaia
285,Schwester::N,sisko,ahizpa
286,Onkel::N,eno,osaba
287,Onkel::N,setä,osaba
288,Tante::N,täti,izeba
289,Ehemann::N,mies,senar
290,Ehemann::N,aviomies,senar
291,Ehefrau::N,vaimo,emazte
292,Ehefrau::N,aviovaimo,emazte
293,Freude::N,ilo,poz
294,Freude::N,ilo,pozkari
295,Freude::N,riemu,poz
296,Freude::N,riemu,pozkari
297,Gelächter::N,nauru,barre
298,Gelächter::N,nauru,karkara
299,Glück::N,onni,zori
300,Kummer::N,suru,xangrin
301,Kummer::N,suru,atsekabe
302,Kummer::N,murhe,xangrin
303,Kummer::N,murhe,atsekabe
304,Wunsch::N,toive,nahi
305,Wunsch::N,toive,nahikunde
306,Wunsch::N,toivomus,nahi
307,Wunsch::N,toivomus,nahikunde
308,Lust::N,himo,gogo
309,Geist::N,henki,gogo
310,Gedanke::N,aate,gogoeta
311,Gedanke::N,ajatus,gogoeta
312,Gedächtnis::N,muisti,oroimen
313,Gedächtnis::N,muisti,gogoramen
314,Verstand::N,äly,adimen
315,Verstand::N,äly,ulermen
316,Verstand::N,järki,adimen
317,Verstand::N,järki,ulermen
318,Verstand::N,ymmärrys,adimen
319,Verstand::N,ymmärrys,ulermen
320,Sinn::N,merkitys,zentzu
321,Grund::N,syy,zergati
322,Grund::N,peruste,zergati
323,Wahrheit::N,tosi,egia
324,Wahrheit::N,totuus,egia
325,Gespräch::N,puhelu,hizketa
326,Gespräch::N,puhelu,elkarrizketa
327,Gespräch::N,keskustelu,hizketa
328,Gespräch::N,keskustelu,elkarrizketa
329,Märchen::N,satu,ipuin
330,Erzählung::N,tarina,edesti
331,Erzählung::N,tarina,kontakizun
332,Erzählung::N,kertomus,edesti
333,Erzählung::N,kertomus,kontakizun
334,Nachricht::N,tieto,albiste
335,Nachricht::N,ilmoitus,albiste
336,Neuigkeit::N,uutinen,berri
337,Name::N,nimi,izen
338,Rätsel::N,arvoitus,asmakizun
339,Rede::N,puhe,hitzaldi
