,Concept_ID,ga,mrj
0,Auge::N,súil,сӹнзӓ
1,Ohr::N,cluas,пӹлӹш
2,Nase::N,soc,нер
3,Mund::N,béal,ышма
4,Zahn::N,fiacail,пӱ
5,Zunge::N,teanga,йӹлмӹ
6,Lippe::N,liopa,тӹрвӹ
7,Wange::N,grua,шӹргӹ
8,Wange::N,leiceann,шӹргӹ
9,Gesicht::N,éadan,лицӓ
10,Gesicht::N,aghaidh,лицӓ
11,Stirn::N,baithis,лепкӓ
12,Stirn::N,clár éadain,лепкӓ
13,Haar::N,gruaig,ӱп
14,Schnurrbart::N,croiméal,öрш
15,Bart::N,féasóg,пандаш
16,Kinn::N,smig,онгылаш
17,Kiefer[Anatomie]::N,giall,пӱ арата
18,Kehle::N,scornach,логер
19,Hals::N,muinéal,шӱ
20,Genick::N,baic,ланга
21,Kopf::N,ceann,вуй
22,Rücken::N,droim,туп
23,Bauch::N,bolg,мӹшкӹр
24,Nabel::N,imleacán,кӹлӹмдӹ
25,Busen::N,cíoch,цӹзӹ
26,Brust::N,brollach,мел
27,Schulter::N,gualainn,ӹнгӹжӓ
28,Arm::N,lámh,кид
29,Ellenbogen::N,uillinn,кӹнервуй
30,Hand::N,lámh,лапа
31,Handfläche::N,bos,кид лапа
32,Finger::N,méar,парня
33,Fingernagel::N,ionga,кӹч
34,Nagel[Anatomie]::N,ionga,кӹч
35,Zeh::N,ladhar,парня
36,Fuß::N,cos,ял лапа
37,Fuß::N,troigh,ял лапа
38,Ferse::N,sáil,ялгавал
39,Ferse::N,sáil,ял кавал
40,Knie::N,glúin,пылвуй
41,Oberschenkel::N,ceathrú,ӓрдӹ
42,Bein::N,cos,ял
43,Körper::N,corp,монгыр
44,Körper::N,colainn,монгыр
45,Haut::N,cneas,кавашты
46,Haut::N,craiceann,кавашты
47,Blut::N,fuil,вӹр
48,Sehne::N,teannán,кукшышӱн
49,Sehne::N,féitheog,кукшышӱн
50,Knochen::N,cnámh,лу
51,Gehirn::N,inchinn,вим
52,Herz::N,croí,шӱм
53,Magen::N,bolg,шӱм
54,Magen::N,goile,шӱм
55,Leber::N,ae,мокш
56,Atem::N,anáil,шӱлӹш
57,Hunger::N,ocras,шужымаш
58,Träne::N,deoir,сӹнзӓвӹд
59,Geschmack::N,blas,тот
60,Geruch::N,boladh,пыш
61,Schlaf::N,suan,ом
62,Schlaf::N,codladh,ом
63,Traum::N,taibhreamh,ом
64,Himmel::N,spéir,пӹлгом
65,Sonne::N,grian,кечӹ
66,Mond::N,ré,тӹлзӹ
67,Mond::N,gealach,тӹлзӹ
68,Stern::N,rinn,шӹдӹр
69,Stern::N,réalta,шӹдӹр
70,Luft::N,aer,юж
71,Luft::N,aer,воздух
72,Wind::N,gaoth,мардеж
73,Welle::N,tonn,ко
74,Welle::N,tonn,коэ
75,Wasser::N,uisce,вӹд
76,Stein::N,cloch,кӱ
77,Boden::N,talamh,рок
78,Erde::N,cré,свет
79,Erde::N,ithir,свет
80,Staub::N,dusta,пырак
81,Staub::N,deannach,пырак
82,Rauch::N,toit,шӹкш
83,Rauch::N,deatach,шӹкш
84,Funke::N,drithle,ип
85,Funke::N,drithle,тылип
86,Feuer::N,tine,тыл
87,Licht::N,solas,соты
88,Licht::N,solas,валгыды
89,Schatten::N,scáth,ӹмӹл
90,Wetter::N,aimsir,игечӹ
91,Nebel::N,ceo,тӹтӹрӓ
92,Wolke::N,néal,пӹл
93,Wolke::N,scamall,пӹл
94,Regen::N,báisteach,юр
95,Regen::N,fearthainn,юр
96,Schnee::N,sneachta,лым
97,Eis::N,oighear,и
98,Frost::N,sioc,ӱштӹ
99,Kälte::N,fuacht,ӱштӹ
100,Hitze::N,teas,шокшы
101,Hitze::N,teocht,шокшы
102,Raureif::N,sioc bán,пöрш
103,Regenbogen::N,stua ceatha,шанавӹл
104,Regenbogen::N,bogha báistí,шанавӹл
105,Donner::N,toirneach,хӹдӹртӹш
106,Strömung::N,sruth,йогы
107,Tropfen::N,deoir,капльы
108,Tropfen::N,deoir,капльык
109,Schaum::N,cúr,шонг
110,Schmutz::N,salachar,лявӹрӓ
111,See::N,loch,йӓр
112,Sumpf::N,portach,лӱкӹ
113,Moor::N,caorán,куп
114,Moor::N,móinteán,куп
115,Wiese::N,cluain,алык
116,Wiese::N,móinéar,алык
117,Wald::N,coill,шӹргӹ
118,Wald::N,foraois,шӹргӹ
119,Hügel::N,ard,пӱгӹрикӓ
120,Anhöhe::N,ard,кӱкшикӓ
121,Anhöhe::N,ardán,кӱкшикӓ
122,Berg::N,sliabh,кырык
123,Gipfel::N,barr,неркӓ
124,Gipfel::N,mullach,неркӓ
125,Höhle::N,uaimh,ы́раж
126,Höhle::N,pluais,ы́раж
127,Abhang::N,fána,полом
128,Quelle::N,foinse,вӹдсӹнзӓ
129,Bach::N,sruthán,ӓнгӹр
130,Fluss::N,abhainn,вӹд
131,Ufer::N,bruach,сир
132,Küste::N,cósta,сир
133,Küste::N,cladach,сир
134,Festland::N,míntír,мӱлӓндӹ
135,Meer::N,muir,тангыж
136,Meer::N,farraige,тангыж
137,Bucht::N,bá,вӹдъял
138,Bucht::N,cuan,вӹдъял
139,Insel::N,inis,острок
140,Insel::N,oileán,острок
141,Blume::N,bláth,пеледӹш
142,Gras::N,féar,шуды
143,Wurzel::N,rúta,важ
144,Wurzel::N,fréamh,важ
145,Baum::N,crann,пушӓнгӹ
146,Stamm::N,stoc,пушӓнгӹ тӹнг
147,Stamm::N,tamhan,пушӓнгӹ тӹнг
148,Rinde::N,coirt,каргыж
149,Rinde::N,craiceann,каргыж
150,Ast::N,géag,укш
151,Zweig::N,géag,укш
152,Zweig::N,craobh,укш
153,Blatt::N,duille,листӹ
154,Blatt::N,duilleog,листӹ
155,Birke::N,beith,куги
156,Birke::N,crann beithe,куги
157,Kiefer[Baum]::N,péine,йӓктӹ
158,Weide[Baum]::N,saileach,уа
159,Tanne::N,giúis,кож
160,Horn::N,adharc,шур
161,Feder::N,cleite,пын
162,Fell::N,clúmh,кавашты
163,Flügel::N,eite,шылдыр
164,Flügel::N,sciathán,шылдыр
165,Klaue::N,crúb,кӹч
166,Klaue::N,crobh,кӹч
167,Kralle::N,crobh,лапа
168,Schwanz::N,eireaball,пач
169,Ei::N,ubh,мыны
170,Nest::N,nead,пӹжӓш
171,Bau::N,brocais,ыраж
172,Tier::N,ainmhí,во́льык
173,Tier::N,beithíoch,во́льык
174,Herde::N,tréad,кӹтö
175,Kuh::N,bó,ышкал
176,Bulle::N,tarbh,ӱшкӱж
177,Pferd::N,each,имни
178,Pferd::N,capall,имни
179,Schaf::N,caora,шарык
180,Schwein::N,muc,сасна
181,Hund::N,madra,пи
182,Katze::N,cat,коти
183,Bär::N,béar,мöскӓ
184,Eichhörnchen::N,iora,ур
185,Elch::N,eilc,шарды
186,Fuchs::N,sionnach,рӹвӹж
187,Fuchs::N,madra rua,рӹвӹж
188,Hase::N,giorria,морен
189,Maus::N,luch,каля
190,Wolf::N,mac tíre,пирӹ
191,Vogel::N,éan,кек
192,Schwarm::N,saithe,цуца
193,Huhn::N,cearc,цӹвӹ
194,Hahn::N,coileach,ӓптӓн
195,Gans::N,gé,комбы
196,Adler::N,iolar,кучкыж
197,Ente::N,lacha,лыды
198,Eule::N,ulchabhán,тымана
199,Kranich::N,grús,тырня
200,Kranich::N,grús,тыртня
201,Krähe::N,caróg,лудыгарак
202,Krähe::N,préachán,лудыгарак
203,Kuckuck::N,cuach,куку
204,Schwan::N,eala,йӱксӹ
205,Fisch::N,iasc,кол
206,Barsch::N,péirse,алангы
207,Hecht::N,liús,нуж
208,Hecht::N,liús,нужгол
209,Schlange[Tier]::N,nathair,кӹшкы
210,Wurm::N,péist,шукш
211,Spinne::N,damhán alla,ӓнгӹремшӹ
212,Ameise::N,seangán,кыткы
213,Laus::N,míol,ти
214,Mücke::N,muiscít,кужнер
215,Mücke::N,muiscít,кужынер
216,Mücke::N,corrmhíol,кужнер
217,Mücke::N,corrmhíol,кужынер
218,Fliege::N,cuil,шӹнгӓ
219,Fliege::N,cuileog,шӹнгӓ
220,Schmetterling::N,féileacán,лӹпӹ
221,Beere::N,caor,мöр
222,Apfel::N,úll,олма
223,Pilz::N,beacán,понгы
224,Pilz::N,muisiriún,понгы
225,Zwiebel::N,oinniún,охыра
226,Saat::N,síol,нӱшмӹ
227,Saat::N,síol,нӱшмӱ
228,Korn::N,gráinne,пӹрцӹ
229,Heu::N,féar,шуды
230,Schale::N,scaimh,аваха
231,Schale::N,scaimh,карлангы
232,Grube::N,poll,йӓм
233,Falle::N,gaiste,лӱдӹ
234,Falle::N,gaiste,лӱдӹш
235,Schlinge::N,sealán,онгы
236,Spur::N,rian,кишӓ
237,Asche::N,luaith,ломых
238,Asche::N,luaith,ломпыж
239,Dreck::N,salachar,лявӹрӓ
240,Eisen::N,iarann,кӹртни
241,Gold::N,ór,шöртни
242,Gold::N,ór,шöртньӹ
243,Silber::N,airgead,ши
244,Kohle::N,gual,шӱ
245,Glas::N,gloine,охоница
246,Lehm::N,cré,шун
247,Sand::N,gaineamh,ошма
248,Mensch::N,duine,эдем
249,Mann::N,fear,пӱэргӹ
250,Frau::N,bean,ӹдӹрӓмӓш
251,Kind::N,gasúr,ӓзӓ
252,Kind::N,gasúr,шачшы
253,Kind::N,páiste,ӓзӓ
254,Kind::N,páiste,шачшы
255,Junge::N,buachaill,рвезӹ
256,Junge::N,buachaill,ӹрвезӹ
257,Mädchen::N,cailín,ӹдӹрӓш
258,Familie::N,teaghlach,йиш
259,Familie::N,teaghlach,семня
260,Familie::N,comhluadar,йиш
261,Familie::N,comhluadar,семня
262,Großvater::N,seanathair,тьоти
263,Großmutter::N,seanmháthair,папа
264,Eltern::N,tuismitheoirí,ӓтя-ӓвӓ
265,Vater::N,athair,ӓтя
266,Mutter::N,máthair,ӓвӓ
267,Sohn::N,mac,эргӹ
268,Tochter::N,iníon,ӹдӹр
269,Bruder::N,deartháir,ӹза
270,Schwester::N,deirfiúr,ӓкӓ
271,Onkel::N,uncail,кугуза
272,Tante::N,aintín,куака
273,Ehemann::N,fear céile,мары
274,Ehefrau::N,bean chéile,вӓтӹ
275,Freude::N,áthas,ӹвӹртӹмӓш
276,Gelächter::N,gáire,ваштылмаш
277,Glück::N,séan,пиӓл
278,Glück::N,sonas,пиӓл
279,Kummer::N,brón,ясы
280,Kummer::N,buairt,ясы
281,Wunsch::N,guí,охата
282,Wunsch::N,guí,шанымаш
283,Wunsch::N,achainí,охата
284,Wunsch::N,achainí,шанымаш
285,Lust::N,fonn,шӓр
286,Lust::N,fonn,охата
287,Lust::N,fonn,шанымаш
288,Geist::N,meon,тух
289,Geist::N,spiorad,тух
290,Gedanke::N,smaoineamh,шанымаш
291,Gedächtnis::N,cuimhne,ӓш
292,Verstand::N,ciall,ыш
293,Verstand::N,intinn,ыш
294,Sinn::N,brí,кын
295,Sinn::N,ciall,кын
296,Grund::N,fáth,вир
297,Wahrheit::N,fírinne,тöр
298,Gespräch::N,comhrá,хытырымаш
299,Märchen::N,scéal,ямак
300,Erzählung::N,scéal,шайыштмаш
301,Nachricht::N,teachtaireacht,увертӓрӹмӓш
302,Neuigkeit::N,scéala,увер
303,Name::N,ainm,лӹм
304,Rätsel::N,tomhas,тышты
305,Rede::N,óráid,шая
306,Rede::N,óráid,шамак
307,Rede::N,aitheasc,шая
308,Rede::N,aitheasc,шамак
309,Sprache::N,teanga,йӹлмӹ
310,Stimme::N,guth,юк
311,Wort::N,focal,шамак
312,Zeichen::N,comhartha,палӹ
313,Ruf::N,glaoch,сӹгӹрӹмӓш
