,Concept_ID,cv,et
0,Auge::N,куҫ,silm
1,Ohr::N,хӑлха,kõrv
2,Nase::N,сӑмса,nina
3,Mund::N,ҫӑвар,suu
4,Zahn::N,шӑл,hammas
5,Zunge::N,чӗлхе,keel
6,Lippe::N,тута,huul
7,Wange::N,пит ҫӑмарти,põsk
8,Gesicht::N,пит,nägu
9,Gesicht::N,пит-куҫ,nägu
10,Stirn::N,ҫамка,otsmik
11,Haar::N,ҫӳҫ,juus
12,Schnurrbart::N,усси,vurrud
13,Schnurrbart::N,усси,vuntsid
14,Bart::N,сухал,habe
15,Kinn::N,янах,lõug
16,Kiefer[Anatomie]::N,янах,lõualuu
17,Kehle::N,пыр,kõri
18,Kehle::N,карланкӑ,kõri
19,Hals::N,пыр,kael
20,Genick::N,ӗнсе,kukal
21,Kopf::N,пуҫ,pea
22,Rücken::N,ҫурӑм,selg
23,Nabel::N,кӑвапа,naba
24,Busen::N,кӑкӑр,rind
25,Brust::N,умӗ,rind
26,Schulter::N,хул пуҫҫи,õlg
27,Arm::N,алӑ,käsivars
28,Ellenbogen::N,чавса,küünarnukk
29,Hand::N,алӑ сыппи,käsi
30,Handfläche::N,ал лаппи,pihk
31,Finger::N,пӳрне,sõrm
32,Fingernagel::N,чӗрне,küüs
33,Nagel[Anatomie]::N,чӗрне,küüs
34,Zeh::N,пӳрне,varvas
35,Fuß::N,ура лаппи,jalg
36,Ferse::N,кӗле,kand
37,Knie::N,чӗркуҫҫи,põlv
38,Oberschenkel::N,пӗҫӗ,reis
39,Bein::N,ура,jalg
40,Körper::N,ӳт,ihu
41,Körper::N,ӳт,keha
42,Körper::N,ӳт-пӳ,ihu
43,Körper::N,ӳт-пӳ,keha
44,Haut::N,тир,nahk
45,Blut::N,юн,veri
46,Ader::N,вена,veen
47,Sehne::N,шӑнӑр,kõõlus
48,Knochen::N,шӑмӑ,luu
49,Gehirn::N,миме,aju
50,Herz::N,чӗре,süda
51,Magen::N,хырӑмлӑх,magu
52,Leber::N,пӗвер,maks
53,Atem::N,сывлав,hingeõhk
54,Atem::N,сывлав,hingamine
55,Hunger::N,выҫлӑх,nälg
56,Träne::N,куҫҫуль,pisar
57,Geschmack::N,техӗм,maitse
58,Geruch::N,шӑршӑ,lõhn
59,Schlaf::N,ыйхӑ,uni
60,Traum::N,тӗлӗк,unenägu
61,Himmel::N,пӗлӗт,taevas
62,Sonne::N,хӗвел,päike
63,Mond::N,уйӑх,kuu
64,Stern::N,ҫӑлтӑр,täht
65,Luft::N,сывлӑш,õhk
66,Wind::N,ҫил,tuul
67,Welle::N,хум,laine
68,Wasser::N,шыв,vesi
69,Wasser::N,шыв-шур,vesi
70,Stein::N,чул,kivi
71,Boden::N,тӑпра,maa
72,Boden::N,тӑпра,pinnas
73,Erde::N,ҫӗр,maa
74,Staub::N,тусан,põrm
75,Rauch::N,тӗтӗм,suits
76,Funke::N,хӗм,säde
77,Feuer::N,вут,tuli
78,Feuer::N,ҫулӑм,tuli
79,Licht::N,ҫутӑ,valgus
80,Schatten::N,сулхӑн,vari
81,Wetter::N,ҫанталӑк,ilm
82,Nebel::N,тӗтре,udu
83,Wolke::N,пӗлӗт,pilv
84,Regen::N,ҫумӑр,sadu
85,Schnee::N,юр,lumi
86,Eis::N,пӑр,jää
87,Frost::N,сивӗ,pakane
88,Kälte::N,сивӗ,külm
89,Kälte::N,сивӗ,külmus
90,Hitze::N,вӗри,kuumus
91,Hitze::N,вӗри,palavus
92,Hitze::N,шӑрӑх,kuumus
93,Hitze::N,шӑрӑх,palavus
94,Raureif::N,пас,härmatis
95,Regenbogen::N,асамат кӗперӗ,vikerkaar
96,Donner::N,аслати,kõu
97,Donner::N,аслати,müristamine
98,Strömung::N,юхӑ,voolus
99,Strömung::N,юхӑ,jõevool
100,Tropfen::N,тумлам,tilk
101,Schaum::N,кӑпӑк,vaht
102,Schmutz::N,пылчӑк,pori
103,Schmutz::N,пылчӑк,mustus
104,See::N,кӳлӗ,järv
105,Sumpf::N,шур,soo
106,Sumpf::N,шурлӑх,soo
107,Moor::N,торфлӑ шурлӑх,raba
108,Wiese::N,улӑх,aas
109,Wiese::N,улӑх,nurm
110,Wiese::N,ҫаран,aas
111,Wiese::N,ҫаран,nurm
112,Wald::N,вӑрман,mets
113,Hügel::N,сӑрт,küngas
114,Hügel::N,тӗмеске,küngas
115,Anhöhe::N,сӑрт,küngas
116,Berg::N,ту,mägi
117,Gipfel::N,тӳпе,mäetipp
118,Höhle::N,ҫӗр хӑвӑлӗ,koobas
119,Abhang::N,тӑвайкки,nõlvak
120,Quelle::N,ҫӑл куҫ,allikas
121,Bach::N,пӗчӗк шыв,oja
122,Fluss::N,юхан шыв,jõgi
123,Ufer::N,ҫыран,kallas
124,Küste::N,тинӗс ҫыранӗ,rannik
125,Festland::N,тип ҫӗр,mander
126,Festland::N,тип ҫӗр,maismaa
