,Concept_ID,eu,be
0,Auge::N,begi,вока
1,Ohr::N,belarri,вуха
2,Nase::N,sudur,нос
3,Mund::N,aho,рот
4,Zahn::N,hortz,зуб
5,Zunge::N,mihi,язык
6,Lippe::N,ezpain,губа
7,Wange::N,masail,шчака
8,Gesicht::N,aurpegi,твар
9,Stirn::N,bekoki,лоб
10,Haar::N,ile,волас
11,Haar::N,ile,валасы
12,Haar::N,bilo,волас
13,Haar::N,bilo,валасы
14,Schnurrbart::N,bibote,вус
15,Schnurrbart::N,bibote,вусы
16,Schnurrbart::N,sudurpeko,вус
17,Schnurrbart::N,sudurpeko,вусы
18,Bart::N,bizar,барада
19,Kinn::N,kokots,падбародак
20,Kiefer[Anatomie]::N,masailezur,сківіца
21,Kehle::N,eztarri,горла
22,Hals::N,sama,шыя
23,Genick::N,garondo,патыліца
24,Kopf::N,buru,галава
25,Rücken::N,bizkar,спіна
26,Bauch::N,sabel,жывот
27,Nabel::N,zilbor,пупок
28,Busen::N,titi,грудзі
29,Busen::N,ugatz,грудзі
30,Brust::N,bular,грудзі
31,Schulter::N,besaburu,плячо
32,Arm::N,beso,рука
33,Ellenbogen::N,ukondo,локаць
34,Hand::N,esku,кісць
35,Handfläche::N,ahur,далонь
36,Finger::N,hatz,палец
37,Fingernagel::N,azazkal,ногаць
38,Nagel[Anatomie]::N,azazkal,ногаць
39,Zeh::N,behatz,палец
40,Fuß::N,oin,нага
41,Ferse::N,orpo,пята
42,Ferse::N,orpo,пятка
43,Ferse::N,oinburu,пята
44,Ferse::N,oinburu,пятка
45,Knie::N,belaun,калена
46,Oberschenkel::N,izter,бядро
47,Oberschenkel::N,izter,сцягно
48,Bein::N,zango,нага
49,Körper::N,soin,цела
50,Haut::N,azal,скура
51,Blut::N,odol,кроў
52,Ader::N,zain,вена
53,Ader::N,zain,сасуд
54,Sehne::N,gihar-zain,жыла
55,Sehne::N,gihar-zain,цеціва
56,Sehne::N,gihar-zain,сухажылле
57,Knochen::N,hezur,косць
58,Gehirn::N,garun,мозг
59,Gehirn::N,burmuin,мозг
60,Herz::N,bihotz,сэрца
61,Magen::N,urdail,страўнік
62,Leber::N,gibel,печань
63,Atem::N,hats,дыханне
64,Atem::N,arnasa,дыханне
65,Hunger::N,gose,голад
66,Träne::N,malko,сляза
