,Concept_ID,ba,kk
0,Auge::N,күҙ,көз
1,Ohr::N,ҡолаҡ,құлақ
2,Nase::N,танау,мұрын
3,Mund::N,ауыҙ,ауыз
4,Zahn::N,теш,тіс
5,Zunge::N,тел,тіл
6,Lippe::N,ирен,ерін
7,Wange::N,яцаҡтар,ұрт
8,Gesicht::N,бит,бет-аузы
9,Stirn::N,маңлай,маңдай
10,Haar::N,сәс,қыл
11,Schnurrbart::N,мылтыҡ,мұрт
12,Bart::N,һаҡал,сақал
13,Kinn::N,эйэк,иек
14,Kiefer[Anatomie]::N,яңаҡ һөйәге,жақ
15,Kehle::N,тамаҡ,алқым
16,Hals::N,муйын,мойын
17,Genick::N,соңҡа,желке
18,Kopf::N,баш,кәллә
19,Rücken::N,арҡа,арқа
20,Bauch::N,ҡорһаҡ,қарын
21,Nabel::N,кендек,кіндік
22,Busen::N,күкрәк,омырау
23,Brust::N,түш,кеуде
24,Schulter::N,яурын,иық
25,Arm::N,ҡул,қол
26,Ellenbogen::N,терһәк,шынтақ
27,Hand::N,ҡул,қол
28,Hand::N,ҡул суғы,қол
29,Handfläche::N,ус төбө,алақан
30,Finger::N,бармаҡ,саусақ
31,Fingernagel::N,тырнаҡ,тырнақ
32,Nagel[Anatomie]::N,тырнаҡ,тырнақ
33,Zeh::N,бармаҡ,тырнақ
34,Zeh::N,бармаҡ,тұяқ
35,Fuß::N,табан,аяқ-басы
36,Ferse::N,үксә,өкше
37,Ferse::N,үксә,өкшелік
38,Knie::N,тубыҡ,тізе
39,Oberschenkel::N,сандыр,жамбас
40,Bein::N,аяҡ,аяқ
41,Körper::N,тән,дене
42,Haut::N,тире,тері
43,Blut::N,ҡан,қан
44,Ader::N,тамыр,көктамыр
45,Ader::N,тамыр,күретамыр
46,Sehne::N,һеңер,сіңір
47,Sehne::N,тарамыш,сіңір
48,Knochen::N,һойәк,жілік
49,Gehirn::N,мейе,ми
50,Herz::N,йорәк,жүрек
51,Magen::N,ашҡаҙан,асқазан
52,Leber::N,бауыр,бауыр
53,Atem::N,һулыш,леп
54,Hunger::N,аслыҡ,ашаршылық
55,Träne::N,күҙ иәше,жас
56,Geschmack::N,тәм,дәм
57,Geschmack::N,тәм,татым
58,Geschmack::N,тәм,талғам
59,Geruch::N,еҫ,иіс
60,Schlaf::N,йоҡлау,ұйқы
61,Schlaf::N,йоҡлау,ұйықтау
62,Traum::N,төш,түс
63,Himmel::N,күк,аспан
64,Himmel::N,күк,көқ
65,Himmel::N,күк,таңдай
66,Sonne::N,ҡояш,күн
67,Mond::N,ай,ай
68,Stern::N,йондоҙ,жұлдыз
69,Luft::N,һауа,әуе
70,Wind::N,ел,жел
71,Welle::N,тулҡын,толқын
72,Wasser::N,һыу,су
73,Stein::N,таш,тас
74,Boden::N,тупраҡ,қыртыс
75,Erde::N,балсҡ,топырақ
76,Staub::N,туҙан,шаң
77,Rauch::N,төтөн,түтін
78,Funke::N,осҡон,ұшқын
79,Feuer::N,ут,алау
80,Licht::N,яҡтылыҡ,шұғыла
81,Schatten::N,күләгә,көлеңке
82,Wetter::N,һауа торошо,ауа райы
83,Nebel::N,төман,тұман
84,Wolke::N,болот,бұлт
85,Regen::N,ямғыр,жаңбыр
86,Schnee::N,ҡар,қар
87,Eis::N,боҙ,мұз
88,Frost::N,һалҡын,суық
89,Kälte::N,һыуыҡ,ызғар
90,Kälte::N,һыуыҡ,суықтық
91,Hitze::N,томра,аптап
92,Hitze::N,эҫелек,аптап
93,Raureif::N,ҡырау,қырау
94,Regenbogen::N,йәйғор,кемпірқосақ
95,Donner::N,күк күкрәү,күн күркіреу
96,Strömung::N,ағым,ағын
97,Tropfen::N,тамсы,тамшы
98,Schaum::N,күбек,көбік
99,Schmutz::N,батҡаҡ,кір
100,See::N,күл,көл
101,Sumpf::N,һаҙлык,саз
102,Moor::N,һаҙ,саз
103,Wiese::N,болон,шалғын
104,Wald::N,урман,орман
105,Hügel::N,түбә,төбе
106,Hügel::N,түбә,белес
107,Hügel::N,түбә,белес-белес
108,Anhöhe::N,түбә,дөң
109,Anhöhe::N,түбә,адыр
110,Anhöhe::N,түбә,қырат
111,Anhöhe::N,ҡалҡыулыҡ,дөң
112,Anhöhe::N,ҡалҡыулыҡ,адыр
113,Anhöhe::N,ҡалҡыулыҡ,қырат
114,Berg::N,тау,тау
115,Gipfel::N,түбә,төбе
116,Höhle::N,мәмерйә,үңгір
117,Abhang::N,ипкен,бауыр
118,Quelle::N,шишмә,қайнар
119,Bach::N,шишмә,жылға
120,Fluss::N,йылға,өзен
121,Ufer::N,яр,жиек
122,Küste::N,яр буйы,жиегі
123,Küste::N,яр буйы,жағалау
124,Festland::N,ҡоро ер,құрылық
125,Meer::N,диңгез,теңіз
126,Bucht::N,бухта,шығанақ
127,Insel::N,үтрау,арал
128,Blume::N,сәскә,гүл
129,Gras::N,үлән,от
130,Wurzel::N,тамыр,түбір
131,Baum::N,ағас,ағаш
132,Baum::N,ағас,дарақ
133,Stamm::N,олон,сояу
134,Stamm::N,олон,оқпан
135,Stamm::N,көбәк,сояу
136,Stamm::N,көбәк,оқпан
137,Rinde::N,ҡабыҡ,қабық
138,Ast::N,ботаҡ,бұтақ
139,Zweig::N,ботаҡ,шыбық
140,Zweig::N,тармаҡ,шыбық
141,Blatt::N,япраҡ,жапырақ
142,Birke::N,ҡайын,қайың
143,Kiefer[Baum]::N,ҡарғай,қарағай
144,Weide[Baum]::N,тал,тал
145,Tanne::N,шыршы,шырша
146,Horn::N,мөғөҙ,мүйіз
147,Feder::N,ҡауырһын,қаламұш
148,Fell::N,тире,тері
149,Flügel::N,ҡанат,қанат
150,Klaue::N,тырнаҡ,тырнақ
151,Kralle::N,аяҡ,аяқ
152,Schwanz::N,ҡойроҡ,құйрық
153,Ei::N,йомортҡа,жұмыртқа
154,Nest::N,оя,ұя
155,Bau::N,оң,жатақ
156,Tier::N,жайуан,айуан
157,Tier::N,жайуан,жануар
158,Tier::N,йыртҡыс,айуан
159,Tier::N,йыртҡыс,жануар
160,Herde::N,көтөү,пада
161,Kuh::N,һыйыр,сиыр
162,Bulle::N,үгеҙ,өгіз
163,Pferd::N,ат,жылқы
164,Schaf::N,һарыҡ,қой
165,Schwein::N,сусҡа,шошқа
166,Hund::N,эт,ит
167,Katze::N,бесәй,мысық
168,Bär::N,айыу,аю
169,Eichhörnchen::N,тейен,тиін
170,Elch::N,мышы,бұғы
171,Fuchs::N,төлкө,түлкі
172,Hase::N,ҡуян,қоян
173,Maus::N,сысҡан,қаптесер
174,Wolf::N,бүре,бөрі
175,Wolf::N,бүре,қасқыр
176,Vogel::N,ҡош,құс
177,Schwarm::N,көтөү,топ
178,Schwarm::N,көтөү,үйір
179,Huhn::N,тауыҡ,тауық
180,Huhn::N,тауыҡ,мекиен
181,Hahn::N,әтәс,әтеш
182,Hahn::N,әтәс,қораз
183,Gans::N,ҡаҙ,қаз
184,Adler::N,бөркөт,бүркіт
185,Ente::N,өйрәк,үйрек
186,Eule::N,өкө,жапалақ
187,Eule::N,ябалаҡ,жапалақ
188,Kranich::N,торна,тырна
189,Krähe::N,ҡарға,қарға
190,Kuckuck::N,кәкүк,көкек
191,Schwan::N,аҡҡош,аққу
192,Fisch::N,балыҡ,балық
193,Barsch::N,алабуға,алабұға
194,Hecht::N,суртан,шортан
195,Schlange[Tier]::N,йылан,жылан
196,Wurm::N,селяүсен,шұбалшаң
197,Spinne::N,үрмәксе,өрмекші
198,Ameise::N,ҡырмыҫҡа,қүмырска
199,Laus::N,бет,бит
200,Mücke::N,серәкәй,маса
201,Fliege::N,себен,шыбын
202,Schmetterling::N,күбәләк,көбелек
203,Beere::N,еләк,жидек
204,Apfel::N,алма,алма
205,Pilz::N,бәшмәк,қозықұйрық
206,Pilz::N,бәшмәк,саңыраукулақ
207,Zwiebel::N,һуган,жуа
208,Saat::N,орлоҡ,тұқым
209,Korn::N,иген,дән
210,Heu::N,бесән,шөп
211,Schale::N,ҡабыҡ,қабық
212,Schale::N,ҡабыҡ,қабығы
213,Grube::N,соҡор,ор
214,Falle::N,тоҙак,дұзақ
215,Falle::N,тоҙак,қақпан
216,Falle::N,ҡапҡан,дұзақ
217,Falle::N,ҡапҡан,қақпан
218,Schlinge::N,тоҙак,ілмек
219,Spur::N,әҫер,із
220,Asche::N,көл,күл
221,Dreck::N,батҡаҡ,былғаныш
222,Eisen::N,тимер,темір
223,Gold::N,алтын,алтын
224,Silber::N,көмөш,күміс
225,Kohle::N,күмер,көмір
226,Glas::N,быяла,шыны
227,Lehm::N,балсыҡ,балшық
228,Sand::N,ҡом,құм
229,Mensch::N,кеше,адам
230,Mann::N,ир,еркек
231,Mann::N,ир,ер адам
232,Frau::N,ҡатын,бике
233,Frau::N,ҡатын,қатын
234,Kind::N,бала,бала
235,Kind::N,бала,перзент
236,Junge::N,малай,бала
237,Junge::N,малай,ер бала
238,Mädchen::N,ҡыҙ,қыз
239,Mädchen::N,ҡыҙыҡай,қыз
240,Familie::N,ғаилә,жанұя
241,Großvater::N,олатай,ата
242,Großmutter::N,әбәй,әже
243,Großmutter::N,әбәй,әжей
244,Eltern::N,ата-әсә,ата-аналар
245,Vater::N,атай,әке
246,Mutter::N,әсә,ана
247,Sohn::N,ул,ұл
248,Tochter::N,ҡыҙ,қызым
249,Bruder::N,агай,бауырым
250,Schwester::N,алай,әпке
251,Schwester::N,һеңле,әпке
252,Onkel::N,ағай,көке
253,Tante::N,апай,тәте
254,Ehemann::N,ир,ер
255,Ehefrau::N,ҡатын,зайып
256,Freude::N,шатлыҡ,қуаныш
257,Freude::N,шатлыҡ,сүйініш
258,Freude::N,шатлыҡ,шат-думан
259,Freude::N,шатлыҡ,қуаныштылық
260,Freude::N,ҡыуаныс,қуаныш
261,Freude::N,ҡыуаныс,сүйініш
262,Freude::N,ҡыуаныс,шат-думан
263,Freude::N,ҡыуаныс,қуаныштылық
264,Gelächter::N,көлөү,күлу
265,Glück::N,бәхет,бақыт
266,Glück::N,бәхет,бақыттылық
267,Kummer::N,ҡайғы,аза
268,Kummer::N,ҡайғы,қайғы
269,Kummer::N,ҡайғы,қасырет
270,Wunsch::N,теләк,мүдде
271,Lust::N,әүәҫлек,тәбет
272,Lust::N,әүәҫлек,ынтызар
273,Lust::N,әүәҫлек,құштарлық
274,Geist::N,аң,рух
275,Geist::N,рух,рух
276,Gedanke::N,уй,ой
277,Gedanke::N,фекер,ой
278,Gedächtnis::N,хәтер,ес
279,Gedächtnis::N,хәтер,жады
280,Gedächtnis::N,хәтер,ақыл-ес
281,Verstand::N,аҡыл,ақыл
282,Verstand::N,аҡыл,парасат
283,Sinn::N,мәғәня,мән
284,Sinn::N,мәғәня,маныз
285,Sinn::N,мәғәня,мағына
286,Sinn::N,мәғәня,мән-мағына
287,Grund::N,сәбәп,себеп
288,Wahrheit::N,дөрөҫлөк,рас
289,Gespräch::N,әңгәмә,әңгіме
290,Märchen::N,әкиәт,ертеп
291,Märchen::N,әкиәт,ертек
292,Erzählung::N,хикәйә,әңгіме
293,Nachricht::N,хәбәр,хабар
294,Neuigkeit::N,яңылыҡ,жаңалық
295,Name::N,исем,ат
296,Name::N,исем,атау
297,Rätsel::N,йомаҡ,жұмбақ
298,Rede::N,телмәр,сөз
299,Sprache::N,тел,тіл
300,Sprache::N,телмәр,тіл
301,Stimme::N,тауыш,үн
302,Stimme::N,тауыш,әуен
303,Stimme::N,тауыш,дауыс
304,Wort::N,һүҙ,сөз
305,Zeichen::N,билдә,ишара
306,Ruf::N,саҡырыу,айғай
307,Lärm::N,шаулау,айғай-шу
308,Lärm::N,шаулау,айғай-ұйғай
309,Laut::N,тауыш,дыбыс
310,Laut::N,тауыш,дауыс
311,Ton::N,яңғырау,әуен
312,Lied::N,йыр,ән
313,Lied::N,йыр,жыр
314,Lied::N,йыр,ән-жыр
315,Ruhe::N,ял,тыныштық
