,Concept_ID,ml,ja
0,Auge::N,കണ്ണ്,目
1,Ohr::N,ചെവി,耳
2,Nase::N,മൂക്ക്,鼻
3,Mund::N,വായ,口
4,Zahn::N,പല്ല്,歯
5,Zunge::N,നാക്ക്,舌
6,Lippe::N,ചുണ്ട്,唇
7,Wange::N,കവിൾത്തടം,頬
8,Gesicht::N,മുഖം,顔
9,Stirn::N,നെറ്റി,額
10,Haar::N,തലമുടി,髪
11,Schnurrbart::N,മീശ,口髭
12,Bart::N,താടിരോമം,髭
13,Kinn::N,താടി,顎
14,Kiefer[Anatomie]::N,താടിയെല്ല്,顎
15,Kehle::N,കണ്ഠനാളം,喉
16,Hals::N,കഴുത്ത്,首
17,Genick::N,പിടലി,首
18,Kopf::N,തല,頭
19,Rücken::N,മുതുക്,背中
20,Bauch::N,നയറ്,腹
21,Bauch::N,നയറ്,お腹
22,Nabel::N,നാഭി,へそ
23,Busen::N,സ്തനം,乳房
24,Brust::N,സ്തനം,胸
25,Schulter::N,തോൾ,肩
26,Arm::N,കൈ,腕
27,Ellenbogen::N,കൈമുട്ട്,肘
28,Hand::N,കൈ,手
29,Handfläche::N,ഉള്ളം കൈ,手のひら
30,Finger::N,വിരൽ,指
31,Fingernagel::N,നഖം,爪
32,Nagel[Anatomie]::N,നഖം,爪
33,Zeh::N,കാൽവിരൽ,足の指
34,Fuß::N,കാൽപ്പാദം,足
35,Ferse::N,ഉപ്പൂറ്റി,かかと
36,Knie::N,കാൽമുട്ട്,膝
37,Oberschenkel::N,തുട,上腿
38,Bein::N,കാൽ,足
39,Körper::N,ശരീരം,体
40,Haut::N,ചർമ്മം,皮膚
41,Blut::N,രക്തം,血
42,Ader::N,ഞരമ്പ്,血管
43,Sehne::N,സ്നായു,腱
44,Knochen::N,അസ്ഥി,骨
45,Gehirn::N,തലച്ചോറ്,脳
46,Herz::N,ഹൃദയം,心
47,Herz::N,ഹൃദയം,心臓
48,Magen::N,വയർ,胃
49,Leber::N,കരൾ,肝臓
50,Atem::N,ശ്വാസം,息
51,Atem::N,ശ്വാസം,呼吸
52,Hunger::N,വിശപ്പ്,空腹
53,Träne::N,കണ്ണീർ,涙
54,Geschmack::N,രുചി,味
55,Geruch::N,ഗന്ധം,匂い
56,Schlaf::N,ഉറകും,睡眠
57,Traum::N,സ്വപ്നം,夢
58,Himmel::N,ആകാശം,空
59,Sonne::N,സൂര്യൻ,太陽
60,Mond::N,ചന്ദ്രൻ,月
61,Stern::N,നക്ഷത്രം,星
62,Luft::N,കാറ്റ്,空気
63,Wind::N,കാറ്റ്,風
64,Welle::N,തിരമാല,波
65,Wasser::N,വെള്ളം,水
66,Stein::N,ശില,石
67,Stein::N,കല്ല്,石
68,Boden::N,തറ,土地
69,Boden::N,നിലം,土地
70,Erde::N,മണ്ണ്,土
71,Staub::N,പൊടി,埃
72,Rauch::N,പുക,煙
73,Funke::N,തീപ്പൊരി,火花
74,Feuer::N,തീ,火
75,Licht::N,വിളക്ക്,光
76,Licht::N,സൂര്യപ്രകാശം,光
77,Schatten::N,തണൽ,陰
78,Wetter::N,കാലാവസ്ഥ,天気
79,Nebel::N,മൂടൽമഞ്ഞ്,霧
80,Wolke::N,മേഘം,雲
81,Regen::N,മഴ,雨
82,Schnee::N,മഞ്ഞ്,雪
83,Eis::N,ഐസ്,氷
84,Frost::N,മൂടൽമഞ്ഞ്,霜
85,Kälte::N,തണുപ്പ്,寒さ
86,Hitze::N,ചൂട്,暑さ
87,Raureif::N,കോടമഞ്ഞ്,霧氷
88,Regenbogen::N,മഴവില്ല്,虹
89,Donner::N,ഇടി,雷
90,Strömung::N,പ്രവാഹം,流れ
91,Tropfen::N,തുള്ളി,滴
92,Schaum::N,നുര,泡
93,Schmutz::N,അഴുക്ക്,汚れ
94,See::N,തടാകം,湖
95,Sumpf::N,ചതുപ്പുനിലം,沼
96,Moor::N,പാഴ്നിലം,湿原
97,Wiese::N,പുൽത്തകിടി,草原
98,Wald::N,വനം,森
99,Wald::N,കാട്,森
100,Hügel::N,കുന്ന്,丘
101,Anhöhe::N,ഉയർന്ന ഭൂമി,高み
102,Berg::N,പർവ്വതം,山
103,Gipfel::N,ഉച്ചകോടി,頂上
104,Höhle::N,ഗുഹ,洞窟
105,Abhang::N,ചരിവ്,斜面
106,Quelle::N,ഉറവിടം,泉
107,Bach::N,അരുവി,小川
108,Fluss::N,നദി,川
109,Ufer::N,തീരം,岸
110,Küste::N,കടൽത്തീരം,海岸
111,Festland::N,കര,陸
112,Meer::N,കടൽ,海
113,Bucht::N,ഉൾക്കടല്,湾
114,Insel::N,ദ്വീപ്,島
115,Blume::N,പൂവ്,花
116,Gras::N,പുല്ല്,草
117,Wurzel::N,വേര്,根
118,Baum::N,മരം,木
119,Stamm::N,തായ്ത്തടി,幹
120,Rinde::N,പട്ട,皮層
121,Ast::N,ശാഖ,枝
122,Zweig::N,ശാഖ,小枝
123,Blatt::N,ഇല,葉
124,Birke::N,പൂവരശ്,樺
125,Kiefer[Baum]::N,പൈൻമരം,松
126,Weide[Baum]::N,വില്ലോ,柳
127,Tanne::N,ദേവദാരു,樅
128,Horn::N,മൃഗത്തിൻറെ കൊമ്പ്,角
129,Feder::N,തൂവൽ,羽根
130,Fell::N,മൃദുരോമം,毛皮
131,Flügel::N,ചിറക്,羽
132,Klaue::N,നഖം,鉤爪
133,Kralle::N,നഖം,爪
134,Schwanz::N,വാൽ,尻尾
135,Ei::N,മുട്ട,卵
136,Nest::N,കൂട്,巣
137,Bau::N,മാളം,穴
138,Tier::N,മൃഗം,動物
139,Herde::N,കൂട്ടം,群れ
140,Kuh::N,പശു,牛
141,Bulle::N,കാള,雄牛
142,Pferd::N,കുതിര,馬
143,Schaf::N,ആട്,羊
144,Schwein::N,പന്നി,豚
145,Hund::N,നായ്,犬
146,Katze::N,പൂച്ച,猫
147,Bär::N,കരടി,熊
148,Eichhörnchen::N,അണ്ണാൻ,栗鼠
149,Elch::N,കടമാന്,ヘラジカ
150,Fuchs::N,കുറുക്കൻ,狐
151,Hase::N,മുയൽ,兎
152,Maus::N,ചുണ്ടലി,鼠
153,Wolf::N,ചെന്നായ,狼
154,Vogel::N,പക്ഷി,鳥
155,Schwarm::N,കൂട്ടം,群れ
156,Huhn::N,കോഴി,鶏
157,Hahn::N,പൂവൻകോഴി,雄鶏
158,Gans::N,അരയന്നം,ガチョウ
159,Adler::N,കഴുകൻ,鷲
160,Ente::N,താറാവ്,鴨
161,Eule::N,മൂങ്ങ,フクロウ
162,Kranich::N,കൊക്ക്,鶴
163,Krähe::N,കാക്ക,烏
164,Kuckuck::N,കുയിൽ,郭公
165,Schwan::N,അരയന്നം,白鳥
166,Fisch::N,മത്സ്യം,魚
167,Barsch::N,ഒരിനം മത്സ്യം,鱸
168,Hecht::N,ഒരു മത്സ്യം,川魳
169,Schlange[Tier]::N,പാമ്പ്,蛇
170,Wurm::N,വിര,虫
171,Spinne::N,ചിലന്തി,蜘蛛
172,Ameise::N,ഉറുമ്പ്,蟻
173,Laus::N,പേന്,虱
174,Mücke::N,മശകം,蚊
175,Fliege::N,ഈച്ച,蝿
176,Schmetterling::N,ചിത്രശലഭം,蝶
177,Beere::N,ബെറി,漿果
178,Apfel::N,ആപ്പിൾ,林檎
179,Pilz::N,കൂൺ,茸
180,Zwiebel::N,സവാള,玉葱
181,Saat::N,വിത്ത്,種
182,Korn::N,ധാന്യം,粒
183,Heu::N,വയ്ക്കോൽ,干し草
184,Schale::N,തൊലി,皮
185,Grube::N,കുഴി,穴
186,Falle::N,കെണി,わな
187,Schlinge::N,കുടുക്ക്,輪
188,Spur::N,ചുവട്,跡
189,Asche::N,ചാരം,灰
190,Dreck::N,അഴുക്ക്,泥
191,Eisen::N,ഇരുമ്പ്,鉄
192,Gold::N,സ്വർണ്ണം,金
193,Silber::N,വെള്ളി,銀
194,Kohle::N,കൽക്കരി,炭
195,Glas::N,ഗ്ലാസ്,ガラス
196,Lehm::N,കളിമണ്ണ്,ローム
197,Sand::N,മണൽ,砂
198,Mensch::N,മനുഷ്യർ,人
199,Mann::N,പുരുഷൻ,男
200,Mann::N,പുരുഷൻ,男性
201,Frau::N,സ്ത്രീ,女
202,Frau::N,സ്ത്രീ,女性
203,Kind::N,കുഞ്ഞ്,子
204,Kind::N,കുഞ്ഞ്,子供
205,Junge::N,ആൺകുട്ടി,男の子
206,Mädchen::N,പെൺകുട്ടി,女の子
207,Familie::N,കുടുംബം,家族
208,Großvater::N,അപ്പൂപ്പൻ,祖父
209,Großvater::N,അപ്പൂപ്പൻ,おじいさん
210,Großmutter::N,അമ്മുമ്മ,祖母
211,Großmutter::N,അമ്മുമ്മ,おばあさん
212,Eltern::N,മാതാപിതാക്കള്,親
213,Eltern::N,മാതാപിതാക്കള്,両親
214,Vater::N,അച്ഛൻ,父
215,Vater::N,അച്ഛൻ,お父さん
216,Mutter::N,അമ്മ,母
217,Mutter::N,അമ്മ,お母さん
218,Sohn::N,മകൻ,息子
219,Sohn::N,മകൻ,息子さん
220,Tochter::N,മകൾ,娘
221,Tochter::N,മകൾ,お嬢さん
222,Bruder::N,ചേട്ടൻ,弟
223,Bruder::N,അനിയൻ,弟
224,Schwester::N,ചേച്ചി,妹
225,Schwester::N,അനിയത്തി,妹
226,Onkel::N,അമ്മാവൻ,伯父
227,Onkel::N,അമ്മാവൻ,伯父さん
228,Tante::N,മാമി,叔母
229,Tante::N,മാമി,叔母さん
230,Ehemann::N,ഭർത്താവ്,夫
231,Ehemann::N,ഭർത്താവ്,主人
232,Ehefrau::N,ഭാര്യ,妻
233,Ehefrau::N,ഭാര്യ,奥さん
234,Freude::N,ആഹ്ലാദം,喜び
235,Gelächter::N,ചിരിയുടെ ശബ്ദം,笑い
236,Glück::N,സന്തോഷം,幸せ
237,Glück::N,സന്തുഷ്ടി,幸せ
238,Kummer::N,ശോകം,悩み
239,Wunsch::N,ആഗ്രഹം,希望
240,Lust::N,ആഗ്രഹം,気
241,Geist::N,ചുറുചുറുക്ക്,精神
242,Gedanke::N,ചിന്ത,考え
243,Gedächtnis::N,ഓർമ്മശക്തി,記憶
244,Verstand::N,മനസ്സ്,理解力
245,Sinn::N,അർത്ഥം,意味
246,Grund::N,കാരണം,理由
247,Wahrheit::N,സത്യം,真実
248,Gespräch::N,സല്ലാപം,会話
249,Märchen::N,യക്ഷിക്കഥ,童話
250,Erzählung::N,കഥ,物語
251,Nachricht::N,സന്ദേശം,報告
252,Neuigkeit::N,വാർത്ത,ニュース
253,Name::N,പേര്,名前
254,Rätsel::N,പ്രഹേളിക,謎
255,Rede::N,സംസാരം,演説
256,Sprache::N,ഭാഷ,言語
257,Stimme::N,സ്വരം,声
258,Wort::N,വാക്ക്,言葉
259,Zeichen::N,സംജ്ഞ,記号
260,Ruf::N,വിളി,呼び声
261,Lärm::N,ആരവം,騒音
262,Laut::N,ശബ്ദം,音
263,Ton::N,സ്വരഭേദം,音
264,Lied::N,പാട്ട്,歌
265,Ruhe::N,നിശ്ചലത,静けさ
266,Leute::N,ജനങ്ങൾ,人々
267,Volk::N,രാഷ്ടം,民族
268,Arbeit::N,ജോലി,仕事
269,Gast::N,അതിലി,客
270,Geschenk::N,സമ്മാനം,贈り物
271,Spiel::N,കളി,遊び
272,Gesellschaft::N,കൂട്ടായ്മ,社会
273,Hilfe::N,സഹായം,援助
274,Freund::N,സുഹൃത്ത്,友達
275,Kamerad::N,കൂട്ടാളി,同志
276,Angelegenheit::N,കാര്യം,件
277,Anzahl::N,എണ്ണം,数
278,Art::N,തരം,種類
279,Stück::N,കഷണം,部分
280,Teil::N,ഭാഗം,部分
281,Hälfte::N,പകുതി,半分
282,Kreis::N,വൃത്തം,円
283,Kreuz::N,കുരിശടയാളം,十字
284,Linie::N,വര,線
285,Linie::N,രേഖ,線
286,Strich::N,പക്ഷാഘാതം,線
287,Abstand::N,വിടവ്,距離
288,Entfernung::N,അകലം,距離
289,Gegend::N,പ്രദേശം,辺
290,Gegend::N,പ്രദേശം,地域
291,Platz::N,ഇടം,ゆとり
292,Ort::N,സ്ഥലം,所
293,Ort::N,സ്ഥലം,場所
294,Seite::N,വശം,横
295,Mitte::N,മധ്യസ്ഥാനം,真ん中
296,Gegenstand::N,സാധനം,物件
297,Sache::N,വസ്തു,物
298,Rand::N,തൊങ്ങൽ,端
299,Kante::N,അറ്റം,縁
300,Ecke::N,മൂല,角
301,Spitze::N,അഗ്രം,先頭
302,Ende::N,അവസാനം,端
303,Loch::N,ദ്വാരം,穴
304,Winkel::N,കോൺ,片隅
305,Muster::N,ക്രമം,模様
306,Größe::N,വലുപ്പം,大きさ
307,Länge::N,നീളം,長さ
308,Höhe::N,ഉയരം,高さ
309,Gewicht::N,കട്ടി,重さ
310,Menge::N,അളവ്,量
311,Haufen::N,കൂമ്പാരം,堆積
312,Reihe::N,വരി,並び
313,Boot::N,ബോട്ട്,ボート
314,Ruder::N,പങ്കായം,オール
315,Schlitten::N,ഉരുളില്ലാവണ്ടി,そり
316,Ski::N,ഹിമപാദുകം,スキー
317,Lagerfeuer::N,തീ,篝火
318,Last::N,ഭാരം,荷物
319,Gang::N,നടത്തം,歩み
320,Schritt::N,ചുവട്,歩
321,Norden::N,വടക്ക്,北
322,Süden::N,തെക്ക്,南
323,Westen::N,പടിഞ്ഞാറ്,西
324,Osten::N,കിഴക്ക്,東
325,Holz::N,തടി,木
326,Holz::N,തടി,木材
327,Brett::N,ബോർഡ്,板
328,Platte::N,തകിട്,盤
329,Stütze::N,താങ്ങ്,支柱
330,Stange::N,കമ്പ്,棒
331,Stock::N,വടി,杖
332,Stab::N,കുറുവടി,棒
333,Rohr::N,കുഴൽ,管
334,Haus::N,വീട്,家
335,Heim::N,വീട്,家
336,Ofen::N,സ്റ്റൌ,ストーブ
337,Fußboden::N,തറ,床
338,Tisch::N,മേശ,机
339,Stuhl::N,കസേര,椅子
340,Wiege::N,തൊട്ടിൽ,揺籃
341,Bett::N,കിടക്ക,ベッド
342,Regal::N,ഷെൽഫ്,棚
343,Kiste::N,പെട്ടി,箱
344,Fenster::N,ജനൽ,窓
345,Tür::N,വാതിൽ,戸
346,Tür::N,വാതിൽ,ドア
347,Tor::N,കവാടം,門
348,Zaun::N,വേലി,垣根
349,Dach::N,മേൽക്കുര,屋根
350,Leiter::N,ഏണി,梯子
351,Besen::N,ചൂല്,ほうき
352,Spaten::N,തൂമ്പ,スコップ
353,Schaufel::N,തൂമ്പ,シャベル
354,Gabel::N,മുൾക്കത്തി,フォーク
355,Löffel::N,സ്പൂൺ,スプーン
356,Messer::N,കത്തി,ナイフ
357,Nagel::N,ആണി,釘
358,Netz::N,വല,網
359,Haken::N,കൊളുത്ത്,鉤
360,Haken::N,കൊളുത്ത്,フック
361,Griff::N,കൈപ്പിടി,取っ手
362,Schloss::N,പൂട്ട്,錠
363,Bild::N,ചിത്രം,絵
364,Figur::N,കണക്ക്,像
365,Puppe::N,പാവ,人形
366,Beutel::N,ബാഗ്,袋
367,Bündel::N,കെട്ട്,束
368,Bündel::N,കെട്ട്,包み
369,Tasche::N,ബാഗ്,かばん
370,Eimer::N,ബക്കറ്റ്,バケツ
371,Deckel::N,ഉറ,蓋
372,Geschirr::N,പിഞ്ഞാണം,食器
373,Sack::N,ചാക്ക്,袋
374,Tasse::N,കപ്പ്,カップ
375,Topf::N,പാത്രം,鍋
376,Kessel::N,കെറ്റ്ല്,釜
377,Essen::N,ആഹാരസമയം,食事
378,Nahrung::N,ഭക്ഷണം,食物
379,Speise::N,ഡിഷ്,料理
380,Fleisch::N,മാംസം,肉
381,Getreide::N,ചോളം,麦
382,Getreide::N,ചോളം,穀物
383,Brei::N,കഞ്ഞി,粥
384,Brot::N,റോട്ടി,パン
385,Scheibe::N,തുണ്ട്,枚
386,Scheibe::N,തുണ്ട്,切れ
387,Fett::N,കൊഴുപ്പ്,脂肪
388,Butter::N,വെണ്ണ,バター
389,Öl::N,എണ്ണ,油
390,Salz::N,ഉപ്പ്,塩
391,Suppe::N,സൂപ്പ്,スープ
392,Honig::N,തേൻ,蜂蜜
393,Milch::N,പാൽ,牛乳
394,Tee::N,ചായ,茶
395,Tee::N,ചായ,お茶
396,Leder::N,തുകൽ,革
397,Wolle::N,കമ്പിളി,毛糸
398,Stoff::N,തുണി,布
399,Nadel::N,സൂചി,針
400,Faden::N,നൂല്,糸
401,Knopf::N,ബട്ടൺ,ボタン
402,Knoten::N,കുരുക്ക്,結び目
403,Farbe::N,പെയിൻറ്,ペンキ
404,Kleidung::N,വസ്ത്രങ്ങൾ,衣服
405,Hemd::N,ഷർട്ട്,シャツ
406,Kragen::N,കുപ്പായക്കഴുത്ത്,襟
407,Ärmel::N,കുപ്പായക്കൈ,袖
408,Hose::N,ട്രൌസർ,ズボン
409,Gürtel::N,ബെൽറ്റ്,帯
410,Gürtel::N,ബെൽറ്റ്,ベルト
