,Concept_ID,lt,ko
0,Auge::N,akis,눈
1,Ohr::N,ausis,귀
2,Nase::N,nosis,코
3,Mund::N,burna,입
4,Zahn::N,dantis,이
5,Zunge::N,liežuvis,혀
6,Lippe::N,lūpa,입술
7,Wange::N,žandas,뺨
8,Wange::N,skruostas,뺨
9,Gesicht::N,veidas,얼굴
10,Stirn::N,kakta,이마
11,Haar::N,plaukai,털
12,Schnurrbart::N,ūsai,윗수몀
13,Schnurrbart::N,ūsai,코밑수염
14,Bart::N,barzda,수엄
15,Kinn::N,smakras,아래턱
16,Kiefer[Anatomie]::N,žandikaulis,턱
17,Kehle::N,gerklė,인후
18,Hals::N,kaklas,목
19,Genick::N,sprandas,먹덜이
20,Kopf::N,galva,머리
21,Rücken::N,nugara,든
22,Bauch::N,pilvas,배
23,Nabel::N,bamba,배꼽
24,Busen::N,krūtinė,가슴속
25,Brust::N,krūtis,가슴
26,Schulter::N,petys,어깨
27,Arm::N,ranka,팔
28,Ellenbogen::N,alkūnė,팔쿰치
29,Hand::N,ranka,손
30,Hand::N,plaštaka,손
31,Handfläche::N,delnas,손바닥
32,Handfläche::N,plaštaka,손바닥
33,Finger::N,pirštas,속가락
34,Fingernagel::N,nagas,손톱
35,Nagel[Anatomie]::N,nagas,손톱
36,Zeh::N,pirštas,발가락
37,Fuß::N,pėda,발
38,Ferse::N,kulnas,발꿈치
39,Knie::N,kelis,무릎
40,Oberschenkel::N,kulšis,허벅다리
41,Oberschenkel::N,šlaunis,허벅다리
42,Bein::N,koja,다리
43,Körper::N,kūnas,구간
44,Haut::N,oda,살갗
45,Blut::N,kraujas,피
46,Ader::N,kraujagyslė,정맥
47,Sehne::N,sausgyslė,현
48,Knochen::N,kaulas,뼈
49,Gehirn::N,smegenys,뇌
50,Gehirn::N,smegenys,뇌수
51,Herz::N,širdis,염통
52,Magen::N,skrandis,위
53,Leber::N,kepenys,간
54,Atem::N,kvapas,기식
55,Hunger::N,badas,공복
56,Hunger::N,alkis,공복
57,Träne::N,ašara,눈물
58,Geschmack::N,skonis,기호
