,Concept_ID,mn,se
0,Auge::N,нүд,tjelmie
1,Auge::N,нүд,tjalmme
2,Auge::N,нүд,čalbmi
3,Auge::N,нүд,čalme
4,Auge::N,нүд,čâ´lmm
5,Auge::N,нүд,ча̄лльм
6,Ohr::N,чих,bieljie
7,Ohr::N,чих,biellje
8,Ohr::N,чих,beallji
9,Ohr::N,чих,pelji
10,Ohr::N,чих,pe´llj
11,Ohr::N,чих,пе̄лльй
12,Nase::N,хамар,njuenie
13,Nase::N,хамар,njunnje
14,Nase::N,хамар,njunni
15,Nase::N,хамар,njuṇe
16,Nase::N,хамар,njuu´nn
17,Nase::N,хамар,нюннҍ
18,Mund::N,ам,njaelmie
19,Mund::N,ам,njálmme
20,Mund::N,ам,njálbmi
21,Mund::N,ам,njälmi
22,Mund::N,ам,njä´lmm
23,Mund::N,ам,ня̄лльм
24,Zahn::N,шүд,baenie
25,Zahn::N,шүд,bádne
26,Zahn::N,шүд,bátni
27,Zahn::N,шүд,pääṇi
28,Zahn::N,шүд,pää´nn
29,Zahn::N,шүд,па̄ннҍ
30,Zunge::N,хэл,njoektjeme
31,Zunge::N,хэл,njuovtjav
32,Zunge::N,хэл,njuovčča
33,Zunge::N,хэл,njuovčâ
34,Zunge::N,хэл,njuhččâm
35,Zunge::N,хэл,нюхчем
36,Lippe::N,уруул,bangseme
37,Lippe::N,уруул,njálmmerabdda
38,Lippe::N,уруул,bavssa
39,Lippe::N,уруул,poovsâ
40,Lippe::N,уруул,põõus
41,Lippe::N,уруул,пэ̄кс
42,Wange::N,хацар,skiehrie
43,Wange::N,хацар,nierra
44,Wange::N,хацар,muohtu
45,Wange::N,хацар,nieṛâ
46,Wange::N,хацар,njiõrr
47,Wange::N,хацар,нӣрр
48,Gesicht::N,царай,ååredæjja
49,Gesicht::N,царай,muohto
50,Gesicht::N,царай,muođut
51,Gesicht::N,царай,ámadadju
52,Gesicht::N,царай,muáđuh
53,Gesicht::N,царай,muâđ
54,Gesicht::N,царай,ка̄ссв
55,Gesicht::N,нүүр,ååredæjja
56,Gesicht::N,нүүр,muohto
57,Gesicht::N,нүүр,muođut
58,Gesicht::N,нүүр,ámadadju
59,Gesicht::N,нүүр,muáđuh
60,Gesicht::N,нүүр,muâđ
61,Gesicht::N,нүүр,ка̄ссв
62,Stirn::N,дух,gaalloe
63,Stirn::N,дух,gállo
64,Stirn::N,дух,gállu
65,Stirn::N,дух,kállu
66,Stirn::N,дух,käll
67,Stirn::N,дух,вуэххьц
68,Haar::N,үс,voepte
69,Haar::N,үс,vuoppta
70,Haar::N,үс,vuokta
71,Haar::N,үс,vuop'tâ
72,Haar::N,үс,vuõpt
73,Haar::N,үс,вӯппт
74,Schnurrbart::N,дээд сахал,bijjie-skaavtjoe
75,Schnurrbart::N,дээд сахал,njunjevuolskávttjá
76,Schnurrbart::N,дээд сахал,seamu
77,Schnurrbart::N,дээд сахал,siämu
78,Schnurrbart::N,дээд сахал,ää´bben
79,Schnurrbart::N,дээд сахал,о̄а̄бпан
80,Schnurrbart::N,живэр сахал,bijjie-skaavtjoe
81,Schnurrbart::N,живэр сахал,njunjevuolskávttjá
82,Schnurrbart::N,живэр сахал,seamu
83,Schnurrbart::N,живэр сахал,siämu
84,Schnurrbart::N,живэр сахал,ää´bben
85,Schnurrbart::N,живэр сахал,о̄а̄бпан
86,Bart::N,сахал,skaavtja
87,Bart::N,сахал,skaavtjoe
88,Bart::N,сахал,skávttjá
89,Bart::N,сахал,seamu
90,Bart::N,сахал,siämu
91,Bart::N,сахал,seäm
92,Bart::N,сахал,ся̄м
93,Kinn::N,эрүү,gaejpie
94,Kinn::N,эрүү,gájbbe
95,Kinn::N,эрүү,gáibi
96,Kinn::N,эрүү,käibi
97,Kinn::N,эрүү,käi´bb
98,Kinn::N,эрүү,ка̄ййп
99,Kiefer[Anatomie]::N,эрүү,gaejpie
100,Kiefer[Anatomie]::N,эрүү,oalol
101,Kiefer[Anatomie]::N,эрүү,oaloldákte
102,Kiefer[Anatomie]::N,эрүү,gáibi
103,Kiefer[Anatomie]::N,эрүү,uá'lultähti
104,Kiefer[Anatomie]::N,эрүү,vuâl'lõš
105,Kiefer[Anatomie]::N,эрүү,вуаллнешш
106,Kehle::N,хоолой,gealoe
107,Kehle::N,хоолой,tjåttå
108,Kehle::N,хоолой,njiello
109,Kehle::N,хоолой,čotta
110,Kehle::N,хоолой,čuudâ
111,Kehle::N,хоолой,čoodd
112,Kehle::N,хоолой,чонт
113,Kehle::N,хоолой,кэ̄ҏс
114,Hals::N,хүзүү,tjeapohke
115,Hals::N,хүзүү,tjiebet
116,Hals::N,хүзүү,čeabet
117,Hals::N,хүзүү,čiäppát
118,Hals::N,хүзүү,čeäppat
119,Hals::N,хүзүү,ча̄пэх
120,Genick::N,шил,tjovrese
121,Genick::N,шил,nisske
122,Genick::N,шил,niehkki
123,Genick::N,шил,niski
124,Genick::N,шил,niek'ki
125,Genick::N,шил,nji´šǩǩmaadd
126,Genick::N,шил,нышшькмоант
127,Genick::N,хүзүү,tjovrese
128,Genick::N,хүзүү,nisske
129,Genick::N,хүзүү,niehkki
130,Genick::N,хүзүү,niski
131,Genick::N,хүзүү,niek'ki
132,Genick::N,хүзүү,nji´šǩǩmaadd
133,Genick::N,хүзүү,нышшькмоант
134,Kopf::N,толгой,åejjie
135,Kopf::N,толгой,oajvve
136,Kopf::N,толгой,oaivi
137,Kopf::N,толгой,uái'vi
138,Kopf::N,толгой,vuei´vv
139,Kopf::N,толгой,вуэййв
140,Rücken::N,ар,rudtje
141,Rücken::N,ар,hárddo
142,Rücken::N,ар,tjavelk
143,Rücken::N,ар,sealgi
144,Rücken::N,ар,selgi
145,Rücken::N,ар,čielgi
146,Rücken::N,ар,seä´lǧǧ
147,Rücken::N,ар,се̄лльк
148,Rücken::N,нуруу,rudtje
149,Rücken::N,нуруу,hárddo
150,Rücken::N,нуруу,tjavelk
151,Rücken::N,нуруу,sealgi
152,Rücken::N,нуруу,selgi
153,Rücken::N,нуруу,čielgi
154,Rücken::N,нуруу,seä´lǧǧ
155,Rücken::N,нуруу,се̄лльк
156,Bauch::N,хэвлий,tjåejjie
157,Bauch::N,хэвлий,tjoajvve
158,Bauch::N,хэвлий,čoavji
159,Bauch::N,хэвлий,čuáv'ji
160,Bauch::N,хэвлий,čåu´jj
161,Bauch::N,хэвлий,чо̄ввьй
162,Bauch::N,гэдэс,tjåejjie
