,Concept_ID,el,zh
0,Auge::N,μάτι,眼睛
1,Auge::N,οφθαλμός,眼睛
2,Ohr::N,αυτί,耳朵
3,Nase::N,μύτη,鼻子
4,Mund::N,στόμα,嘴
5,Zahn::N,δόντι,牙齿
6,Zunge::N,γλώσσα,舌头
7,Lippe::N,χείλος,嘴唇
8,Wange::N,παρειά,面颊
9,Wange::N,μάγουλο,面颊
10,Gesicht::N,πρόσωπο,脸
11,Stirn::N,μέτωπο,额
12,Haar::N,μαλλιά,头发
13,Schnurrbart::N,μουστάκι,髭须
14,Bart::N,γένια,胡子
15,Kinn::N,πιγούνι,下巴
16,Kiefer[Anatomie]::N,σαγόνι,颌
17,Kehle::N,λαρύγγι,嗓子
18,Hals::N,λαιμός,颈
19,Genick::N,σβέρκος,后颈
20,Kopf::N,κεφάλι,头
21,Rücken::N,ράχη,背
22,Bauch::N,κοιλιά,肚子
23,Nabel::N,αφαλός,肚脐
24,Busen::N,στήθος,胸脯
25,Brust::N,στήθος,胸
26,Schulter::N,ώμος,肩膀
27,Arm::N,χέρι,臂膀
28,Arm::N,μπράτςο,臂膀
29,Ellenbogen::N,αγκώνας,肘
30,Hand::N,χέρι,手
31,Handfläche::N,παλάμη,手掌
32,Finger::N,δάχτυλο,手指
33,Fingernagel::N,νύχι,指甲
34,Nagel[Anatomie]::N,νύχι,指甲
35,Zeh::N,δάχτυλο του ποδιού,脚趾
36,Fuß::N,πόδι,脚
37,Ferse::N,φτέρνα,后跟
38,Knie::N,γόνατο,膝
39,Oberschenkel::N,μηρός,大腿
40,Bein::N,πόδι,腿
41,Körper::N,σώμα,身体
42,Körper::N,κορμί,身体
43,Haut::N,πετσί,皮肤
44,Blut::N,αίμα,血
45,Ader::N,φλέβα,血管
46,Sehne::N,νεύρο,腱
47,Sehne::N,τένοντας,腱
48,Knochen::N,οστό,骨
49,Knochen::N,κόκκαλο,骨
50,Gehirn::N,μυαλό,脑
51,Gehirn::N,εγκέφαλος,脑
52,Herz::N,καρδιά,心
53,Magen::N,στομάχι,胃
54,Leber::N,ήπαρ,肝
55,Leber::N,συκωτί,肝
56,Atem::N,αναπνοή,呼吸
57,Hunger::N,πείνα,饿
58,Träne::N,δάκρυ,眼泪
59,Geschmack::N,γεύση,味道
60,Geruch::N,οσμή,气味
61,Geruch::N,μυρωδία,气味
62,Schlaf::N,ύπνος,睡眠
63,Traum::N,όνειρο,梦
64,Himmel::N,ουρανός,天空
65,Sonne::N,ήλιος,太阳
66,Mond::N,σελήνη,月亮
67,Mond::N,φεγγάρι,月亮
68,Stern::N,άστρο,星
69,Stern::N,αστέρι,星
70,Luft::N,αέρας,空气
71,Wind::N,αέρας,风
72,Wind::N,άνεμος,风
73,Welle::N,κύμα,波
74,Wasser::N,νερό,水
75,Stein::N,πέτρα,石头
