,Concept_ID,ku,fi
0,Auge::N,çav,silmä
1,Ohr::N,guh,korva
2,Nase::N,bêvil,nenä
3,Mund::N,dev,suu
4,Zahn::N,didan,hammas
5,Zunge::N,ziman,kieli
6,Lippe::N,lêv,huuli
7,Wange::N,dêm,poski
8,Wange::N,hinarik,poski
9,Gesicht::N,rû,naama
10,Gesicht::N,rû,kasvot
11,Stirn::N,enî,otsa
12,Haar::N,por,hius
13,Haar::N,por,tukka
14,Schnurrbart::N,simbêl,viikset
15,Bart::N,rih,parta
16,Kinn::N,zenî,leuka
17,Kiefer[Anatomie]::N,arguşk,leukaluu
18,Kehle::N,qirik,kurkku
19,Hals::N,stû,kaula
20,Hals::N,qirik,kaula
21,Genick::N,stû,niska
22,Kopf::N,serî,pää
23,Rücken::N,pişt,selkä
24,Bauch::N,ûr,maha
25,Bauch::N,ûr,vatsa
26,Bauch::N,zik,maha
27,Bauch::N,zik,vatsa
28,Nabel::N,navik,napa
29,Busen::N,sîng,rinta
30,Brust::N,sîng,rinta
31,Schulter::N,mil,olka
32,Schulter::N,mil,hartia
33,Schulter::N,mil,olkapää
34,Arm::N,çepil,käsivarsi
35,Ellenbogen::N,enîşk,kyynärpää
36,Hand::N,dest,käsi
37,Handfläche::N,kefadest,kämmen
38,Finger::N,tilî,sormi
39,Fingernagel::N,neynuk,kynsi
40,Nagel[Anatomie]::N,bizmar,kynsi
41,Zeh::N,tilî linga,varvas
42,Fuß::N,ling,jalka
43,Ferse::N,pahnî,kantapää
44,Knie::N,kabok,polvi
45,Oberschenkel::N,rahn,reisi
46,Bein::N,çip,jalka
47,Körper::N,laş,keho
48,Körper::N,laş,ruumis
49,Körper::N,gowde,keho
50,Körper::N,gowde,ruumis
51,Haut::N,çerm,iho
52,Blut::N,xwîn,veri
53,Ader::N,reh,suoni
54,Sehne::N,reh,jänne
55,Knochen::N,hestî,luu
56,Gehirn::N,mêjî,aivot
57,Herz::N,dil,sydän
58,Magen::N,navêş,maha
59,Magen::N,navêş,vatsa
60,Leber::N,kezeb,maksa
61,Atem::N,hilm,henki
62,Atem::N,hilm,hengitys
63,Hunger::N,birçîtî,nälkä
64,Träne::N,hêstir,kyynel
65,Geschmack::N,tam,maku
66,Geruch::N,bêhn,haju
67,Schlaf::N,xew,uni
68,Traum::N,xewn,uni
69,Himmel::N,ezman,taivas
70,Sonne::N,roj,aurinko
71,Mond::N,heyv,kuu
72,Stern::N,stêrk,tähti
73,Luft::N,ba,ilma
74,Wind::N,ba,tuuli
75,Welle::N,şewl,aalto
76,Wasser::N,av,vesi
77,Stein::N,kevir,kivi
78,Boden::N,herd,maa
79,Boden::N,herd,maaperä
80,Erde::N,ax,maa
81,Staub::N,toz,pöly
82,Rauch::N,dû,savu
83,Funke::N,çirûşk,kipinä
84,Feuer::N,agir,tuli
85,Licht::N,ronahî,valo
86,Schatten::N,sî,varjo
87,Wetter::N,hewa,sää
88,Nebel::N,mij,sumu
89,Wolke::N,ewr,pilvi
90,Regen::N,baran,sade
91,Schnee::N,berf,lumi
92,Eis::N,qeşa,jää
93,Frost::N,xûsik,halla
94,Frost::N,xûsik,pakkanen
95,Kälte::N,serma,vilu
