,Concept_ID,ml,nl
0,Auge::N,കണ്ണ്,oog
1,Ohr::N,ചെവി,oor
2,Nase::N,മൂക്ക്,neus
3,Mund::N,വായ,mond
4,Zahn::N,പല്ല്,tand
5,Zunge::N,നാക്ക്,tong
6,Lippe::N,ചുണ്ട്,lip
7,Wange::N,കവിൾത്തടം,wang
8,Gesicht::N,മുഖം,gelaat
9,Gesicht::N,മുഖം,gezicht
10,Stirn::N,നെറ്റി,voorhoofd
11,Haar::N,തലമുടി,haar
12,Schnurrbart::N,മീശ,snor
13,Bart::N,താടിരോമം,baard
14,Kinn::N,താടി,kin
15,Kiefer[Anatomie]::N,താടിയെല്ല്,kaak
16,Kehle::N,കണ്ഠനാളം,keel
17,Kehle::N,കണ്ഠനാളം,strot
18,Hals::N,കഴുത്ത്,hals
19,Genick::N,പിടലി,nek
20,Kopf::N,തല,hoofd
21,Rücken::N,മുതുക്,rug
22,Bauch::N,നയറ്,buik
23,Nabel::N,നാഭി,navel
24,Busen::N,സ്തനം,boezem
25,Brust::N,സ്തനം,borst
26,Schulter::N,തോൾ,schouder
27,Arm::N,കൈ,arm
28,Ellenbogen::N,കൈമുട്ട്,elleboog
29,Hand::N,കൈ,hand
30,Handfläche::N,ഉള്ളം കൈ,handpalm
31,Finger::N,വിരൽ,vinger
32,Fingernagel::N,നഖം,nagel
33,Nagel[Anatomie]::N,നഖം,nagel
34,Zeh::N,കാൽവിരൽ,teen
35,Fuß::N,കാൽപ്പാദം,voet
36,Ferse::N,ഉപ്പൂറ്റി,hak
37,Ferse::N,ഉപ്പൂറ്റി,hiel
38,Knie::N,കാൽമുട്ട്,knie
39,Oberschenkel::N,തുട,dij
40,Bein::N,കാൽ,been
41,Körper::N,ശരീരം,lichaam
42,Haut::N,ചർമ്മം,huid
43,Blut::N,രക്തം,bloed
44,Ader::N,ഞരമ്പ്,ader
45,Sehne::N,സ്നായു,pees
46,Knochen::N,അസ്ഥി,bot
47,Knochen::N,അസ്ഥി,been
48,Knochen::N,അസ്ഥി,knook
49,Gehirn::N,തലച്ചോറ്,hersenen
50,Herz::N,ഹൃദയം,hart
51,Magen::N,വയർ,maag
52,Leber::N,കരൾ,lever
53,Atem::N,ശ്വാസം,adem
54,Hunger::N,വിശപ്പ്,honger
55,Träne::N,കണ്ണീർ,traan
56,Geschmack::N,രുചി,smaak
57,Geruch::N,ഗന്ധം,geur
