,Concept_ID,kn,te
0,Auge::N,ಕಣ್ಣು,కన్ను
1,Ohr::N,ಕಿವಿ,చెవి
2,Nase::N,ಮೂಗು,ముక్కు
3,Mund::N,ಬಾಯಿ,నోరు
4,Zahn::N,ಹಲ್ಲು,పల్లు
5,Zunge::N,ನಾಲಿಗೆ,నాలుక
6,Lippe::N,ತುಟಿ,పెదవి
7,Wange::N,ಗಲ್ಲ,చెంప
8,Gesicht::N,ಮುಖ,ముఖము
9,Stirn::N,ಹಣೆ,నుదురు
10,Haar::N,ಕೂದಲು,వెండ్రుక
11,Schnurrbart::N,ಮೀಸೆ,మీసము
12,Bart::N,ಗಡ್ಡ,గడ్డము
13,Kinn::N,ಗದ್ದ,గడ్డము
14,Kiefer[Anatomie]::N,ದವಡೆ,దౌడ
15,Kehle::N,ಗಂಟಲು,గొంతు
16,Hals::N,ಕೊರಳು,మెడ
17,Genick::N,ಹಿಂಗತ್ತು,మూపు
18,Kopf::N,ತಲೆ,తల
19,Rücken::N,ಬೆನ್ನು,వెన్ను
20,Bauch::N,ಹೊಟ್ಟೆ,కడుపు
21,Nabel::N,ಹೊಕ್ಕುಳು,బొడ్డు
22,Busen::N,ಸ್ತನ,స్తనము
23,Brust::N,ಎದೆ,ఱొమ్ము
24,Schulter::N,ಭುಜ,భుజము
25,Arm::N,ತೋಳು,చేయి
26,Ellenbogen::N,ಮೊಣಕೈ,మోచేయి
27,Hand::N,ಕೈ,చేయి
28,Handfläche::N,ಅಂಗೈ,అరచేయు
29,Finger::N,ಕೈಬೆರಳು,చేతిప్రేలు
30,Fingernagel::N,ಉಗುರು,గోరు
31,Nagel[Anatomie]::N,ಉಗುರು,గోరు
32,Zeh::N,ಕಾಲ್ಬೆರಳು,కాలిప్రేలు
33,Fuß::N,ಪಾದ,అడుగు
34,Ferse::N,ಹಿಮ್ಮಡಿ,మడమ
35,Knie::N,ಮಂಡಿ,మోకాలు
36,Oberschenkel::N,ತೊಡೆ,తొడ
37,Bein::N,ಕಾಲು,కాలు
38,Körper::N,ದೇಹ,కాయము
39,Haut::N,ಚರ್ಮ,చర్మము
40,Blut::N,ರಕ್ತ,రక్తము
41,Ader::N,ನರ,సిర
42,Sehne::N,ನರ,స్నాయువు
43,Knochen::N,ಮೂಳೆ,ఎముక
44,Gehirn::N,ಮಿದುಳು,మెదడు
45,Herz::N,ಹೃದಯ,హృదయము
46,Magen::N,ಉದರ,కడుపు
47,Leber::N,ಯಕೃತ್ತು,కాలేయము
48,Atem::N,ಉಸಿರು,ఉపిరి
49,Hunger::N,ಹಸಿವು,ఆకలి
50,Träne::N,ಕಣ್ಣೀರು,కన్నీటిచుక్క
51,Geschmack::N,ರುಚಿ,రుచి
52,Geruch::N,ವಾಸನೆ,వాసన
53,Schlaf::N,ನಿದ್ರೆ,నిద్ర
54,Traum::N,ಕನಸು,కల
55,Himmel::N,ಬಾನು,ఆకాశము
56,Sonne::N,ಸೂರ್ಯ,సూర్యుడు
57,Mond::N,ಚಂದ್ರ,చంద్రుడు
58,Stern::N,ಚುಕ್ಕಿ,నక్షత్రము
59,Luft::N,ವಾಯು,గాలి
60,Wind::N,ಗಾಳಿ,వీచుచున్నగాలి
61,Welle::N,ಅಲೆ,అల
62,Wasser::N,ನೀರು,నీరు
63,Stein::N,ಕಲ್ಲು,ఱాయి
64,Boden::N,ನೆಲ,నేల
65,Erde::N,ಭೂಮಿ,మన్ను
66,Staub::N,ದೂಳು,దుమ్ము
67,Rauch::N,ಹೊಗೆ,పొగ
68,Funke::N,ಕಿಡಿ,అగ్నికణము
69,Feuer::N,ಬೆಂಕಿ,అగ్ని
70,Licht::N,ಬೆಳಕು,కాంతి
71,Schatten::N,ನೆರಳು,నీడ
72,Wetter::N,ಹವ,వాతావరణ స్థితి
73,Nebel::N,ಮಂಜು,పొగమంచు
74,Wolke::N,ಮೋಡ,మేఘము
75,Regen::N,ಮಳೆ,వాన
76,Schnee::N,ಹಿಮ,హిమము
77,Eis::N,ಮಂಜುಗಡ್ಡೆ,మంచుగడ్డ
78,Frost::N,ಮಂಜು,పేరిన మంచు
79,Kälte::N,ಹಿಮ,చలి
80,Hitze::N,ಉಷ್ಣ,వేడిమి
81,Raureif::N,ಇಬ್ಬನಿ,మంచు
82,Regenbogen::N,ಇಂದ್ರಚಾಪ,ఇంద్రధనుస్సు
83,Donner::N,ಗುಡುಗು,ఉరుము
84,Strömung::N,ಪ್ರವಾಹ,ప్రవాహము
85,Tropfen::N,ತೊಟ್ಟು,చుక్క
86,Schaum::N,ನೊರೆ,నురుగు
87,Schmutz::N,ಕಸ,మైల
88,See::N,ಸರೋವರ,సరస్సు
89,Sumpf::N,ಜೌಗುಸ್ಥಳ,చిత్తడినేల
90,Moor::N,ಬಂಜರು ಭೂಮಿ,చిత్తడినేల
91,Wiese::N,ಹುಲ್ಲುಗಾವಲು,పచ్చిక బయలు
92,Wald::N,ಕಾಡು,అడవి
93,Hügel::N,ಗುಡ್ಡೆ,చివ్నకొండ
94,Anhöhe::N,ದಿಬ್ಬ,కొండ
95,Berg::N,ಮಲೆ,పర్వతము
96,Berg::N,ಪರ್ವತ,పర్వతము
97,Gipfel::N,ಶೃಂಗ,శిఖరము
98,Höhle::N,ಗುಹೆ,గుహ
99,Abhang::N,ಇಳಿಜಾರು,ఏటవాలు
100,Quelle::N,ಮೂಲ,మూలము
101,Bach::N,ತೊರೆ,కాలువ
102,Fluss::N,ನದಿ,నది
103,Ufer::N,ತೀರ,తీరము
104,Küste::N,ದಂಡೆ,తీరము
105,Festland::N,ಭೂಮಿ,భూమి
106,Meer::N,ಕಡಲು,సముద్రము
107,Bucht::N,ಖಾರಿ,మరుగు
108,Insel::N,ದ್ವೀಪ,దీవి
109,Blume::N,ಸುಮ,పుష్పము
110,Gras::N,ಹುಲ್ಲು,పచ్చగడ్డి
111,Wurzel::N,ಬೇರು,వేరు
112,Baum::N,ಮರ,చెట్టు
113,Stamm::N,ಕಾಂಡ,చెట్టుబోదె
114,Rinde::N,ತೂಗಟಿ,చెట్టుపట్ట
115,Ast::N,ಶಾಖೆ,కొమ్మ
