,Concept_ID,zh,uk
0,Auge::N,眼睛,око
1,Ohr::N,耳朵,вухо
2,Nase::N,鼻子,ніс
3,Mund::N,嘴,рот
4,Zahn::N,牙齿,зуб
5,Zunge::N,舌头,язик
6,Lippe::N,嘴唇,губа
7,Wange::N,面颊,щока
8,Gesicht::N,脸,обличчя
9,Stirn::N,额,лоб
10,Haar::N,头发,волосся
11,Schnurrbart::N,髭须,вуса
12,Bart::N,胡子,борода
13,Kinn::N,下巴,підборіддя
14,Kiefer[Anatomie]::N,颌,щелепа
15,Kehle::N,嗓子,горло
16,Hals::N,颈,шия
17,Genick::N,后颈,потилиця
18,Kopf::N,头,голова
19,Rücken::N,背,спина
20,Bauch::N,肚子,живіт
21,Nabel::N,肚脐,пупок
22,Busen::N,胸脯,груди
23,Brust::N,胸,груди
24,Schulter::N,肩膀,плече
25,Arm::N,臂膀,рука
26,Ellenbogen::N,肘,лікоть
27,Hand::N,手,рука
28,Handfläche::N,手掌,долоня
29,Finger::N,手指,палець
30,Fingernagel::N,指甲,ніготь
31,Nagel[Anatomie]::N,指甲,ніготь
32,Zeh::N,脚趾,палець на нозі
33,Fuß::N,脚,нога
34,Ferse::N,后跟,п’ятка
35,Knie::N,膝,коліно
36,Oberschenkel::N,大腿,стегно
37,Bein::N,腿,нога
38,Körper::N,身体,тіло
39,Haut::N,皮肤,шкіра
40,Blut::N,血,кров
41,Ader::N,血管,вена
42,Sehne::N,腱,сухожилля
43,Knochen::N,骨,кістка
44,Gehirn::N,脑,мозок
45,Herz::N,心,серце
46,Magen::N,胃,шлунок
47,Leber::N,肝,печінка
48,Atem::N,呼吸,дихання
49,Hunger::N,饿,голод
50,Träne::N,眼泪,сльоза
51,Geschmack::N,味道,смак
52,Geruch::N,气味,запах
53,Schlaf::N,睡眠,сон
54,Schlaf::N,睡眠,сплячка
55,Traum::N,梦,сон
56,Himmel::N,天空,небо
57,Sonne::N,太阳,сонце
58,Mond::N,月亮,місяць
59,Stern::N,星,зірка
60,Luft::N,空气,повітря
61,Wind::N,风,вітер
62,Welle::N,波,хвиля
63,Wasser::N,水,вода
64,Stein::N,石头,камінь
65,Boden::N,地面,ґрунт
66,Erde::N,地,земля
67,Staub::N,灰尘,пил
68,Rauch::N,烟,дим
69,Funke::N,火花,іскра
70,Feuer::N,火,вогонь
71,Licht::N,光,світло
72,Schatten::N,影子,тінь
73,Wetter::N,天气,погода
74,Nebel::N,雾,туман
75,Wolke::N,云,хмара
76,Regen::N,雨,дощ
77,Schnee::N,雪,сніг
78,Eis::N,冰,лід
79,Frost::N,霜冻,мороз
80,Kälte::N,寒冷,холод
81,Hitze::N,炎热,жар
82,Raureif::N,霜,іній
83,Regenbogen::N,虹,райдуга
84,Donner::N,雷,грім
85,Strömung::N,水流,струмина
86,Tropfen::N,滴,крапля
87,Schaum::N,泡沫,піна
88,Schmutz::N,赃物,бруд
89,See::N,湖,озеро
90,Sumpf::N,沼泽,драговина
91,Moor::N,沼泽,болото
92,Wiese::N,草地,луг
93,Wiese::N,草地,лука
94,Wald::N,森林,ліс
95,Hügel::N,丘陵,горб
96,Anhöhe::N,山丘,височина
97,Berg::N,山,гора
98,Gipfel::N,峰,вершина
99,Höhle::N,洞穴,печера
100,Abhang::N,斜坡,схил
101,Quelle::N,泉,джерело
102,Bach::N,溪,струмок
103,Fluss::N,河流,річка
104,Ufer::N,岸,берег
105,Küste::N,海岸,узбережжя
106,Festland::N,大陆,суша
107,Meer::N,海,море
108,Bucht::N,海湾,бухта
109,Bucht::N,海湾,затока
110,Insel::N,岛,острів
111,Blume::N,花,квітка
112,Gras::N,草,трава
113,Wurzel::N,根,корінь
114,Baum::N,树,дерево
115,Stamm::N,树干,стовбур
116,Rinde::N,树皮,кора
117,Ast::N,树枝,гілка
118,Zweig::N,树枝,галузь
119,Blatt::N,叶子,лист
120,Birke::N,桦木,береза
121,Kiefer[Baum]::N,松树,сосна
122,Weide[Baum]::N,柳树,верба
123,Tanne::N,冷杉,ялиця
124,Horn::N,角,ріг
125,Feder::N,羽毛,перо
126,Fell::N,皮毛,хутро
127,Flügel::N,翅膀,крило
128,Klaue::N,爪子,кіготь
129,Kralle::N,爪子,лапа
130,Schwanz::N,尾巴,хвіст
131,Ei::N,蛋,яйце
132,Nest::N,巢,гніздо
133,Bau::N,穴,лігво
134,Tier::N,动物,тварина
135,Herde::N,群,стадо
136,Kuh::N,母牛,корова
137,Bulle::N,公牛,бик
138,Bulle::N,公牛,бугай
139,Pferd::N,马,кінь
140,Schaf::N,羊,вівця
141,Schwein::N,猪,свиня
142,Hund::N,狗,собака
143,Katze::N,猫,кішка
144,Bär::N,熊,ведмідь
145,Eichhörnchen::N,松鼠,білка
146,Elch::N,麋鹿,лось
147,Fuchs::N,狐狸,лисиця
148,Hase::N,兔子,заєць
149,Maus::N,老鼠,миша
150,Wolf::N,狼,вовк
151,Vogel::N,鸟,птах
152,Schwarm::N,群,зграя
153,Huhn::N,鸡,курка
154,Hahn::N,公鸡,півень
155,Gans::N,鹅,гуска
156,Adler::N,鹰,орел
157,Ente::N,鸭,качка
158,Eule::N,猫头鹰,сова
159,Kranich::N,鹤,журавель
160,Krähe::N,乌鸦,ворона
161,Kuckuck::N,布谷鸟,зозуля
162,Schwan::N,天鹅,лебідь
163,Fisch::N,鱼,риба
164,Barsch::N,鲈鱼,окунь
165,Hecht::N,狗鱼,щука
166,Schlange[Tier]::N,蛇,змія
167,Wurm::N,蠕虫,черв’як
168,Spinne::N,蜘蛛,павук
169,Ameise::N,蚂蚁,мурашка
170,Laus::N,虱子,воша
171,Mücke::N,蚊子,комар
172,Fliege::N,苍蝇,муха
173,Schmetterling::N,蝴蝶,метелик
174,Beere::N,将果,ягода
175,Apfel::N,苹果,яблуко
176,Pilz::N,蘑菇,гриб
177,Zwiebel::N,洋葱,цибуля
178,Saat::N,种子,сім’я
179,Korn::N,谷粒,зерно
180,Heu::N,干草,сіно
181,Schale::N,壳,шкірка
182,Grube::N,坑,яма
183,Falle::N,圈套,пастка
184,Schlinge::N,活扣,петля
185,Spur::N,踪迹,слід
186,Asche::N,灰烬,зола
187,Asche::N,灰烬,попіл
188,Dreck::N,污垢,бруд
189,Eisen::N,铁,залізо
190,Gold::N,金子,золото
191,Silber::N,银,срібло
192,Kohle::N,煤,вугілля
193,Glas::N,玻璃,скло
194,Lehm::N,粘土,глина
195,Sand::N,沙,пісок
196,Mensch::N,人,людина
197,Mann::N,男子,чоловік
198,Frau::N,妇女,жінка
199,Kind::N,小孩,дитина
200,Junge::N,男孩,хлопець
201,Mädchen::N,女孩,дівчина
202,Familie::N,家庭,сім’я
203,Familie::N,家庭,родина
204,Großvater::N,祖父,дідусь
205,Großmutter::N,祖母,бабуся
206,Eltern::N,父母,батьки
207,Vater::N,父亲,батько
208,Mutter::N,母亲,мати
209,Sohn::N,儿子,син
210,Tochter::N,女儿,дочка
211,Bruder::N,兄弟,брат
212,Schwester::N,姐妹,сестра
213,Onkel::N,伯父,дядько
214,Tante::N,阿姨,тітка
215,Ehemann::N,丈夫,чоловік
216,Ehefrau::N,妻子,жінка
217,Ehefrau::N,妻子,дружина
218,Freude::N,愉快,радощі
219,Gelächter::N,大笑,сміх
220,Glück::N,运气,щастя
221,Kummer::N,苦恼,горе
222,Wunsch::N,愿望,бажання
223,Lust::N,乐趣,бажання
224,Geist::N,精神,дух
225,Gedanke::N,思想,думка
226,Gedächtnis::N,记性,пам’ять
227,Verstand::N,理智,розум
228,Sinn::N,感觉,зміст
229,Sinn::N,感觉,значення
230,Grund::N,理由,причина
231,Wahrheit::N,真理,правда
232,Gespräch::N,谈话,розмова
233,Märchen::N,童话,байка
234,Erzählung::N,故事,повість
235,Erzählung::N,故事,оповідання
236,Nachricht::N,消息,повідомлення
237,Neuigkeit::N,新闻,новина
238,Name::N,名字,ім’я
239,Rätsel::N,谜语,загадка
240,Rede::N,讲话,промова
241,Sprache::N,语言,мова
242,Stimme::N,声音,голос
243,Wort::N,词,слово
244,Zeichen::N,标记,знак
245,Ruf::N,呼喊,оклик
246,Lärm::N,噪音,шум
247,Laut::N,响声,звук
248,Ton::N,声音,тон
249,Lied::N,歌曲,пісня
250,Ruhe::N,安静,спокій
251,Leute::N,人们,люди
