,Concept_ID,be,pt
0,Auge::N,вока,olho
1,Ohr::N,вуха,orelha
2,Nase::N,нос,nariz
3,Mund::N,рот,boca
4,Zahn::N,зуб,dente
5,Zunge::N,язык,língua
6,Lippe::N,губа,lábio
7,Wange::N,шчака,face
8,Gesicht::N,твар,cara
9,Gesicht::N,твар,rosto
10,Stirn::N,лоб,testa
11,Haar::N,волас,cabelo
12,Haar::N,валасы,cabelo
13,Schnurrbart::N,вус,bigode
14,Schnurrbart::N,вусы,bigode
15,Bart::N,барада,barba
16,Kinn::N,падбародак,queixo
17,Kiefer[Anatomie]::N,сківіца,maxila
18,Kiefer[Anatomie]::N,сківіца,mandíbula
19,Kehle::N,горла,garganta
20,Hals::N,шыя,colo
21,Hals::N,шыя,pescoço
22,Genick::N,патыліца,nuca
23,Kopf::N,галава,cabeça
24,Rücken::N,спіна,dorso
25,Rücken::N,спіна,costas
26,Bauch::N,жывот,ventre
27,Bauch::N,жывот,barriga
28,Nabel::N,пупок,umbigo
29,Busen::N,грудзі,seio
30,Brust::N,грудзі,peito
31,Schulter::N,плячо,ombro
32,Arm::N,рука,braço
33,Ellenbogen::N,локаць,cotovelo
34,Hand::N,кісць,mão
35,Handfläche::N,далонь,palma
36,Handfläche::N,далонь,palma da mão
37,Finger::N,палец,dedo
38,Fingernagel::N,ногаць,unha
39,Nagel[Anatomie]::N,ногаць,unha
40,Zeh::N,палец,dedo do pé
41,Fuß::N,нага,pé
42,Ferse::N,пята,calcanhar
43,Ferse::N,пятка,calcanhar
44,Knie::N,калена,joelho
45,Oberschenkel::N,бядро,coxa
46,Oberschenkel::N,сцягно,coxa
47,Bein::N,нага,perna
48,Körper::N,цела,corpo
49,Haut::N,скура,pele
50,Blut::N,кроў,sangue
51,Ader::N,вена,veia
52,Ader::N,сасуд,veia
53,Sehne::N,жыла,tendão
54,Sehne::N,цеціва,tendão
55,Sehne::N,сухажылле,tendão
56,Knochen::N,косць,osso
57,Gehirn::N,мозг,cérebro
58,Herz::N,сэрца,coração
59,Magen::N,страўнік,estômago
60,Leber::N,печань,fígado
61,Atem::N,дыханне,fôlego
62,Hunger::N,голад,fome
63,Träne::N,сляза,lágrima
64,Geschmack::N,смак,gosto
65,Geruch::N,пах,odor
66,Geruch::N,пах,cheiro
67,Schlaf::N,сон,sono
68,Traum::N,сон,sonho
69,Himmel::N,неба,céu
70,Sonne::N,сонца,sol
71,Mond::N,месяц,lua
72,Stern::N,зорка,estrela
73,Luft::N,паветра,ar
74,Wind::N,вецер,vento
75,Welle::N,хваля,onda
76,Wasser::N,вада,água
77,Stein::N,камень,pedra
78,Boden::N,глеба,solo
79,Erde::N,зямля,terra
80,Staub::N,пыл,pó
81,Rauch::N,дым,fumo
82,Funke::N,іскра,faísca
83,Funke::N,іскра,centelha
84,Feuer::N,агонь,fogo
85,Licht::N,святло,luz
86,Schatten::N,цень,sombra
87,Wetter::N,пагода,tempo
88,Wetter::N,надворʼе,tempo
89,Nebel::N,туман,nevoeiro
90,Wolke::N,воблака,nuvem
91,Regen::N,дождж,chuva
92,Schnee::N,снег,neve
93,Eis::N,лёд,gelo
94,Frost::N,мароз,gelo
95,Frost::N,мароз,geada
96,Kälte::N,холад,frio
97,Hitze::N,спёка,ardor
98,Raureif::N,іней,geada
99,Regenbogen::N,вясёлка,arco-iris
100,Donner::N,гром,trovão
101,Strömung::N,цячэнне,corrente
102,Tropfen::N,кропля,gota
103,Schaum::N,пена,espuma
104,Schmutz::N,гразь,sujidade
105,Schmutz::N,гразь,imundície
106,See::N,возера,lago
107,Sumpf::N,багна,charco
108,Sumpf::N,багна,pântano
109,Moor::N,балота,pântano
110,Wiese::N,луг,prado
111,Wald::N,лес,bosque
112,Wald::N,лес,floresta
113,Hügel::N,узгорак,colina
114,Anhöhe::N,узвышша,alto
115,Anhöhe::N,узвышша,outeiro
116,Berg::N,гара,monte
117,Berg::N,гара,montanha
118,Gipfel::N,вяршыня,pico
119,Höhle::N,пячора,caverna
120,Abhang::N,схіл,encosta
121,Quelle::N,крыніца,fonte
122,Bach::N,ручай,regato
123,Bach::N,ручай,ribeiro
124,Fluss::N,рака,rio
125,Ufer::N,бераг,beira
126,Küste::N,узбярэжжа,costa
127,Festland::N,суша,terra firme
128,Meer::N,мора,mar
129,Bucht::N,бухта,baía
130,Insel::N,востраў,ilha
131,Blume::N,кветка,flor
132,Gras::N,трава,erva
133,Wurzel::N,корань,raiz
134,Baum::N,дрэва,árvore
135,Stamm::N,ствол,tronco
136,Rinde::N,кара,casca
137,Ast::N,сук,ramo
138,Zweig::N,галіна,galho
139,Blatt::N,ліст,folha
140,Birke::N,бяроза,bétula
141,Kiefer[Baum]::N,хвоя,pinheiro
142,Kiefer[Baum]::N,сасна,pinheiro
143,Weide[Baum]::N,вярба,salgueiro
144,Tanne::N,яліна,abeto
145,Horn::N,рог,corno
146,Horn::N,рог,chifre
147,Feder::N,пяро,pena
148,Fell::N,шкура,pele
149,Flügel::N,крыло,asa
150,Klaue::N,кіпцюр,pata
151,Kralle::N,лапа,unha
152,Kralle::N,лапа,garra
153,Schwanz::N,хвост,rabo
154,Schwanz::N,хвост,cauda
155,Ei::N,яйка,ovo
156,Nest::N,гняздо,ninho
157,Bau::N,нара,toca
158,Bau::N,нара,covil
159,Tier::N,жывёла,animal
160,Herde::N,статак,rebanho
161,Kuh::N,карова,vaca
162,Bulle::N,бык,touro
163,Pferd::N,конь,cavalo
164,Schaf::N,авечка,ovelha
165,Schwein::N,свіння,porco
166,Hund::N,сабака,cão
167,Katze::N,кошка,gata
168,Bär::N,мядзведзь,urso
169,Eichhörnchen::N,вавёрка,esquilo
170,Elch::N,лось,alce
171,Fuchs::N,ліса,raposa
172,Hase::N,заяц,lebre
173,Maus::N,мыш,rato
174,Wolf::N,воўк,lobo
175,Vogel::N,птах,ave
176,Vogel::N,птах,pássaro
177,Vogel::N,птушка,ave
178,Vogel::N,птушка,pássaro
179,Schwarm::N,чарада,bando
180,Schwarm::N,чарада,enxame
181,Huhn::N,курыца,galinha
182,Hahn::N,певень,galo
183,Gans::N,гусь,ganso
184,Adler::N,арол,águia
185,Ente::N,качка,pata
186,Eule::N,сава,mocho
187,Eule::N,сава,coruja
188,Kranich::N,жораў,grou
189,Kranich::N,журавель,grou
190,Krähe::N,варона,gralha
191,Kuckuck::N,зязюля,cuco
192,Schwan::N,лебедзь,cisne
193,Fisch::N,рыба,peixe
194,Barsch::N,акунь,perca
195,Hecht::N,шчупак,lúcio
196,Schlange[Tier]::N,змяя,serpente
