,Concept_ID,sv,fi
0,Auge::N,öga,silmä
1,Ohr::N,öra,korva
2,Nase::N,näsa,nenä
3,Mund::N,mun,suu
4,Zahn::N,tand,hammas
5,Zunge::N,tunga,kieli
6,Lippe::N,läpp,huuli
7,Wange::N,kind,poski
8,Gesicht::N,syn,naama
9,Gesicht::N,syn,kasvot
10,Gesicht::N,ansikte,naama
11,Gesicht::N,ansikte,kasvot
12,Stirn::N,panna,otsa
13,Haar::N,hår,hius
14,Haar::N,hår,tukka
15,Schnurrbart::N,mustasch,viikset
16,Bart::N,skägg,parta
17,Kinn::N,haka,leuka
18,Kiefer[Anatomie]::N,käke,leukaluu
19,Kehle::N,strupe,kurkku
20,Hals::N,hals,kaula
21,Genick::N,nacke,niska
22,Kopf::N,huvud,pää
23,Rücken::N,rygg,selkä
24,Bauch::N,buk,maha
25,Bauch::N,buk,vatsa
26,Bauch::N,mage,maha
27,Bauch::N,mage,vatsa
28,Nabel::N,navel,napa
29,Busen::N,barm,rinta
30,Brust::N,bröst,rinta
31,Schulter::N,skuldra,olka
32,Schulter::N,skuldra,hartia
33,Schulter::N,skuldra,olkapää
34,Arm::N,arm,käsivarsi
35,Ellenbogen::N,armbåge,kyynärpää
36,Hand::N,hand,käsi
37,Handfläche::N,handflata,kämmen
38,Finger::N,finger,sormi
39,Fingernagel::N,fingernagel,kynsi
40,Nagel[Anatomie]::N,nagel,kynsi
41,Zeh::N,tå,varvas
42,Fuß::N,fot,jalka
43,Ferse::N,häl,kantapää
44,Knie::N,knä,polvi
45,Oberschenkel::N,lår,reisi
46,Bein::N,ben,jalka
47,Körper::N,kropp,keho
48,Körper::N,kropp,ruumis
49,Haut::N,hud,iho
50,Haut::N,skinn,iho
51,Blut::N,blod,veri
52,Ader::N,åder,suoni
53,Sehne::N,sena,jänne
54,Knochen::N,ben,luu
55,Gehirn::N,hjärna,aivot
56,Herz::N,hjärta,sydän
57,Magen::N,mage,maha
58,Magen::N,mage,vatsa
59,Leber::N,lever,maksa
60,Atem::N,anda,henki
61,Atem::N,anda,hengitys
62,Atem::N,andedräkt,henki
63,Atem::N,andedräkt,hengitys
64,Hunger::N,svält,nälkä
65,Hunger::N,hunger,nälkä
66,Träne::N,tår,kyynel
67,Geschmack::N,smak,maku
68,Geruch::N,lukt,haju
69,Schlaf::N,sömn,uni
70,Traum::N,dröm,uni
71,Himmel::N,himmel,taivas
72,Sonne::N,sol,aurinko
73,Mond::N,måne,kuu
74,Stern::N,stjärna,tähti
75,Luft::N,luft,ilma
76,Wind::N,vind,tuuli
77,Welle::N,våg,aalto
78,Welle::N,bölja,aalto
79,Wasser::N,vatten,vesi
80,Stein::N,sten,kivi
81,Boden::N,mark,maa
82,Boden::N,mark,maaperä
83,Erde::N,jord,maa
84,Staub::N,damm,pöly
85,Rauch::N,rök,savu
86,Funke::N,gnista,kipinä
87,Feuer::N,eld,tuli
88,Licht::N,ljus,valo
89,Schatten::N,skugga,varjo
90,Wetter::N,väder,sää
91,Nebel::N,dimma,sumu
92,Nebel::N,töcken,sumu
93,Wolke::N,sky,pilvi
94,Wolke::N,moln,pilvi
95,Regen::N,regn,sade
96,Schnee::N,snö,lumi
97,Eis::N,is,jää
98,Frost::N,frost,halla
99,Frost::N,frost,pakkanen
100,Kälte::N,köld,vilu
101,Kälte::N,köld,kylmyys
102,Hitze::N,hetta,helle
103,Hitze::N,hetta,kuumuus
104,Raureif::N,rimfrost,huurre
105,Regenbogen::N,regnbåge,sateenkaari
106,Donner::N,åska,jyrinä
107,Donner::N,dunder,jyrinä
108,Strömung::N,strömning,virtaus
109,Tropfen::N,dropper,tippa
110,Tropfen::N,dropper,pisara
111,Schaum::N,skum,vaahto
112,Schmutz::N,lort,loka
113,Schmutz::N,smuts,loka
114,See::N,sjö,järvi
115,Sumpf::N,träsk,suo
116,Moor::N,myr,räme
117,Moor::N,mosse,räme
118,Wiese::N,äng,niitty
119,Wald::N,skog,metsä
120,Hügel::N,höjd,mäki
121,Hügel::N,höjd,kumpu
122,Hügel::N,höjd,kukkula
123,Hügel::N,kulle,mäki
124,Hügel::N,kulle,kumpu
125,Hügel::N,kulle,kukkula
126,Anhöhe::N,höjd,mäki
127,Anhöhe::N,höjd,kumpare
128,Anhöhe::N,backe,mäki
129,Anhöhe::N,backe,kumpare
130,Berg::N,berg,mäki
131,Berg::N,berg,vuori
132,Berg::N,fjäll,mäki
133,Berg::N,fjäll,vuori
134,Gipfel::N,topp,laki
135,Gipfel::N,topp,huippu
136,Höhle::N,håla,luola
137,Höhle::N,grotta,luola
138,Abhang::N,slänt,rinne
139,Abhang::N,sluttning,rinne
140,Quelle::N,källa,lähde
141,Bach::N,bäck,puro
142,Fluss::N,älv,joki
143,Fluss::N,flod,joki
144,Ufer::N,strand,ranta
145,Küste::N,kust,rannikko
146,Festland::N,fastland,manner
147,Meer::N,hav,meri
148,Bucht::N,vik,lahti
149,Bucht::N,bukt,lahti
150,Insel::N,ö,saari
151,Blume::N,blomma,kukka
152,Blume::N,blomster,kukka
153,Gras::N,gräs,ruoho
154,Wurzel::N,rot,juuri
155,Baum::N,träd,puu
156,Stamm::N,stam,runko
157,Rinde::N,bark,kuori
158,Rinde::N,bark,parkki
159,Ast::N,gren,oksa
160,Zweig::N,kvist,haara
161,Blatt::N,löv,lehti
162,Blatt::N,blad,lehti
163,Birke::N,björk,koivu
164,Kiefer[Baum]::N,tall,mänty
165,Kiefer[Baum]::N,tall,petäjä
166,Weide[Baum]::N,pil,paju
167,Weide[Baum]::N,vide,paju
168,Tanne::N,gran,kuusi
169,Horn::N,horn,sarvi
170,Feder::N,fjäder,sulka
171,Feder::N,fjäder,höyhen
172,Fell::N,fäll,talja
173,Fell::N,skinn,talja
174,Flügel::N,vinge,siipi
175,Klaue::N,klöv,kynsi
176,Kralle::N,klo,kynsi
177,Schwanz::N,svans,häntä
178,Schwanz::N,svans,pyrstö
179,Schwanz::N,stjärt,häntä
180,Schwanz::N,stjärt,pyrstö
181,Ei::N,ägg,muna
182,Nest::N,rede,pesä
183,Nest::N,näste,pesä
184,Bau::N,bo,pesä
185,Tier::N,djur,eläin
186,Herde::N,flock,lauma
187,Kuh::N,ko,lehmä
188,Bulle::N,tjur,sonni
189,Pferd::N,häst,hevonen
190,Schaf::N,får,lammas
191,Schwein::N,svin,sika
192,Hund::N,hund,koira
193,Katze::N,katt,kissa
194,Bär::N,björn,karhu
195,Eichhörnchen::N,ekorre,orava
196,Elch::N,älg,hirvi
197,Fuchs::N,räv,kettu
198,Hase::N,hare,jänis
199,Maus::N,mus,hiiri
200,Wolf::N,varg,susi
201,Vogel::N,fågel,lintu
202,Schwarm::N,svärm,parvi
203,Huhn::N,höns,kana
204,Hahn::N,tupp,kukko
205,Gans::N,gås,hanhi
206,Adler::N,örn,kotka
207,Ente::N,anka,ankka
